Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Carrier Colour,Temporary Location Note,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhaq:9402,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9402/N,b2bbf28f-a732-5f52-be4c-4e3a67ca9678,BE-ANN07/aq/000000647,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b2bbf28f-a732-5f52-be4c-4e3a67ca9678,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8985,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8985/N,f051649c-2a76-5b5a-8afd-6f3b95716bc4,BE-ANN07/aq/000000534,cardboard,beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f051649c-2a76-5b5a-8afd-6f3b95716bc4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:5122,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:5122/N,2a009e82-1442-52f3-bdde-255bd25a5b29,BE-ANN07/aq/000000077,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a009e82-1442-52f3-bdde-255bd25a5b29,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9414,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9414/N,77b0399b-e866-5c0f-97b5-3aa876feeb5a,BE-ANN07/aq/000000659,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/77b0399b-e866-5c0f-97b5-3aa876feeb5a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8878,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8878/N,b115a4c2-902f-58fd-bf56-710a9ed715cc,BE-ANN07/aq/000000457,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b115a4c2-902f-58fd-bf56-710a9ed715cc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8897,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8897/N,1c2549b2-f726-5e8d-b9d9-6024da36156d,BE-ANN07/aq/000000473,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1c2549b2-f726-5e8d-b9d9-6024da36156d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:6889,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:6889/N,29cd2b73-2d47-5785-883a-989c4e9de3b6,BE-ANN07/aq/000000150,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/29cd2b73-2d47-5785-883a-989c4e9de3b6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:7261,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:7261/N,2889da1d-de01-506d-a2b8-86ab9eaf34d7,BE-ANN07/aq/000000168,paper (fiber product),,KP 15a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2889da1d-de01-506d-a2b8-86ab9eaf34d7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8747,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8747/N,090a8e15-d13b-556d-9d94-a248ac6264bf,BE-ANN07/aq/000000375,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/090a8e15-d13b-556d-9d94-a248ac6264bf,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8317,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8317/N,473c6aab-df61-5f40-bbb3-628e05adfba3,BE-ANN07/aq/000000210,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/473c6aab-df61-5f40-bbb3-628e05adfba3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9013,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9013/N,135c55d1-f7f0-5ed0-ac20-77c41a3026c4,BE-ANN07/aq/000000559,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/135c55d1-f7f0-5ed0-ac20-77c41a3026c4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:4066,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:4066/N,3427e823-4487-5f09-a8b8-0a62308a7afa,BE-ANN07/aq/000000058,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3427e823-4487-5f09-a8b8-0a62308a7afa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8550,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8550/N,7c078dc8-7219-5041-974a-d43d540d22fb,BE-ANN07/aq/000000293,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7c078dc8-7219-5041-974a-d43d540d22fb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:4123,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:4123/N,262ab269-588a-565f-9fff-7b4d784fe26a,BE-ANN07/aq/000000063,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/262ab269-588a-565f-9fff-7b4d784fe26a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8383,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8383/N,397cdc4d-1877-5ff1-aea4-d5699678eec6,BE-ANN07/aq/000000249,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/397cdc4d-1877-5ff1-aea4-d5699678eec6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8679,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8679/N,e9b2a80c-720e-5fb9-88c6-7dca2e80d611,BE-ANN07/aq/000000342,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e9b2a80c-720e-5fb9-88c6-7dca2e80d611,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9068,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9068/N,da23c11e-76c1-5d41-bc0d-4654a90f4146,BE-ANN07/aq/000000590,cardboard,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/da23c11e-76c1-5d41-bc0d-4654a90f4146,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:20,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:20/N,977c1be7-d310-596c-adf3-46f76e4317a7,BE-ANN07/aq/000000001,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/977c1be7-d310-596c-adf3-46f76e4317a7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8696,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8696/N,9c28a607-05e3-5d17-bea8-9dba2f73b252,BE-ANN07/aq/000000357,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9c28a607-05e3-5d17-bea8-9dba2f73b252,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:1399,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:1399/N,4bddeb9c-33d5-5850-a47c-c9d9b051c50f,BE-ANN07/aq/000000006,cardboard,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4bddeb9c-33d5-5850-a47c-c9d9b051c50f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8911,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8911/N,9b000f80-5b64-5386-992c-edf855837ac7,BE-ANN07/aq/000000486,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9b000f80-5b64-5386-992c-edf855837ac7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8854,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8854/N,9abd95fd-1030-5479-8146-b6d6efc1c2ad,BE-ANN07/aq/000000434,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9abd95fd-1030-5479-8146-b6d6efc1c2ad,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8784,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8784/N,5c3c5c94-0899-5cf3-9203-2f45ab429ca0,BE-ANN07/aq/000000405,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5c3c5c94-0899-5cf3-9203-2f45ab429ca0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:5509,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:5509/N,8b0c07b1-b052-570b-bca7-98f8d7fba377,BE-ANN07/aq/000000097,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8b0c07b1-b052-570b-bca7-98f8d7fba377,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8907,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8907/N,d26759cd-338b-529c-b7b2-93481776dced,BE-ANN07/aq/000000482,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d26759cd-338b-529c-b7b2-93481776dced,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8842,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8842/N,145c5f0a-bb6c-52ca-b04e-873c5c0615b5,BE-ANN07/aq/000000424,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/145c5f0a-bb6c-52ca-b04e-873c5c0615b5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8792,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8792/N,5c1e09e9-31d5-570e-9050-94a70b3f39d9,BE-ANN07/aq/000000412,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5c1e09e9-31d5-570e-9050-94a70b3f39d9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:6626,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:6626/N,1beea900-3308-5a4d-9492-8a60f728f42d,BE-ANN07/aq/000000120,cardboard,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1beea900-3308-5a4d-9492-8a60f728f42d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:2370,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:2370/N,3e4916c8-11e1-57a6-b7f5-adcd826f7bae,BE-ANN07/aq/000000012,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3e4916c8-11e1-57a6-b7f5-adcd826f7bae,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8403,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8403/N,dcc55afd-62ec-50f4-8a26-7f808b7735ba,BE-ANN07/aq/000000269,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/dcc55afd-62ec-50f4-8a26-7f808b7735ba,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:4565,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:4565/N,5e937a35-f83b-5d43-9f13-29afb0ff6951,BE-ANN07/aq/000000067,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5e937a35-f83b-5d43-9f13-29afb0ff6951,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8546,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8546/N,7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,BE-ANN07/aq/000000289,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:2632,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:2632/N,52738c98-5867-5d59-906c-9ba1046e26c3,BE-ANN07/aq/000000028,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/52738c98-5867-5d59-906c-9ba1046e26c3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8395,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8395/N,54b8899f-fe69-58b3-bf28-58ce7abca638,BE-ANN07/aq/000000261,paper (fiber product),ocher (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/54b8899f-fe69-58b3-bf28-58ce7abca638,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8680,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8680/N,06c48f40-7010-5f14-bbd5-02802f6b0a5a,BE-ANN07/aq/000000343,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/06c48f40-7010-5f14-bbd5-02802f6b0a5a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:5548,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:5548/N,0cccfe13-5966-514f-988a-6d35cc081d04,BE-ANN07/aq/000000100,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0cccfe13-5966-514f-988a-6d35cc081d04,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9009,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9009/N,e833935d-27a6-5ffc-a736-109781e1f502,BE-ANN07/aq/000000555,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e833935d-27a6-5ffc-a736-109781e1f502,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8531,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8531/N,7441af4b-7744-54fb-a0f6-4036bed9cba9,BE-ANN07/aq/000000274,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7441af4b-7744-54fb-a0f6-4036bed9cba9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8862,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8862/N,b1ce90f6-e392-5335-b3bd-669a5c58aee7,BE-ANN07/aq/000000442,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b1ce90f6-e392-5335-b3bd-669a5c58aee7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8927,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8927/N,bf88cfb6-f431-5418-a71f-a37074a5f5f7,BE-ANN07/aq/000000500,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bf88cfb6-f431-5418-a71f-a37074a5f5f7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:6893,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:6893/N,207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,BE-ANN07/aq/000000154,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:2583,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:2583/N,01582bee-3c39-5ada-b2be-121bcba0b779,BE-ANN07/aq/000000024,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/01582bee-3c39-5ada-b2be-121bcba0b779,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9377,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9377/N,407075f2-7ac8-5743-bab0-7bab26c3df34,BE-ANN07/aq/000000628,paper (fiber product),cream (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/407075f2-7ac8-5743-bab0-7bab26c3df34,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8835,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8835/N,8a64f85a-b500-58e5-a6dc-81d241f27c55,BE-ANN07/aq/000000420,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8a64f85a-b500-58e5-a6dc-81d241f27c55,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8566,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8566/N,031ba763-243a-5ac6-bba2-8faeaee6f14c,BE-ANN07/aq/000000305,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/031ba763-243a-5ac6-bba2-8faeaee6f14c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8970,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8970/N,45bc62d6-8ccc-59a4-815b-f85cab9157de,BE-ANN07/aq/000000525,paper (fiber product),black (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/45bc62d6-8ccc-59a4-815b-f85cab9157de,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:7543,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:7543/N,4f45914f-0cd5-5f4a-82f7-c9acab67429c,BE-ANN07/aq/000000184,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4f45914f-0cd5-5f4a-82f7-c9acab67429c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9418,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9418/N,2ad859d6-bab7-5567-b91f-09421db89323,BE-ANN07/aq/000000662,cardboard,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2ad859d6-bab7-5567-b91f-09421db89323,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8570,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8570/N,a862b183-d8e5-5889-a8b6-545a5951bf1d,BE-ANN07/aq/000000309,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a862b183-d8e5-5889-a8b6-545a5951bf1d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8989,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8989/N,a2a341c3-e2ce-5391-90b5-c592faf6680e,BE-ANN07/aq/000000535,cardboard,beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a2a341c3-e2ce-5391-90b5-c592faf6680e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8966,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8966/N,fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,BE-ANN07/aq/000000522,paper (fiber product),black (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:6539,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:6539/N,00e0fbdd-4572-51d8-b853-f22d4051ec6e,BE-ANN07/aq/000000116,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/00e0fbdd-4572-51d8-b853-f22d4051ec6e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8874,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8874/N,4402b862-8185-50ce-a227-ce7e540c8105,BE-ANN07/aq/000000453,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4402b862-8185-50ce-a227-ce7e540c8105,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9273,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9273/N,47bf8d11-d5db-5792-acd2-fa9915b9b2ef,BE-ANN07/aq/000000613,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/47bf8d11-d5db-5792-acd2-fa9915b9b2ef,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8931,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8931/N,0582cb82-8673-5f25-bd9f-584a0c57386f,BE-ANN07/aq/000000504,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0582cb82-8673-5f25-bd9f-584a0c57386f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8675,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8675/N,d9193347-1e9b-5a41-90fb-c85a862668a8,BE-ANN07/aq/000000338,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d9193347-1e9b-5a41-90fb-c85a862668a8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8360,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8360/N,522c53e9-263a-5c6b-8b47-5128f198b1de,BE-ANN07/aq/000000232,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/522c53e9-263a-5c6b-8b47-5128f198b1de,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9121,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9121/N,38a00c02-f0d7-5265-8a98-002a2d3fc11d,BE-ANN07/aq/000000597,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/38a00c02-f0d7-5265-8a98-002a2d3fc11d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8788,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8788/N,6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,BE-ANN07/aq/000000408,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:2385,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:2385/N,b71db4b7-0e93-5438-8cee-966fd1130158,BE-ANN07/aq/000000017,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b71db4b7-0e93-5438-8cee-966fd1130158,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9033,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9033/N,67cc776d-eded-52ef-9013-f8d16406c585,BE-ANN07/aq/000000576,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/67cc776d-eded-52ef-9013-f8d16406c585,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8767,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8767/N,10089a08-cd5d-53fc-ae98-dad45dba721f,BE-ANN07/aq/000000395,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/10089a08-cd5d-53fc-ae98-dad45dba721f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
