Object Number,Record Type,URL,ResourceID,Reference Number,Status,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhdc:1209,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1209/N,fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,BE-ANN07/dc/000001119,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1823,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1823/N,54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,BE-ANN07/dc/000001717,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1989,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1989/N,a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,BE-ANN07/dc/000001882,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4322,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4322/N,1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,BE-ANN07/dc/000004196,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1120,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1120/N,194273e5-dce2-55d6-9225-a1a39c7683c4,BE-ANN07/dc/000001040,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/194273e5-dce2-55d6-9225-a1a39c7683c4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:545,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:545/N,4968b442-83f7-5ac9-8739-78a9594fbb21,BE-ANN07/dc/000000480,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4968b442-83f7-5ac9-8739-78a9594fbb21,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1570,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1570/N,e82a4066-c13b-5c1e-a89a-f242d880158f,BE-ANN07/dc/000001467,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e82a4066-c13b-5c1e-a89a-f242d880158f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4288,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4288/N,69b18b18-bbe4-5c3f-8fce-82f5a18111df,BE-ANN07/dc/000004162,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/69b18b18-bbe4-5c3f-8fce-82f5a18111df,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3058,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3058/N,9260ac3a-493b-5c96-8e8b-2c088046afcd,BE-ANN07/dc/000002942,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9260ac3a-493b-5c96-8e8b-2c088046afcd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4267,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4267/N,918e407c-5088-545f-9600-7455a2ad5ade,BE-ANN07/dc/000004142,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/918e407c-5088-545f-9600-7455a2ad5ade,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1435,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1435/N,a4f839b8-c912-557b-91e8-49e0629b7ca8,BE-ANN07/dc/000001336,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a4f839b8-c912-557b-91e8-49e0629b7ca8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3408,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3408/N,c73efc8c-499e-5620-9f16-d42150dabc4f,BE-ANN07/dc/000003289,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c73efc8c-499e-5620-9f16-d42150dabc4f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4637,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4637/N,14f597ea-cc38-5294-ac90-c97e8f7570c6,BE-ANN07/dc/000004507,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/14f597ea-cc38-5294-ac90-c97e8f7570c6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:400,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:400/N,059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,BE-ANN07/dc/000000340,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1966,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1966/N,1c069000-f37d-58f1-9832-62d2d4955dc6,BE-ANN07/dc/000001859,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1c069000-f37d-58f1-9832-62d2d4955dc6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2649,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2649/N,d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,BE-ANN07/dc/000002539,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:953,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:953/N,863f5eca-b4fe-5ff0-9545-a487d5b19de6,BE-ANN07/dc/000000884,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/863f5eca-b4fe-5ff0-9545-a487d5b19de6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2219,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2219/N,2efcd247-0093-5f43-a4c1-a70f6ed1403e,BE-ANN07/dc/000002112,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2efcd247-0093-5f43-a4c1-a70f6ed1403e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2537,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2537/N,697fed17-e5ee-59ed-b9eb-5126ec80b459,BE-ANN07/dc/000002429,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/697fed17-e5ee-59ed-b9eb-5126ec80b459,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2167,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2167/N,d1575020-0721-5685-a972-e30c2476f8a8,BE-ANN07/dc/000002060,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d1575020-0721-5685-a972-e30c2476f8a8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4119,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4119/N,41d14d41-dfc1-54f9-8a08-852c1805028e,BE-ANN07/dc/000003994,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/41d14d41-dfc1-54f9-8a08-852c1805028e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3326,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3326/N,e9a999da-a1c8-5133-a100-77b0a816dae8,BE-ANN07/dc/000003207,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e9a999da-a1c8-5133-a100-77b0a816dae8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4549,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4549/N,c57e010f-886e-58a7-b3b0-b053513b9962,BE-ANN07/dc/000004424,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c57e010f-886e-58a7-b3b0-b053513b9962,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3776,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3776/N,62c249f2-b9a7-597a-ac55-22637354dd16,BE-ANN07/dc/000003654,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/62c249f2-b9a7-597a-ac55-22637354dd16,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2864,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2864/N,f15274bf-0e02-5c8a-a85d-74b5b9e4e418,BE-ANN07/dc/000002749,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f15274bf-0e02-5c8a-a85d-74b5b9e4e418,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:284,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:284/N,427907aa-7f3e-50f7-9387-3e29bd48c71a,BE-ANN07/dc/000000229,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/427907aa-7f3e-50f7-9387-3e29bd48c71a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3263,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3263/N,308a4123-ad05-5ab6-93fe-1353f2e949eb,BE-ANN07/dc/000003144,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/308a4123-ad05-5ab6-93fe-1353f2e949eb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:791,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:791/N,f5ee3ee2-4185-5e70-9efb-437c54abf769,BE-ANN07/dc/000000721,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f5ee3ee2-4185-5e70-9efb-437c54abf769,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3799,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3799/N,2a28e1e7-f916-57ad-835d-e2681ece6f46,BE-ANN07/dc/000003677,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a28e1e7-f916-57ad-835d-e2681ece6f46,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3633,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3633/N,5af84b01-84cf-512e-8360-b9f5c161be29,BE-ANN07/dc/000003511,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5af84b01-84cf-512e-8360-b9f5c161be29,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2921,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2921/N,d3d42335-5419-56f6-82d0-fead9c7db9a2,BE-ANN07/dc/000002805,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d3d42335-5419-56f6-82d0-fead9c7db9a2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2472,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2472/N,7e3aa133-adc9-5928-96d0-ef4322952dcd,BE-ANN07/dc/000002364,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7e3aa133-adc9-5928-96d0-ef4322952dcd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2188,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2188/N,53608659-e49e-5b3e-8a69-c959b86de8bf,BE-ANN07/dc/000002081,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/53608659-e49e-5b3e-8a69-c959b86de8bf,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2022,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2022/N,815db3e8-919e-5bd2-a0b0-cb8cf85391b7,BE-ANN07/dc/000001915,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/815db3e8-919e-5bd2-a0b0-cb8cf85391b7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1527,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1527/N,26d15d9f-8e01-5ff2-a090-290a3e04e7ee,BE-ANN07/dc/000001428,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/26d15d9f-8e01-5ff2-a090-290a3e04e7ee,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4725,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4725/N,2ae68211-f898-5a98-a0c7-4596b2e5e799,BE-ANN07/dc/000004586,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2ae68211-f898-5a98-a0c7-4596b2e5e799,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:512,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:512/N,c97309fe-5445-5e17-8c69-b7c249d559c0,BE-ANN07/dc/000000448,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c97309fe-5445-5e17-8c69-b7c249d559c0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1177,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1177/N,3a9901ea-3fe6-507c-8c41-35a0c4ee2671,BE-ANN07/dc/000001094,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3a9901ea-3fe6-507c-8c41-35a0c4ee2671,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4375,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4375/N,fd6a995a-8b02-5ecf-87f3-10974aba08a3,BE-ANN07/dc/000004249,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fd6a995a-8b02-5ecf-87f3-10974aba08a3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:142,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:142/N,15405e4c-0613-5379-af4d-8bcb245b1c8a,BE-ANN07/dc/000000118,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/15405e4c-0613-5379-af4d-8bcb245b1c8a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1874,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1874/N,fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,BE-ANN07/dc/000001768,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3849,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3849/N,7244620e-2a55-5ce5-9ec0-a0b4064e60c1,BE-ANN07/dc/000003727,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7244620e-2a55-5ce5-9ec0-a0b4064e60c1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:841,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:841/N,fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,BE-ANN07/dc/000000772,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:904,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:904/N,ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,BE-ANN07/dc/000000835,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1931,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1931/N,2324bbd5-3433-55df-9713-5931879675f6,BE-ANN07/dc/000001824,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2324bbd5-3433-55df-9713-5931879675f6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1198,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1198/N,7a236080-d149-5045-bf11-24e87628ea34,BE-ANN07/dc/000001112,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7a236080-d149-5045-bf11-24e87628ea34,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:457,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:457/N,6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,BE-ANN07/dc/000000390,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1462,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1462/N,0c7e4f85-7dd2-5b82-aa7b-929e9d43ba1f,BE-ANN07/dc/000001362,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0c7e4f85-7dd2-5b82-aa7b-929e9d43ba1f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:4230,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:4230/N,d9a3fbc3-524c-51d2-a037-db5ce99c299c,BE-ANN07/dc/000004105,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d9a3fbc3-524c-51d2-a037-db5ce99c299c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1032,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1032/N,76f339aa-e986-5227-95ea-6a1b1b9afa6f,BE-ANN07/dc/000000958,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/76f339aa-e986-5227-95ea-6a1b1b9afa6f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:292,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:292/N,2a606f69-d1f0-50b8-8f44-7086fdfb5192,BE-ANN07/dc/000000237,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a606f69-d1f0-50b8-8f44-7086fdfb5192,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2872,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2872/N,80d6f87d-e838-5448-b6f1-cc48d28d04f5,BE-ANN07/dc/000002757,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/80d6f87d-e838-5448-b6f1-cc48d28d04f5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3760,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3760/N,a275029b-8133-537e-8cf4-eec2b9bff617,BE-ANN07/dc/000003638,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a275029b-8133-537e-8cf4-eec2b9bff617,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:768,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:768/N,404b06af-229e-5de9-a919-a2753e282f80,BE-ANN07/dc/000000698,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/404b06af-229e-5de9-a919-a2753e282f80,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3330,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3330/N,2c6e4fe2-1a4b-5e64-905b-ca654edb08fa,BE-ANN07/dc/000003211,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2c6e4fe2-1a4b-5e64-905b-ca654edb08fa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:338,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:338/N,2f494987-7310-568e-b620-d6b4d2bfb7fa,BE-ANN07/dc/000000283,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2f494987-7310-568e-b620-d6b4d2bfb7fa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2171,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2171/N,2656059e-44b1-53d9-a3ab-d6c3b84fe9a3,BE-ANN07/dc/000002064,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2656059e-44b1-53d9-a3ab-d6c3b84fe9a3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2521,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2521/N,ca9b5c93-8ce4-550f-8c09-22d56abc223e,BE-ANN07/dc/000002413,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ca9b5c93-8ce4-550f-8c09-22d56abc223e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2034,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2034/N,e7d5d05e-c2e7-5788-8d5f-8074496c459f,BE-ANN07/dc/000001927,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e7d5d05e-c2e7-5788-8d5f-8074496c459f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2464,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2464/N,62879df3-5777-52c4-b56a-eefef50480f9,BE-ANN07/dc/000002356,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/62879df3-5777-52c4-b56a-eefef50480f9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2937,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2937/N,2a8c976d-5439-598e-978b-f02bb2d11b54,BE-ANN07/dc/000002821,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a8c976d-5439-598e-978b-f02bb2d11b54,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
