brocade.id,ResourceID,card,order,Archive Note,Serial Number,Acquisition Note,adm.note,Registration Number value,Location Number,Warehouse Location (begin),Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhdc:1823,54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,Items,1,isad:lh:174021,R 134 / 1242,,,,,,,Nederlands,remarks
tg:lhdc:1989,a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,Items,1,isad:lh:174022,R 134 / 1407,,,,,,,Nederlands,remarks
tg:lhdc:4322,1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,Items,1,isad:lh:179641,R 134 / 3699,,,,,,,Nederlands,remarks
tg:lhdc:1120,194273e5-dce2-55d6-9225-a1a39c7683c4,Items,1,isad:lh:174440,R 134 / 592,,,,,,,Nederlands,remarks
tg:lhdc:545,4968b442-83f7-5ac9-8739-78a9594fbb21,Items,1,isad:lh:174019,R 134 / 90,,,,,,,Nederlands,remarks
tg:lhdc:1570,e82a4066-c13b-5c1e-a89a-f242d880158f,Items,1,isad:lh:174448,R 134 / 1007,,,,,,,Nederlands,remarks
tg:lhdc:4288,69b18b18-bbe4-5c3f-8fce-82f5a18111df,Items,1,isad:lh:179639,R 134 / 3665,,,,,,,Nederlands,remarks
tg:lhdc:3058,9260ac3a-493b-5c96-8e8b-2c088046afcd,Items,1,isad:lh:179108,R 134 / 2447,,,,,,,Nederlands,remarks
tg:lhdc:4267,918e407c-5088-545f-9600-7455a2ad5ade,Items,1,isad:lh:179643,R 134 / 3645,,,,,,,Nederlands,remarks
tg:lhdc:1435,a4f839b8-c912-557b-91e8-49e0629b7ca8,Items,1,isad:lh:174450,R 134 / 881,,,,,,,Nederlands,remarks
tg:lhdc:3408,c73efc8c-499e-5620-9f16-d42150dabc4f,Items,1,isad:lh:179115,R 134 / 2793,,,,,,,Nederlands,remarks
tg:lhdc:4637,14f597ea-cc38-5294-ac90-c97e8f7570c6,Items,1,isad:lh:181951,R134 / 4006,,,,,,,Nederlands,remarks
tg:lhdc:400,059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,Items,1,isad:lh:130216,D 9653 / 47,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:1966,1c069000-f37d-58f1-9832-62d2d4955dc6,Items,1,isad:lh:178528,R 134 / 1384,,,,,,,Nederlands,remarks
tg:lhdc:2649,d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,Items,1,isad:lh:179099,R 134 / 2044,,,,,,,Nederlands,remarks
tg:lhdc:953,863f5eca-b4fe-5ff0-9545-a487d5b19de6,Items,1,isad:lh:174439,R 134 / 459,,,,,,,Nederlands,remarks
tg:lhdc:2219,2efcd247-0093-5f43-a4c1-a70f6ed1403e,Items,1,isad:lh:178686,R 134 / 1630,,,,,,,Nederlands,remarks
tg:lhdc:2537,697fed17-e5ee-59ed-b9eb-5126ec80b459,Items,1,isad:lh:178686,R 134 / 1934,,,,,,,Nederlands,remarks
tg:lhdc:2167,d1575020-0721-5685-a972-e30c2476f8a8,Items,1,isad:lh:178530,R 134 / 1582,,,,,,,Nederlands,remarks
tg:lhdc:4119,41d14d41-dfc1-54f9-8a08-852c1805028e,Items,1,isad:lh:179653,R 134 / 3497,,,,,,,Nederlands,remarks
tg:lhdc:3326,e9a999da-a1c8-5133-a100-77b0a816dae8,Items,1,isad:lh:179113,R 134 / 2712,,,,,,,Nederlands,remarks
tg:lhdc:4549,c57e010f-886e-58a7-b3b0-b053513b9962,Items,1,isad:lh:181360,R 134 / 3926,,,,,,,Nederlands,remarks
tg:lhdc:3776,62c249f2-b9a7-597a-ac55-22637354dd16,Items,1,isad:lh:179322,R 134 / 3158,,,,,,,Nederlands,remarks
tg:lhdc:2864,f15274bf-0e02-5c8a-a85d-74b5b9e4e418,Items,1,isad:lh:179104,R 134 / 2254,,,,,,,Nederlands,remarks
tg:lhdc:284,427907aa-7f3e-50f7-9387-3e29bd48c71a,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:3263,308a4123-ad05-5ab6-93fe-1353f2e949eb,Items,1,isad:lh:179112,R 134 / 2649,,,,,,,Nederlands,remarks
tg:lhdc:791,f5ee3ee2-4185-5e70-9efb-437c54abf769,Items,1,isad:lh:174443,R 134 / 314,,,,,,,Nederlands,remarks
tg:lhdc:3799,2a28e1e7-f916-57ad-835d-e2681ece6f46,Items,1,isad:lh:179323,R 134 / 3180,,,,,,,Nederlands,remarks
tg:lhdc:3633,5af84b01-84cf-512e-8360-b9f5c161be29,Items,1,isad:lh:179319,R 134 / 3015,,,,,,,Nederlands,remarks
tg:lhdc:2921,d3d42335-5419-56f6-82d0-fead9c7db9a2,Items,1,isad:lh:179105,R 134 / 2310,,,,,,,Nederlands,remarks
tg:lhdc:2472,7e3aa133-adc9-5928-96d0-ef4322952dcd,Items,1,isad:lh:174451,R 134 / 1869,,,,,,,Nederlands,remarks
tg:lhdc:2188,53608659-e49e-5b3e-8a69-c959b86de8bf,Items,1,isad:lh:174449,R 134 / 1599,,,,,,,Nederlands,remarks
tg:lhdc:2022,815db3e8-919e-5bd2-a0b0-cb8cf85391b7,Items,1,isad:lh:178527,R 134 / 1439,,,,,,,Nederlands,remarks
tg:lhdc:1527,26d15d9f-8e01-5ff2-a090-290a3e04e7ee,Items,1,isad:lh:178500,R 704 / 36,tr:lh:4825,"R 704 / 36(13), 41 - 61",,,,,Nederlands,remarks
tg:lhdc:4725,2ae68211-f898-5a98-a0c7-4596b2e5e799,Items,1,isad:lh:181957,R134 / 4085,,,,,,,Nederlands,remarks
tg:lhdc:512,c97309fe-5445-5e17-8c69-b7c249d559c0,Items,1,isad:lh:174047,R 134 / 60,,,,,,,Nederlands,remarks
tg:lhdc:1177,3a9901ea-3fe6-507c-8c41-35a0c4ee2671,Items,1,isad:lh:174424,R 134 / 646,,,,,,,Nederlands,remarks
tg:lhdc:4375,fd6a995a-8b02-5ecf-87f3-10974aba08a3,Items,1,isad:lh:181055,R 134 / 3752,,,,,,,Nederlands,remarks
tg:lhdc:142,15405e4c-0613-5379-af4d-8bcb245b1c8a,Items,1,isad:lh:162437,,tr:lh:7336,,212030,,,,Nederlands,remarks
tg:lhdc:1874,fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,Items,1,isad:lh:174448,R 134 / 1293,,,,,,,Nederlands,remarks
tg:lhdc:3849,7244620e-2a55-5ce5-9ec0-a0b4064e60c1,Items,1,isad:lh:179324,R 134 / 3230,,,,,,,Nederlands,remarks
tg:lhdc:841,fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,Items,1,isad:lh:174273,R 134 / 359,,,,,,,Nederlands,remarks
tg:lhdc:904,ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,Items,1,isad:lh:174438,R 134 / 418,,,,,,,Nederlands,remarks
tg:lhdc:1931,2324bbd5-3433-55df-9713-5931879675f6,Items,1,isad:lh:174017,R 134 / 1349,,,,,,,Nederlands,remarks
tg:lhdc:1198,7a236080-d149-5045-bf11-24e87628ea34,Items,1,isad:lh:175069,R 134 / 664,,,,,,,Nederlands,remarks
tg:lhdc:457,6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,Items,1,isad:lh:173688,R 134 / 5,,,,,,,Nederlands,remarks
tg:lhdc:1462,0c7e4f85-7dd2-5b82-aa7b-929e9d43ba1f,Items,1,isad:lh:174015,R 134 / 906,,,,,,,Nederlands,remarks
tg:lhdc:4230,d9a3fbc3-524c-51d2-a037-db5ce99c299c,Items,1,isad:lh:179657,R 134 / 3608,,,,,,,Nederlands,remarks
tg:lhdc:1032,76f339aa-e986-5227-95ea-6a1b1b9afa6f,Items,1,isad:lh:174441,R 134 / 510,,,,,,,Nederlands,remarks
tg:lhdc:292,2a606f69-d1f0-50b8-8f44-7086fdfb5192,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:2872,80d6f87d-e838-5448-b6f1-cc48d28d04f5,Items,1,isad:lh:179104,R 134 / 2262,,,,,,,Nederlands,remarks
tg:lhdc:3760,a275029b-8133-537e-8cf4-eec2b9bff617,Items,1,isad:lh:179322,R 134 / 3142,,,,,,,Nederlands,remarks
tg:lhdc:768,404b06af-229e-5de9-a919-a2753e282f80,Items,1,isad:lh:175069,R 134 / 293,,,,,,,Nederlands,remarks
tg:lhdc:3330,2c6e4fe2-1a4b-5e64-905b-ca654edb08fa,Items,1,isad:lh:179113,R 134 / 2716,,,,,,,Nederlands,remarks
tg:lhdc:338,2f494987-7310-568e-b620-d6b4d2bfb7fa,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:2171,2656059e-44b1-53d9-a3ab-d6c3b84fe9a3,Items,1,isad:lh:173688,R 134 / 1585,,,,,,,Nederlands,remarks
tg:lhdc:2521,ca9b5c93-8ce4-550f-8c09-22d56abc223e,Items,1,isad:lh:178533,R 134 / 1918,,,,,,,Nederlands,remarks
tg:lhdc:2034,e7d5d05e-c2e7-5788-8d5f-8074496c459f,Items,1,isad:lh:174449,R 134 / 1451,,,,,,,Nederlands,remarks
tg:lhdc:2464,62879df3-5777-52c4-b56a-eefef50480f9,Items,1,isad:lh:178532,R 134 / 1861,,,,,,,Nederlands,remarks
tg:lhdc:2937,2a8c976d-5439-598e-978b-f02bb2d11b54,Items,1,isad:lh:179105,R 134 / 2326,,,,,,,Nederlands,remarks
tg:lhdc:1618,dff5c934-9eca-572d-b5d7-b46e29aacc17,Items,1,isad:lh:174426,R 134 / 1051,,,,,,,Nederlands,remarks
tg:lhdc:3625,ca91bb30-6d4b-5ae8-982c-557acc359cfb,Items,1,isad:lh:179319,R 134 / 3007,,,,,,,Nederlands,remarks
tg:lhdc:787,f0846677-a167-58bd-b536-a82c9375007c,Items,1,isad:lh:174443,R 134 / 311,,,,,,,Nederlands,remarks
tg:lhdc:1248,f85047cf-84c8-58df-9167-0cdac55121f7,Items,1,isad:lh:174273,R 134 / 702,,,,,,,Nederlands,remarks
tg:lhdc:3275,27b911d1-ab6c-5e49-a369-4bc4769d6727,Items,1,isad:lh:179112,R 134 / 2661,,,,,,,Nederlands,remarks
tg:lhdc:857,b997435e-62cc-5f78-baaf-1526e68c9478,Items,1,isad:lh:174431,R 134 / 371,,,,,,,Nederlands,remarks
tg:lhdc:1862,ba5b3e21-a818-5464-815b-f1874a29b8f0,Items,1,isad:lh:174020,R 134 / 1281,,,,,,,Nederlands,remarks
tg:lhdc:4363,ed710aa8-196f-5215-a035-49468657b8cb,Items,1,isad:lh:181055,R 134 / 3740,,,,,,,Nederlands,remarks
tg:lhdc:1161,9fbff7be-a461-57b3-a0f5-beacf26b76b4,Items,1,isad:lh:174427,R 134 / 631,,,,,,,Nederlands,remarks
tg:lhdc:4699,179d85af-50ce-5d48-b676-999ca023f8e9,Items,1,isad:lh:182249,R134 / 4061,,,,,,,Nederlands,remarks
tg:lhdc:504,989d3a93-f2be-5fc4-a531-f4428fd6cc07,Items,1,isad:lh:174022,R 134 / 52,,,,,,,Nederlands,remarks
tg:lhdc:4733,6049397f-d8a8-5c79-a640-e4590b398017,Items,1,isad:lh:182254,R134 / 4092,,,,,,,Nederlands,remarks
tg:lhdc:1531,037ffa4d-fe02-5ba0-8aeb-f190b2c31535,Items,1,isad:lh:178527,R 134 / 969,,,,,,,Nederlands,remarks
tg:lhdc:3019,d2684231-76e1-5886-8660-463325a8c653,Items,1,isad:lh:179107,R 134 / 2408,,,,,,,Nederlands,remarks
tg:lhdc:1024,bfec356d-6f37-5aa6-8c4f-ea5da8386797,Items,1,isad:lh:174430,R 134 / 503,,,,,,,Nederlands,remarks
tg:lhdc:4226,a9f4e66d-d990-565f-b604-560131830efb,Items,1,isad:lh:179655,R 134 / 3604,,,,,,,Nederlands,remarks
tg:lhdc:3449,1ef01ce3-7ae8-5606-889a-e1dc70d66f34,Items,1,isad:lh:179117,R 134 / 2832,,,,,,,Nederlands,remarks
tg:lhdc:1474,f8105ba0-088b-5472-8b11-635e501e74c3,Items,1,isad:lh:174450,R 134 / 916,,,,,,,Nederlands,remarks
tg:lhdc:441,18b00813-7261-5cd6-8d04-d9cb327411af,Items,1,isad:lh:134881,B 708 / 12,tr:lh:3032,,,,,,Nederlands,remarks
tg:lhdc:4676,a02b6943-8df7-5e97-90c1-7afeac5de211,Items,1,isad:lh:182248,R134 / 4038,,,,,,,Nederlands,remarks
tg:lhdc:2608,b40f15c0-17fb-557f-98ea-dfbe92b7bacb,Items,1,isad:lh:178530,R 134 / 2005,,,,,,,Nederlands,remarks
tg:lhdc:1927,75f98b46-4522-59ae-9e2a-be215e5bde01,Items,1,isad:lh:174015,R 134 / 1345,,,,,,,Nederlands,remarks
tg:lhdc:912,07d9e5eb-6851-525f-8fa4-9a8254a2fd25,Items,1,isad:lh:174441,R 134 / 426,,,,,,,Nederlands,remarks
tg:lhdc:2576,56e12851-ea38-531f-ae17-08e5758cbddb,Items,1,isad:lh:174431,R 134 / 1973,,,,,,,Nederlands,remarks
tg:lhdc:2126,de34f87d-daf6-53a7-bb22-5fc26fa2a81e,Items,1,isad:lh:174021,R 134 / 1542,,,,,,,Nederlands,remarks
tg:lhdc:4158,aba12009-3a87-5a74-b101-2717a200eadc,Items,1,isad:lh:179657,R 134 / 3536,,,,,,,Nederlands,remarks
tg:lhdc:695,a19a07eb-f891-57f4-b998-3850049f02d2,Items,1,isad:lh:175046,R 134 / 226,,,,,,,Nederlands,remarks
tg:lhdc:3367,83054fbe-0321-53f7-b649-35a2e300c796,Items,1,isad:lh:179114,R 134 / 2753,,,,,,,Nederlands,remarks
tg:lhdc:4508,68b1d12e-fad3-5f84-9681-c66421388d30,Items,1,isad:lh:181359,R 134 / 3886,,,,,,,Nederlands,remarks
tg:lhdc:2825,02172a71-7cdd-5b69-a592-b83854ede9c0,Items,1,isad:lh:179103,R 134 / 2215,,,,,,,Nederlands,remarks
tg:lhdc:3737,ecaba128-89bc-5a93-b254-ce1e93ab90d5,Items,1,isad:lh:179321,R 134 / 3119,,,,,,,Nederlands,remarks
tg:lhdc:3222,747aede5-a641-5025-afcc-e2cc4a57ee2d,Items,1,isad:lh:179111,R 134 / 2608,,,,,,,Nederlands,remarks
tg:lhdc:380,40cadf49-e4e7-5318-844b-e0bb6dabf084,Items,1,,,tr:lh:3204,,63758,"Planex GT / VI,5",,,Nederlands,remarks
tg:lhdc:2960,8e6b849e-3f30-5a18-8740-8de7506364ba,Items,1,isad:lh:179106,R 134 / 2349,,,,,,,Nederlands,remarks
tg:lhdc:3672,e56a3e7b-1ebe-55f6-b47d-abef133b36ab,Items,1,isad:lh:179320,R 134 / 3054,,,,,,,Nederlands,remarks
tg:lhdc:3388,9fa4c633-9f5d-5103-8d90-72fb3e15b92d,Items,1,isad:lh:179115,R 134 / 2774,,,,,,,Nederlands,remarks
tg:lhdc:2433,32aa85ce-41de-5bb9-9c62-c63266ebe747,Items,1,isad:lh:178527,R 134 / 1830,,,,,,,Nederlands,remarks
tg:lhdc:2063,99e60c17-fc74-5ecc-8403-3926d7ced5e9,Items,1,isad:lh:174017,R 134 / 1480,,,,,,,Nederlands,remarks
tg:lhdc:2599,a4ecfac4-ebaf-55c0-8ba6-301a80232283,Items,1,isad:lh:174497,R 134 / 1996,,,,,,,Nederlands,remarks
tg:lhdc:1566,b288a146-7114-5039-9349-05b10c59c9fd,Items,1,isad:lh:174448,R 134 / 1003,,,,,,,Nederlands,remarks
tg:lhdc:553,40f68fd4-940e-5614-91b9-30ab53ca8c50,Items,1,isad:lh:174021,R 134 / 97,,,,,,,Nederlands,remarks
tg:lhdc:1136,c26dbc00-83e5-537f-be4b-d847d92805a3,Items,1,isad:lh:174425,R 134 / 608,,,,,,,Nederlands,remarks
tg:lhdc:103,0a89a144-65f4-5f84-939b-d848fe8b5779,Items,1,,,tr:lh:3097,,62190,,,,Nederlands,remarks
tg:lhdc:4334,ea881643-b417-5baf-96a9-b1e0ee45c9fa,Items,1,isad:lh:179643,R 134 / 3711,,,,,,,Nederlands,remarks
tg:lhdc:3808,5a229a07-ae44-5ec2-ab1e-fdce1185c35f,Items,1,isad:lh:179324,R 134 / 3189,,,,,,,Nederlands,remarks
tg:lhdc:1835,e19eafae-a7db-5efd-9216-4cb0afe64347,Items,1,isad:lh:174048,R 134 / 1254,,,,,,,Nederlands,remarks
tg:lhdc:800,1acf3579-1d42-5dc9-88d0-479de70d640a,Items,1,isad:lh:174429,R 134 / 323,,,,,,,Nederlands,remarks
tg:lhdc:945,2101fd6f-7dc2-5609-a592-e221449f3216,Items,1,isad:lh:174324,R 134 / 451,,,,,,,Nederlands,remarks
tg:lhdc:1970,0090a3c0-a2ae-5ce4-a6d8-c37d8544f94a,Items,1,isad:lh:178528,R 134 / 1388,,,,,,,Nederlands,remarks
tg:lhdc:416,81d84b57-a4fc-5c60-b2c3-47de56f39ae2,Items,1,isad:lh:130224,D 9653 / 48,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:4621,0287ca4c-165d-513b-93dd-e8e94f0d9bfb,Items,1,isad:lh:179323,R134 / 3990,,,,,,,Nederlands,remarks
tg:lhdc:1423,4e1f0d18-9b7c-58d4-9e71-4cd3707d6666,Items,1,isad:lh:174450,R 134 / 871,,,,,,,Nederlands,remarks
tg:lhdc:4271,f7f34ab2-41ef-5edb-9498-e70a37731b6f,Items,1,isad:lh:179644,R 134 / 3649,,,,,,,Nederlands,remarks
tg:lhdc:1589,60094b58-4635-5e9c-8211-502c4ea05999,Items,1,isad:lh:174430,R 134 / 1026,,,,,,,Nederlands,remarks
tg:lhdc:1264,2335df0b-18a8-5231-8800-02139f23b44a,Items,1,isad:lh:174429,R 134 / 717,,,,,,,Nederlands,remarks
tg:lhdc:3259,4052a49e-23b3-57b8-a80c-be404bcabb3e,Items,1,isad:lh:179112,R 134 / 2645,,,,,,,Nederlands,remarks
tg:lhdc:251,e95fb31c-c6e2-5e2b-ae1a-f2cfdec9a202,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:4066,892c731a-8d9e-5b29-9155-e1684d6be074,Items,1,isad:lh:179654,R 134 / 3444,,,,,,,Nederlands,remarks
tg:lhdc:1634,ad61f12f-d78a-52b1-bb01-eb74c6a76a00,Items,1,isad:lh:174427,R 134 / 1067,,,,,,,Nederlands,remarks
tg:lhdc:3609,acef27ed-0448-52e4-9296-7c23f3401b98,Items,1,isad:lh:179318,R 134 / 2991,,,,,,,Nederlands,remarks
tg:lhdc:601,a996d9d8-ef1c-51d3-9f46-af933ca8bee2,Items,1,isad:lh:174019,R 134 / 144,,,,,,,Nederlands,remarks
tg:lhdc:4436,4ac52b9b-3502-5c16-bb90-2a77c3e1e63a,Items,1,isad:lh:181055,R 134 / 3813,,,,,,,Nederlands,remarks
tg:lhdc:2448,3b54169d-f91e-5063-901d-a70f648d0ff0,Items,1,isad:lh:178533,R 134 / 1845,,,,,,,Nederlands,remarks
tg:lhdc:2018,75a7e3dd-587b-5700-8403-48df2d99f861,Items,1,isad:lh:174449,R 134 / 1435,,,,,,,Nederlands,remarks
tg:lhdc:314,23f8431b-f020-57bb-91ea-ed09ad6889b0,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:4123,ae6b9af9-5165-53b8-9e2b-918d42c00eaf,Items,1,isad:lh:179646,R 134 / 3501,,,,,,,Nederlands,remarks
tg:lhdc:1321,292ad596-55ba-5ecb-a127-9eec5753bf3f,Items,1,isad:lh:175046,R 134 / 774,,,,,,,Nederlands,remarks
tg:lhdc:744,83a8b11c-59c0-5560-a3f8-261ad2e553dd,Items,1,isad:lh:175046,R 134 / 274,,,,,,,Nederlands,remarks
tg:lhdc:4573,5bc0dea0-c648-5d1b-8eb7-6339a4303baf,Items,1,isad:lh:181527,R 134 / 3947,,,,,,,Nederlands,remarks
tg:lhdc:1771,61b8809a-0ef7-5d9e-a9f3-33eede722df3,Items,1,isad:lh:174018,R 134 / 1192,,,,,,,Nederlands,remarks
tg:lhdc:4089,c97c2850-9b2f-5ebf-9113-9639ebdea1d3,Items,1,isad:lh:179646,R 134 / 3467,,,,,,,Nederlands,remarks
tg:lhdc:894,4957c00c-e9bc-50a2-aa53-6ac5abca8340,Items,1,isad:lh:174441,R 134 / 408,,,,,,,Nederlands,remarks
tg:lhdc:2274,4e10bde1-d777-547f-b37d-6129fb6045ae,Items,1,isad:lh:174497,R 134 / 1671,,,,,,,Nederlands,remarks
tg:lhdc:2624,3889f78c-ab95-5ba5-bda0-64f314728273,Items,1,isad:lh:179099,R 134 / 2020,,,,,,,Nederlands,remarks
tg:lhdc:3936,10d2fc52-bf5b-5440-8d78-4cacb7c9d9cb,Items,1,isad:lh:179327,R 134 / 3317,,,,,,,Nederlands,remarks
tg:lhdc:197,9fde91a0-bd97-5136-b144-95d4db1efbda,Items,1,,,,,,E 285 / D,,,Nederlands,remarks
tg:lhdc:3465,0f76570f-1574-5ae3-b246-e754fc5cf2e1,Items,1,isad:lh:179118,R 134 / 2848,,,,,,,Nederlands,remarks
tg:lhdc:1458,cc9d0118-20f5-5b08-bf7b-83cd61577f50,Items,1,isad:lh:174015,R 134 / 902,,,,,,,Nederlands,remarks
tg:lhdc:3035,d4aa43e9-f737-574c-aa6d-008233664b8a,Items,1,isad:lh:179107,R 134 / 2424,,,,,,,Nederlands,remarks
tg:lhdc:1008,a4685117-5769-5f37-b26e-d31a2edbb296,Items,1,isad:lh:174427,R 134 / 487,,,,,,,Nederlands,remarks
tg:lhdc:3520,5a0b3d3d-3938-5a31-a38a-8716131c05ac,Items,1,isad:lh:179316,R 134 / 2902,,,,,,,Nederlands,remarks
tg:lhdc:528,a6d3c410-19c3-5418-a237-fb4ceae0256a,Items,1,isad:lh:174018,R 134 / 76,,,,,,,Nederlands,remarks
tg:lhdc:482,c1f8d8cd-5adb-5662-8829-ce4be54ec27c,Items,1,isad:lh:174021,R 134 / 30,,,,,,,Nederlands,remarks
tg:lhdc:3170,4f4731d4-6a82-5911-ac27-0b415475d38b,Items,1,isad:lh:179110,R 134 / 2558,,,,,,,Nederlands,remarks
tg:lhdc:178,7e53e246-046c-5022-bbc7-6336397e2d46,Items,1,,,,,,E 285 / K,,,Nederlands,remarks
tg:lhdc:20,5e18b11d-9552-5be5-bdd5-f066bb83ac2a,Items,1,,,,,225272/2915,"AV.38.5.40bis.34 (LK VIII,10)",,,Nederlands,remarks
tg:lhdc:2331,3ab9c3ed-1f58-5f30-be97-d98020619611,Items,1,isad:lh:178527,R 134 / 1728,,,,,,,Nederlands,remarks
tg:lhdc:2761,b4cf1021-28b2-58f0-91d3-af2c705fe44e,Items,1,isad:lh:179101,R 134 / 2151,,,,,,,Nederlands,remarks
tg:lhdc:3873,eb46f73e-a692-5ad7-bc1b-9c6b4a90a7cb,Items,1,isad:lh:179325,R 134 / 3254,,,,,,,Nederlands,remarks
tg:lhdc:656,53cb6922-b862-5e6f-9b35-62b70d0c3272,Items,1,isad:lh:174425,R 134 / 188,,,,,,,Nederlands,remarks
tg:lhdc:4461,74d63a69-bf27-527c-b7a8-c6f820b54101,Items,1,isad:lh:181055,R 134 / 3838,,,,,,,Nederlands,remarks
tg:lhdc:1399,5b2f1151-0c33-5c4f-b3ca-fc7d25497961,Items,1,isad:lh:174018,R 134 / 847,,,,,,,Nederlands,remarks
tg:lhdc:1663,6148e74d-c939-53cb-b0d0-e2e65bfc4586,Items,1,isad:lh:174446,R 134 / 1090,,,,,,,Nederlands,remarks
tg:lhdc:206,7a147273-2429-5e4e-a392-51a4e47e288c,Items,1,isad:lh:143671,,tr:lh:139964,,,S 935 / 433,,,Nederlands,remarks
tg:lhdc:4031,dbe1e872-7990-53ee-a5fd-18fd6debbcf7,Items,1,isad:lh:179654,R 134 / 3409,,,,,,,Nederlands,remarks
tg:lhdc:1233,e0e79946-59b4-510b-87a6-a3f445bd8d61,Items,1,isad:lh:174436,R 134 / 688,,,,,,,Nederlands,remarks
tg:lhdc:2809,cbfad750-acff-5333-ac0f-ad6970c366d3,Items,1,isad:lh:179103,R 134 / 2199,,,,,,,Nederlands,remarks
tg:lhdc:713,fd257085-3bb7-5d46-ba55-4f31c70d27ff,Items,1,isad:lh:174442,R 134 / 244,,,,,,,Nederlands,remarks
tg:lhdc:4524,0d0490a2-c1af-5fb6-8422-d6347cf39b4c,Items,1,isad:lh:181360,R 134 / 3902,,,,,,,Nederlands,remarks
tg:lhdc:1376,f96a115c-0241-53a5-8fe0-f81dd26e6113,Items,1,isad:lh:175046,R 134 / 827,,,,,,,Nederlands,remarks
tg:lhdc:343,593fc908-609c-520b-b9d3-4e87b294522e,Items,1,isad:lh:130207,D 9653 / 39,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:4174,819f708a-ee10-53ef-896c-f8ee91c3ddb8,Items,1,isad:lh:180072,R 134 / 3552,,,,,,,Nederlands,remarks
