ResourceID,brocade.id,card,order,Format Unit Type,Format Number Type,Page Numbers,Sheet Numbers,Format Unit Qualifier
158540f7-ee20-557b-9154-eb94a02cb69b,tg:lhhs:13398,Formats,1,pages,written,4,,
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,Formats,1,sheets,total,,30,
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,Formats,1,pages,written,50,,
1dc34227-2c53-5c35-ae88-c42821ac6483,tg:lhhs:6173,Formats,1,pages,written,1,,
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,Formats,1,sheets,total,,38,
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,Formats,1,pages,written,38,,
ef8308b5-7f9e-5e62-b04c-8e5dffc291d0,tg:lhhs:2999,Formats,1,sheets,total,,3,
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,Formats,1,sheets,total,,25,
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,Formats,1,pages,written,25,,
d9566016-9591-5149-8dbb-2fdb82c419de,tg:lhhs:12423,Formats,1,sheets,total,,7,ca
d9566016-9591-5149-8dbb-2fdb82c419de,tg:lhhs:12423,Formats,1,pages,written,7,,
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,Formats,1,sheets,total,,13,
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,Formats,1,pages,written,12,,
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,Formats,1,sheets,total,,1,
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,Formats,1,pages,written,1,,
cc357418-e907-57dc-bdbf-1df6c8f1ed33,tg:lhhs:7332,Formats,1,sheets,total,,10,
cc357418-e907-57dc-bdbf-1df6c8f1ed33,tg:lhhs:7332,Formats,1,pages,written,10,,
a6aa35c8-afd2-5060-837f-8f6d9f2f1aef,tg:lhhs:7298,Formats,1,pages,written,1,,
e76152a1-6ed2-5abd-b108-8c7c6f068e86,tg:lhhs:2560,Formats,1,sheets,total,,107,
e76152a1-6ed2-5abd-b108-8c7c6f068e86,tg:lhhs:2560,Formats,1,pages,written,107,,
6446a276-6138-5707-8ac7-5cad04be4a51,tg:lhhs:12073,Formats,1,sheets,total,,230,
6446a276-6138-5707-8ac7-5cad04be4a51,tg:lhhs:12073,Formats,1,pages,written,230,,
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,Formats,1,sheets,total,,1,
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,Formats,1,pages,written,3,,
f726911f-4124-53db-b8cc-c288d1d1b3e8,tg:lhhs:20102,Formats,1,sheets,total,,10,
f726911f-4124-53db-b8cc-c288d1d1b3e8,tg:lhhs:20102,Formats,1,pages,written,10,,
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,Formats,1,sheets,total,,154,
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,Formats,1,pages,written,154,,
aae9a626-8693-5155-ad9b-d590379a7f53,tg:lhhs:12589,Formats,1,sheets,total,,1,
aae9a626-8693-5155-ad9b-d590379a7f53,tg:lhhs:12589,Formats,1,pages,written,1,,
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,Formats,1,sheets,total,,6,
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,Formats,1,pages,written,6,,
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,Formats,1,sheets,total,,39,
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,Formats,1,pages,written,39,,
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,Formats,1,sheets,total,,1,
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,Formats,1,pages,written,1,,
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,Formats,1,sheets,total,,110,ca
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,Formats,1,pages,written,187,,
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,Formats,1,sheets,total,,150,ca
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,Formats,1,pages,written,160,,
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,Formats,1,sheets,total,,1,
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,Formats,1,pages,written,1,,
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,Formats,1,sheets,total,,9,
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,Formats,1,pages,written,11,,
65b74196-745d-5b6a-8f85-12d21736dfef,tg:lhhs:20417,Formats,1,sheets,total,,1,
65b74196-745d-5b6a-8f85-12d21736dfef,tg:lhhs:20417,Formats,1,pages,written,2,,
335d3034-0a27-5dc2-93b9-6d534fa0584b,tg:lhhs:18491,Formats,1,sheets,total,,18,
335d3034-0a27-5dc2-93b9-6d534fa0584b,tg:lhhs:18491,Formats,1,pages,written,23,,
7062e09d-0b08-5db1-adda-e69a21fe4eb2,tg:lhhs:7277,Formats,1,sheets,total,,2,
7062e09d-0b08-5db1-adda-e69a21fe4eb2,tg:lhhs:7277,Formats,1,pages,written,2,,
45a12239-0dbe-5714-8b9c-78b7b53bb523,tg:lhhs:2075,Formats,1,sheets,total,,3,
45a12239-0dbe-5714-8b9c-78b7b53bb523,tg:lhhs:2075,Formats,1,pages,written,3,,
df8a726e-5335-52f2-955e-be4f020de40f,tg:lhhs:12566,Formats,1,sheets,total,,162,
df8a726e-5335-52f2-955e-be4f020de40f,tg:lhhs:12566,Formats,1,pages,written,161,,
6fb59e4a-111b-5b2e-8e2c-a734b70eaad7,tg:lhhs:8478,Formats,1,sheets,total,,1,
6fb59e4a-111b-5b2e-8e2c-a734b70eaad7,tg:lhhs:8478,Formats,1,pages,written,1,,
17295643-ba29-5915-b371-78b6e458297e,tg:lhhs:20047,Formats,1,sheets,total,,102,
17295643-ba29-5915-b371-78b6e458297e,tg:lhhs:20047,Formats,1,pages,written,102,,
3698a1a3-0d00-5a10-bd3a-812ed629f918,tg:lhhs:17334,Formats,1,sheets,total,,3,
3698a1a3-0d00-5a10-bd3a-812ed629f918,tg:lhhs:17334,Formats,1,pages,written,3,,
167b7ca6-fea7-51a1-a1bd-6ca2957f42bc,tg:lhhs:7627,Formats,1,sheets,total,,19,
167b7ca6-fea7-51a1-a1bd-6ca2957f42bc,tg:lhhs:7627,Formats,1,pages,written,19,,
4a8f4cce-4235-5545-95cb-bde2baae99d0,tg:lhhs:6935,Formats,1,sheets,total,,2,
4a8f4cce-4235-5545-95cb-bde2baae99d0,tg:lhhs:6935,Formats,1,pages,written,1,,
45d0ebc8-d7fc-5f3f-88f5-c4a1bdcb94db,tg:lhhs:4908,Formats,1,pages,written,1,,
578bf28b-78f7-56dd-a6f0-aea26e8fc9c2,tg:lhhs:2425,Formats,1,sheets,total,,7,
578bf28b-78f7-56dd-a6f0-aea26e8fc9c2,tg:lhhs:2425,Formats,1,pages,written,7,,
10c89015-1cac-5749-b266-caba0ab8b4a0,tg:lhhs:8028,Formats,1,sheets,total,,6,
10c89015-1cac-5749-b266-caba0ab8b4a0,tg:lhhs:8028,Formats,1,pages,written,6,,
167a9900-7e17-5718-b13d-a050fc44f573,tg:lhhs:12136,Formats,1,sheets,total,,1,
167a9900-7e17-5718-b13d-a050fc44f573,tg:lhhs:12136,Formats,1,pages,written,1,,
0569d9f7-7725-51a2-bb87-6133c53a82bd,tg:lhhs:16175,Formats,1,sheets,total,,4,
0569d9f7-7725-51a2-bb87-6133c53a82bd,tg:lhhs:16175,Formats,1,pages,written,5,,
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,Formats,1,sheets,total,,1,
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,Formats,1,pages,written,1,,
dad11e2f-6c14-591e-bb5e-74b164c56f93,tg:lhhs:8881,Formats,1,sheets,total,,33,
dad11e2f-6c14-591e-bb5e-74b164c56f93,tg:lhhs:8881,Formats,1,pages,written,33,,
e3bc4ac1-724c-58cc-a020-dc019d9b583a,tg:lhhs:19280,Formats,1,pages,written,1,,
2856a0a0-cfc6-59ec-a579-c00cefafca1c,tg:lhhs:6466,Formats,1,sheets,total,,12,
2856a0a0-cfc6-59ec-a579-c00cefafca1c,tg:lhhs:6466,Formats,1,pages,written,12,,
a287348e-da44-5d66-a62c-4f4960afc44d,tg:lhhs:3664,Formats,1,sheets,total,,65,
a287348e-da44-5d66-a62c-4f4960afc44d,tg:lhhs:3664,Formats,1,pages,written,65,,
de1a7545-2d76-5aaf-aa8e-9709eb6b66b6,tg:lhhs:1659,Formats,1,pages,written,1,,
d662ec5e-ad9b-5929-8c7b-bcac2202a6b0,tg:lhhs:18868,Formats,1,sheets,total,,3,
d662ec5e-ad9b-5929-8c7b-bcac2202a6b0,tg:lhhs:18868,Formats,1,pages,written,3,,
6343342f-f716-5c84-9ef9-219078c8bdd2,tg:lhhs:2976,Formats,1,pages,written,1,,
316d24d4-aa32-529b-b858-99bfa2b377fd,tg:lhhs:13377,Formats,1,sheets,total,,4,
316d24d4-aa32-529b-b858-99bfa2b377fd,tg:lhhs:13377,Formats,1,pages,written,4,,
cdc69293-1823-59f4-889c-0d99ae633128,tg:lhhs:396,Formats,1,sheets,total,,71,
5d5bf1c3-c1b9-5fc6-9494-8250b79bcb9c,tg:lhhs:16525,Formats,1,sheets,total,,33,
5d5bf1c3-c1b9-5fc6-9494-8250b79bcb9c,tg:lhhs:16525,Formats,1,pages,written,33,,
73fd5f13-edf3-5c2c-ab02-64912e8e1abe,tg:lhhs:20944,Formats,1,sheets,total,,12,
73fd5f13-edf3-5c2c-ab02-64912e8e1abe,tg:lhhs:20944,Formats,1,pages,written,12,,
b97aca93-8153-527b-a9fb-dc9de55a875f,tg:lhhs:14518,Formats,1,sheets,total,,1,
b97aca93-8153-527b-a9fb-dc9de55a875f,tg:lhhs:14518,Formats,1,pages,written,1,,
0791cbd8-04ac-5caa-96e5-a1866f4e7454,tg:lhhs:6036,Formats,1,pages,written,1,,
6a586f7b-7a30-5d09-8dfb-f26579b21fbe,tg:lhhs:1209,Formats,1,sheets,total,,100,ca
6a586f7b-7a30-5d09-8dfb-f26579b21fbe,tg:lhhs:1209,Formats,1,pages,written,10,,
a3dd1b7a-ccf0-52b3-8a46-e6d32cb02a80,tg:lhhs:13727,Formats,1,sheets,total,,67,
a3dd1b7a-ccf0-52b3-8a46-e6d32cb02a80,tg:lhhs:13727,Formats,1,pages,written,67,,
7e52a98e-59bd-5f03-8219-9a6c04826523,tg:lhhs:9639,Formats,1,sheets,total,,175,
7e52a98e-59bd-5f03-8219-9a6c04826523,tg:lhhs:9639,Formats,1,pages,written,175,,
f5119d7d-32e2-5c69-aa6a-912210a96cb4,tg:lhhs:10808,Formats,1,sheets,total,,2,
f5119d7d-32e2-5c69-aa6a-912210a96cb4,tg:lhhs:10808,Formats,1,pages,written,4,,
c7f2e9a5-0e76-50ea-8fde-e922928259a6,tg:lhhs:5533,Formats,1,sheets,total,,2,
5fabf137-52b3-54f3-8cb9-33f4cd8e10f5,tg:lhhs:816,Formats,1,sheets,total,,280,
22632f5a-c74b-50b3-a77d-9af0895bb5d0,tg:lhhs:15020,Formats,1,sheets,total,,51,
dc723326-ec66-57ae-a926-8bddc622ce2d,tg:lhhs:10222,Formats,1,sheets,total,,8,
dc723326-ec66-57ae-a926-8bddc622ce2d,tg:lhhs:10222,Formats,1,pages,written,8,,
0b7f1456-2228-5c84-af8b-6ee3fbb45f76,tg:lhhs:8301,Formats,1,sheets,total,,6,
0b7f1456-2228-5c84-af8b-6ee3fbb45f76,tg:lhhs:8301,Formats,1,pages,written,6,,
ebd6d177-f1bf-5653-8cb2-c8b680f340dd,tg:lhhs:20694,Formats,1,sheets,total,,40,ca
ebd6d177-f1bf-5653-8cb2-c8b680f340dd,tg:lhhs:20694,Formats,1,pages,written,40,,
0f2b7f0f-eaa3-5d66-acf4-2c5c1e7685e4,tg:lhhs:19900,Formats,1,sheets,total,,12,
0f2b7f0f-eaa3-5d66-acf4-2c5c1e7685e4,tg:lhhs:19900,Formats,1,pages,written,12,,
97bb848d-0a3d-5931-bae8-cae714e41b49,tg:lhhs:1823,Formats,1,sheets,total,,9,
97bb848d-0a3d-5931-bae8-cae714e41b49,tg:lhhs:1823,Formats,1,pages,written,9,,
9c9ef39c-68b3-5abe-a895-0bbd0defb57c,tg:lhhs:18612,Formats,1,sheets,total,,7,
9c9ef39c-68b3-5abe-a895-0bbd0defb57c,tg:lhhs:18612,Formats,1,pages,written,7,,
9143a09e-6aef-53bb-a5c6-0df267fd7e05,tg:lhhs:1989,Formats,1,sheets,total,,55,ca
63b65fe1-a553-5702-ab94-db75a921a9e1,tg:lhhs:5163,Formats,1,sheets,total,,55,
63b65fe1-a553-5702-ab94-db75a921a9e1,tg:lhhs:5163,Formats,1,pages,written,55,,
a4dbdc50-f57e-5000-9ae7-bab58c7bf18a,tg:lhhs:10388,Formats,1,sheets,total,,8,
a4dbdc50-f57e-5000-9ae7-bab58c7bf18a,tg:lhhs:10388,Formats,1,pages,written,8,,
562f0269-92ec-5aee-9ecc-26d0d78f5b92,tg:lhhs:9843,Formats,1,sheets,total,,48,ca
562f0269-92ec-5aee-9ecc-26d0d78f5b92,tg:lhhs:9843,Formats,1,pages,written,48,,
813d617e-946d-5552-994a-f86cc9d2c818,tg:lhhs:11960,Formats,1,sheets,total,,18,
813d617e-946d-5552-994a-f86cc9d2c818,tg:lhhs:11960,Formats,1,pages,written,18,,
fb607730-08c8-5a16-be10-94bf65b354cf,tg:lhhs:10672,Formats,1,sheets,total,,7,
fb607730-08c8-5a16-be10-94bf65b354cf,tg:lhhs:10672,Formats,1,pages,written,7,,
2eee2e3f-331b-54b6-a9c8-bee430ed25e9,tg:lhhs:8751,Formats,1,sheets,total,,1,
2eee2e3f-331b-54b6-a9c8-bee430ed25e9,tg:lhhs:8751,Formats,1,pages,written,1,,
5c84d27a-4898-515b-ab92-4f279964a549,tg:lhhs:5499,Formats,1,pages,written,1,,
a6afb95b-3287-5889-90a2-066e9cef1db7,tg:lhhs:18242,Formats,1,sheets,total,,133,
a6afb95b-3287-5889-90a2-066e9cef1db7,tg:lhhs:18242,Formats,1,pages,written,143,,
29d7bb15-90cd-5bb0-bb16-e0e352922a93,tg:lhhs:4322,Formats,1,pages,written,1,,
a9657bff-e5e4-5bbd-91c8-f0f5545c029f,tg:lhhs:15923,Formats,1,sheets,total,,23,
a9657bff-e5e4-5bbd-91c8-f0f5545c029f,tg:lhhs:15923,Formats,1,pages,written,23,,
cbc61820-c00b-5de1-a856-b399038c4090,tg:lhhs:115,Formats,1,sheets,total,,50,
cbc61820-c00b-5de1-a856-b399038c4090,tg:lhhs:115,Formats,1,pages,written,50,,
87014621-3546-575c-bcd3-9ed7fbd623f1,tg:lhhs:11433,Formats,1,sheets,total,,7,
87014621-3546-575c-bcd3-9ed7fbd623f1,tg:lhhs:11433,Formats,1,pages,written,7,,
856ed58d-db88-5941-b064-405256763444,tg:lhhs:21085,Formats,1,sheets,total,,12,
856ed58d-db88-5941-b064-405256763444,tg:lhhs:21085,Formats,1,pages,written,12,,
5ee1653e-f1a1-5bd3-9cbd-e0fd7d7db936,tg:lhhs:19003,Formats,1,sheets,total,,24,
5ee1653e-f1a1-5bd3-9cbd-e0fd7d7db936,tg:lhhs:19003,Formats,1,pages,written,24,,
ec116209-1a86-5a39-a18e-547579caf39c,tg:lhhs:1120,Formats,1,sheets,total,,1,
ec116209-1a86-5a39-a18e-547579caf39c,tg:lhhs:1120,Formats,1,pages,written,2,,
5f149902-0a4b-5660-8703-f59427584064,tg:lhhs:5860,Formats,1,sheets,total,,1,
9f4cf17b-9cd1-5aa1-86ba-f8d2d63a4d16,tg:lhhs:4772,Formats,1,pages,written,1,,
c3207ac9-7311-5c4b-9bdc-ccaa7910a560,tg:lhhs:11599,Formats,1,sheets,total,,1,
c3207ac9-7311-5c4b-9bdc-ccaa7910a560,tg:lhhs:11599,Formats,1,pages,written,1,,
fa14aa44-fb92-54ef-93fd-bd55a48b0409,tg:lhhs:14261,Formats,1,sheets,total,,12,
fa14aa44-fb92-54ef-93fd-bd55a48b0409,tg:lhhs:14261,Formats,1,pages,written,22,,
23a3977c-16df-517d-b3ae-0125b2e476ec,tg:lhhs:545,Formats,1,sheets,total,,7,
23a3977c-16df-517d-b3ae-0125b2e476ec,tg:lhhs:545,Formats,1,pages,written,8,,
4fe24531-2367-5017-bfc3-59ea6a5c7441,tg:lhhs:15889,Formats,1,sheets,total,,30,
4fe24531-2367-5017-bfc3-59ea6a5c7441,tg:lhhs:15889,Formats,1,pages,written,30,,
2fb42f70-7386-5884-9343-041e9f6cf5e0,tg:lhhs:9140,Formats,1,sheets,total,,201,
2fb42f70-7386-5884-9343-041e9f6cf5e0,tg:lhhs:9140,Formats,1,pages,written,201,,
5344d5ed-3e90-5555-82a1-50ddd071c34e,tg:lhhs:11063,Formats,1,sheets,total,,1,
5344d5ed-3e90-5555-82a1-50ddd071c34e,tg:lhhs:11063,Formats,1,pages,written,4,,
11a2c2e5-4cd2-5d16-ad1f-4a335e3c800f,tg:lhhs:19453,Formats,1,sheets,total,,42,
11a2c2e5-4cd2-5d16-ad1f-4a335e3c800f,tg:lhhs:19453,Formats,1,pages,written,50,,
332c02b6-4344-5dab-81e4-20f3150cf129,tg:lhhs:1570,Formats,1,sheets,total,,47,
332c02b6-4344-5dab-81e4-20f3150cf129,tg:lhhs:1570,Formats,1,pages,written,14,,
15042a39-fd82-5afa-9c6c-f7800e95648f,tg:lhhs:11576,Formats,1,sheets,total,,2,
15042a39-fd82-5afa-9c6c-f7800e95648f,tg:lhhs:11576,Formats,1,pages,written,2,,
ea19602d-05b7-53a9-bc55-50efe2d76cd7,tg:lhhs:1065,Formats,1,sheets,total,,1,
ea19602d-05b7-53a9-bc55-50efe2d76cd7,tg:lhhs:1065,Formats,1,pages,written,2,,
694513d8-cb6f-5ec8-be28-14530e5b7d41,tg:lhhs:3058,Formats,1,sheets,total,,20,
694513d8-cb6f-5ec8-be28-14530e5b7d41,tg:lhhs:3058,Formats,1,pages,written,20,,
d64485b9-cba2-5195-89ed-49d991524464,tg:lhhs:19146,Formats,1,sheets,total,,2,
d64485b9-cba2-5195-89ed-49d991524464,tg:lhhs:19146,Formats,1,pages,written,4,,
1521c0e9-cebd-51fa-bfe1-77266eefdcf7,tg:lhhs:4267,Formats,1,sheets,total,,1,
a419dee8-f661-5109-95c0-6d6cdd8fc50d,tg:lhhs:14774,Formats,1,sheets,total,,105,ca
a419dee8-f661-5109-95c0-6d6cdd8fc50d,tg:lhhs:14774,Formats,1,pages,written,90,,
848d47cf-bff0-50b9-89da-7a6a35f781bb,tg:lhhs:16749,Formats,1,sheets,total,,3,
848d47cf-bff0-50b9-89da-7a6a35f781bb,tg:lhhs:16749,Formats,1,pages,written,4,,
6f183175-cf9d-515d-afdc-6ccc4959930a,tg:lhhs:11126,Formats,1,sheets,total,,1,
6f183175-cf9d-515d-afdc-6ccc4959930a,tg:lhhs:11126,Formats,1,pages,written,4,,
46ef0b3e-0ccf-5701-b967-7eccb7813e1e,tg:lhhs:9005,Formats,1,sheets,total,,3,
46ef0b3e-0ccf-5701-b967-7eccb7813e1e,tg:lhhs:9005,Formats,1,pages,written,3,,
374e1cc2-1b91-54d5-bce7-3c1b7aaf1a26,tg:lhhs:1435,Formats,1,sheets,total,,40,
374e1cc2-1b91-54d5-bce7-3c1b7aaf1a26,tg:lhhs:1435,Formats,1,pages,written,40,,
78bdbcaf-8f6d-5ddc-8535-06ae946e1a43,tg:lhhs:19516,Formats,1,sheets,total,,4,
78bdbcaf-8f6d-5ddc-8535-06ae946e1a43,tg:lhhs:19516,Formats,1,pages,written,4,,
8c08f6a9-f546-5a0a-aed9-aba9ca81fa2c,tg:lhhs:3408,Formats,1,sheets,total,,2,
8c08f6a9-f546-5a0a-aed9-aba9ca81fa2c,tg:lhhs:3408,Formats,1,pages,written,2,,
c7c774f5-f541-5266-aea6-955b93d1159d,tg:lhhs:7918,Formats,1,sheets,total,,9,
c7c774f5-f541-5266-aea6-955b93d1159d,tg:lhhs:7918,Formats,1,pages,written,9,,
30c8a8db-2d50-5796-b7bf-dc02eaf89490,tg:lhhs:5925,Formats,1,pages,written,1,,
b5a4caa3-08d4-555b-86ae-175781b5d005,tg:lhhs:4637,Formats,1,sheets,total,,24,
b5a4caa3-08d4-555b-86ae-175781b5d005,tg:lhhs:4637,Formats,1,pages,written,17,,
2f5d1398-73a9-5a1a-8721-9baac831a75f,tg:lhhs:400,Formats,1,sheets,total,,6,
dbcfca9d-318f-536a-9d47-01f57e676a35,tg:lhhs:14324,Formats,1,sheets,total,,417,
dbcfca9d-318f-536a-9d47-01f57e676a35,tg:lhhs:14324,Formats,1,pages,written,417,,
1a4d30fa-ff1c-5f69-8143-72b8f846acfa,tg:lhhs:16319,Formats,1,sheets,total,,217,
1a4d30fa-ff1c-5f69-8143-72b8f846acfa,tg:lhhs:16319,Formats,1,pages,written,217,,
31840c5e-0518-567e-9d53-77bc01a455f7,tg:lhhs:8244,Formats,1,sheets,total,,1,
31840c5e-0518-567e-9d53-77bc01a455f7,tg:lhhs:8244,Formats,1,pages,written,2,,
ca04c4ae-7e6f-58cf-9387-56f1dacb8645,tg:lhhs:10367,Formats,1,sheets,total,,37,
ca04c4ae-7e6f-58cf-9387-56f1dacb8645,tg:lhhs:10367,Formats,1,pages,written,37,,
002b48b1-16b1-58b1-ada4-fcdd1fc7dbc3,tg:lhhs:1966,Formats,1,pages,written,2,,
a6c675d2-7df4-5a35-9454-389b63487076,tg:lhhs:19845,Formats,1,pages,written,1,,
96d48aaf-92d6-5bee-8226-fc1ea7692338,tg:lhhs:18757,Formats,1,sheets,total,,179,
96d48aaf-92d6-5bee-8226-fc1ea7692338,tg:lhhs:18757,Formats,1,pages,written,179,,
51dc6aa2-5c71-5984-a76d-6f85bc95970d,tg:lhhs:2649,Formats,1,pages,written,1,,
6079a0b5-f0f5-5768-a726-7b76fd273165,tg:lhhs:5476,Formats,1,sheets,total,,4,
4f7b157f-95cb-5852-8cb0-4793f75c33e2,tg:lhhs:953,Formats,1,sheets,total,,6,
144ebd77-a285-55b0-8b82-26e994e8620a,tg:lhhs:17158,Formats,1,sheets,total,,26,
144ebd77-a285-55b0-8b82-26e994e8620a,tg:lhhs:17158,Formats,1,pages,written,26,,
cd059781-ddc8-56bb-ad1d-b73bbfe3edcf,tg:lhhs:15165,Formats,1,pages,written,7,,
d664d293-0fb0-5b75-adf4-ecb53e815f71,tg:lhhs:20381,Formats,1,sheets,total,,6,
d664d293-0fb0-5b75-adf4-ecb53e815f71,tg:lhhs:20381,Formats,1,pages,written,6,,
4f0d2ac8-6dd8-5d1c-a3ec-674e0ffea737,tg:lhhs:13818,Formats,1,sheets,total,,3,
4f0d2ac8-6dd8-5d1c-a3ec-674e0ffea737,tg:lhhs:13818,Formats,1,pages,written,3,,
3807ac30-ea21-5ff0-bc11-d59c77ee13f8,tg:lhhs:9906,Formats,1,sheets,total,,21,
3807ac30-ea21-5ff0-bc11-d59c77ee13f8,tg:lhhs:9906,Formats,1,pages,written,21,,
b58d6112-c6bd-5b64-92d4-103b24d27b28,tg:lhhs:8614,Formats,1,sheets,total,,1,
b58d6112-c6bd-5b64-92d4-103b24d27b28,tg:lhhs:8614,Formats,1,pages,written,1,,
8a18b25d-0f42-57be-9992-8adf19b6d0b5,tg:lhhs:10737,Formats,1,sheets,total,,5,
8a18b25d-0f42-57be-9992-8adf19b6d0b5,tg:lhhs:10737,Formats,1,pages,written,5,,
541850de-445c-548f-a8e7-5b43a1c837a5,tg:lhhs:2219,Formats,1,sheets,total,,2,
4179e2a9-844a-5ddf-9801-5eaf102f7c11,tg:lhhs:18307,Formats,1,sheets,total,,287,
4179e2a9-844a-5ddf-9801-5eaf102f7c11,tg:lhhs:18307,Formats,1,pages,written,337,,
f9c66fae-fa6d-597b-b2e7-e00fca0e4eb8,tg:lhhs:5026,Formats,1,pages,written,1,,
bd4f0fbf-8168-5c8c-93f2-ea8892b48c24,tg:lhhs:17508,Formats,1,sheets,total,,10,
bd4f0fbf-8168-5c8c-93f2-ea8892b48c24,tg:lhhs:17508,Formats,1,pages,written,10,,
d32277a6-b212-542d-b25a-6c2957288278,tg:lhhs:15535,Formats,1,sheets,total,,12,
d32277a6-b212-542d-b25a-6c2957288278,tg:lhhs:15535,Formats,1,pages,written,1,,
9e0363c8-fa52-51c2-854c-aa94635fcd87,tg:lhhs:20155,Formats,1,sheets,total,,4,
9e0363c8-fa52-51c2-854c-aa94635fcd87,tg:lhhs:20155,Formats,1,pages,written,4,,
c0e297a3-d8c8-52d0-933e-30af5a65a9dd,tg:lhhs:17226,Formats,1,sheets,total,,16,
c0e297a3-d8c8-52d0-933e-30af5a65a9dd,tg:lhhs:17226,Formats,1,pages,written,16,,
