Object Number,Record Type,URL,ResourceID,Reference Number,Material Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Name,Acquisition Identifier,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Acquisition Note,Location Number,Registration Number value,Archive Note,Source Note,Serial Number,Source Note Language,Source Note Type,id/place.place,Production Place Name,Production Place ID,Production Place Identifier,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity,Comment,UserID,Legacy Comment Type
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Archives,tg:lhps:58775,,,,,,,,isad:lh:139365,1997,{'url':'https://id.letterenhuis.be/ark:/24970/008c24a0-9c54-5aff-8d7d-5d8a8ca12598'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,"Will Ferdy in concert / Nederlands, Français, English, Deutsch / Ten Bel",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"42,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"30,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:58775,au::6698,{'url': 'https://anet.be/record/isaarlh/au::6698'},kw,Persoon,Will Ferdy,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Images,tg:lhps:58775,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:416265'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,2,Images,tg:lhps:58775,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:417348'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Items,tg:lhps:58775,,,,,,,,,,,,,,,,,,,,,,,,,,,F 221 / A,,isad:lh:139365,Uit F 221 / 56,,Nederlands,Noot,,,,,,,,,,,,
,,,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,,,,,,,,,,,,1,Places,tg:lhps:58775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::105754', 'uuid': 'cdb9e0ec-2044-5fd5-a6d2-3cb2744fa0ae'}]",Tenerife,au::105754,https://id.letterenhuis.be/ark:/24970/cdb9e0ec-2044-5fd5-a6d2-3cb2744fa0ae,,,,,,,,
tg:lhps:14689,Affiche,https://anet.be/record/opaclhobj/tg:lhps:14689/N,008ee449-fd1e-5cc0-8591-4c88588878a8,BE-ANN07/ps/000014175,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/008ee449-fd1e-5cc0-8591-4c88588878a8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Nog steeds natuur na 70?,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"68,5",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"47,5",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:14689,au::12904,{'url': 'https://anet.be/record/isaarlh/au::12904'},kw,Algemeen,Milieubescherming,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,Images,tg:lhps:14689,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:594943'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,2,Images,tg:lhps:14689,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:595611'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008ee449-fd1e-5cc0-8591-4c88588878a8,,,,,,,,,,,,1,Items,tg:lhps:14689,,,,,,,,,,,,,,,,,,,,,,,,,,,"MM 42 / A (LK XI,4)",215221,,,,Nederlands,Noot,,,,,,,,,,,,
tg:lhps:27782,Affiche,https://anet.be/record/opaclhobj/tg:lhps:27782/N,008f5337-4558-51f3-b446-88c4e6ec05e3,BE-ANN07/ps/000027101,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/008f5337-4558-51f3-b446-88c4e6ec05e3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Acquisitions,tg:lhps:27782,tr:lh:7875,Schenking van Openluchtmuseum der Beeldhouwkunst Middelheim,{'url':'https://id.letterenhuis.be/ark:/24970/008f5337-4558-51f3-b446-88c4e6ec05e3'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Archives,tg:lhps:27782,,,,,,,,isad:lh:92200,Affiches (verzameling),{'url':'https://id.letterenhuis.be/ark:/24970/008f5337-4558-51f3-b446-88c4e6ec05e3'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Hermann Blumenthal 1905-1942 / Leopold-Hoesch-Museum,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"86,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"59,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:27782,au::18141,{'url': 'https://anet.be/record/isaarlh/au::18141'},kw,Algemeen,Tentoonstellingen [Alg.],Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:27782,au::13285,{'url': 'https://anet.be/record/isaarlh/au::13285'},kw,Algemeen,Musea,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:27782,au::102216,{'url': 'https://anet.be/record/isaarlh/au::102216'},kw,Plaatsen,Düren,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Images,tg:lhps:27782,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:74039'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,2,Images,tg:lhps:27782,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:117545'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Items,tg:lhps:27782,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:7875,O 3369 / A (CM 3700),225212/4698,isad:lh:92200,,,Nederlands,Noot,,,,,,,,,,,,
,,,008f5337-4558-51f3-b446-88c4e6ec05e3,,,,,,,,,,,,1,Places,tg:lhps:27782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102216', 'uuid': '2f257dec-e80b-51aa-93da-27606efb9dcd'}]",Düren,au::102216,https://id.letterenhuis.be/ark:/24970/2f257dec-e80b-51aa-93da-27606efb9dcd,,,,,,,,
tg:lhps:19238,Affiche,https://anet.be/record/opaclhobj/tg:lhps:19238/N,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,BE-ANN07/ps/000018618,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/012fedb8-ab5a-5a1d-a57e-23ffb7cf6545'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,RVT / Willem Hoffman / De weg naar Emmaus / Stedelijke Schouwburg,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"55,5",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"39,5",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:19238,au::15550,{'url': 'https://anet.be/record/isaarlh/au::15550'},kw,Organisatie,Reizend Volkstheater,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:19238,au::44809,{'url': 'https://anet.be/record/isaarlh/au::44809'},kw,Organisatie,Stadsschouwburg [Aalst],Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Images,tg:lhps:19238,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:503740'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,2,Images,tg:lhps:19238,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:526337'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Items,tg:lhps:19238,,,,,,,,,,,,,,,,,,,,,,,,,,,V 7576 / A,215047/30,,,,Nederlands,Noot,,,,,,,,,,,,
,,,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,,,,,,,,,,,,1,Places,tg:lhps:19238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Aalst'}],Aalst,,,,,,,,,,
tg:lhps:11937,Affiche,https://anet.be/record/opaclhobj/tg:lhps:11937/N,01314884-d014-5177-99ba-ad89c90c21b3,BE-ANN07/ps/000011591,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01314884-d014-5177-99ba-ad89c90c21b3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Acquisitions,tg:lhps:11937,tr:lh:7748,Archiefstukken van Behoud de Begeerte,{'url':'https://id.letterenhuis.be/ark:/24970/01314884-d014-5177-99ba-ad89c90c21b3'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Archives,tg:lhps:11937,,,,,,,,isad:lh:92667,Affiches i.v.m. Behoud de Begeerte,{'url':'https://id.letterenhuis.be/ark:/24970/01314884-d014-5177-99ba-ad89c90c21b3'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Saint-Amour / A Literairy Celebration of Love and Desire / Hugo Claus / Martin Amis / Connie Palmen / Helen Fielding / Andreï Makine / Kristien Hemmerechts / Alessandro Barrico / Leonard Nolens / Adriaan van Dis / Bloomsbury Theatre London,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:11937,au::48748,{'url': 'https://anet.be/record/isaarlh/au::48748'},kw,Organisatie,Saint-Amour,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:11937,au::13805,{'url': 'https://anet.be/record/isaarlh/au::13805'},kw,Persoon,Leonard Nolens,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:11937,au::3953,{'url': 'https://anet.be/record/isaarlh/au::3953'},kw,Persoon,Hugo Claus,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:11937,au::8591,{'url': 'https://anet.be/record/isaarlh/au::8591'},kw,Persoon,Kristien Hemmerechts,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Images,tg:lhps:11937,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:498010'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,2,Images,tg:lhps:11937,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:521197'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Items,tg:lhps:11937,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:7748,"BB 112 / A (LK IV,6)",200848/94-95-96-97,isad:lh:92667,,,Nederlands,Noot,,,,,,,,,,,,
,,,01314884-d014-5177-99ba-ad89c90c21b3,,,,,,,,,,,,1,Places,tg:lhps:11937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Londen'}],Londen,,,,,,,,,,
tg:lhps:15923,Affiche,https://anet.be/record/opaclhobj/tg:lhps:15923/N,01519233-60b4-58a8-a125-2be613562bd2,BE-ANN07/ps/000015372,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01519233-60b4-58a8-a125-2be613562bd2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Acquisitions,tg:lhps:15923,tr:lh:7634,Oningeschreven gevonden in 2006,{'url':'https://id.letterenhuis.be/ark:/24970/01519233-60b4-58a8-a125-2be613562bd2'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Artium / ballet van Senegal / ballet der Filippijnen,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"42,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"30,5",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:15923,au::44744,{'url': 'https://anet.be/record/isaarlh/au::44744'},dr,Organisatie,F. Tytgat,Drukker,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:15923,au::756,{'url': 'https://anet.be/record/isaarlh/au::756'},kw,Organisatie,Artium,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Images,tg:lhps:15923,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:586474'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,2,Images,tg:lhps:15923,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:588767'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Items,tg:lhps:15923,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:7634,A 4269 / A,212708,,,,Nederlands,Noot,,,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,Places,tg:lhps:15923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Antwerpen'}],Antwerpen,,,,,,,,,,
,,,01519233-60b4-58a8-a125-2be613562bd2,,,,,,,,,,,,1,ProductionActors,tg:lhps:15923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/b00f905e-46b2-5ab5-b104-f00d8853796a'},au::44744,F. Tytgat,Drukker,,,,
tg:lhps:9793,Affiche,https://anet.be/record/opaclhobj/tg:lhps:9793/N,01871863-9317-5913-95ae-79e48c9445fd,BE-ANN07/ps/000009610,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01871863-9317-5913-95ae-79e48c9445fd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,1,Acquisitions,tg:lhps:9793,tr:lh:7284,Oningeschreven gevonden in 1997,{'url':'https://id.letterenhuis.be/ark:/24970/01871863-9317-5913-95ae-79e48c9445fd'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,KVO / Opening van het tooneeljaar / Lohengrin / van Rich. Wagner / Orkest: J.J.B. Schrey / Regie: Henry Engelen / Martha / van A. Flotow / Orkest: Flor Bosmans / Regie: Fé Derickx,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"85,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"62,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:9793,au::23103,{'url': 'https://anet.be/record/isaarlh/au::23103'},dr,Organisatie,Drukkerij en Publiciteit Bernaerts,Drukker,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:9793,au::10542,{'url': 'https://anet.be/record/isaarlh/au::10542'},kw,Organisatie,Koninklijke Vlaamse Opera,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,01871863-9317-5913-95ae-79e48c9445fd,,,,,,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:9793,au::16681,{'url': 'https://anet.be/record/isaarlh/au::16681'},kw,Persoon,Julius J.B. Schrey,Trefwoord,,,,,,,,,,,,,,,,,,,,
