Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Name,Acquisition Identifier,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),Source Note Language,Source Note Type,id/place.place,Production Place Name,Production Place ID,Production Place Identifier,Object Type,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Archives,tg:lhph:39374,,,,,,,,isad:lh:94227,Foto's door Piet Schepens,{'url':'https://id.letterenhuis.be/ark:/24970/00cae4e2-d791-532c-b5c0-a1a141118129'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Begrafenis Marcel Matthijs - de stoet komt in beweging.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"90,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"90,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:39374,au::16508,{'url': 'https://anet.be/record/isaarlh/au::16508'},fo,Persoon,Piet Schepens,Fotograaf,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:39374,au::12365,{'url': 'https://anet.be/record/isaarlh/au::12365'},vb,Persoon,Marcel Matthijs,In Verband Met,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Images,tg:lhph:39374,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:38763'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,2,Images,tg:lhph:39374,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:163818'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Items,tg:lhph:39374,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:4315,83428/26,isad:lh:94227,M 335 / P,,,,,Nederlands,Noot,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,ObjectTypes,tg:lhph:39374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,ProductionActors,tg:lhph:39374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/bacc8371-680f-5d73-bd08-e006968edf8e'},au::16508,Piet Schepens,Fotograaf,
tg:lhph:34550,Foto,https://anet.be/record/opaclhobj/tg:lhph:34550/N,00e70550-60e3-5029-a589-c4dc7e20f61b,BE-ANN07/ph/000033376,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/00e70550-60e3-5029-a589-c4dc7e20f61b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Acquisitions,tg:lhph:34550,tr:lh:4162,Aankoop bij Filip Tas,{'url':'https://id.letterenhuis.be/ark:/24970/00e70550-60e3-5029-a589-c4dc7e20f61b'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Bruno Walschap. Borststuk.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"230,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"143,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:34550,au::18070,{'url': 'https://anet.be/record/isaarlh/au::18070'},fo,Persoon,Filip Tas,Fotograaf,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:34550,au::21014,{'url': 'https://anet.be/record/isaarlh/au::21014'},kw,Persoon,Bruno Walschap,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Images,tg:lhph:34550,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:34034'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,2,Images,tg:lhph:34550,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:159074'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Items,tg:lhph:34550,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:4162,80602/5,,W 2123 / P,,,,,Nederlands,Noot,,,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,ObjectTypes,tg:lhph:34550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,Places,tg:lhph:34550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Antwerpen'}],Antwerpen,,,,,,,,
,,,00e70550-60e3-5029-a589-c4dc7e20f61b,,,,,,,,,,,1,ProductionActors,tg:lhph:34550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/2c5b5f93-1a26-53ec-843c-3802db39c9ea'},au::18070,Filip Tas,Fotograaf,
tg:lhph:22884,Foto,https://anet.be/record/opaclhobj/tg:lhph:22884/N,011236d8-f14b-5e1a-9366-b648c21af352,BE-ANN07/ph/000021892,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/011236d8-f14b-5e1a-9366-b648c21af352'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Acquisitions,tg:lhph:22884,tr:lh:7859,Archief van Manteau,{'url':'https://id.letterenhuis.be/ark:/24970/011236d8-f14b-5e1a-9366-b648c21af352'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Annotations,tg:lhph:22884,,,,note.lhalg,Negatievenarchief uitgeverij Manteau,Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Archives,tg:lhph:22884,,,,,,,,isad:lh:94873,Negatievenarchief,{'url':'https://id.letterenhuis.be/ark:/24970/011236d8-f14b-5e1a-9366-b648c21af352'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Groepsfoto met Stijn Streuvels en August Vermeylen.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:22884,au::17799,{'url': 'https://anet.be/record/isaarlh/au::17799'},kw,Persoon,Stijn Streuvels,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:22884,au::19734,{'url': 'https://anet.be/record/isaarlh/au::19734'},kw,Persoon,August Vermeylen,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Images,tg:lhph:22884,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:22598'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,2,Images,tg:lhph:22884,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:147615'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,Items,tg:lhph:22884,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:7859,203626/2441,isad:lh:94873,M 224 / P (NEG0080/6/34),,,,,Nederlands,Noot,,,,,,,,,,
,,,011236d8-f14b-5e1a-9366-b648c21af352,,,,,,,,,,,1,ObjectTypes,tg:lhph:22884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Negatief,,,,,
tg:lhph:52817,Foto,https://anet.be/record/opaclhobj/tg:lhph:52817/N,011fa91b-2107-50e4-97d6-a40dfacd912e,BE-ANN07/ph/000050925,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/011fa91b-2107-50e4-97d6-a40dfacd912e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Acquisitions,tg:lhph:52817,tr:lh:139964,Archief van Stijn Streuvels,{'url':'https://id.letterenhuis.be/ark:/24970/011fa91b-2107-50e4-97d6-a40dfacd912e'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Archives,tg:lhph:52817,,,,,,,,isad:lh:161173,Doos 489,{'url':'https://id.letterenhuis.be/ark:/24970/011fa91b-2107-50e4-97d6-a40dfacd912e'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,"Rutten, Sint-Evermarusfeesten, martelarenspel.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"99,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"145,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:52817,au::17799,{'url': 'https://anet.be/record/isaarlh/au::17799'},fo,Persoon,Stijn Streuvels,Fotograaf,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Images,tg:lhph:52817,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:723744'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,2,Images,tg:lhph:52817,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:724452'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,Items,tg:lhph:52817,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:139964,,isad:lh:161173,,Bruikleen Vlaamse Gemeenschap - STR11798,S 935 / 489,,,Nederlands,Noot,,,,,,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,ObjectTypes,tg:lhph:52817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,,,,,
,,,011fa91b-2107-50e4-97d6-a40dfacd912e,,,,,,,,,,,1,ProductionActors,tg:lhph:52817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/247e719e-494a-57ff-9807-6ae2f352503b'},au::17799,Stijn Streuvels,Fotograaf,
tg:lhph:20293,Foto,https://anet.be/record/opaclhobj/tg:lhph:20293/N,01978ce1-d853-5c0d-86a8-43bad0f05294,BE-ANN07/ph/000019372,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01978ce1-d853-5c0d-86a8-43bad0f05294'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01978ce1-d853-5c0d-86a8-43bad0f05294,,,,,,,,,,,1,Acquisitions,tg:lhph:20293,tr:lh:7314,Archief van Frans van Cauwelaert,{'url':'https://id.letterenhuis.be/ark:/24970/01978ce1-d853-5c0d-86a8-43bad0f05294'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01978ce1-d853-5c0d-86a8-43bad0f05294,,,,,,,,,,,1,Annotations,tg:lhph:20293,,,,note.lhalg,"Nr. 13 & 14 gelijkaardige zichten, Achterkant: """"Inbel - Belgian News Agency,"""" omschrijving in machineschrift.",Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01978ce1-d853-5c0d-86a8-43bad0f05294,,,,,,,,,,,1,Archives,tg:lhph:20293,,,,,,,,isad:lh:92943,Foto's i.v.m. Frans van Cauwelaert,{'url':'https://id.letterenhuis.be/ark:/24970/01978ce1-d853-5c0d-86a8-43bad0f05294'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
