Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:3234,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3234/N,2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,BE-ANN14/gr/000003234,,Rubenianum,https://data.rubenianum.be//ark:/86530/2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1209,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1209/N,8042eaa7-0073-558c-945d-d5bad0bf545f,BE-ANN14/gr/000001209,,Rubenianum,https://data.rubenianum.be//ark:/86530/8042eaa7-0073-558c-945d-d5bad0bf545f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:816,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:816/N,590fefe8-2c37-5fc6-bda7-7f12c41405b2,BE-ANN14/gr/000000816,,Rubenianum,https://data.rubenianum.be//ark:/86530/590fefe8-2c37-5fc6-bda7-7f12c41405b2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1823,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1823/N,33f2d377-ac3c-5327-a7be-23f4e590d677,BE-ANN14/gr/000001823,,Rubenianum,https://data.rubenianum.be//ark:/86530/33f2d377-ac3c-5327-a7be-23f4e590d677,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1989,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1989/N,c6d9e256-6a1e-5a3a-9925-b584353913a0,BE-ANN14/gr/000001989,,Rubenianum,https://data.rubenianum.be//ark:/86530/c6d9e256-6a1e-5a3a-9925-b584353913a0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:5163,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:5163/N,c1213526-8aa3-5636-b761-88b23fd5499a,BE-ANN14/gr/000005163,,Rubenianum,https://data.rubenianum.be//ark:/86530/c1213526-8aa3-5636-b761-88b23fd5499a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4322,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4322/N,6865645d-835d-5edb-a6fa-84e89256c876,BE-ANN14/gr/000004322,,Rubenianum,https://data.rubenianum.be//ark:/86530/6865645d-835d-5edb-a6fa-84e89256c876,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:115,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:115/N,31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,BE-ANN14/gr/000000115,,Rubenianum,https://data.rubenianum.be//ark:/86530/31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1120,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1120/N,04fbc0f6-7964-5fec-aa99-f37952fc1df4,BE-ANN14/gr/000001120,,Rubenianum,https://data.rubenianum.be//ark:/86530/04fbc0f6-7964-5fec-aa99-f37952fc1df4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4772,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4772/N,609021a6-c817-5bed-98cc-6916534b4d63,BE-ANN14/gr/000004772,,Rubenianum,https://data.rubenianum.be//ark:/86530/609021a6-c817-5bed-98cc-6916534b4d63,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:545,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:545/N,62948151-4c94-5bdd-a21a-608f1477d274,BE-ANN14/gr/000000545,,Rubenianum,https://data.rubenianum.be//ark:/86530/62948151-4c94-5bdd-a21a-608f1477d274,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1570,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1570/N,82f085c3-e0a3-5d76-9b29-318ffab0e03e,BE-ANN14/gr/000001570,,Rubenianum,https://data.rubenianum.be//ark:/86530/82f085c3-e0a3-5d76-9b29-318ffab0e03e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4288,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4288/N,13a592fd-0f0b-531f-8d95-a54f3f9750f4,BE-ANN14/gr/000004288,,Rubenianum,https://data.rubenianum.be//ark:/86530/13a592fd-0f0b-531f-8d95-a54f3f9750f4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1065,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1065/N,b8f5eb9e-95f2-548d-8ad4-8c65553be050,BE-ANN14/gr/000001065,,Rubenianum,https://data.rubenianum.be//ark:/86530/b8f5eb9e-95f2-548d-8ad4-8c65553be050,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3058,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3058/N,dc93b455-5ef2-564b-ad57-dc75cb4ff550,BE-ANN14/gr/000003058,,Rubenianum,https://data.rubenianum.be//ark:/86530/dc93b455-5ef2-564b-ad57-dc75cb4ff550,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4267,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4267/N,a7642b03-dd0f-571a-8b9d-8b1810effb35,BE-ANN14/gr/000004267,,Rubenianum,https://data.rubenianum.be//ark:/86530/a7642b03-dd0f-571a-8b9d-8b1810effb35,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1435,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1435/N,add7db4a-cdf4-5243-a528-79417eb20d78,BE-ANN14/gr/000001435,,Rubenianum,https://data.rubenianum.be//ark:/86530/add7db4a-cdf4-5243-a528-79417eb20d78,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3408,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3408/N,11b2138e-74e7-521f-b189-c1f953def81f,BE-ANN14/gr/000003408,,Rubenianum,https://data.rubenianum.be//ark:/86530/11b2138e-74e7-521f-b189-c1f953def81f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:400,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:400/N,6c64f22d-2d5d-5661-a80e-c279a5bfc831,BE-ANN14/gr/000000400,,Rubenianum,https://data.rubenianum.be//ark:/86530/6c64f22d-2d5d-5661-a80e-c279a5bfc831,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2219,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2219/N,bb62a898-50a6-50b3-a44e-2f9e060e9e81,BE-ANN14/gr/000002219,,Rubenianum,https://data.rubenianum.be//ark:/86530/bb62a898-50a6-50b3-a44e-2f9e060e9e81,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2537,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2537/N,70038380-71dd-5a9b-af39-4051d9409a9e,BE-ANN14/gr/000002537,,Rubenianum,https://data.rubenianum.be//ark:/86530/70038380-71dd-5a9b-af39-4051d9409a9e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4119,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4119/N,5106b653-34ce-568b-a589-321045ea8df2,BE-ANN14/gr/000004119,,Rubenianum,https://data.rubenianum.be//ark:/86530/5106b653-34ce-568b-a589-321045ea8df2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4549,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4549/N,44f316c0-2c66-508d-a47e-3fe71e01064e,BE-ANN14/gr/000004549,,Rubenianum,https://data.rubenianum.be//ark:/86530/44f316c0-2c66-508d-a47e-3fe71e01064e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2864,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2864/N,fd86a9ca-697e-5d44-9605-1832fe5b4d74,BE-ANN14/gr/000002864,,Rubenianum,https://data.rubenianum.be//ark:/86530/fd86a9ca-697e-5d44-9605-1832fe5b4d74,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3263,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3263/N,6db128d1-86f3-5b4c-9d24-b3eacf525c6f,BE-ANN14/gr/000003263,,Rubenianum,https://data.rubenianum.be//ark:/86530/6db128d1-86f3-5b4c-9d24-b3eacf525c6f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:791,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:791/N,037309f8-8f5b-5f37-8044-6ce5455e61ee,BE-ANN14/gr/000000791,,Rubenianum,https://data.rubenianum.be//ark:/86530/037309f8-8f5b-5f37-8044-6ce5455e61ee,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3799,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3799/N,32e4eb8d-a113-5c79-a6c7-a4fccf150f52,BE-ANN14/gr/000003799,,Rubenianum,https://data.rubenianum.be//ark:/86530/32e4eb8d-a113-5c79-a6c7-a4fccf150f52,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3633,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3633/N,c64486c7-ca7c-50cb-a364-d6818b775779,BE-ANN14/gr/000003633,,Rubenianum,https://data.rubenianum.be//ark:/86530/c64486c7-ca7c-50cb-a364-d6818b775779,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2921,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2921/N,b30d8240-2015-58a6-908f-bdd8020b27d0,BE-ANN14/gr/000002921,,Rubenianum,https://data.rubenianum.be//ark:/86530/b30d8240-2015-58a6-908f-bdd8020b27d0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2022,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2022/N,2e48946a-6634-5a76-a87d-0d025b40e35e,BE-ANN14/gr/000002022,,Rubenianum,https://data.rubenianum.be//ark:/86530/2e48946a-6634-5a76-a87d-0d025b40e35e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1527,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1527/N,60a7ed78-29f0-5074-b651-1fe965b6967a,BE-ANN14/gr/000001527,,Rubenianum,https://data.rubenianum.be//ark:/86530/60a7ed78-29f0-5074-b651-1fe965b6967a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4725,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4725/N,ec73addb-a202-5871-b1cf-8f8edfad9b2e,BE-ANN14/gr/000004725,,Rubenianum,https://data.rubenianum.be//ark:/86530/ec73addb-a202-5871-b1cf-8f8edfad9b2e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:512,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:512/N,037f7439-1ffa-5f8f-8a6c-0c28259af299,BE-ANN14/gr/000000512,,Rubenianum,https://data.rubenianum.be//ark:/86530/037f7439-1ffa-5f8f-8a6c-0c28259af299,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1177,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1177/N,66f93fc0-a409-50c8-b7dd-a2d40ade7e93,BE-ANN14/gr/000001177,,Rubenianum,https://data.rubenianum.be//ark:/86530/66f93fc0-a409-50c8-b7dd-a2d40ade7e93,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4375,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4375/N,fcca69b7-8694-5e9f-a294-84ae17d30d44,BE-ANN14/gr/000004375,,Rubenianum,https://data.rubenianum.be//ark:/86530/fcca69b7-8694-5e9f-a294-84ae17d30d44,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3849,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3849/N,9382b653-8e87-5dd3-a9e7-f6c96d94597b,BE-ANN14/gr/000003849,,Rubenianum,https://data.rubenianum.be//ark:/86530/9382b653-8e87-5dd3-a9e7-f6c96d94597b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:841,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:841/N,3a3807e7-5bc9-55d7-8e12-1fe7935108f0,BE-ANN14/gr/000000841,,Rubenianum,https://data.rubenianum.be//ark:/86530/3a3807e7-5bc9-55d7-8e12-1fe7935108f0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:5071,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:5071/N,8c348455-2b81-54f0-8b92-5517a3c802f9,BE-ANN14/gr/000005071,,Rubenianum,https://data.rubenianum.be//ark:/86530/8c348455-2b81-54f0-8b92-5517a3c802f9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1931,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1931/N,14bfaf93-51e4-5e6a-b04d-86babe0e2c5d,BE-ANN14/gr/000001931,,Rubenianum,https://data.rubenianum.be//ark:/86530/14bfaf93-51e4-5e6a-b04d-86babe0e2c5d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4660,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4660/N,0e356e97-41e8-5790-8127-b0f0873a4b02,BE-ANN14/gr/000004660,,Rubenianum,https://data.rubenianum.be//ark:/86530/0e356e97-41e8-5790-8127-b0f0873a4b02,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1198,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1198/N,d1c3de03-3579-5d65-80be-4dfd50ffdb35,BE-ANN14/gr/000001198,,Rubenianum,https://data.rubenianum.be//ark:/86530/d1c3de03-3579-5d65-80be-4dfd50ffdb35,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:457,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:457/N,84116d26-0e48-5078-84df-e8f8124562fc,BE-ANN14/gr/000000457,,Rubenianum,https://data.rubenianum.be//ark:/86530/84116d26-0e48-5078-84df-e8f8124562fc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1462,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1462/N,e4d6b69a-736d-587c-bbed-7bd11276c3e1,BE-ANN14/gr/000001462,,Rubenianum,https://data.rubenianum.be//ark:/86530/e4d6b69a-736d-587c-bbed-7bd11276c3e1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1032,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1032/N,508c061b-0ac3-5200-a66f-29fa46ca06fa,BE-ANN14/gr/000001032,,Rubenianum,https://data.rubenianum.be//ark:/86530/508c061b-0ac3-5200-a66f-29fa46ca06fa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:292,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:292/N,a0dc4c1f-74b7-5c47-ba47-c97627e76096,BE-ANN14/gr/000000292,,Rubenianum,https://data.rubenianum.be//ark:/86530/a0dc4c1f-74b7-5c47-ba47-c97627e76096,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2872,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2872/N,1abc553b-befd-5a22-a2c4-d56419da9908,BE-ANN14/gr/000002872,,Rubenianum,https://data.rubenianum.be//ark:/86530/1abc553b-befd-5a22-a2c4-d56419da9908,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3760,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3760/N,a7260df8-a873-5baa-8215-29583d82c2de,BE-ANN14/gr/000003760,,Rubenianum,https://data.rubenianum.be//ark:/86530/a7260df8-a873-5baa-8215-29583d82c2de,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:768,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:768/N,229ba1fe-3025-5478-b1a6-9f3f120d29e8,BE-ANN14/gr/000000768,,Rubenianum,https://data.rubenianum.be//ark:/86530/229ba1fe-3025-5478-b1a6-9f3f120d29e8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:338,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:338/N,05ec1fa4-fab4-578d-91fb-022fb102f71c,BE-ANN14/gr/000000338,,Rubenianum,https://data.rubenianum.be//ark:/86530/05ec1fa4-fab4-578d-91fb-022fb102f71c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2521,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2521/N,862a892d-c5b8-5f1f-83c5-ced9958e2748,BE-ANN14/gr/000002521,,Rubenianum,https://data.rubenianum.be//ark:/86530/862a892d-c5b8-5f1f-83c5-ced9958e2748,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2034,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2034/N,80d4588d-503e-560e-87a3-1d44db419649,BE-ANN14/gr/000002034,,Rubenianum,https://data.rubenianum.be//ark:/86530/80d4588d-503e-560e-87a3-1d44db419649,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4949,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4949/N,7b3bfad1-584f-5ca9-af95-510983fe9d91,BE-ANN14/gr/000004949,,Rubenianum,https://data.rubenianum.be//ark:/86530/7b3bfad1-584f-5ca9-af95-510983fe9d91,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2464,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2464/N,3cebb87f-6cb9-5949-aa14-cbfb10f15df2,BE-ANN14/gr/000002464,,Rubenianum,https://data.rubenianum.be//ark:/86530/3cebb87f-6cb9-5949-aa14-cbfb10f15df2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2937,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2937/N,52185ea3-17c4-504e-b163-2e48d6bdb444,BE-ANN14/gr/000002937,,Rubenianum,https://data.rubenianum.be//ark:/86530/52185ea3-17c4-504e-b163-2e48d6bdb444,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1618,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1618/N,3fac2592-4423-55c8-8e66-739a4c60838f,BE-ANN14/gr/000001618,,Rubenianum,https://data.rubenianum.be//ark:/86530/3fac2592-4423-55c8-8e66-739a4c60838f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3625,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3625/N,526b700f-e3fc-5e17-ab4a-85bf5a48780e,BE-ANN14/gr/000003625,,Rubenianum,https://data.rubenianum.be//ark:/86530/526b700f-e3fc-5e17-ab4a-85bf5a48780e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:787,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:787/N,01e63bde-b5f0-5f51-a022-8a0774f1d01c,BE-ANN14/gr/000000787,,Rubenianum,https://data.rubenianum.be//ark:/86530/01e63bde-b5f0-5f51-a022-8a0774f1d01c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1248,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1248/N,c0bab8ac-de0e-5a75-af27-c180db8650b4,BE-ANN14/gr/000001248,,Rubenianum,https://data.rubenianum.be//ark:/86530/c0bab8ac-de0e-5a75-af27-c180db8650b4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:857,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:857/N,230a0b02-94ee-56b2-a90f-8e58ae40178f,BE-ANN14/gr/000000857,,Rubenianum,https://data.rubenianum.be//ark:/86530/230a0b02-94ee-56b2-a90f-8e58ae40178f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1862,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1862/N,c0b60f8f-12af-51ae-8819-a872b42f41fa,BE-ANN14/gr/000001862,,Rubenianum,https://data.rubenianum.be//ark:/86530/c0b60f8f-12af-51ae-8819-a872b42f41fa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4363,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4363/N,5a2c0228-5de3-58a4-b9d6-6ca44f3112b0,BE-ANN14/gr/000004363,,Rubenianum,https://data.rubenianum.be//ark:/86530/5a2c0228-5de3-58a4-b9d6-6ca44f3112b0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
