ResourceID,brocade.id,card,order,source_field,Page Numbers,Format Unit Type,Format Number Type,Sheet Numbers,Format Unit Qualifier
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,5,
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,5,pages,written,,
7c693e1c-a038-5f44-974e-7660045f0589,tg:lhhs:379,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,2,
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,12,
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,6,pages,written,,
158540f7-ee20-557b-9154-eb94a02cb69b,tg:lhhs:13398,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,4,
158540f7-ee20-557b-9154-eb94a02cb69b,tg:lhhs:13398,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,4,pages,written,,
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,30,
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,50,pages,written,,
1dc34227-2c53-5c35-ae88-c42821ac6483,tg:lhhs:6173,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,38,
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,38,pages,written,,
ef8308b5-7f9e-5e62-b04c-8e5dffc291d0,tg:lhhs:2999,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,3,
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,25,
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,25,pages,written,,
d9566016-9591-5149-8dbb-2fdb82c419de,tg:lhhs:12423,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,7,ca
d9566016-9591-5149-8dbb-2fdb82c419de,tg:lhhs:12423,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,7,pages,written,,
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,13,
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,12,pages,written,,
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
cc357418-e907-57dc-bdbf-1df6c8f1ed33,tg:lhhs:7332,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,10,
cc357418-e907-57dc-bdbf-1df6c8f1ed33,tg:lhhs:7332,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,10,pages,written,,
a6aa35c8-afd2-5060-837f-8f6d9f2f1aef,tg:lhhs:7298,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
e76152a1-6ed2-5abd-b108-8c7c6f068e86,tg:lhhs:2560,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,107,
e76152a1-6ed2-5abd-b108-8c7c6f068e86,tg:lhhs:2560,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,107,pages,written,,
6446a276-6138-5707-8ac7-5cad04be4a51,tg:lhhs:12073,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,230,
6446a276-6138-5707-8ac7-5cad04be4a51,tg:lhhs:12073,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,230,pages,written,,
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,3,pages,written,,
f726911f-4124-53db-b8cc-c288d1d1b3e8,tg:lhhs:20102,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,10,
f726911f-4124-53db-b8cc-c288d1d1b3e8,tg:lhhs:20102,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,10,pages,written,,
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,154,
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,154,pages,written,,
aae9a626-8693-5155-ad9b-d590379a7f53,tg:lhhs:12589,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
aae9a626-8693-5155-ad9b-d590379a7f53,tg:lhhs:12589,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,6,
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,6,pages,written,,
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,39,
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,39,pages,written,,
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,110,ca
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,187,pages,written,,
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,150,ca
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,160,pages,written,,
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,9,
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,11,pages,written,,
65b74196-745d-5b6a-8f85-12d21736dfef,tg:lhhs:20417,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
65b74196-745d-5b6a-8f85-12d21736dfef,tg:lhhs:20417,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,2,pages,written,,
335d3034-0a27-5dc2-93b9-6d534fa0584b,tg:lhhs:18491,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,18,
335d3034-0a27-5dc2-93b9-6d534fa0584b,tg:lhhs:18491,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,23,pages,written,,
7062e09d-0b08-5db1-adda-e69a21fe4eb2,tg:lhhs:7277,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,2,
7062e09d-0b08-5db1-adda-e69a21fe4eb2,tg:lhhs:7277,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,2,pages,written,,
45a12239-0dbe-5714-8b9c-78b7b53bb523,tg:lhhs:2075,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,3,
45a12239-0dbe-5714-8b9c-78b7b53bb523,tg:lhhs:2075,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,3,pages,written,,
df8a726e-5335-52f2-955e-be4f020de40f,tg:lhhs:12566,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,162,
df8a726e-5335-52f2-955e-be4f020de40f,tg:lhhs:12566,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,161,pages,written,,
6fb59e4a-111b-5b2e-8e2c-a734b70eaad7,tg:lhhs:8478,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
6fb59e4a-111b-5b2e-8e2c-a734b70eaad7,tg:lhhs:8478,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
17295643-ba29-5915-b371-78b6e458297e,tg:lhhs:20047,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,102,
17295643-ba29-5915-b371-78b6e458297e,tg:lhhs:20047,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,102,pages,written,,
3698a1a3-0d00-5a10-bd3a-812ed629f918,tg:lhhs:17334,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,3,
3698a1a3-0d00-5a10-bd3a-812ed629f918,tg:lhhs:17334,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,3,pages,written,,
167b7ca6-fea7-51a1-a1bd-6ca2957f42bc,tg:lhhs:7627,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,19,
167b7ca6-fea7-51a1-a1bd-6ca2957f42bc,tg:lhhs:7627,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,19,pages,written,,
4a8f4cce-4235-5545-95cb-bde2baae99d0,tg:lhhs:6935,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,2,
4a8f4cce-4235-5545-95cb-bde2baae99d0,tg:lhhs:6935,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
45d0ebc8-d7fc-5f3f-88f5-c4a1bdcb94db,tg:lhhs:4908,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
578bf28b-78f7-56dd-a6f0-aea26e8fc9c2,tg:lhhs:2425,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,7,
578bf28b-78f7-56dd-a6f0-aea26e8fc9c2,tg:lhhs:2425,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,7,pages,written,,
10c89015-1cac-5749-b266-caba0ab8b4a0,tg:lhhs:8028,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,6,
10c89015-1cac-5749-b266-caba0ab8b4a0,tg:lhhs:8028,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,6,pages,written,,
167a9900-7e17-5718-b13d-a050fc44f573,tg:lhhs:12136,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
167a9900-7e17-5718-b13d-a050fc44f573,tg:lhhs:12136,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
0569d9f7-7725-51a2-bb87-6133c53a82bd,tg:lhhs:16175,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,4,
0569d9f7-7725-51a2-bb87-6133c53a82bd,tg:lhhs:16175,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,5,pages,written,,
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
dad11e2f-6c14-591e-bb5e-74b164c56f93,tg:lhhs:8881,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,33,
dad11e2f-6c14-591e-bb5e-74b164c56f93,tg:lhhs:8881,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,33,pages,written,,
e3bc4ac1-724c-58cc-a020-dc019d9b583a,tg:lhhs:19280,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
2856a0a0-cfc6-59ec-a579-c00cefafca1c,tg:lhhs:6466,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,12,
2856a0a0-cfc6-59ec-a579-c00cefafca1c,tg:lhhs:6466,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,12,pages,written,,
a287348e-da44-5d66-a62c-4f4960afc44d,tg:lhhs:3664,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,65,
a287348e-da44-5d66-a62c-4f4960afc44d,tg:lhhs:3664,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,65,pages,written,,
de1a7545-2d76-5aaf-aa8e-9709eb6b66b6,tg:lhhs:1659,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
d662ec5e-ad9b-5929-8c7b-bcac2202a6b0,tg:lhhs:18868,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,3,
d662ec5e-ad9b-5929-8c7b-bcac2202a6b0,tg:lhhs:18868,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,3,pages,written,,
6343342f-f716-5c84-9ef9-219078c8bdd2,tg:lhhs:2976,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
316d24d4-aa32-529b-b858-99bfa2b377fd,tg:lhhs:13377,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,4,
316d24d4-aa32-529b-b858-99bfa2b377fd,tg:lhhs:13377,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,4,pages,written,,
cdc69293-1823-59f4-889c-0d99ae633128,tg:lhhs:396,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,71,
5d5bf1c3-c1b9-5fc6-9494-8250b79bcb9c,tg:lhhs:16525,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,33,
5d5bf1c3-c1b9-5fc6-9494-8250b79bcb9c,tg:lhhs:16525,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,33,pages,written,,
73fd5f13-edf3-5c2c-ab02-64912e8e1abe,tg:lhhs:20944,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,12,
73fd5f13-edf3-5c2c-ab02-64912e8e1abe,tg:lhhs:20944,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,12,pages,written,,
b97aca93-8153-527b-a9fb-dc9de55a875f,tg:lhhs:14518,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
b97aca93-8153-527b-a9fb-dc9de55a875f,tg:lhhs:14518,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
0791cbd8-04ac-5caa-96e5-a1866f4e7454,tg:lhhs:6036,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
6a586f7b-7a30-5d09-8dfb-f26579b21fbe,tg:lhhs:1209,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,100,ca
6a586f7b-7a30-5d09-8dfb-f26579b21fbe,tg:lhhs:1209,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,10,pages,written,,
a3dd1b7a-ccf0-52b3-8a46-e6d32cb02a80,tg:lhhs:13727,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,67,
a3dd1b7a-ccf0-52b3-8a46-e6d32cb02a80,tg:lhhs:13727,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,67,pages,written,,
7e52a98e-59bd-5f03-8219-9a6c04826523,tg:lhhs:9639,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,175,
7e52a98e-59bd-5f03-8219-9a6c04826523,tg:lhhs:9639,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,175,pages,written,,
f5119d7d-32e2-5c69-aa6a-912210a96cb4,tg:lhhs:10808,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,2,
f5119d7d-32e2-5c69-aa6a-912210a96cb4,tg:lhhs:10808,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,4,pages,written,,
c7f2e9a5-0e76-50ea-8fde-e922928259a6,tg:lhhs:5533,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,2,
5fabf137-52b3-54f3-8cb9-33f4cd8e10f5,tg:lhhs:816,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,280,
22632f5a-c74b-50b3-a77d-9af0895bb5d0,tg:lhhs:15020,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,51,
dc723326-ec66-57ae-a926-8bddc622ce2d,tg:lhhs:10222,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,8,
dc723326-ec66-57ae-a926-8bddc622ce2d,tg:lhhs:10222,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,8,pages,written,,
0b7f1456-2228-5c84-af8b-6ee3fbb45f76,tg:lhhs:8301,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,6,
0b7f1456-2228-5c84-af8b-6ee3fbb45f76,tg:lhhs:8301,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,6,pages,written,,
ebd6d177-f1bf-5653-8cb2-c8b680f340dd,tg:lhhs:20694,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,40,ca
ebd6d177-f1bf-5653-8cb2-c8b680f340dd,tg:lhhs:20694,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,40,pages,written,,
0f2b7f0f-eaa3-5d66-acf4-2c5c1e7685e4,tg:lhhs:19900,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,12,
0f2b7f0f-eaa3-5d66-acf4-2c5c1e7685e4,tg:lhhs:19900,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,12,pages,written,,
97bb848d-0a3d-5931-bae8-cae714e41b49,tg:lhhs:1823,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,9,
97bb848d-0a3d-5931-bae8-cae714e41b49,tg:lhhs:1823,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,9,pages,written,,
9c9ef39c-68b3-5abe-a895-0bbd0defb57c,tg:lhhs:18612,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,7,
9c9ef39c-68b3-5abe-a895-0bbd0defb57c,tg:lhhs:18612,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,7,pages,written,,
9143a09e-6aef-53bb-a5c6-0df267fd7e05,tg:lhhs:1989,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,55,ca
63b65fe1-a553-5702-ab94-db75a921a9e1,tg:lhhs:5163,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,55,
63b65fe1-a553-5702-ab94-db75a921a9e1,tg:lhhs:5163,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,55,pages,written,,
a4dbdc50-f57e-5000-9ae7-bab58c7bf18a,tg:lhhs:10388,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,8,
a4dbdc50-f57e-5000-9ae7-bab58c7bf18a,tg:lhhs:10388,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,8,pages,written,,
562f0269-92ec-5aee-9ecc-26d0d78f5b92,tg:lhhs:9843,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,48,ca
562f0269-92ec-5aee-9ecc-26d0d78f5b92,tg:lhhs:9843,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,48,pages,written,,
813d617e-946d-5552-994a-f86cc9d2c818,tg:lhhs:11960,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,18,
813d617e-946d-5552-994a-f86cc9d2c818,tg:lhhs:11960,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,18,pages,written,,
fb607730-08c8-5a16-be10-94bf65b354cf,tg:lhhs:10672,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,7,
fb607730-08c8-5a16-be10-94bf65b354cf,tg:lhhs:10672,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,7,pages,written,,
2eee2e3f-331b-54b6-a9c8-bee430ed25e9,tg:lhhs:8751,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
2eee2e3f-331b-54b6-a9c8-bee430ed25e9,tg:lhhs:8751,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
5c84d27a-4898-515b-ab92-4f279964a549,tg:lhhs:5499,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
a6afb95b-3287-5889-90a2-066e9cef1db7,tg:lhhs:18242,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,133,
a6afb95b-3287-5889-90a2-066e9cef1db7,tg:lhhs:18242,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,143,pages,written,,
29d7bb15-90cd-5bb0-bb16-e0e352922a93,tg:lhhs:4322,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
a9657bff-e5e4-5bbd-91c8-f0f5545c029f,tg:lhhs:15923,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,23,
a9657bff-e5e4-5bbd-91c8-f0f5545c029f,tg:lhhs:15923,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,23,pages,written,,
cbc61820-c00b-5de1-a856-b399038c4090,tg:lhhs:115,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,50,
cbc61820-c00b-5de1-a856-b399038c4090,tg:lhhs:115,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,50,pages,written,,
87014621-3546-575c-bcd3-9ed7fbd623f1,tg:lhhs:11433,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,7,
87014621-3546-575c-bcd3-9ed7fbd623f1,tg:lhhs:11433,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,7,pages,written,,
856ed58d-db88-5941-b064-405256763444,tg:lhhs:21085,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,12,
856ed58d-db88-5941-b064-405256763444,tg:lhhs:21085,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,12,pages,written,,
5ee1653e-f1a1-5bd3-9cbd-e0fd7d7db936,tg:lhhs:19003,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,24,
5ee1653e-f1a1-5bd3-9cbd-e0fd7d7db936,tg:lhhs:19003,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,24,pages,written,,
ec116209-1a86-5a39-a18e-547579caf39c,tg:lhhs:1120,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
ec116209-1a86-5a39-a18e-547579caf39c,tg:lhhs:1120,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,2,pages,written,,
5f149902-0a4b-5660-8703-f59427584064,tg:lhhs:5860,Formats,1,kenmerken/lhpageshs.lhpageshsnumber,,folios,total,1,
9f4cf17b-9cd1-5aa1-86ba-f8d2d63a4d16,tg:lhhs:4772,Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,1,pages,written,,
