brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Serial Number,Source Note,Source Note Language,Source Note Type
tg:rubdoc:4027,d4cfd302-5996-570c-8d69-1744ddca1b11,Items,1,isad:rub:3146,Doos 16,RA 010 / 111,,Nederlands,Noot
tg:rubdoc:3977,603f2fb9-6fd6-552c-993f-3f7bbe9d4bd6,Items,1,isad:rub:3143,Doos 1,RA 010 / 066,,Nederlands,Noot
tg:rubdoc:3998,eeeed5ed-c6aa-5b59-993c-e2d09ac2054d,Items,1,isad:rub:3145,Doos 16,RA 010 / 083,,Nederlands,Noot
tg:rubdoc:4135,fe9633f5-8344-5858-a6ec-95b264d06ae4,Items,1,isad:rub:3144,Missing (April 2019),RA 010 / 208,,Nederlands,Noot
tg:rubdoc:3920,49ac8bed-9923-56ca-9d52-59f52c3fd1a2,Items,1,isad:rub:3141,Doos 12,RA 010 / 018,Corresponding LB-number: LB 825.,Nederlands,Noot
tg:rubdoc:4284,2978d320-fbd9-5e46-80ad-8bafab23a49e,Items,1,isad:rub:3291,SAINTS.08,,,Nederlands,Noot
tg:rubdoc:3957,d447d279-08ad-538e-a276-7f924d039bbd,Items,1,isad:rub:3142,Doos 10,RA 010 / 049,Corresponding LB-number: LB 702/3.,Nederlands,Noot
tg:rubdoc:4142,692ecf08-0689-5cf8-bc89-f3819959c071,Items,1,isad:rub:3144,Doos 6,RA 010 / 214,Corresponding LB-number: LB 72.,Nederlands,Noot
tg:rubdoc:4007,f9464c83-3770-5876-88e0-d995c23d40d6,Items,1,isad:rub:3145,Doos 11,RA 010 / 092,"Corresponding LB-numbers: LB 722, LB 752, LB 746, LB 754, LB 758, LB 818.",Nederlands,Noot
tg:rubdoc:4007,f9464c83-3770-5876-88e0-d995c23d40d6,Items,2,isad:rub:3145,LB 818,RA 010 / 092,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4115,fef7fc1d-63fd-5d1a-8656-ae07b94b9b5c,Items,1,isad:rub:3144,Missing (April 2019),RA 010 / 191,,Nederlands,Noot
tg:rubdoc:3916,592dd4d6-09ea-5951-ba61-9ff7b3b1ead8,Items,1,isad:rub:3141,Doos 12,RA 010 / 014,Corresponding LB-numbers: LB 996-1021.,Nederlands,Noot
tg:rubdoc:4103,3d6fabbd-75e2-5ad4-a54f-1e517e7f8855,Items,1,isad:rub:3149,Doos 19,RA 010 / 180,,Nederlands,Noot
tg:rubdoc:4046,58bff9fa-0562-5f25-9c67-d0f31105d99d,Items,1,isad:rub:3147,Doos 7,RA 010 / 130,Corresponding LB-number: LB 153/23.,Nederlands,Noot
tg:rubdoc:4292,a21f9fe6-805e-529b-9923-f7a433a5d9ae,Items,1,isad:rub:3291,ACHILLES.02,,,Nederlands,Noot
tg:rubdoc:3941,870c95aa-fd8f-5de9-bb15-4982bf56394a,Items,1,isad:rub:3142,Doos 14,RA 010 / 035,Corresponding LB-number: LB 2361 and LB 2364.,Nederlands,Noot
tg:rubdoc:4154,cb106a98-5d7a-554e-9339-f0a566e5e095,Items,1,isad:rub:3144,Doos 16,RA 010 / 226,,Nederlands,Noot
tg:rubdoc:4011,4888e441-ae23-5b9c-80e7-fec409eb43c1,Items,1,isad:rub:3145,Doos 9,RA 010 / 096,Corresponding LB-numbers: LB 551-611.,Nederlands,Noot
tg:rubdoc:4206,7d1a63be-0319-53dd-bb83-2a359ae8ba58,Items,1,isad:rub:3140,LB 452,RA 010 / 255b,,Nederlands,Noot
tg:rubdoc:4085,d7ff674c-376b-596f-8a0d-6e9d73cd53ea,Items,1,isad:rub:3148,Doos 20,RA 010 / 163,,Nederlands,Noot
tg:rubdoc:4251,b90fc321-f670-58b6-82a2-5e167de73014,Items,1,isad:rub:3291,YOUTH.06,,,Nederlands,Noot
tg:rubdoc:4314,1c7a745f-06ee-5023-b335-25640cf3982c,Items,1,isad:rub:3291,PORTRAITS.13,,,Nederlands,Noot
tg:rubdoc:3982,c4ab1ce1-ef4e-5360-9681-c8ded88d0997,Items,1,isad:rub:3143,Doos 14,RA 010 / 070,,Nederlands,Noot
tg:rubdoc:4197,16fd2901-1ff5-5d2a-a5f1-608083ac46b5,Items,1,isad:rub:3140,LB 769,RA 010 / 265,,Nederlands,Noot
tg:rubdoc:4178,d7e296ee-b7f0-5666-a731-afb8466beb4d,Items,1,isad:rub:3140,Doos 24,RA 010 / 247,,Nederlands,Noot
tg:rubdoc:4247,c0b496f0-7b14-50bb-9cd4-4ab4752fd19c,Items,1,isad:rub:3291,OLDTESTAMENT.26,,,Nederlands,Noot
tg:rubdoc:3994,d7bddbe8-c017-5b35-96f5-f740ef226433,Items,1,isad:rub:3143,Doos 1,RA 010 / 079,,Nederlands,Noot
tg:rubdoc:4302,b7b8379e-9cf5-5c7a-9344-9ce442c678cf,Items,1,isad:rub:3291,MYTHOLOGY.44,,,Nederlands,Noot
tg:rubdoc:4181,6d2e1320-a523-5921-be64-3cafe01c9f03,Items,1,isad:rub:3140,Doos 24,RA 010 / 250,,Nederlands,Noot
tg:rubdoc:4210,c5f0f454-17d3-5a8e-8467-881f8c968d47,Items,1,isad:rub:3140,LB 956/1,RA 010 / 257d,,Nederlands,Noot
tg:rubdoc:4139,fcce7010-e177-523b-a98a-b50966d5ad50,Items,1,isad:rub:3144,Doos 16,RA 010 / 212,,Nederlands,Noot
tg:rubdoc:4093,e7e00ab8-473f-5179-b687-c1f4b5630205,Items,1,isad:rub:3149,Doos 17,RA 010 / 170,,Nederlands,Noot
tg:rubdoc:4138,6a4df23c-662d-50e1-9431-1878367bb15b,Items,1,isad:rub:3144,LB 140/1,RA 010 / 211,,Nederlands,Noot
tg:rubdoc:4092,5a206b91-255d-50d2-a0ac-f365ec0239c0,Items,1,isad:rub:3149,Doos 17,RA 010 / 169,,Nederlands,Noot
tg:rubdoc:4211,9be1f2c7-6e79-5e9e-80d3-7b44c99bfbeb,Items,1,isad:rub:3140,LB 703/1,RA 010 / 257e,,Nederlands,Noot
tg:rubdoc:4180,2d9cada7-03ca-5273-bdb5-59108dc587b9,Items,1,isad:rub:3140,Doos 25,RA 010 / 249,,Nederlands,Noot
tg:rubdoc:4246,2f4b89b4-9496-5117-a273-830c83bb3d77,Items,1,isad:rub:3291,OLDTESTAMENT.22,,,Nederlands,Noot
tg:rubdoc:3995,6b7ffb06-0948-5fbb-8c60-53907b9b9f40,Items,1,isad:rub:3145,Doos 12,RA 010 / 080,Corresponding LB-number: LB 910/4,Nederlands,Noot
tg:rubdoc:4303,3ad4d714-750b-50f0-82eb-2360eeaa928c,Items,1,isad:rub:3291,ALLEGORY.06,,,Nederlands,Noot
tg:rubdoc:4196,e95d7f0a-0ca7-58fe-977e-6d21257e9be5,Items,1,isad:rub:3140,LB 219/2 / MA_146,RA 010 / 264,,Nederlands,Noot
tg:rubdoc:4179,72446ebb-7c4e-53ac-87b1-f05e7cf0ea26,Items,1,isad:rub:3140,Doos 24,RA 010 / 248,,Nederlands,Noot
tg:rubdoc:4250,3fa5de6c-19c4-5b30-8d62-f50d4c1fd7b2,Items,1,isad:rub:3291,MADONNA.06,,,Nederlands,Noot
tg:rubdoc:4315,a7dac399-cebf-5278-9b61-b8398b423ed8,Items,1,isad:rub:3291,PORTRAITS.14,,,Nederlands,Noot
tg:rubdoc:3983,60964106-ccc0-5da9-a913-2465bf55dadd,Items,1,isad:rub:3143,Doos 15,RA 010 / 071,,Nederlands,Noot
tg:rubdoc:4084,8d67d170-0bed-5ff7-94c2-d151f4d17544,Items,1,isad:rub:3148,Doos 20,RA 010 / 162,,Nederlands,Noot
tg:rubdoc:4207,b7971b87-bb81-5348-82ba-893b4208e6d9,Items,1,isad:rub:3140,Doos 24,RA 010 / 256c,,Nederlands,Noot
tg:rubdoc:4155,90264913-2fcf-5efd-9f9f-75851a180f27,Items,1,isad:rub:3144,Doos 16,RA 010 / 227,,Nederlands,Noot
tg:rubdoc:4010,04d02253-c2a4-581e-acdc-933fa4ff2c47,Items,1,isad:rub:3145,LB 762/1/B,RA 010 / 095,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4010,04d02253-c2a4-581e-acdc-933fa4ff2c47,Items,2,isad:rub:3145,LB 767/2,RA 010 / 095,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4010,04d02253-c2a4-581e-acdc-933fa4ff2c47,Items,3,isad:rub:3145,LB 767/3,RA 010 / 095,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4293,702cc8be-41c4-532b-a3ab-2e58ba102236,Items,1,isad:rub:3291,ACHILLES.03,,,Nederlands,Noot
tg:rubdoc:3940,bc2a786f-d751-54ed-8c5e-5c20de948422,Items,1,isad:rub:3142,Doos 10,RA 010 / 034,"Corresponding LB-numbers: LB 639/2, LB 732, LB 733, LB 709, LB 551.",Nederlands,Noot
tg:rubdoc:4102,1deb052c-52a6-5c6a-b1fa-dfe54f0fed77,Items,1,isad:rub:3149,Doos 19,RA 010 / 179,,Nederlands,Noot
tg:rubdoc:4047,a75b40e6-f5e6-5561-b311-291b3bc45998,Items,1,isad:rub:3147,Missing (April 2019),RA 010 / 131,,Nederlands,Noot
tg:rubdoc:3917,ec952f6e-9461-5204-92bf-47624c12771d,Items,1,isad:rub:3141,Doos 12,RA 010 / 015,Corresponding LB-numbers: LB 960-969.,Nederlands,Noot
tg:rubdoc:4114,c3e8794d-9e2a-5673-8dd6-793dcf0d1e88,Items,1,isad:rub:3144,Doos 12,RA 010 / 190,Corresponding LB-numbers: LB 858-909.,Nederlands,Noot
tg:rubdoc:4051,4600fa92-eaec-5965-81a7-4d52a8cc5f90,Items,1,isad:rub:3147,Doos 7,RA 010 / 134,"Corresponding LB-numbers: LB 177, LB 178, LB 185, LB 90/1-2, LB 191 and LB 194.",Nederlands,Noot
tg:rubdoc:4143,7e0a9f89-092b-5343-80c9-b40108fdade6,Items,1,isad:rub:3144,Doos 9,RA 010 / 215,"Corresponding LB-numbers: LB 678, LB 742 and LB 626.",Nederlands,Noot
tg:rubdoc:4006,570d8bbf-cf40-57a6-90e2-d947d9435367,Items,1,isad:rub:3145,Doos 14,RA 010 / 091,Corresponding LB-number: LB 1588.,Nederlands,Noot
tg:rubdoc:4006,570d8bbf-cf40-57a6-90e2-d947d9435367,Items,2,isad:rub:3145,LB 819,RA 010 / 091,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4285,3f348d84-c3b3-53a5-a143-80673fb05351,Items,1,isad:rub:3291,SAINTS.18,,,Nederlands,Noot
tg:rubdoc:3956,90d6730c-e867-5487-8cd4-6c204d07fe92,Items,1,isad:rub:3142,Doos 10,RA 010 / 048,Corresponding LB-number: LB 694/1.,Nederlands,Noot
tg:rubdoc:3921,02ea570a-dcad-589a-aab6-c23906dfb130,Items,1,isad:rub:3141,Doos 12,RA 010 / 019,Corresponding LB-number: LB 936.,Nederlands,Noot
tg:rubdoc:4071,11ffc61c-d0d6-57c3-99bc-ff4b310b0a90,Items,1,isad:rub:3147,Doos 16,RA 010 / 151,,Nederlands,Noot
tg:rubdoc:4134,0493b14f-1d31-559b-a7a9-763da4c8bf80,Items,1,isad:rub:3144,Doos 13,RA 010 / 207,,Nederlands,Noot
tg:rubdoc:3976,d585a352-5208-5d6a-9b2e-f124a5f876b0,Items,1,isad:rub:3143,Doos 1,RA 010 / 065,,Nederlands,Noot
tg:rubdoc:3999,56708caa-a734-5ed0-a9eb-e5e78510a934,Items,1,isad:rub:3145,Doos 10,RA 010 / 084,Corresponding LB-number: LB 709.,Nederlands,Noot
tg:rubdoc:4026,11bdefd2-7186-5903-b4ae-81ccfb02bc8a,Items,1,isad:rub:3146,Doos 6,RA 010 / 110,Corresponding LB-numbers: LB 124 and LB 130.,Nederlands,Noot
tg:rubdoc:4163,90d19315-f638-5418-9210-2a885777ef02,Items,1,isad:rub:3144,Doos 5,RA 010 / 234,,Nederlands,Noot
tg:rubdoc:4319,af0e7cf8-7508-52d8-be42-698259a62d3b,Items,1,isad:rub:3291,PORTRAITS.35,,,Nederlands,Noot
tg:rubdoc:4030,f1fe3cee-432f-5589-8174-809acf6e4196,Items,1,isad:rub:3146,Doos 8,RA 010 / 114,Corresponding LB-number: LB 458/4.,Nederlands,Noot
tg:rubdoc:4175,c1d2dc24-836c-5195-96ac-6f20a26ffd67,Items,1,isad:rub:3140,Doos 24,RA 010 / 244,,Nederlands,Noot
tg:rubdoc:4067,25982455-7db9-5f60-906c-175f44cb77c0,Items,1,isad:rub:3147,Doos 8,RA 010 / 148,"Corresponding LB-numbers: LB 360, LB 362, LB 364 and LB 368.",Nederlands,Noot
tg:rubdoc:4122,f7e79728-8734-5443-826f-8a3fd7500fea,Items,1,isad:rub:3144,Doos 2,RA 010 / 197,,Nederlands,Noot
tg:rubdoc:4088,89deb21c-74bf-5d9b-b83c-71d893c2c522,Items,1,isad:rub:3148,Doos 16,RA 010 / 165,,Nederlands,Noot
tg:rubdoc:4270,1d82bb8a-4a38-5284-af14-5f10846856bc,Items,1,isad:rub:3291,MINISTRY.18,,,Nederlands,Noot
tg:rubdoc:4159,088e1c90-ae5a-5bb9-a630-982ece7c6037,Items,1,isad:rub:3144,Doos 5,RA 010 / 231,,Nederlands,Noot
tg:rubdoc:4227,2e120e9e-2e7d-5f64-acf2-d9be5b45121b,Items,1,isad:rub:3288,,RA 006 / 010,,Nederlands,Noot
tg:rubdoc:4231,c0f66260-fce1-55bf-ad1b-99b269cd9afd,Items,1,isad:rub:3290,,RA 006 / 005,,Nederlands,Noot
tg:rubdoc:4323,b9fec0f3-4714-52d0-829a-b3a91b99677a,Items,1,isad:rub:3291,HUNTING.15,,,Nederlands,Noot
tg:rubdoc:4289,22de2ccf-7d41-523d-9f5a-9e25c0c18d43,Items,1,isad:rub:3291,TORRE.06,,,Nederlands,Noot
tg:rubdoc:4266,a62c4e4c-3c1e-57c1-8ff2-1e699eac82a7,Items,1,isad:rub:3291,MADONNA.31,,,Nederlands,Noot
tg:rubdoc:4282,bb577c33-3c78-5e08-892c-ab9897e8d571,Items,1,isad:rub:3291,AFTERPASSION.16,,,Nederlands,Noot
tg:rubdoc:4328,941f9a7d-4d69-50ed-9754-4a523aa02c60,Items,1,isad:rub:3288,,RA 006 / 014,,Nederlands,Noot
tg:rubdoc:3951,8294fdb3-898d-5ea5-8992-60db7bdbe59f,Items,1,isad:rub:3142,Doos 14,RA 010 / 043,Corresponding LB-number: LB 2144.,Nederlands,Noot
tg:rubdoc:3951,8294fdb3-898d-5ea5-8992-60db7bdbe59f,Items,2,isad:rub:3142,LB 2144 / IM_093,RA 010 / 043,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4144,b0fe6441-da7a-5ab1-8bf5-4ea1e6cb8c0e,Items,1,isad:rub:3144,Doos 16,RA 010 / 216,,Nederlands,Noot
tg:rubdoc:4001,edacd296-a5b7-5a48-9593-d698b28f3244,Items,1,isad:rub:3145,Doos 11,RA 010 / 086,Corresponding LB-numbers: LB 722/24-25.,Nederlands,Noot
tg:rubdoc:3906,f647293a-b63d-56cb-9dd1-bd9371818c8a,Items,1,isad:rub:3141,Doos 10,RA 010 / 004,Corresponding LB-number: LB 718.,Nederlands,Noot
tg:rubdoc:4113,726b70ec-7776-5648-861c-550ea38cf312,Items,1,isad:rub:3144,Doos 2,RA 010 / 189,,Nederlands,Noot
tg:rubdoc:4056,85c37a09-a2ae-59fe-87fa-85ab8b98fc08,Items,1,isad:rub:3147,Doos 7,RA 010 / 137,Corresponding LB-numbers: LB 297 and LB 392.,Nederlands,Noot
tg:rubdoc:3910,b0f33027-0647-5c98-a7dc-1eb91094b1a4,Items,1,isad:rub:3141,Doos 12,RA 010 / 008,Corresponding LB-number: LB 917.,Nederlands,Noot
tg:rubdoc:4105,1a97f38d-fb79-50e3-905d-688dd7e4f9ee,Items,1,isad:rub:3149,Doos 19,RA 010 / 182,,Nederlands,Noot
tg:rubdoc:4040,a4af1d28-b0ea-5405-98cf-875c0c5a88ac,Items,1,isad:rub:3146,Doos 9,RA 010 / 124,"Corresponding LB-numbers: LB 537, LB 541 and LB 556.",Nederlands,Noot
tg:rubdoc:4294,2aada53a-7f8e-55a1-9bbf-0cd89ee0a024,Items,1,isad:rub:3291,MYTHOLOGY.06,,,Nederlands,Noot
tg:rubdoc:3947,382feb9f-dc1f-55f7-a9f8-d2503c579f54,Items,1,isad:rub:3142,Doos 9,RA 010 / 040,Corresponding LB-number: LB 670.,Nederlands,Noot
tg:rubdoc:4152,e75e5e94-cd6e-5ad8-9ca3-a7cb9b86affd,Items,1,isad:rub:3144,Doos 16,RA 010 / 224,,Nederlands,Noot
tg:rubdoc:4017,ddd89f3d-a647-5e2f-92d9-47c126b86ca2,Items,1,isad:rub:3146,Doos 6,RA 010 / 102,Corresponding LB-number: LB 105/3.,Nederlands,Noot
tg:rubdoc:4200,a0e09e5a-4904-5616-a3f9-2db34eb545ac,Items,1,isad:rub:3140,LB 798/3 / AL_077,RA 010 / 268,,Nederlands,Noot
tg:rubdoc:4257,8db72623-c821-530d-aeaa-234435d2f777,Items,1,isad:rub:3291,MADONNA.08,,,Nederlands,Noot
tg:rubdoc:3984,49426626-c0ec-5145-a4ec-0e46245f1d00,Items,1,isad:rub:3143,Doos 15,RA 010 / 072,,Nederlands,Noot
tg:rubdoc:4312,bc4c2185-1003-5b3c-944b-c84691a40216,Items,1,isad:rub:3291,PROTOTYPES.06,,,Nederlands,Noot
tg:rubdoc:4191,3e3944ba-c202-5bec-91e4-99bd4930c4ae,Items,1,isad:rub:3140,LB 1195,RA 010 / 260a,,Nederlands,Noot
tg:rubdoc:4241,5ea5aa7b-042e-5769-8566-399772b14329,Items,1,isad:rub:3291,OLDTESTAMENT.05,,,Nederlands,Noot
tg:rubdoc:4304,f199566c-5ac0-5e94-984b-6807f059aa24,Items,1,isad:rub:3291,TITLEPAGES.09,,,Nederlands,Noot
tg:rubdoc:3992,17ef4342-7821-5e35-9392-ae2f6db0c7ac,Items,1,isad:rub:3143,Doos 1,RA 010 / 077,,Nederlands,Noot
tg:rubdoc:4187,53ba2d20-12da-5715-b583-af21d0f41dcb,Items,1,isad:rub:3140,"V17, Erasmus Quellinus II, box 245b, file 19 Titelbladen",RA 010 / 256a,,Nederlands,Noot
tg:rubdoc:4168,c386d64b-ef5a-5991-8a7c-68890394fcd5,Items,1,isad:rub:3144,Doos 5,RA 010 / 238,,Nederlands,Noot
tg:rubdoc:4216,f7e33602-b1b5-5fd3-9f70-679f693fecae,Items,1,isad:rub:3140,Doos 24,RA 010 / 274,,Nederlands,Noot
tg:rubdoc:4095,cbbe1617-74a2-5ab4-9a14-8c6bcc432e39,Items,1,isad:rub:3149,Doos 18,RA 010 / 172,,Nederlands,Noot
tg:rubdoc:4148,95046d0d-150f-51f7-8661-375721b07725,Items,1,isad:rub:3144,Doos 16,RA 010 / 220,,Nederlands,Noot
tg:rubdoc:4324,157e5220-f742-5c64-a3cc-97286b666c7b,Items,1,isad:rub:3291,COLLABORATIONS.01,,,Nederlands,Noot
tg:rubdoc:4261,cf6652ad-007f-5c84-b2ae-cac060833469,Items,1,isad:rub:3291,MADONNA.24,,,Nederlands,Noot
tg:rubdoc:4236,002257b6-844f-5e14-843f-bf067ce040a1,Items,1,isad:rub:3293,,RA 006 / 011,,Nederlands,Noot
tg:rubdoc:4109,87d859d7-6ad1-5b5e-9684-f690e403c2b7,Items,1,isad:rub:3149,Doos 20,RA 010 / 185,,Nederlands,Noot
tg:rubdoc:4220,e20d056c-0d6b-5751-b251-2b61d365aae3,Items,1,isad:rub:3140,Doos 24,RA 010 / 278,,Nederlands,Noot
tg:rubdoc:4298,f6cf9eb5-b9a0-53cd-9f38-f1b87f6c3290,Items,1,isad:rub:3291,MYTHOLOGY.23,,,Nederlands,Noot
tg:rubdoc:4277,d5930ce0-a1d5-564d-a8eb-043b68630cfb,Items,1,isad:rub:3291,AFTERPASSION.05,,,Nederlands,Noot
tg:rubdoc:4060,951a83e8-15c6-5bd8-a3fc-2a1a0dfc0860,Items,1,isad:rub:3147,Doos 7,RA 010 / 141,Corresponding LB-number: LB 316.,Nederlands,Noot
tg:rubdoc:4125,565b72d9-994a-5bbc-926d-4b73867402c8,Items,1,isad:rub:3144,Doos 2,RA 010 / 199,,Nederlands,Noot
tg:rubdoc:4037,5c10ddeb-e8ea-5f43-8796-6f9df8c5f6a7,Items,1,isad:rub:3146,Doos 8,RA 010 / 121,Corresponding LB-number: LB 497.,Nederlands,Noot
tg:rubdoc:4172,f53c21a1-0b3d-50a4-9d5a-0bcde6ee3825,Items,1,isad:rub:3140,Doos 24,RA 010 / 241,,Nederlands,Noot
tg:rubdoc:3967,b29b1fbe-4ddf-5354-849d-00e944326eb9,Items,1,isad:rub:3143,Doos 23,RA 010 / 058,,Nederlands,Noot
tg:rubdoc:3988,fc69a83c-1e71-529c-95ec-608af51462a3,Items,1,isad:rub:3143,Doos 14,RA 010 / 074,"Corresponding LB-numbers: LB 1553, LB 1555, LB 1558/1 and LB 1560.",Nederlands,Noot
tg:rubdoc:4021,2bde862f-edfd-5060-a2ad-f62c59e8d46a,Items,1,isad:rub:3146,Doos 6,RA 010 / 105,Corresponding LB-number: LB 85/6.,Nederlands,Noot
tg:rubdoc:4308,2de755c9-91b3-54a4-8bf8-6bd2e5177c67,Items,1,isad:rub:3291,CONSTANTINE.02,,,Nederlands,Noot
tg:rubdoc:4076,f5b1e59e-304e-5cc6-adc3-698bbb80789b,Items,1,isad:rub:3148,Doos 21,RA 010 / 156,,Nederlands,Noot
tg:rubdoc:4099,7a8e5ad5-4935-556f-8578-b86c881adef3,Items,1,isad:rub:3149,Doos 18,RA 010 / 176,,Nederlands,Noot
tg:rubdoc:4133,5d6b2c46-b536-56ed-a244-d9eb1cf614f7,Items,1,isad:rub:3144,Doos 3,RA 010 / 206,,Nederlands,Noot
tg:rubdoc:3926,c7aadfbb-18af-5827-bd99-26882f587822,Items,1,isad:rub:3141,Doos 12,RA 010 / 023,Corresponding LB-number: LB 1046-1077.,Nederlands,Noot
tg:rubdoc:3927,ac42b5e5-ca9d-5b92-ac5a-0c09c6eda557,Items,1,isad:rub:3141,Doos 11,RA 010 / 024,Corresponding LB-number: LB 792 and LB 793.,Nederlands,Noot
tg:rubdoc:4077,b35c6bb2-0b22-59d7-a93b-ba8b9aae8c7c,Items,1,isad:rub:3148,Doos 25,RA 010 / 157,,Nederlands,Noot
tg:rubdoc:4098,bd841385-076a-5420-a906-1085e3c98798,Items,1,isad:rub:3149,Doos 18,RA 010 / 175,,Nederlands,Noot
tg:rubdoc:4132,936230b2-8c15-5889-b06a-c02689bc117e,Items,1,isad:rub:3144,Doos 3,RA 010 / 205,,Nederlands,Noot
tg:rubdoc:3970,e087752e-d197-5e37-9fe8-61c59f929c95,Items,1,isad:rub:3143,Doos 14,RA 010 / 061,Corresponding LB-number: LB 1649/2.,Nederlands,Noot
tg:rubdoc:3970,e087752e-d197-5e37-9fe8-61c59f929c95,Items,2,isad:rub:3143,LB 213/2,RA 010 / 061,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:3970,e087752e-d197-5e37-9fe8-61c59f929c95,Items,3,isad:rub:3143,LB 1780 / cc_037,RA 010 / 061,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4309,e70b4b7f-122d-51b2-a4e7-feee21030d7b,Items,1,isad:rub:3291,MEDICI.02,,,Nederlands,Noot
tg:rubdoc:4020,def2be26-d80d-5097-87ed-0f97e4c97c83,Items,1,isad:rub:3146,Doos 6,RA 010 / 104,Corresponding LB-number: LB 76.,Nederlands,Noot
tg:rubdoc:4165,273a9670-a8db-5d21-aea2-606c542c967f,Items,1,isad:rub:3144,Doos 5,RA 010 / 235,Corresponding LB-numbers: LB 1535 and LB 1438.,Nederlands,Noot
tg:rubdoc:3966,41a5f683-da46-5ef3-9df2-27a600a4f25b,Items,1,isad:rub:3143,Doos 21,RA 010 / 057,,Nederlands,Noot
tg:rubdoc:3989,e143e02a-6049-5504-b0c2-ed597bc2b920,Items,1,isad:rub:3143,Doos 1,RA 010 / 075,,Nederlands,Noot
tg:rubdoc:4036,42084f40-115a-5cf7-98f6-c1f54fda61c0,Items,1,isad:rub:3146,Doos 9,RA 010 / 120,Corresponding LB-number: LB 520/7.,Nederlands,Noot
tg:rubdoc:4173,ad71efaf-1d08-591a-a112-05c46d41d029,Items,1,isad:rub:3140,Doos 24,RA 010 / 242,,Nederlands,Noot
tg:rubdoc:4061,5d96fe20-5c7e-520e-be98-24bfedbdac0f,Items,1,isad:rub:3147,Doos 7,RA 010 / 142,Corresponding LB-number: LB 318.,Nederlands,Noot
