ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier,Material Records,Keeper,Object Number,Object Identifier,Record Type,Change History Identifier,Change History Date,Change History User,Change History Description,Change History Activity
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Descriptions,,,,,,,,,,id.desc,,,,,"Academische zitting ter gelegenheid van de 25ste verjaring van Max Rooses' overlijden. Aan het woord: Jan Denucé. Naast hem v.l.n.r.: schepen Adolf Molter, Emmanuel De Bom en Herman F. Bouchery. 
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,,e73_LegacyInformation,0,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN00/ph/000000006,referentienummer,False,,,,,,,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,,e73_LegacyInformation,1,,,,,,,,,brocade.id,,,,,,,,tg:mpmph:14,brocade id,False,,,,,,,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,,e73_LegacyInformation,1,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:14/N,brocade url,False,,,,,,,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c69d0e47-9009-53bb-ad77-2e33fd199b30"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d03174e7-7c69-487b-9165-c3b8229bc260"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_OriginalBrocade,6,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,,,,,,,,,,au::16015,keywords,"dlod={""name"":""Max Rooses"",""ark"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""uri"":""/agents/people/60147"",""id"":""au::16015"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-25 17:57:16 +0000 UTC,egacoms,,Creatie
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884076,2020-09-25 17:57:16 +0000 UTC,egacoms,Bewerken van de identificatie,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884077,2020-09-25 17:57:16 +0000 UTC,egacoms,Bewerken van de items,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884078,2020-09-25 17:57:16 +0000 UTC,egacoms,Bewerken van de kenmerken,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884082,2020-09-25 17:57:16 +0000 UTC,egacoms,Bewerken van de ISAAR relaties,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884085,2020-09-25 17:57:19 +0000 UTC,egacoms,Bewerken van de identificatie,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884086,2020-09-25 17:57:19 +0000 UTC,egacoms,Bewerken van de items,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891893,2020-10-01 17:27:36 +0000 UTC,egacoms,Bewerken van de identificatie,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891894,2020-10-01 17:27:36 +0000 UTC,egacoms,Bewerken van de items,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891895,2020-10-01 17:27:36 +0000 UTC,egacoms,Bewerken van de kenmerken,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891899,2020-10-01 17:27:36 +0000 UTC,egacoms,Bewerken van de ISAAR relaties,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891902,2020-10-01 17:27:53 +0000 UTC,egacoms,Bewerken van de identificatie,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891903,2020-10-01 17:27:53 +0000 UTC,egacoms,Bewerken van de items,edit
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14106659,2020-12-04 09:59:58 +0000 UTC,jtegenbo,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14437146,2021-04-16 05:01:46 +0000 UTC,usystem,Bewerken van de illustraties,dams
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14437155,2021-04-16 07:08:05 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14441093,2021-04-16 11:31:59 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14443886,2021-04-16 11:33:40 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14446679,2021-04-16 11:34:41 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14450291,2021-04-16 15:40:06 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14453084,2021-04-16 15:40:30 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15343274,2021-12-02 13:06:09 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15346153,2021-12-02 13:49:42 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15348957,2021-12-02 13:56:52 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15351750,2021-12-02 14:09:53 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15354813,2021-12-02 14:29:03 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15357660,2021-12-02 14:31:09 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15398470,2021-12-15 15:14:27 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15401263,2021-12-15 15:16:07 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15404056,2021-12-15 15:18:34 +0000 UTC,egacoms,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15407358,2021-12-16 10:51:21 +0000 UTC,jrobert,Markering als gecontroleerd,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15470573,2022-01-07 10:35:11 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:12,https://data.museumplantinmoretus.be/ark:/11975/43fae41d-2b9c-5b34-b10c-e558dc89ae43,Foto's,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,PlacesSource,1,,,,,,au::13308,,,,,,,,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_CreationActors,1,d2a1e3ec-f60a-5b72-a987-a56132888428,au::4838,photographers,"dlod={""name"":""De Dag [Dagblad]"",""ark"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""uri"":""/agents/corporate_entities/15455"",""id"":""au::4838"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_CreationActors,6,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""name"":""Museum Plantin-Moretus"",""ark"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""uri"":""/agents/corporate_entities/24945"",""id"":""au::13308"",""nameWithContext"":[""MPM""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,id/date.exposure/so,19390715,,,,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_CreationTimeSpans,,,,,,,,,1939-07-15,,,,,,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_DepictedItems,2,44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,au::5193,,,,,,,,,subjects (content of works),"dlod={""name"":""Ary J.J. Delen"",""ark"":""ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68"",""uri"":""/agents/people/62019"",""id"":""au::5193"",""nameWithContext"":[""Louis van Loo""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_DepictedItems,3,ce83c643-99d7-529b-a64b-4ac724e0ce14,au::13050,,,,,,,,,subjects (content of works),"dlod={""name"":""Adolf Molter"",""ark"":""ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14"",""uri"":""/agents/people/93744"",""id"":""au::13050"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_DepictedItems,4,10ebd5d8-30f1-5d73-8c23-6ab8823074b4,au::17300,,,,,,,,,subjects (content of works),"dlod={""name"":""Jules Somers"",""ark"":""ark:/83110/x0/10ebd5d8-30f1-5d73-8c23-6ab8823074b4"",""uri"":""/agents/people/62239"",""id"":""au::17300"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/10ebd5d8-30f1-5d73-8c23-6ab8823074b4,,,,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Descriptions,,,,,,,,,,id.desc,,,,,"Opening van de tentoonstelling 'Max Rooses herdacht' in het Stedelijk Prentenkabinet. Aan het woord: Ary Delen. Naast hem v.l.n.r.: schepen Adolf Molter, schepen Jules Somers en een onbekende vrouw (Rosa Rooses?).",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,,e73_LegacyInformation,0,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN00/ph/000000004,referentienummer,False,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,,e73_LegacyInformation,1,,,,,,,,,brocade.id,,,,,,,,tg:mpmph:12,brocade id,False,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,,e73_LegacyInformation,1,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:12/N,brocade url,False,,,,,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""12f3a9a8-81ed-568a-8189-70363a88718d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cd794a6b-83ad-47a4-8a93-b3a5e67c7a71"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_OriginalBrocade,5,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,,,,,,,,,,au::16015,keywords,"dlod={""name"":""Max Rooses"",""ark"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""uri"":""/agents/people/60147"",""id"":""au::16015"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-25 17:56:11 +0000 UTC,egacoms,,Creatie
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884040,2020-09-25 17:56:11 +0000 UTC,egacoms,Bewerken van de identificatie,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884041,2020-09-25 17:56:11 +0000 UTC,egacoms,Bewerken van de items,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884042,2020-09-25 17:56:11 +0000 UTC,egacoms,Bewerken van de kenmerken,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884046,2020-09-25 17:56:11 +0000 UTC,egacoms,Bewerken van de ISAAR relaties,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884049,2020-09-25 17:56:28 +0000 UTC,egacoms,Bewerken van de identificatie,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13884050,2020-09-25 17:56:28 +0000 UTC,egacoms,Bewerken van de items,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891875,2020-10-01 17:22:16 +0000 UTC,egacoms,Bewerken van de identificatie,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891876,2020-10-01 17:22:16 +0000 UTC,egacoms,Bewerken van de items,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891911,2020-10-01 17:28:40 +0000 UTC,egacoms,Bewerken van de identificatie,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891912,2020-10-01 17:28:40 +0000 UTC,egacoms,Bewerken van de items,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891947,2020-10-01 17:47:21 +0000 UTC,egacoms,Bewerken van de identificatie,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13891948,2020-10-01 17:47:21 +0000 UTC,egacoms,Bewerken van de items,edit
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14106657,2020-12-04 09:59:58 +0000 UTC,jtegenbo,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14188899,2021-01-20 07:02:52 +0000 UTC,usystem,Bewerken van de illustraties,dams
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14189153,2021-01-20 09:01:52 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14441091,2021-04-16 11:31:59 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14443884,2021-04-16 11:33:40 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14446677,2021-04-16 11:34:41 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14450289,2021-04-16 15:40:06 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14453082,2021-04-16 15:40:30 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14499852,2021-05-10 16:37:57 +0000 UTC,jrobert,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15343272,2021-12-02 13:06:09 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15346151,2021-12-02 13:49:42 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15348955,2021-12-02 13:56:52 +0000 UTC,egacoms,Markering als gecontroleerd,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15351748,2021-12-02 14:09:53 +0000 UTC,egacoms,Markering als gecontroleerd,
