brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Serial Number,adm.note,adm.note.language,adm.note.type
tg:lhbr:3721,314b362f-52ed-5d04-8de3-1e656ad8eeee,Items,1,tr:lh:4035,80265/322,isad:lh:2664,A 493 / B,,,Nederlands,remarks
tg:lhbr:282525,a910bf47-9338-565a-a0fa-739407be5464,Items,1,tr:lh:7843,202504/60a-b,isad:lh:162348,,D 325 / 974,,Nederlands,remarks
tg:lhbr:249421,91b16930-de8e-55a0-bcfa-b1a417332eff,Items,1,tr:lh:4326,,isad:lh:141673,A 493 / B2,,,Nederlands,remarks
tg:lhbr:146781,a9876ef6-f99f-5757-a433-26ad93233fef,Items,1,tr:lh:4544,87315/737,isad:lh:60828,K 98536 / B,,,Nederlands,remarks
tg:lhbr:51041,9f1cba13-d3ea-5624-ab90-cf03f43ec91d,Items,1,tr:lh:5641,113115/18b,isad:lh:1307,M 6222 / B (1956-66),,,Nederlands,remarks
tg:lhbr:234111,6e488d18-5dca-5839-951a-8f7edb07961c,Items,1,tr:lh:9767,217989/810,isad:lh:83834,Y 2 / B2,,,Nederlands,remarks
tg:lhbr:262771,08b5b18b-fa88-5b47-b703-dd3f90bbdbde,Items,1,tr:lh:139974,,isad:lh:150441,,B 798 / 294 - 380,,Nederlands,remarks
tg:lhbr:2833,beff786e-a5e8-5c4c-933f-38ec2837d4ed,Items,1,tr:lh:6462,158572/83,isad:lh:2150,V 3484 / B2,,,Nederlands,remarks
tg:lhbr:267089,badcf258-2d1a-5627-83d6-a59543f01e3d,Items,1,tr:lh:4315,83412/128,isad:lh:152746,,S 3144 / 2,,Nederlands,remarks
tg:lhbr:143079,e164bb24-2e64-55ab-bebc-6630e900b6bf,Items,1,tr:lh:3140,64042/4,isad:lh:59465,T 335 / B,,,Nederlands,remarks
tg:lhbr:115619,2f10f2a8-0190-5141-b496-53068bdd29aa,Items,1,,,isad:lh:49039,D 2195 / B2,,,Nederlands,remarks
tg:lhbr:192989,0f24abab-a174-5cb1-bf46-2708a2fc4daf,Items,1,tr:lh:5678,114686/105,isad:lh:70831,T 48399 / B (1964),,,Nederlands,remarks
tg:lhbr:168329,f70d676e-3333-5f79-a9cb-9bde05865725,Items,1,tr:lh:6415,153407/2,isad:lh:68593,D 125 / B2,,,Nederlands,remarks
tg:lhbr:29289,fc30fcc5-5d7e-5622-800d-d9f5fc138c2a,Items,1,tr:lh:7314,,isad:lh:14247,FVCA / B (1933-1940),,,Nederlands,remarks
tg:lhbr:117624,dc666472-e8e7-56f2-80f3-6ef28f30e1a4,Items,1,tr:lh:2197,41809/84a-b,isad:lh:49951,,,,Nederlands,remarks
tg:lhbr:56784,f3a373ae-df28-51ca-a570-a4df9d813a24,Items,1,tr:lh:4355,84259/5,,G 3625 / B,,,Nederlands,remarks
tg:lhbr:218584,b544c937-61e2-53e3-9b09-5e19f5a0e4f3,Items,1,tr:lh:7335,186399/119,isad:lh:79339,S 59 / Archief A,,,Nederlands,remarks
tg:lhbr:108928,67985bec-be40-51f3-9663-bd85fb9cdfd7,Items,1,tr:lh:2413,46748/9,isad:lh:46217,O 16225 / B,,,Nederlands,remarks
tg:lhbr:49888,448b79f7-e401-5811-a669-7c2397a8ed2d,Items,1,tr:lh:1860,33308/2,isad:lh:22763,E 147 / B,,,Nederlands,remarks
tg:lhbr:280518,533c7899-a944-5c32-a6b5-b42e0e17a023,Items,1,tr:lh:9630,,isad:lh:160002,,C 243 / B 2,,Nederlands,remarks
tg:lhbr:98178,83838fcd-38a9-5e42-ab23-a1697ce768d3,Items,1,tr:lh:4798,95609/22a-b,isad:lh:6439,N 1725 / B (12),,,Nederlands,remarks
tg:lhbr:182570,4dc44433-fdf8-5104-af44-dba143ac1158,Items,1,tr:lh:6415,153077/41,isad:lh:72414,D 125 / B2,,,Nederlands,remarks
tg:lhbr:149474,f21bb853-258e-55cd-8258-0834998ee66a,Items,1,tr:lh:5630,112913/618,isad:lh:555,K 376 / B (Deel II),,,Nederlands,remarks
tg:lhbr:134144,da56febf-013a-59f6-acbf-54fe35757902,Items,1,tr:lh:4743,91792/17,isad:lh:56066,S 623 / B,,,Nederlands,remarks
tg:lhbr:162724,22aac50c-d4f5-5b29-becf-da31c6320f25,Items,1,tr:lh:6879,170133/321,isad:lh:66433,W 70898 / B2,,,Nederlands,remarks
tg:lhbr:23684,fde80e26-1ff0-5a30-910d-c270f299a871,Items,1,tr:lh:5850,123806/355,isad:lh:691,W 686 / B (5 quater),,,Nederlands,remarks
tg:lhbr:288128,7766ac0c-ddc2-5166-b972-460edab48a2f,Items,1,tr:lh:5479,107680,isad:lh:165026,,R 1476 / 173,,Nederlands,remarks
tg:lhbr:187288,53893d99-ce58-5789-97ad-4d6f2826a89b,Items,1,tr:lh:3772,72465/169,isad:lh:73654,T 48399 / B (1951),,,Nederlands,remarks
tg:lhbr:90548,119b4bc0-8b43-59f6-a8f1-136e7c01612e,Items,1,tr:lh:6004,132097/3,isad:lh:38735,R 512 / B,,,Nederlands,remarks
tg:lhbr:241011,59de65e9-90fe-5ef7-8cc1-d4a04b414504,Items,1,tr:lh:110434,,isad:lh:123890,,C 2756 / 437,,Nederlands,remarks
tg:lhbr:217671,3e039b6a-20d7-535c-98aa-aa5272d027ff,Items,1,tr:lh:6714,166480/9,isad:lh:79116,V 4124 / B1,,,Nederlands,remarks
tg:lhbr:133681,da5df49e-91cf-53d2-9c0f-86d548b058ca,Items,1,tr:lh:992,18452/7,isad:lh:55968,S 617 / B,,,Nederlands,remarks
tg:lhbr:72721,9d3d06c1-3fac-597d-a625-ae1c72180847,Items,1,tr:lh:1279,21876/3,,H 592 / B,,,Nederlands,remarks
tg:lhbr:24141,4c53de61-8577-5f01-81c6-29803f9ff456,Items,1,tr:lh:4736,90258/3,isad:lh:11978,C 1343 / B,,,Nederlands,remarks
tg:lhbr:92575,c76b9b2c-c445-5f66-8883-24627586b712,Items,1,,162973/a-c,,L 648 / B,,,Nederlands,remarks
tg:lhbr:59471,53dde39c-f13c-5955-aac7-5977f52be111,Items,1,tr:lh:5938,129255/2,isad:lh:26396,G 399 / B,,,Nederlands,remarks
tg:lhbr:136179,19e8e912-b5ab-5a74-b408-0e838b4b8bdb,Items,1,tr:lh:5936,129188/218,isad:lh:2094,G 102 / B (8),,,Nederlands,remarks
tg:lhbr:160719,1d803260-2c32-5584-bf1d-fd20f50179d5,Items,1,tr:lh:5863,124404/385,isad:lh:65929,W 684 / B,,,Nederlands,remarks
tg:lhbr:212189,a6f0cc7f-525c-54ca-8c19-cff781e70aaa,Items,1,tr:lh:6465,158601/120,isad:lh:77751,S 7904 / B2 (1973-1974-1975),,,Nederlands,remarks
tg:lhbr:128167,1e410a17-dfd2-5c7d-baa6-309df6369a00,Items,1,tr:lh:5130,101382/8a-b,isad:lh:53767,R 6036 / B,,,Nederlands,remarks
tg:lhbr:132993,470014e1-3698-52f8-8131-3757ff5b3fe9,Items,1,,,isad:lh:55699,S 5893 / B,,,Nederlands,remarks
tg:lhbr:73833,341728a0-289c-552d-b677-e52137f7f37e,Items,1,tr:lh:30,3521/2,isad:lh:33244,H 737 / B,,,Nederlands,remarks
tg:lhbr:155457,5e490563-2a9d-51fb-9f72-25c09b202bc5,Items,1,tr:lh:2924,59187/14,isad:lh:64052,V 851 / B,,,Nederlands,remarks
tg:lhbr:216963,97e87256-ccfe-50c9-83a0-cea738c3202a,Items,1,tr:lh:7707,200321/43 ter,isad:lh:78795,G 22445 / B1,,,Nederlands,remarks
tg:lhbr:103237,4803495f-0682-5d3e-a7ff-fb1c2eb0206b,Items,1,tr:lh:5863,124394/1023,isad:lh:43750,M 827 / B,,,Nederlands,remarks
tg:lhbr:42397,a8deb197-1d76-55dc-947b-8620879f8aad,Items,1,tr:lh:5692,115194/20,isad:lh:2696,C 416 / B (1977),,,Nederlands,remarks
tg:lhbr:89293,b5806c2c-3db4-5905-bdee-267020205dfb,Items,1,tr:lh:6045,135275/56,isad:lh:38237,R 134 / B,,,Nederlands,remarks
tg:lhbr:13232,936e9644-3d3c-55ab-b7b5-57ea56d45db2,Items,1,tr:lh:6362,148700/21,isad:lh:7484,C 4095 / B,,,Nederlands,remarks
tg:lhbr:152392,b1ec9a3e-ea6e-57b4-aea1-08021f77b8d2,Items,1,tr:lh:1279,21877/5,,V 4835 / B,,,Nederlands,remarks
tg:lhbr:199296,44979b56-311b-5569-8f71-d9104804bcc2,Items,1,tr:lh:4175,80720/23,isad:lh:75061,B 417 / B2,,,Nederlands,remarks
tg:lhbr:45452,18450af6-20f6-5dbb-9960-cb907fa7dd94,Items,1,tr:lh:9822,79955/211,isad:lh:21050,S 5754 / B2,,,Nederlands,remarks
tg:lhbr:163836,115ab245-ecc9-5020-bb56-57f689083d97,Items,1,,,isad:lh:66825,Z 317 / B,,,Nederlands,remarks
tg:lhbr:22996,80aef83c-860c-5469-b702-e6f4007d5df4,Items,1,tr:lh:3477,68562/698,isad:lh:11645,B 994 / B,,,Nederlands,remarks
tg:lhbr:220502,c724a2d4-ef5b-5202-b55d-d212683e1c15,Items,1,tr:lh:7770,201272/225,isad:lh:79928,A 45005 / B2,,,Nederlands,remarks
tg:lhbr:38162,c6dbe08c-1894-50da-a0d1-6abc73ed5e12,Items,1,tr:lh:1762,32021/2,,C 3873 / B,,,Nederlands,remarks
tg:lhbr:296136,f096fb19-867e-5d46-b7aa-c7485789ffc5,Items,1,,,isad:lh:124826,,C 33941 / 76,,Nederlands,remarks
tg:lhbr:150655,ad4547b6-916a-5a55-aed5-97beb4b96b1f,Items,1,tr:lh:4738,90852/2,isad:lh:62428,V 465 / B,,,Nederlands,remarks
tg:lhbr:106035,5840acb1-8a0b-5962-ae21-0a2f12ac130c,Items,1,tr:lh:4758,94339/785,isad:lh:45125,M 896 / B,,,Nederlands,remarks
tg:lhbr:47195,aeb1e0ae-32ea-507f-8a45-661f1ac1c1f9,Items,1,tr:lh:4057,77827/204,isad:lh:21674,C 1 / B,,,Nederlands,remarks
tg:lhbr:238831,d2362082-f4d5-503c-9c00-ee0dad0764b3,Items,1,,220632,isad:lh:85748,WW 174 / B1,,,Nederlands,remarks
tg:lhbr:96865,b9919b14-ec0d-5c02-8369-2b2e9c51d9f2,Items,1,tr:lh:3079,61200/277,isad:lh:41270,M 3631 / B,,,Nederlands,remarks
tg:lhbr:209395,64b9eab4-3a89-5201-89fb-08345c98df89,Items,1,tr:lh:6413,151924/12,isad:lh:77039,W 256 / B2 ((periode L. Simons 1969-1984) 21),,,Nederlands,remarks
tg:lhbr:291309,e2c34ed6-9c9e-5d27-a15c-7b7f0bed5293,Items,1,,,isad:lh:173320,,R 5419 / 251,,Nederlands,remarks
tg:lhbr:89769,2194e31c-bf69-56da-a297-41a3f715e6e1,Items,1,tr:lh:4796,95559/31,isad:lh:7203,H 722 / B (1961-63),,,Nederlands,remarks
tg:lhbr:729,2e2a4119-ff49-5ed4-93e3-fb36a6a0ca8e,Items,1,tr:lh:2032,38077/1,,A 207 / B,,,Nederlands,remarks
tg:lhbr:258230,ef391897-cfd7-571f-a3a3-8a60d3be975b,Items,1,tr:lh:9770,,isad:lh:147624,,J 416 / 67,,Nederlands,remarks
tg:lhbr:293334,90751e79-fac7-5169-8bad-90fea2fb6fd7,Items,1,tr:lh:140162,,isad:lh:178525,,,"'Brian' was verbonden aan het University College Wales in Aberystwyth, waar Hubert Lampo de bibliotheek bezocht.",Nederlands,remarks
tg:lhbr:186860,094e2a0c-caba-507f-b810-947b832bf43d,Items,1,tr:lh:3772,72465/56,isad:lh:73654,T 48399 / B (1951),,,Nederlands,remarks
tg:lhbr:269994,42883c45-714a-5d2d-b202-7e387214a590,Items,1,tr:lh:110330,,isad:lh:113427,,R 8963 / 288,,Nederlands,remarks
tg:lhbr:225700,63b36526-6bcb-500b-9a32-f36837625edf,Items,1,tr:lh:7870,210364/2,isad:lh:81432,S 59 / Archief P,,,Nederlands,remarks
tg:lhbr:157190,13978a84-fc31-5c75-b8d0-489abd96f5f1,Items,1,tr:lh:5898,137804,isad:lh:64647,W 1499 / B,,,Nederlands,remarks
tg:lhbr:16030,2b1747bf-14ec-5c32-818f-1e2d15ab17e0,Items,1,tr:lh:4160,80561/62,isad:lh:8681,B 7305 / B,,,Nederlands,remarks
tg:lhbr:40650,1d09c955-f032-5997-b0c0-b82941332021,Items,1,tr:lh:4797,95601/89,isad:lh:6074,N 1725 / B2 (3),,,Nederlands,remarks
tg:lhbr:152668,7fad8400-a87c-5930-9c3a-ad5e323646ec,Items,1,,,isad:lh:62876,V 486 / B,,,Nederlands,remarks
tg:lhbr:104008,65e9f4d9-7c65-5784-b012-c42a23dc72e7,Items,1,tr:lh:6502,160255/3a,isad:lh:43920,K 3024 / B2,,,Nederlands,remarks
tg:lhbr:276698,14cc8cf8-03f4-5900-9cc9-736172f55a21,Items,1,tr:lh:139794,,isad:lh:157766,,VV 237 / 2,,Nederlands,remarks
tg:lhbr:179538,a3905df9-3731-5233-ac6e-e78d833989b9,Items,1,tr:lh:7478,197224/15,isad:lh:71824,M 224 / B,,,Nederlands,remarks
tg:lhbr:38498,cac95552-b863-56fc-a750-068d3286fbaf,Items,1,tr:lh:2456,47472/8,isad:lh:18168,C 397 / B,,,Nederlands,remarks
tg:lhbr:94858,8ed3f59a-8964-5a71-877d-079ff2155a18,Items,1,tr:lh:5832,123194/3,isad:lh:40454,M 168 / B,,,Nederlands,remarks
tg:lhbr:41942,0838d877-fc51-5a98-a3cb-9f506f7c4456,Items,1,tr:lh:2064,38727/7,isad:lh:19640,D 2288 / B,,,Nederlands,remarks
tg:lhbr:131346,b96857bc-83a6-5b05-80ec-c012cc88ce96,Items,1,,,isad:lh:55035,S 415 / B,,,Nederlands,remarks
tg:lhbr:224812,96fe6b40-985e-5c77-b3bf-980c937533e4,Items,1,tr:lh:7063,177320/88,isad:lh:74179,D 125 / B2,,,Nederlands,remarks
tg:lhbr:167526,2bf0965f-d263-551f-91f4-64a959287e7d,Items,1,tr:lh:6029,133311/42a-c,isad:lh:8947,O 39465 / B,,,Nederlands,remarks
tg:lhbr:26486,529b6ce6-610c-5360-bf2a-2298f2f7fcfc,Items,1,tr:lh:7314,,isad:lh:12872,FVCA / B (1940-1944),,,Nederlands,remarks
tg:lhbr:268686,f39bc77a-59f9-5373-9aa7-f4375d88873d,Items,1,tr:lh:4516,86893/9,isad:lh:154542,,,,Nederlands,remarks
tg:lhbr:187772,6025ed6d-a163-599e-b34e-7e2dde15114d,Items,1,tr:lh:6888,170628,isad:lh:73745,D 715 / B2,,,Nederlands,remarks
tg:lhbr:97777,2683d620-dd6c-5150-9eb0-0206feb35089,Items,1,tr:lh:5604,121873/1415a-b,isad:lh:41634,B 1333 / B2,,,Nederlands,remarks
tg:lhbr:239723,d45153e4-792f-5cbd-b33f-3870608d5733,Items,1,tr:lh:9295,,isad:lh:106973,,BB 457 / 31,,Nederlands,remarks
tg:lhbr:136483,0f759f55-86e4-5226-bc9b-ce01a30b85ac,Items,1,,142691,,S 7666 / B,,,Nederlands,remarks
tg:lhbr:21343,35879c9b-c5b1-5eee-8c88-87ecfca72412,Items,1,tr:lh:2364,45136/2,isad:lh:10893,B 929 / B,,,Nederlands,remarks
tg:lhbr:244213,d14e8bae-1df1-592a-8dae-2eee51b19b87,Items,1,tr:lh:126473,,isad:lh:130169,,D 9653 / 15 (127),,Nederlands,remarks
tg:lhbr:212473,dec506a0-9ea7-5431-8007-1723e66f2044,Items,1,tr:lh:7571,198340/17,isad:lh:77770,M 224 / B,,,Nederlands,remarks
tg:lhbr:151947,00d8dd8f-1b48-5b38-9299-703fa3b7548f,Items,1,tr:lh:5510,113830/19a-c,isad:lh:62616,V 4655 / B,,,Nederlands,remarks
tg:lhbr:231313,cce25685-7c8f-5b44-b84d-04dfe14fb36c,Items,1,tr:lh:7785,201601/552,isad:lh:83139,R 467 / B2,,,Nederlands,remarks
tg:lhbr:267573,672c8cdd-943b-5f6d-99a3-fb8dfc740397,Items,1,tr:lh:128783,,isad:lh:133058,,R 462 / 1013,,Nederlands,remarks
tg:lhbr:124847,fafad601-a98d-5394-8e63-6288e0818d40,Items,1,tr:lh:6465,158593/130,isad:lh:2169,S 7904 / B2 (1967),,,Nederlands,remarks
tg:lhbr:188487,ff82ccc6-bdcc-5512-a0f1-7ae9c86c210c,Items,1,tr:lh:3772,72465/107,isad:lh:73830,T 48399 / B (1954),,,Nederlands,remarks
tg:lhbr:143583,23775704-93c2-5a74-af53-3d6915d7ac2e,Items,1,tr:lh:5487,108117/3,isad:lh:59688,R 512 / B2,,,Nederlands,remarks
tg:lhbr:54243,407e4b71-6f16-5cb7-976c-25eeba43ac76,Items,1,tr:lh:3427,67943/5,isad:lh:24459,F 466 / B,,,Nederlands,remarks
tg:lhbr:287727,aa6928df-4fcb-5710-9385-2b4f7b6477a0,Items,1,tr:lh:5479,107680,isad:lh:164964,,H 1476 / 171,,Nederlands,remarks
tg:lhbr:29773,93416c5b-17b4-5314-8a0d-386b1663c609,Items,1,tr:lh:7314,,isad:lh:14468,FVCA / B (1919-1932),,,Nederlands,remarks
tg:lhbr:139776,5e808eed-aa86-5a6a-987d-6ad78337edf2,Items,1,tr:lh:5895,126848/a-b,isad:lh:58128,S 995 / B,,,Nederlands,remarks
tg:lhbr:144246,aaf099a7-d84f-5823-a4cb-e59241e7fc36,Items,1,,,isad:lh:59977,T 403 / B,,,Nederlands,remarks
tg:lhbr:98482,460664f7-1da7-5d73-9f08-a461bb5bac9b,Items,1,tr:lh:6010,141731/a-e,isad:lh:41884,H 225 / B,,,Nederlands,remarks
tg:lhbr:112426,ce3d2144-1982-5c4c-be8b-bee27cb8d89c,Items,1,tr:lh:5936,129846/2128,isad:lh:2417,G 102 / B (Tentoonstelling 66),,,Nederlands,remarks
tg:lhbr:53586,2f4eafae-1698-5484-b1b2-8837c4472947,Items,1,tr:lh:6510,159943/161,isad:lh:21591,F 433 / B2 (Dossier Uren van Schoonheid),,,Nederlands,remarks
tg:lhbr:34842,0cc548de-a6f9-5809-bc23-c564e25d8160,Items,1,tr:lh:2122,41132/2,isad:lh:16542,C 346 / B,,,Nederlands,remarks
tg:lhbr:63130,32925442-1917-5eb1-abdc-366b583df1b7,Items,1,,,isad:lh:28681,G 563 / B,,,Nederlands,remarks
tg:lhbr:35750,6bfd4022-a96b-53e4-85d0-db8eb093adeb,Items,1,tr:lh:5898,137999,isad:lh:16958,C 3555 / B,,,Nederlands,remarks
tg:lhbr:250600,a049b20b-900c-55b9-bd54-ba3c11f5c03b,Items,1,tr:lh:3456,74688,isad:lh:143195,A 493 / B2,,,Nederlands,remarks
tg:lhbr:206060,f081ab05-8a4b-5bca-bfe1-9a47398d94b2,Items,1,tr:lh:6409,150696/4,isad:lh:75899,W 256 / B2 ((periode A. Westerlinck 1945-1968) 7),,,Nederlands,remarks
tg:lhbr:48260,2bd7b547-5ba0-5a5c-8867-98dcf646bd6c,Items,1,tr:lh:3844,73854/58,isad:lh:22111,D 89 / B,,,Nederlands,remarks
tg:lhbr:83364,55bffd8b-ffe2-5466-934e-aae7b9749bd3,Items,1,tr:lh:6415,153140/2,isad:lh:36234,D 125 / B2,,,Nederlands,remarks
tg:lhbr:138864,69e2782a-76f0-5af5-88ac-241b55942415,Items,1,tr:lh:4068,78090/a-b,isad:lh:57781,S 935 / B,,,Nederlands,remarks
tg:lhbr:284808,f5d54170-553e-5b50-8a32-f19ae9cd7dc7,Items,1,,,isad:lh:164077,,L 1833 / 141,,Nederlands,remarks
tg:lhbr:203798,52eded4b-f85d-5f86-9135-75ab2d5dc451,Items,1,tr:lh:6886,171373/1749,isad:lh:75462,S 935 / B2,,,Nederlands,remarks
tg:lhbr:127768,b2d83d6c-ab14-52d1-9f11-249854cd1e20,Items,1,tr:lh:5454,107180/3,isad:lh:53593,R 924 / B,,,Nederlands,remarks
tg:lhbr:171108,dbcca16c-f548-501b-a274-c9e6022cc196,Items,1,tr:lh:6788,168122/1,isad:lh:69355,P 545 / B,,,Nederlands,remarks
tg:lhbr:28861,ce8beeb4-850d-5876-97cf-ff994e285127,Items,1,tr:lh:7314,,isad:lh:14051,FVCA / B (1880-1918),,,Nederlands,remarks
tg:lhbr:158265,b0dc872e-6d6e-5531-baad-f7a1fd1540b6,Items,1,tr:lh:5752,117944/7a-b,isad:lh:64980,W 213 / B,,,Nederlands,remarks
tg:lhbr:193361,c388072d-cd72-5885-9ac0-80c47a01c94b,Items,1,,163834/22,isad:lh:74368,G 395 / B2,,,Nederlands,remarks
tg:lhbr:286835,d4863bb7-5428-52db-8487-5a0ef383cd02,Items,1,tr:lh:128691,,isad:lh:129974,,B 805 /476,,Nederlands,remarks
tg:lhbr:125755,720c9c31-a1b0-5153-be2e-b5142cddaaad,Items,1,tr:lh:2195,41700/505,isad:lh:52866,R 704 / B,,,Nederlands,remarks
tg:lhbr:173135,68b04a3a-772d-5cbc-b4e9-cb221e0d765c,Items,1,tr:lh:6415,152985/13,isad:lh:20921,D 125 / B2,,,Nederlands,remarks
tg:lhbr:32095,a56e5f15-751f-571b-9c67-d028e32d21bf,Items,1,tr:lh:4744,92366/16a-b,isad:lh:15595,C 274 / B,,,Nederlands,remarks
tg:lhbr:6523,fd166584-77b5-5312-9979-2821813cd06a,Items,1,tr:lh:2793,55227,isad:lh:4271,A 1814 / B,,,Nederlands,remarks
tg:lhbr:196499,eeb93bf8-dffa-5091-9e94-3a070775ee99,Items,1,tr:lh:5678,114688/313,isad:lh:74608,T 48399 / B (1966),,,Nederlands,remarks
tg:lhbr:81359,d5817aa8-aab2-52d1-8b9f-039ee1df2e73,Items,1,tr:lh:5901,127070,isad:lh:35556,K 174 / B,,,Nederlands,remarks
tg:lhbr:51411,0262873a-ea2e-52a1-8e70-927cf5cb4851,Items,1,tr:lh:5604,128012/3,isad:lh:23375,E 38 / B,,,Nederlands,remarks
tg:lhbr:253885,dfee9ef8-345d-5142-8e4f-e156b197cb9c,Items,1,,,isad:lh:145019,M 58 / 3,,,Nederlands,remarks
tg:lhbr:262321,1d623fee-1bc7-534d-830f-3e073a2de673,Items,1,tr:lh:139974,,isad:lh:150201,,B 798 / 178 - 235,,Nederlands,remarks
tg:lhbr:234541,c133c28e-fbca-5d1a-a0a1-ce7d6336f3b5,Items,1,tr:lh:9767,217989/1198,isad:lh:83962,Y 2 / B2,,,Nederlands,remarks
tg:lhbr:177875,eadfe584-a3a8-547b-a7ff-5bb39c17b7bc,Items,1,tr:lh:7442,196726/6,isad:lh:71164,P 257 / B2,,,Nederlands,remarks
tg:lhbr:282175,ad4bb3cb-5e14-5705-9ea5-2f43529eacea,Items,1,tr:lh:7843,202504/60a-b,isad:lh:162172,,D 325 / 893,,Nederlands,remarks
tg:lhbr:249071,7d43f0bd-4956-560f-83dc-a4504b8efa68,Items,1,tr:lh:2279,,isad:lh:141222,,C 3622 / 25,,Nederlands,remarks
tg:lhbr:143429,1e3f336f-bd25-55a0-92bb-793af6ab446f,Items,1,tr:lh:4775,93990/5,,T 379 / B,,,Nederlands,remarks
tg:lhbr:67870,ddc90bed-a0ed-58d9-b9a9-2db02df0a0e6,Items,1,tr:lh:5641,113129/5,isad:lh:1636,M 6222 / B (1966-74),,,Nederlands,remarks
tg:lhbr:233284,d4ca9b6b-ae44-5f53-9c09-366225b9ac3c,Items,1,tr:lh:9356,217747/240,isad:lh:83643,C 2752 / B2 (tijdschrift Nul),,,Nederlands,remarks
tg:lhbr:117274,1d41b051-90f9-51c0-bf84-f6886937ef71,Items,1,tr:lh:1717,30260/16,isad:lh:49795,P 7248 / B,,,Nederlands,remarks
tg:lhbr:202920,a3bf21f2-b48c-5303-9d5e-dd96f349cdd3,Items,1,tr:lh:5678,114695/180,isad:lh:75288,T 48399 / B (1973),,,Nederlands,remarks
tg:lhbr:141414,e8f9c8da-96df-5b41-a392-53b1f623a1fb,Items,1,tr:lh:6738,166997/31,isad:lh:58788,S 5955 / B,,,Nederlands,remarks
tg:lhbr:98528,2c02e527-dd55-587d-ba72-5e8ce3475f10,Items,1,tr:lh:5759,118085/1,isad:lh:41901,M 511 / B,,,Nederlands,remarks
tg:lhbr:175848,a5b9d2d9-f572-57d4-94d3-d4608f1f6920,Items,1,tr:lh:7063,177314/386,isad:lh:70713,D 125 / B2,,,Nederlands,remarks
tg:lhbr:280148,730d437c-a958-5c0f-a1f1-dfb7c0aaf7f2,Items,1,tr:lh:7843,202504/60a-b,isad:lh:160321,,D 325 / 670,,Nederlands,remarks
tg:lhbr:203632,28abc09e-1c5f-500c-8320-756829b5502e,Items,1,tr:lh:6886,171373/1386a-b,isad:lh:75433,S 935 / B2,,,Nederlands,remarks
tg:lhbr:255052,d08b7320-c5f2-5436-8970-005ee33e874a,Items,1,tr:lh:9770,,isad:lh:145705,,J 416 / 54,,Nederlands,remarks
tg:lhbr:30102,215e0818-6538-5eca-8519-2076088bee3f,Items,1,tr:lh:7314,,isad:lh:14627,FVCA / B (1919-1932),,,Nederlands,remarks
