ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number
17381590-bcd1-52ec-982a-0e1e174de782,tg:lhpr:2184_#2,Items,1,tr:lh:2599,52229,Planex KP / S 535,isad:lh:96336,,,
a1421c55-9a0a-5b74-ab8a-a0b52838414b,tg:lhpr:2741_#1,Items,1,tr:lh:1202,20511/1,Planex GP / P 346,,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,
4c65af97-b69f-5c2d-844e-f9091fdca802,tg:lhpr:2741_#2,Items,1,tr:lh:1279,21871,Planex GP / P 346,,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,
a1da1a60-05db-5f56-970c-885098ee7c6c,tg:lhpr:2741_#3,Items,1,,50338/1-2,Planex GP / P 346,,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,
031be3f0-227c-5452-861a-3e6d68367945,tg:lhpr:2741_#4,Items,1,,54787,Planex GP / P 346,,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,
1d42d45b-d645-50b0-becc-143a7a2e3d33,tg:lhpr:2741_#5,Items,1,tr:lh:7684,200123,SC 06 E 2,isad:lh:96485,Nr. 200123 originele houten lijst. Afdruk zonder handtekening,,
23965c2c-f28f-5d24-af22-a7cef5c1caa2,tg:lhpr:3279_#1,Items,1,,107845,C 3843 / I,isad:lh:96333,,,
2a25571e-94bf-5d5b-882c-6add542e505e,tg:lhpr:3279_#2,Items,1,tr:lh:6749,167286/1,C 3843 / I,isad:lh:96333,,,
72241463-76c6-5e83-9424-97107c09c365,tg:lhpr:4292_#1,Items,1,,36408/4,R 1627 / I,isad:lh:96535,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",,
e5cbee76-9e8d-562f-ab28-f08b4ab43a95,tg:lhpr:4292_#2,Items,1,tr:lh:4053,77778/4,R 1627 / I,isad:lh:96535,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",,
468de07b-4720-5b6e-8b1d-a4d2982f4ecf,tg:lhpr:1585_#1,Items,1,tr:lh:1202,20519,Planex KP / B 745,isad:lh:96287,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",,
4aef9fcc-4ec3-50db-a661-8795c391bbc1,tg:lhpr:1585_#2,Items,1,tr:lh:5764,118528,Planex KP / B 745,isad:lh:96287,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",,
cc4f22db-177b-514e-8ddf-6d69a1390852,tg:lhpr:5694_#1,Items,1,tr:lh:1624,29317,M 546 / I (Doos II),isad:lh:96254,"**Publicatie** _De Ploeg_. 3de jaargang, nr. 8, 24-02-1921, p. 1.",,
4d3d2496-cd2f-5721-ae39-f43100a74af9,tg:lhpr:5694_#2,Items,1,,141132,M 546 / I (Doos II),,,,
8ea4b7c9-23ff-5c67-90a2-d208b958e795,tg:lhpr:2805_#1,Items,1,,104553,"Planex GP / X, 1",,,,
bc9dce92-bbe7-518f-8152-4a286ea6a7ae,tg:lhpr:2805_#2,Items,1,tr:lh:5492,121339,"Planex GP / X, 1",,,,
9226a92d-838b-53d2-b2ed-c88f893bc274,tg:lhpr:2296_#1,Items,1,,27381/820,Planex KP / M 5165,,(1) 27381/820 : (r.b.)_Veiling Apers 26.6.17_,,
aa3bb6c1-6a39-5d81-87f1-080ab597011b,tg:lhpr:2296_#2,Items,1,tr:lh:6960,173822,Planex KP / M 5165,,(1) 27381/820 : (r.b.)_Veiling Apers 26.6.17_,,
927ba322-e3e9-5920-85be-deed3df91870,tg:lhpr:2828_#1,Items,1,,35094,"Planex GP / X, 2",,,,
47118561-34b2-527a-9c20-0f3e6bb76a82,tg:lhpr:2828_#2,Items,1,,43292/3,"Planex GP / X, 2",,,,
0fef2305-a0f1-5352-910a-4254bb3e28f0,tg:lhpr:2982_#1,Items,1,tr:lh:1078,19347,"Planex GP / X, 4",isad:lh:96457,,,
0c4d2680-a523-5345-9c50-c276675fe9e7,tg:lhpr:2982_#2,Items,1,tr:lh:1078,19358,V 724 / I Planex GP,,,,
4526f0e6-46a3-5ddf-9d52-873db14b7070,tg:lhpr:4293_#1,Items,1,,36408/1,R 1627 / I,isad:lh:96535,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 53 en op de omslag. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",,
5d014347-396b-5384-95fc-7c490c2a35ba,tg:lhpr:4293_#2,Items,1,tr:lh:4053,77778/1,R 1627 / I,isad:lh:96535,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 53 en op de omslag.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",,
bdfcb82a-65bb-5566-b1bd-6d802b06a871,tg:lhpr:3782_#1,Items,1,tr:lh:6603,163471,(2)SC Planex GT - H 5049/I,isad:lh:96499,"(2) is gedrukt op Japans papier

Afmetingen: 20,7 x 21,5 met rand: 45,5 x 30,4",,
a83c0ef1-86c7-56f5-8288-f5c6119b36f6,tg:lhpr:3782_#2,Items,1,,177440,H 5049 / I,,"(2) is gedrukt op Japans papier

Afmetingen: 20,7 x 21,5 met rand: 45,5 x 30,4",,
9721e2b9-5c50-5fbb-86e6-26161b9a73c7,tg:lhpr:3281_#1,Items,1,,39529,C 3843 / I,,Vier exemplaren,,
c2f7434f-cea6-57e7-b10f-64df8ef20887,tg:lhpr:3281_#2,Items,1,,43787/13,C 3843 / I,,Vier exemplaren,,
9b1e8106-659e-5ec5-bfd0-d87231d4949f,tg:lhpr:3281_#3,Items,1,,69430,C 3843 / I,,Vier exemplaren,,
ff8ef8f3-f4a7-5b37-b309-5f4318bc7ed1,tg:lhpr:3281_#4,Items,1,tr:lh:6749,167286/4,C 3843 / I,isad:lh:96333,Vier exemplaren,,
4fd0d00d-0592-52f1-b77b-38a1ef01767b,tg:lhpr:2490_#1,Items,1,tr:lh:1194,20474,Planex GP / B 435,,,,
d9f32a9f-7f03-59d8-9766-6f3498e83c8b,tg:lhpr:2490_#2,Items,1,tr:lh:1762,32894,Planex GP / B 435,,,,
9788a985-6bf4-59e5-b382-4c6839b7b444,tg:lhpr:2490_#3,Items,1,tr:lh:2434,47929/4,Planex GP / B 435,isad:lh:96414,,,
0399ac82-a092-51a7-80e0-1f27ec89e4fe,tg:lhpr:4401_#1,Items,1,tr:lh:4674,89056/19 b,S 932 / I (Doos 1),isad:lh:96489,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
159",,
64e4e16e-9a3a-5973-977e-e1ea5b71d923,tg:lhpr:4401_#2,Items,1,tr:lh:5514,108577,S 932 / I (Doos 1),isad:lh:96252,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
159",,
645dce8f-eeee-524f-bd16-72d94c884241,tg:lhpr:2756_#1,Items,1,tr:lh:1020,20368,"Planex GP / X, 1",,,,
a3e07a9f-e17f-517b-9946-84a0951ed487,tg:lhpr:2756_#2,Items,1,tr:lh:2212,43545/2,"Planex GP / X, 1",,,,
e971f433-0d5a-59fb-80e2-f68a4a0227b1,tg:lhpr:2756_#3,Items,1,,54783,"Planex GP / X, 1",,,,
6688c62d-d34f-5e32-921c-f9d4766f1b89,tg:lhpr:10297_#1,Items,1,tr:lh:2432,47442/238,D 1175 / I (Doos 3),isad:lh:127006,nr 2/50,,
e7b10824-ce44-58c7-ab0b-a8e1a3a012a5,tg:lhpr:10297_#2,Items,1,tr:lh:2432,47442/227,D 1175 / I (Doos 3),isad:lh:127006,Ongenummerde print.,,
b8e6446a-1aa1-507b-927f-5c80b20e93ee,tg:lhpr:10297_#3,Items,1,tr:lh:2432,47442/79,D 1175 / I (Doos 3),isad:lh:127006,Lichtjes afwijkende proefdruk,,
e6d6501b-5a47-53d1-8eeb-4b60fafff683,tg:lhpr:10297_#4,Items,1,tr:lh:2432,47442/200,D 1175 / I (Doos 3),isad:lh:127006,,,
e370ea46-fecf-5f4b-b724-b77755a78c0c,tg:lhpr:10297_#5,Items,1,tr:lh:2432,47442/239-236-237-234-235-232-233-230-231-228-229,D 1175 / I (Doos 3),isad:lh:127006,"nog 12 exemplaren: nrs 18, 37, 39, 40, 43, 44, 45, 46, 47, 48, 49, 50 / 50",,
e69511ae-29ed-572c-a2c1-3ae3d0684219,tg:lhpr:4456_#1,Items,1,tr:lh:82,1241,S 932 / I (Doos 1),isad:lh:96557,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002,
p.187",,
8ca564f1-9891-581c-8438-a95a151e3d9a,tg:lhpr:4456_#2,Items,1,tr:lh:7634,212824/a,S 932 / I (Doos 1),,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002,
p.187",,
1797eba2-1a13-59b6-9d95-de094a631253,tg:lhpr:2776_#1,Items,1,tr:lh:73,1201,"Planex GP / X, 1",,,,
166c85e5-734d-504b-b7a5-e7f450482a9e,tg:lhpr:2776_#2,Items,1,tr:lh:492,9678,"Planex GP / X, 1",,,,
bec814e6-4452-555a-8060-37d6d7474d09,tg:lhpr:2326_#1,Items,1,tr:lh:1475,26865,Planex KP / M 762,isad:lh:96274,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
39dd4dd4-f2e9-54de-a419-d69448d31270,tg:lhpr:2326_#2,Items,1,tr:lh:2007,37304/25,Planex KP / M 762,isad:lh:96261,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
c5d47004-827c-5950-91a2-53364633f16f,tg:lhpr:2326_#3,Items,1,tr:lh:3021,61120/3,Planex KP / M 762,isad:lh:96365,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
0cc3999a-0c35-5eea-bdf1-1662bddabd31,tg:lhpr:2326_#4,Items,1,tr:lh:4761,100608,Planex KP / M 762,,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
f30e41d9-6df5-5ae3-abdb-a823c195fce9,tg:lhpr:2326_#5,Items,1,tr:lh:5683,114961,Planex KP / M 762,isad:lh:96256,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
0245f78f-c67b-5c75-b618-4d6e98443efa,tg:lhpr:2326_#6,Items,1,tr:lh:7805,201870,Planex KP / M 762,,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
4f6010a5-e546-59d9-aa84-589d757a167e,tg:lhpr:2326_#7,Items,1,tr:lh:7885,234126,Planex KP / M 762,isad:lh:96367,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,
1bd2d42e-821f-5c40-b141-3f4b22afb5ba,tg:lhpr:2326_#8,Items,1,tr:lh:4025,76863,,,,,
50d69858-22f4-540f-aa8f-61e47594ef11,tg:lhpr:2598_#1,Items,1,tr:lh:3269,66291/73,"Planex GP / IX, 5",isad:lh:96365,,,
f21d6014-6749-5ed4-ab6a-d583e70367dd,tg:lhpr:2598_#2,Items,1,tr:lh:5551,115520,"Planex GP / IX, 5",,,,
a831b59e-d77a-560c-9705-4af5bf014042,tg:lhpr:2598_#3,Items,1,,141131,"Planex GP / IX, 5",,,,
fce143ea-6437-5828-81a4-d43a8bbbe961,tg:lhpr:2465_#1,Items,1,tr:lh:1762,32895,Planex GP / V 982,,,,
6dc1b9ee-7e6c-5c38-b8fa-79910be687f0,tg:lhpr:2465_#2,Items,1,tr:lh:2212,43535/2,Planex GP / V 982,,,,
47e1f14e-c52c-58d3-a230-7e010e84cae7,tg:lhpr:1463_#1,Items,1,tr:lh:3839,74173,Planex KP / B 365,,,,
14e3c066-680f-54c0-87a2-f58f481b4d05,tg:lhpr:1463_#2,Items,1,tr:lh:6356,146174,Planex KP / B 365,isad:lh:96263,,,
67de18a5-e353-555e-b35a-5fc91d3ee608,tg:lhpr:3286_#1,Items,1,tr:lh:5406,105989/12,C 3843 / I,isad:lh:96371,Herkomst van 147910/3: Stads Bibliotheek,,
4cd41920-f108-5fd6-9be4-3ce701cdd6ae,tg:lhpr:3286_#2,Items,1,tr:lh:6278,147910/3,C 3843 / I,isad:lh:96476,Herkomst van 147910/3: Stads Bibliotheek,,
4e691bfd-69ed-58fa-943b-c57147ba8a7d,tg:lhpr:3013_#1,Items,1,tr:lh:2021,37758/3,"Planex GP / X, 4 (V 2509)",,,,
394e605c-c13a-56fb-a8e6-610e9da7a3ea,tg:lhpr:3013_#2,Items,1,,220281,"Planex GP / X, 4 (V 2509)",,,,
0499f7a2-f472-5a91-93ed-3d963ac342ec,tg:lhpr:4294_#1,Items,1,,36408/3,R 1627 / I,isad:lh:96535,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 39. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",,
337a5587-81a3-550e-b052-58c1ff753296,tg:lhpr:4294_#2,Items,1,tr:lh:4053,77778/3,R 1627 / I,isad:lh:96535,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 39.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",,
1f3b33aa-69c6-530e-bf0e-164603ef978a,tg:lhpr:2157_#1,Items,1,,104683/2,Planex GP / H 541,,,,
c465e10a-40ec-5097-bfa2-dc7cc939d2ec,tg:lhpr:2157_#2,Items,1,tr:lh:6372,148889,Planex GP / H 541,isad:lh:96333,,,
2440943c-460e-5886-bdaf-9c5bbd56ae9b,tg:lhpr:2229_#1,Items,1,,27381/264,Planex KP / S 725,,Prent gemaakt door Pierre Jean Baptiste van Reeth.,,
a58cc1f4-0975-5625-8435-abdb928c57ef,tg:lhpr:2229_#2,Items,1,tr:lh:1647,29574,Planex KP / S 725,,Prent gemaakt door Pierre Jean Baptiste van Reeth.,,
22d7b8ed-08fc-53e5-872a-6970cbd693f7,tg:lhpr:2229_#3,Items,1,tr:lh:5492,122162,Planex KP / S 725,,Prent gemaakt door Pierre Jean Baptiste van Reeth.,,
b560fb5d-9422-5d71-bba0-6ecf49470c79,tg:lhpr:2229_#4,Items,1,tr:lh:6960,174033,Planex KP / S 725,,Prent gemaakt door Pierre Jean Baptiste van Reeth.,,
f315ef23-c2cb-577f-96d4-457158aa498f,tg:lhpr:9259_#1,Items,1,tr:lh:891,16184/3,Planex GP / J 1378,isad:lh:96673,De spotprent is de titelpagina van het maandblad L' Estrille (nr 4 van het jaar 1868).,,
1d9f4746-457b-58b0-928d-4081c7ce1ef6,tg:lhpr:9259_#2,Items,1,,146115/4,Planex GP / J 1378,isad:lh:96673,"De spotprent is de titelpagina van het maandblad L' Estrille (nr 4 van het jaar 1868).  
In bezit van het AMVC-Letterenhuis vanaf 29/01/1987. Uit het archief
van het ANZ.",,
edf4ec9a-542d-5f6c-b483-241a30394f2b,tg:lhpr:2566_#1,Items,1,tr:lh:640,12633,"Planex GP / IX, 4",isad:lh:96427,,,
619fbc27-a65f-54eb-b991-1ed9f5c35aa2,tg:lhpr:2566_#2,Items,1,,39114,"Planex GP / IX, 4",,,,
9fa66a1c-6ee9-5142-994b-6f00546d3ce7,tg:lhpr:2423_#1,Items,1,tr:lh:4763,92919,"Planex GP / IX, 1",,,,
98ad790f-83f7-5077-a2e6-9c9c5d02319a,tg:lhpr:2423_#2,Items,1,tr:lh:5300,104383,"Planex GP / IX, 1",isad:lh:96396,,,
5203142f-793e-535f-9784-1fa1a50f9f99,tg:lhpr:3320_#1,Items,1,tr:lh:2114,40147/6,C 3843 / I,isad:lh:96477,,,
52beb4c7-e86a-5857-93cc-1f12fba30d86,tg:lhpr:3320_#2,Items,1,,43787/37,C 3843 / I,isad:lh:96477,,,
665257ae-fe50-5442-979f-82a2b2ac5bcc,tg:lhpr:6964_#1,Items,1,tr:lh:30823,197294,Planex GT / H 3735,isad:lh:100747,"Kopie door Karel Rosseeuw naar een kleine foto van éen van de vijf etsen van
Raymond de la Haye voor het album _Rond de kerk_. De originelen werden
vernietigd door brand.

Collectie AMVC: de vijf staten (nrs. 197295/1-5) en de etsplaat (nr. 197294)
van deze prent.",,
d9a7e613-673c-586e-876f-c749f6e239fe,tg:lhpr:6964_#2,Items,1,tr:lh:30823,197295/1-5,Planex GT / H 3735,,"Kopie door Karel Rosseeuw naar een kleine foto van éen van de vijf etsen van
Raymond de la Haye voor het album _Rond de kerk_. De originelen werden
vernietigd door brand.

Collectie AMVC: de vijf staten (nrs. 197295/1-5) en de etsplaat (nr. 197294)
van deze prent.",,
2c435cc7-e638-5380-9357-d8325242ea1d,tg:lhpr:2858_#1,Items,1,tr:lh:1202,20513/3,"Planex GT / X, 2 (S 725)",,(3) vermelding 4/50 (drukexempl.),,
3ee4c7df-5aa7-5f47-a952-e6a0fe98bce6,tg:lhpr:2858_#2,Items,1,,53930,"Planex GT / X, 2 (S 725)",,(3) vermelding 4/50 (drukexempl.),,
802cf9a1-9b85-5c94-a607-80bd751858c8,tg:lhpr:2858_#3,Items,1,,101941,"Planex GT / X, 2 (S 725)",,(3) vermelding 4/50 (drukexempl.),,
a700f9d6-b623-59ff-815f-82ec11802d0b,tg:lhpr:2858_#4,Items,1,tr:lh:6025,140250,"Planex GT / X, 2 (S 725)",,(3) vermelding 4/50 (drukexempl.),,
5ebbb908-4853-5cba-a2cd-a451426177e0,tg:lhpr:2858_#5,Items,1,,220274,"Planex GT / X, 2 (S 725)",,(3) vermelding 4/50 (drukexempl.),,
39a65761-8dab-54fa-88ed-5b5e0ae3394c,tg:lhpr:2049_#1,Items,1,,59695,Planex KP / G 3947,,,,
3ce3c3ae-9714-5328-b232-8e3568fbf296,tg:lhpr:2049_#2,Items,1,,105763,Planex KP / G 3947,,,,
343ff997-55df-5035-a695-e029938cc974,tg:lhpr:6909_#1,Items,1,tr:lh:429,8642,SC 12 A 2,isad:lh:96628,"**Publicatie** Willekens, Emiel, _Hendrik Conscience en zijn tijd_. Antwerpen: Stichting Mercator-Plantijn, 1983, 246 pp., nr. 415. Voor een beschrijving van de viering, zie p.187.",,
3ed08327-088b-5a03-8b89-a1a7b5e9bedf,tg:lhpr:6909_#2,Items,1,,216199,SC 12 A 2,,"**Publicatie:** Willekens, Emiel, _Hendrik Conscience en zijn tijd_.
Antwerpen: Stichting Mercator-Plantijn, 1983, 246 pp., nr. 415. Voor een
beschrijving van de viering, zie p.187.",,
a2856a5b-c702-555d-8807-66275beb3ed5,tg:lhpr:2434_#1,Items,1,tr:lh:1202,20502,"Planex GP/ X, 4",,,,
fba19a9d-3403-5522-8703-e4e95af075f7,tg:lhpr:2434_#2,Items,1,,80576,"Planex GP/ X, 4",,,,
aaf4907a-b6f6-50c5-85ba-a6d5c4accd05,tg:lhpr:10771_#1,Items,1,,720376/1,"Planex GT / VI,5",,,,
a3d0d05b-88db-522e-b30a-9a04c76675d9,tg:lhpr:10771_#2,Items,1,,720376/2,"Planex GT / VI,5",,,,
97e8b586-4d89-5fed-9123-d66be78003b4,tg:lhpr:10771_#3,Items,1,,720376/3,"Planex GT / VI,5",,,,
e6f7d392-a563-5fc0-85f6-56f49225306f,tg:lhpr:10771_#4,Items,1,,720376/4,"Planex GT / VI,5",,,,
558d0ce3-bf2e-57b9-af58-e25b5710243d,tg:lhpr:10272_#1,Items,1,tr:lh:2432,47442/179,D 1175 / I (Doos 3),isad:lh:127006,,,
6a9a2041-91a1-5323-93f0-9a72b12973ac,tg:lhpr:10272_#2,Items,1,,47442/189,D 1175 / I (Doos 3),isad:lh:127006,Proefdruk op stuk affiche,,
28681411-ed4a-5107-9032-4faa153f1e95,tg:lhpr:2906_#1,Items,1,,14606,"Planex GP / X, 4",,,,
d74a6745-ee1c-5f81-8cab-a60eb1ff78d2,tg:lhpr:2906_#2,Items,1,,87588,"Planex GP / X, 4",,,,
b125e54a-1f2e-5d5e-a7a9-ff38ffe10d57,tg:lhpr:2906_#3,Items,1,,87891,"Planex GP / X, 4",,,,
70a8e4bc-b058-5c81-96bd-93dfe98c93c6,tg:lhpr:2052_#1,Items,1,tr:lh:343,7131,"Planex GP / IX, 5",,,,
b46aab32-f662-5543-801e-d146a0c08385,tg:lhpr:2052_#2,Items,1,tr:lh:311,8478,"Planex GP / IX, 5",,,,
66dcb992-ca3b-5b36-a3cd-95b3a074454d,tg:lhpr:2052_#3,Items,1,tr:lh:1198,20488,"Planex GP / IX, 5",isad:lh:96323,,,
8b3795c4-07a2-5016-a682-f58f570c2598,tg:lhpr:2052_#4,Items,1,tr:lh:6415,153168,"Planex GP / IX, 5",isad:lh:96324,,,
c032892d-65cf-5341-943b-e8a23c7f83c0,tg:lhpr:4190_#1,Items,1,tr:lh:4600,88101/1,H 5252 / I,isad:lh:96252,,,
c1c911af-32c8-57a7-9c89-e132f544495d,tg:lhpr:4190_#2,Items,1,tr:lh:5514,108574,H 5252 / I,isad:lh:96252,,,
59628a71-d2ea-5cce-9f37-b469b26cbcb4,tg:lhpr:4190_#3,Items,1,,119878/1,H 5252 / I,,,,
