card,order,adm.id_mat,adm.inv,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end)
e22_Items,1,tg:lhph:13711_#1,98850/28,C 306 / P,0d38537e-8f18-538f-a658-4bea48f3ffac,0d38537e-8f18-538f-a658-4bea48f3ffac,tg:lhph:13711_#1,tr:lh:4988,isad:lh:93043,,,,
e22_Items,1,tg:lhph:53970_#1,,D 125 / P (3) 5,5b61b3e7-235f-5376-b1bc-b32712f5f79d,5b61b3e7-235f-5376-b1bc-b32712f5f79d,tg:lhph:53970_#1,tr:lh:140159,isad:lh:183099,,,,
e22_Items,1,tg:lhph:22560_#1,203719/2,H 905 / P,d1755767-d73c-555a-a782-1dd21e1f54e8,d1755767-d73c-555a-a782-1dd21e1f54e8,tg:lhph:22560_#1,,,,,,
e22_Items,1,tg:lhph:30101_#1,6884/3,G 4965 / P,8ff39d29-67b2-5e9a-a6db-520fbb23a1ae,8ff39d29-67b2-5e9a-a6db-520fbb23a1ae,tg:lhph:30101_#1,tr:lh:313,,,,,
e22_Items,1,tg:lhph:6176_#1,179745,W 802 / P,c15c91fe-49a8-5e3e-b3c0-feed35791057,c15c91fe-49a8-5e3e-b3c0-feed35791057,tg:lhph:6176_#1,,,,,,
e22_Items,1,tg:lhph:48237_#1,,,6a7bed98-ed68-5807-91d7-b17521587445,6a7bed98-ed68-5807-91d7-b17521587445,tg:lhph:48237_#1,,isad:lh:119760,V 7576 / 161,,,
e22_Items,1,tg:lhph:16137_#1,80364/1,G 3353 / P,ffed2a24-d641-5fe7-b2d9-3ca1960508c4,ffed2a24-d641-5fe7-b2d9-3ca1960508c4,tg:lhph:16137_#1,tr:lh:4143,,,,,
e22_Items,2,tg:lhph:34851_#2,82609/6,W 235 / P,55c77caa-81ea-5f00-bcbc-e47cec5c2910,55c77caa-81ea-5f00-bcbc-e47cec5c2910,tg:lhph:34851_#2,tr:lh:4231,isad:lh:93189,,,,
e22_Items,2,tg:lhph:51414_#2,,,49be5079-1a07-5941-91f2-054968ce893e,49be5079-1a07-5941-91f2-054968ce893e,tg:lhph:51414_#2,tr:lh:139964,isad:lh:182274,S 935 / 484,Bruikleen Vlaamse Gemeenschap - STR10513,,
e22_Items,1,tg:lhph:10503_#1,6460,B 1195 / P,4b84b488-b84f-5bc6-af1c-22587baf0917,4b84b488-b84f-5bc6-af1c-22587baf0917,tg:lhph:10503_#1,,,,,,
e22_Items,2,tg:lhph:29722_#2,122247/8,G 9435 / P (i-iii),dcc1dd98-9da3-5b64-822f-6dce010c94e3,dcc1dd98-9da3-5b64-822f-6dce010c94e3,tg:lhph:29722_#2,tr:lh:5824,isad:lh:93637,,,,
e22_Items,1,tg:lhph:32619_#1,19838/5,J 442 / P (III-V),21be6e9e-fa74-52a2-a80c-60614fad43ed,21be6e9e-fa74-52a2-a80c-60614fad43ed,tg:lhph:32619_#1,tr:lh:1122,,,,,
e22_Items,1,tg:lhph:20278_#1,203626/1353,M 224 / P (NEG0048/4/34),0a92269f-12e1-5633-95ea-ae4306a67c82,0a92269f-12e1-5633-95ea-ae4306a67c82,tg:lhph:20278_#1,tr:lh:7859,isad:lh:94873,,,,
e22_Items,1,tg:lhph:47925_#1,210415/5,S 59 /P,57df5468-5dbe-5b52-8fe8-079c3f60521f,57df5468-5dbe-5b52-8fe8-079c3f60521f,tg:lhph:47925_#1,tr:lh:7336,isad:lh:103960,,,,
e22_Items,1,tg:lhph:36535_#1,158849/14-17,L 5335 / P,9198330a-b8f2-57ca-86ee-0d20115a8c18,9198330a-b8f2-57ca-86ee-0d20115a8c18,tg:lhph:36535_#1,tr:lh:6479,isad:lh:132035,,,,
e22_Items,1,tg:lhph:24154_#1,235823/14,V 15531 / P,d0be3301-980f-5496-8f9e-b545c7c0b75f,d0be3301-980f-5496-8f9e-b545c7c0b75f,tg:lhph:24154_#1,,,,,,
e22_Items,1,tg:lhph:15325_#1,74290/5,E 144 / P,312b41af-67e1-5371-9d4d-9fb8fe4a4f37,312b41af-67e1-5371-9d4d-9fb8fe4a4f37,tg:lhph:15325_#1,tr:lh:3832,,,,,
e22_Items,1,tg:lhph:1048_#1,163148/5,B 708 / P,fc73beed-0148-50a3-b1a2-c993c023084c,fc73beed-0148-50a3-b1a2-c993c023084c,tg:lhph:1048_#1,tr:lh:6603,isad:lh:93084,,,,
e22_Items,1,tg:lhph:11009_#1,17317/1,B 1333 / P,43ca8a34-f0f1-5d7e-9c4a-022d2c753cbe,43ca8a34-f0f1-5d7e-9c4a-022d2c753cbe,tg:lhph:11009_#1,,,,,,
e22_Items,1,tg:lhph:28854_#1,212156/1,P 9746 / P,9431a450-ed13-5973-be2d-8afc5e5d2e5a,9431a450-ed13-5973-be2d-8afc5e5d2e5a,tg:lhph:28854_#1,tr:lh:7634,,,,,
e22_Items,1,tg:lhph:53191_#1,,D 125 / P (1)(4),8ef9297a-aa08-574d-90b8-88f4b56977af,8ef9297a-aa08-574d-90b8-88f4b56977af,tg:lhph:53191_#1,tr:lh:140159,isad:lh:156053,,,,
e22_Items,1,tg:lhph:5364_#1,80707/2,Z 405 / P,66c321cc-af90-5615-9a02-46b022537181,66c321cc-af90-5615-9a02-46b022537181,tg:lhph:5364_#1,tr:lh:4162,,,,,
e22_Items,1,tg:lhph:6997_#1,86695/1,S 935 / P,bf36f958-f1f9-54c2-8574-81aea34c3319,bf36f958-f1f9-54c2-8574-81aea34c3319,tg:lhph:6997_#1,tr:lh:4429,,,,,
e22_Items,1,tg:lhph:21772_#1,110081/150,H 793 / P,875cc452-e79b-5102-986b-ca11eb6500bb,875cc452-e79b-5102-986b-ca11eb6500bb,tg:lhph:21772_#1,tr:lh:5552,isad:lh:93622,,,,
e22_Items,1,tg:lhph:33313_#1,157572/6,B 1155 / P,73edbad3-8033-5d38-9ac3-681c6b87474c,73edbad3-8033-5d38-9ac3-681c6b87474c,tg:lhph:33313_#1,tr:lh:6424,isad:lh:95223,,,,
e22_Items,1,tg:lhph:43390_#1,219670,B 1183 / P,feeb6760-95bc-5727-95c2-c93e1d8c6994,feeb6760-95bc-5727-95c2-c93e1d8c6994,tg:lhph:43390_#1,,isad:lh:95716,,,,
e22_Items,1,tg:lhph:40963_#1,123657/39,M 595 / P,72d08b36-ed73-51a0-89ac-85ed93c24cbe,72d08b36-ed73-51a0-89ac-85ed93c24cbe,tg:lhph:40963_#1,tr:lh:5832,isad:lh:93067,,,,
e22_Items,1,tg:lhph:13669_#1,40236,C 28427 / P,2148cc7e-2eea-543a-9ea2-46952e2109e2,2148cc7e-2eea-543a-9ea2-46952e2109e2,tg:lhph:13669_#1,tr:lh:2125,isad:lh:95399,,,,
e22_Items,1,tg:lhph:23112_#1,102030/4 en 7,N 135 / P,c48aae8b-8efa-5acb-9fc2-f16e426dd5fa,c48aae8b-8efa-5acb-9fc2-f16e426dd5fa,tg:lhph:23112_#1,tr:lh:5115,isad:lh:93912,,,,
e22_Items,1,tg:lhph:31573_#1,218458/637,B 1183 / P (NEG0060/4/9A),27b9ebc8-d67c-5bdd-b894-befd1cb8e8e9,27b9ebc8-d67c-5bdd-b894-befd1cb8e8e9,tg:lhph:31573_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:7504_#1,171334/166,S 935 / P,d47b35eb-8552-5b57-85aa-92dba7d3eab6,d47b35eb-8552-5b57-85aa-92dba7d3eab6,tg:lhph:7504_#1,tr:lh:6886,isad:lh:92978,,,,
e22_Items,1,tg:lhph:17545_#1,27381/53,H 50687 / P,4a5cd609-3638-554d-9996-65c75bdf540b,4a5cd609-3638-554d-9996-65c75bdf540b,tg:lhph:17545_#1,,,,,,
e22_Items,1,tg:lhph:3628_#1,106978/78,A 1811 / P,a456b9ac-ac9f-5b4c-bf7f-90f3f8e174f5,a456b9ac-ac9f-5b4c-bf7f-90f3f8e174f5,tg:lhph:3628_#1,tr:lh:5448,isad:lh:93416,,,,
e22_Items,1,tg:lhph:34355_#1,203626/40,M 224 / P (NEG0002/6/24A),0fee014a-f6d3-58f7-8577-20d73d5ee80f,0fee014a-f6d3-58f7-8577-20d73d5ee80f,tg:lhph:34355_#1,tr:lh:7859,isad:lh:94873,,,,
e22_Items,1,tg:lhph:26734_#1,14131/19,P 2716 / P,81a6c4ad-9797-5015-9c1f-ad94b61b5804,81a6c4ad-9797-5015-9c1f-ad94b61b5804,tg:lhph:26734_#1,tr:lh:754,isad:lh:93611,,,,
e22_Items,1,tg:lhph:2322_#1,95285/14,T 176 / P,21d07898-c6d8-586b-9cdc-1dc95d4833f3,21d07898-c6d8-586b-9cdc-1dc95d4833f3,tg:lhph:2322_#1,tr:lh:4789,isad:lh:93000,,,,
e22_Items,1,tg:lhph:53808_#1,,,92372403-3f5f-5bd1-9751-5785ee6ee450,92372403-3f5f-5bd1-9751-5785ee6ee450,tg:lhph:53808_#1,tr:lh:139964,isad:lh:163248,S 935 / 494,Bruikleen Vlaamse Gemeenschap - STR12936,,
e22_Items,1,tg:lhph:12363_#1,74153/2,B 8094 / P,d22c5bac-cb2d-564f-b41e-f52408f55459,d22c5bac-cb2d-564f-b41e-f52408f55459,tg:lhph:12363_#1,tr:lh:3874,,,,,
e22_Items,1,tg:lhph:31_#1,,FVCA / P,bf141b7b-9293-52fd-aa7f-5bdfe2dd3661,bf141b7b-9293-52fd-aa7f-5bdfe2dd3661,tg:lhph:31_#1,tr:lh:7314,isad:lh:92944,,,,
e22_Items,1,tg:lhph:11990_#1,3603,B 435 / P,73e9247e-fbd3-5485-96fd-4c1ec61813e1,73e9247e-fbd3-5485-96fd-4c1ec61813e1,tg:lhph:11990_#1,,,,,,
e22_Items,1,tg:lhph:30079_#1,218458/132,B 1183 / P (NEG0013/2/1),a1efff84-c786-559d-9c2a-14d973812936,a1efff84-c786-559d-9c2a-14d973812936,tg:lhph:30079_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:22418_#1,203715/88,FVCA / P (onbekend),fff8106e-a2e9-5a05-ab73-11521e26f7b7,fff8106e-a2e9-5a05-ab73-11521e26f7b7,tg:lhph:22418_#1,,isad:lh:92943,,,,
e22_Items,1,tg:lhph:13701_#1,98850/32,C 306 / P,690884fd-7725-541d-a260-395fb0d39cbb,690884fd-7725-541d-a260-395fb0d39cbb,tg:lhph:13701_#1,tr:lh:4988,isad:lh:93043,,,,
e22_Items,1,tg:lhph:51699_#1,,,2a33b60d-56b3-51a8-85ec-64c9cf568d7f,2a33b60d-56b3-51a8-85ec-64c9cf568d7f,tg:lhph:51699_#1,tr:lh:6787,isad:lh:184293,B 708 / P,,,
e22_Items,1,tg:lhph:9295_#1,60182/13,C 122 / P,9b73971f-9bd9-5676-add5-179f14946cdc,9b73971f-9bd9-5676-add5-179f14946cdc,tg:lhph:9295_#1,tr:lh:2990,isad:lh:94056,,,,
e22_Items,1,tg:lhph:3740_#1,177122/1,O 3945 / P,975270b8-5028-5986-b1cf-cfb0c3c7ec8d,975270b8-5028-5986-b1cf-cfb0c3c7ec8d,tg:lhph:3740_#1,tr:lh:7040,,,,,
e22_Items,1,tg:lhph:27356_#1,130341/1,P 454 / P,f1595da0-42ec-52a4-9332-cd0334640086,f1595da0-42ec-52a4-9332-cd0334640086,tg:lhph:27356_#1,,,,,,
e22_Items,1,tg:lhph:35737_#1,216299/b,L 3496 / P,88b14546-5ff4-53d0-84fc-966bd962831f,88b14546-5ff4-53d0-84fc-966bd962831f,tg:lhph:35737_#1,,,,,,
e22_Items,1,tg:lhph:16127_#1,36749/7,G 314 / P,f3ce50a8-e275-5061-95ca-c1956718dc20,f3ce50a8-e275-5061-95ca-c1956718dc20,tg:lhph:16127_#1,tr:lh:1859,,,,,
e22_Items,2,tg:lhph:715_#2,233130,L 179 / P,887ea7c7-ccfe-5064-a92a-25453befbf0a,887ea7c7-ccfe-5064-a92a-25453befbf0a,tg:lhph:715_#2,,,,,,
e22_Items,1,tg:lhph:53960_#1,,,043fc462-663e-58f2-865d-7acd1e6c16c2,043fc462-663e-58f2-865d-7acd1e6c16c2,tg:lhph:53960_#1,,isad:lh:182700,MM 72 / 3,,,
e22_Items,1,tg:lhph:48227_#1,,,82152a41-5308-5e84-9dff-21049d96cbdd,82152a41-5308-5e84-9dff-21049d96cbdd,tg:lhph:48227_#1,,isad:lh:119743,V 7576 / 150,,,
e22_Items,1,tg:lhph:30111_#1,218458/140,B 1183 / P (NEG0014/1/13),96ab4f8c-60b1-53f0-bbd8-4d5958813308,96ab4f8c-60b1-53f0-bbd8-4d5958813308,tg:lhph:30111_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:22570_#1,239026/5,SS 180 / P,79be69f0-5319-5709-b566-cc7a8c8751d9,79be69f0-5319-5709-b566-cc7a8c8751d9,tg:lhph:22570_#1,tr:lh:7891,isad:lh:93696,,,,
e22_Items,1,tg:lhph:40192_#1,218458/2983,B 1183 / P (NEG00319/2/6),7e9d2050-0642-57dd-b2c4-337964412b24,7e9d2050-0642-57dd-b2c4-337964412b24,tg:lhph:40192_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:32771_#1,218458/886,B 1183 / P (NEG0088/4/B),0321f18a-fe11-5068-bd31-0367754d75f3,0321f18a-fe11-5068-bd31-0367754d75f3,tg:lhph:32771_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:20310_#1,,FVCA / P (1942-1949/24-25),edcd8134-4897-53c8-b420-94aa1330c9ff,edcd8134-4897-53c8-b420-94aa1330c9ff,tg:lhph:20310_#1,tr:lh:7314,isad:lh:92943,,,,
e22_Items,2,tg:lhph:7789_#2,16131/1,V 455 / P,50a0ecff-5790-5571-8593-e99dd34df34c,50a0ecff-5790-5571-8593-e99dd34df34c,tg:lhph:7789_#2,tr:lh:884,,,,,
e22_Items,1,tg:lhph:4706_#1,89941,S 997915 / P,a5b223fb-b985-5b0e-88bb-a26f4d4c0b0d,a5b223fb-b985-5b0e-88bb-a26f4d4c0b0d,tg:lhph:4706_#1,,,,,,
e22_Items,1,tg:lhph:14747_#1,19889/1,D 3525 / P,4178569f-1f2b-5ef6-94e2-48ebdd45479c,4178569f-1f2b-5ef6-94e2-48ebdd45479c,tg:lhph:14747_#1,tr:lh:1102,isad:lh:93142,,,,
e22_Items,1,tg:lhph:25536_#1,46381,O 345 / P,9efaf95c-edf5-52cd-a97b-08fbd74fe6e5,9efaf95c-edf5-52cd-a97b-08fbd74fe6e5,tg:lhph:25536_#1,tr:lh:2406,,,,,
e22_Items,1,tg:lhph:37157_#1,28027,L 782 / P,99834321-3584-5438-aa3f-cbba452155d5,99834321-3584-5438-aa3f-cbba452155d5,tg:lhph:37157_#1,tr:lh:1523,isad:lh:93088,,,,
e22_Items,1,tg:lhph:1120_#1,68196/3,B 708 / P,903e76a7-fa73-5dea-8eea-0158b4fc1dfc,903e76a7-fa73-5dea-8eea-0158b4fc1dfc,tg:lhph:1120_#1,,,,,,
e22_Items,1,tg:lhph:41498_#1,169039/8,ZZ 15 / P,b86d0d40-a335-50a9-8d22-0c426f33390f,b86d0d40-a335-50a9-8d22-0c426f33390f,tg:lhph:41498_#1,tr:lh:6796,isad:lh:93791,,,,
e22_Items,1,tg:lhph:11161_#1,177405/1,B 164 / P,6123f3e3-f230-5bff-8a05-3c2f13d5139c,6123f3e3-f230-5bff-8a05-3c2f13d5139c,tg:lhph:11161_#1,,,,,,
e22_Items,1,tg:lhph:30888_#1,233084/14,G 415 / P,cb6474f6-c428-5023-b099-5577bdca2892,cb6474f6-c428-5023-b099-5577bdca2892,tg:lhph:30888_#1,,,,,,
e22_Items,2,tg:lhph:33807_#2,126396/17,K 906 / P,bbb658a5-a147-5905-b28b-a3a36e9f3e32,bbb658a5-a147-5905-b28b-a3a36e9f3e32,tg:lhph:33807_#2,tr:lh:5892,isad:lh:93157,,,,
e22_Items,1,tg:lhph:17555_#1,235721/2,S 6867 / P,45119b0d-bcea-5916-ac2a-6e85bf7839fb,45119b0d-bcea-5916-ac2a-6e85bf7839fb,tg:lhph:17555_#1,,,,,,
e22_Items,1,tg:lhph:3638_#1,15274,Z 317 / P,85d4c909-b565-5740-9181-b69aa22ace4a,85d4c909-b565-5740-9181-b69aa22ace4a,tg:lhph:3638_#1,tr:lh:825,isad:lh:93423,,,,
e22_Items,1,tg:lhph:13679_#1,52606,C 3013 / P,170dc84e-24e6-5f1a-b822-09d7378a4bae,170dc84e-24e6-5f1a-b822-09d7378a4bae,tg:lhph:13679_#1,,,,,,
e22_Items,1,tg:lhph:43380_#1,219659,B 1183 / P,61378d71-9d24-52ec-961b-5ad517079f05,61378d71-9d24-52ec-961b-5ad517079f05,tg:lhph:43380_#1,,isad:lh:95716,,,,
e22_Items,1,tg:lhph:40973_#1,73747/2,M 6147 / P,5c77b6c3-6d5a-569a-9b46-abb32f20d801,5c77b6c3-6d5a-569a-9b46-abb32f20d801,tg:lhph:40973_#1,tr:lh:3832,,,,,
e22_Items,1,tg:lhph:7514_#1,171334/43,S 935 / P,fe8cae63-8689-50d5-8934-c678ce8678b2,fe8cae63-8689-50d5-8934-c678ce8678b2,tg:lhph:7514_#1,tr:lh:6886,isad:lh:92978,,,,
e22_Items,1,tg:lhph:49655_#1,,,08524317-57a2-5461-9a79-4e0b757c6962,08524317-57a2-5461-9a79-4e0b757c6962,tg:lhph:49655_#1,,isad:lh:95662,W 909 / 9,,,
e22_Items,1,tg:lhph:31563_#1,168748/5,J 257 / P (V),2cd4eb32-d2ca-50ad-b1f9-cfd0c48b5bb2,2cd4eb32-d2ca-50ad-b1f9-cfd0c48b5bb2,tg:lhph:31563_#1,,,,,,
e22_Items,1,tg:lhph:23102_#1,235911,HH 53 / P,59777cbc-4041-54f4-969f-5b7877179eeb,59777cbc-4041-54f4-969f-5b7877179eeb,tg:lhph:23102_#1,,,,,,
e22_Items,1,tg:lhph:12373_#1,174726/4,B 8097 / P,5f9cd916-0a3b-5ea9-a046-447af88f5a6c,5f9cd916-0a3b-5ea9-a046-447af88f5a6c,tg:lhph:12373_#1,tr:lh:6990,isad:lh:94320,,,,
e22_Items,1,tg:lhph:11980_#1,73161,B 417 / P,5f44c16d-9c71-5aa2-b131-26efe31691f6,5f44c16d-9c71-5aa2-b131-26efe31691f6,tg:lhph:11980_#1,,,,,,
e22_Items,1,tg:lhph:21_#1,,FVCA / P (1925-1926/82),e9e8254c-65f1-5101-b8f7-4e864c48cc4d,e9e8254c-65f1-5101-b8f7-4e864c48cc4d,tg:lhph:21_#1,tr:lh:7314,isad:lh:92944,,,,
e22_Items,1,tg:lhph:22408_#1,203715/85,FVCA / P (onbekend),acf5e933-fc48-5434-85c7-3d03a2e1caf3,acf5e933-fc48-5434-85c7-3d03a2e1caf3,tg:lhph:22408_#1,,isad:lh:92943,,,,
e22_Items,1,tg:lhph:30069_#1,79662/52b,G 4965 / P,aee8b2e9-57cf-5809-9d8f-d2bb9579027c,aee8b2e9-57cf-5809-9d8f-d2bb9579027c,tg:lhph:30069_#1,,,,,,
e22_Items,1,tg:lhph:26724_#1,168030/102,V 454 / P,6a1b17a7-82cd-54cc-9a39-c6d42c810f33,6a1b17a7-82cd-54cc-9a39-c6d42c810f33,tg:lhph:26724_#1,tr:lh:6788,isad:lh:93841,,,,
e22_Items,1,tg:lhph:34345_#1,203626/35,M 224 / P (NEG0002/6/19A),a18ffd4b-a8fd-50b4-9705-c08d12186547,a18ffd4b-a8fd-50b4-9705-c08d12186547,tg:lhph:34345_#1,tr:lh:7859,isad:lh:94873,,,,
e22_Items,1,tg:lhph:47935_#1,186641/1a,S 59 /P,4cea0572-3f25-59a4-90de-0aff201fecfd,4cea0572-3f25-59a4-90de-0aff201fecfd,tg:lhph:47935_#1,tr:lh:7336,isad:lh:103960,,,,
e22_Items,1,tg:lhph:24144_#1,235823/2,V 15531 / P,b7685329-d8aa-59cb-8201-6ff7ae6b69de,b7685329-d8aa-59cb-8201-6ff7ae6b69de,tg:lhph:24144_#1,,,,,,
e22_Items,1,tg:lhph:36525_#1,158849/44,L 5335 / P,b104b129-c26e-53df-b503-4f2cb13050cc,b104b129-c26e-53df-b503-4f2cb13050cc,tg:lhph:36525_#1,tr:lh:6479,isad:lh:132035,,,,
e22_Items,1,tg:lhph:10513_#1,80599/3,B 1195 / P,e5a4f372-a12c-5ceb-9dd2-b1817d6cb69b,e5a4f372-a12c-5ceb-9dd2-b1817d6cb69b,tg:lhph:10513_#1,tr:lh:4162,,,,,
e22_Items,1,tg:lhph:20268_#1,203626/1347,M 224 / P (NEG0048/3/27A),afa204aa-e05e-58ef-bf72-a6da76941107,afa204aa-e05e-58ef-bf72-a6da76941107,tg:lhph:20268_#1,tr:lh:7859,isad:lh:94873,,,,
e22_Items,1,tg:lhph:32609_#1,7235/g,J 442 / P (IIIa),776fcf2f-3e86-5290-83bd-618c9484a651,776fcf2f-3e86-5290-83bd-618c9484a651,tg:lhph:32609_#1,tr:lh:354,,,,,
e22_Items,3,tg:lhph:35834_#3,120691/465,L 4135 / P,fe07567d-82d9-5da6-b425-5fce73e24e61,fe07567d-82d9-5da6-b425-5fce73e24e61,tg:lhph:35834_#3,tr:lh:5800,isad:lh:93071,,,,
e22_Items,1,tg:lhph:53181_#1,,,e7017e10-d1b5-5092-98a9-1caedf134030,e7017e10-d1b5-5092-98a9-1caedf134030,tg:lhph:53181_#1,tr:lh:139964,isad:lh:161020,S 935 / 480,Bruikleen Vlaamse Gemeenschap - STR108,,
e22_Items,1,tg:lhph:28844_#1,64088/2,P 9746 / P,9dbb1331-d49d-5175-a592-a31d71bd965c,9dbb1331-d49d-5175-a592-a31d71bd965c,tg:lhph:28844_#1,tr:lh:3145,isad:lh:93183,,,,
e22_Items,1,tg:lhph:11019_#1,167745/11,UU 20 / P,b634397a-327d-5460-b0a2-1d2bbe95001f,b634397a-327d-5460-b0a2-1d2bbe95001f,tg:lhph:11019_#1,tr:lh:6778,,,,,
e22_Items,1,tg:lhph:33303_#1,218458/1011,B 1183 / P (NEG00103/1/4),09f7291c-9471-52f1-a7d3-f52ad905e589,09f7291c-9471-52f1-a7d3-f52ad905e589,tg:lhph:33303_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:5374_#1,80707/3,Z 405 / P,1edd53f1-6903-5b31-b629-f9f903f48c40,1edd53f1-6903-5b31-b629-f9f903f48c40,tg:lhph:5374_#1,tr:lh:4162,,,,,
e22_Items,1,tg:lhph:6987_#1,86695/2,S 935 / P,a6c3bee0-9e38-5ab8-a814-c34980c7031b,a6c3bee0-9e38-5ab8-a814-c34980c7031b,tg:lhph:6987_#1,tr:lh:4429,,,,,
e22_Items,1,tg:lhph:15335_#1,86696/3,E 145 / P,a5f9962e-dccd-554e-965c-38a6ecbbee49,a5f9962e-dccd-554e-965c-38a6ecbbee49,tg:lhph:15335_#1,tr:lh:4429,,,,,
e22_Items,1,tg:lhph:588_#1,75123/3,S 7265 / P,d36a1d8f-dba0-5718-b380-f9346cf9982d,d36a1d8f-dba0-5718-b380-f9346cf9982d,tg:lhph:588_#1,tr:lh:3943,,,,,
e22_Items,1,tg:lhph:1058_#1,74029/5,B 917 / P,5e01dbed-5554-5b95-a985-4f4b1f2769bd,5e01dbed-5554-5b95-a985-4f4b1f2769bd,tg:lhph:1058_#1,tr:lh:3861,,,,,
e22_Items,1,tg:lhph:32134_#1,158205/74,J 422 / P,102a6238-d94a-5e92-baf4-961f6a96c85c,102a6238-d94a-5e92-baf4-961f6a96c85c,tg:lhph:32134_#1,tr:lh:6444,isad:lh:93254,,,,
