dataset, brocade_id, au_id
lhps,tg:lhps:4772,au::20710:2:N
lhps,tg:lhps:46383,au::15238:3:N
lhps,tg:lhps:45956,au::13333:2:N
lhps,tg:lhps:45055,au::656:5:N
lhps,tg:lhps:3776,au::20710:2:N
lhps,tg:lhps:791,au::19338:2:N
lhps,tg:lhps:3799,au::20710:2:N
lhps,tg:lhps:52285,au::19432:2:N
lhps,tg:lhps:50892,au::20334:3:N
lhps,tg:lhps:46100,au::13760:2:N
lhps,tg:lhps:52513,au::48222:2:N
lhps,tg:lhps:9052,au::20710:2:N
lhps,tg:lhps:48671,au::54975:4:N
lhps,tg:lhps:41000,au::20334:3:N
lhps,tg:lhps:58364,au::48775:2
lhps,tg:lhps:15348,au::13433:4:N
lhps,tg:lhps:9228,au::20710:2:N
lhps,tg:lhps:9802,au::20710:2:N
lhps,tg:lhps:14670,au::10464:3:N
lhps,tg:lhps:50884,au::20334:3:N
lhps,tg:lhps:51329,au::46881:2:N
lhps,tg:lhps:52155,au::19412:3
lhps,tg:lhps:60024,au::48662:2
lhps,tg:lhps:46116,au::13333:2:N
lhps,tg:lhps:44605,au::20710:2:N
lhps,tg:lhps:18468,au::10460:2:N
lhps,tg:lhps:46792,au::17525:4:N
lhps,tg:lhps:9290,au::20710:2:N
lhps,tg:lhps:40703,au::10460:2:N
lhps,tg:lhps:44310,au::14118:2:N
lhps,tg:lhps:9506,au::20710:2:N
lhps,tg:lhps:46004,au::15240:2:N
lhps,tg:lhps:40996,au::20334:3:N
lhps,tg:lhps:16118,au::20334:3:N
lhps,tg:lhps:60321,au::18391:2
lhps,tg:lhps:52600,au::20710:2:N
lhps,tg:lhps:25414,au::10460:2:N
lhps,tg:lhps:46839,au::17525:4:N
lhps,tg:lhps:50902,au::20334:3:N
lhps,tg:lhps:3873,au::20710:2:N
lhps,tg:lhps:49220,au::17525:4:N
lhps,tg:lhps:10998,au::20710:2:N
lhps,tg:lhps:14522,au::10464:3:N
lhps,tg:lhps:4524,au::20710:2:N
lhps,tg:lhps:45891,au::17528:1:N
lhps,tg:lhps:47286,au::48662:2:N
lhps,tg:lhps:98,au::20710:2:N
lhps,tg:lhps:49762,au::48662:2:N
lhps,tg:lhps:46497,au::13760:2:N
lhps,tg:lhps:54445,au::48662:2
lhps,tg:lhps:10127,au::20710:2:N
lhps,tg:lhps:52354,au::18247:2:N
lhps,tg:lhps:18517,au::10464:3:N
lhps,tg:lhps:52211,au::48222:2:N
lhps,tg:lhps:11673,au::20710:2:N
lhps,tg:lhps:42641,au::48775:2:N
lhps,tg:lhps:42641,au::10464:3:N
lhps,tg:lhps:59774,au::48662:2
lhps,tg:lhps:9183,au::20710:2:N
lhps,tg:lhps:19185,au::20710:2:N
lhps,tg:lhps:3832,au::20710:2:N
lhps,tg:lhps:30895,au::48662:2:N
lhps,tg:lhps:14563,au::656:4:N
lhps,tg:lhps:4565,au::20710:2:N
lhps,tg:lhps:50851,au::20334:3:N
lhps,tg:lhps:49236,au::13332:2:N
lhps,tg:lhps:47228,au::13332:2:N
lhps,tg:lhps:3812,au::20710:2:N
lhps,tg:lhps:58450,au::54044:1:N
lhps,tg:lhps:50125,au::13433:4:N
lhps,tg:lhps:4791,au::20710:2:N
lhps,tg:lhps:9459,au::20710:2:N
lhps,tg:lhps:17787,au::10464:3:N
lhps,tg:lhps:48796,au::19446:4:N
lhps,tg:lhps:59492,au::48662:2
lhps,tg:lhps:42374,au::17525:4:N
lhps,tg:lhps:14514,au::656:4:N
lhps,tg:lhps:45848,au::2566:2:N
lhps,tg:lhps:12090,au::20710:2:N
lhps,tg:lhps:3845,au::20710:2:N
lhps,tg:lhps:9818,au::20710:2:N
lhps,tg:lhps:10629,au::20334:3:N
lhps,tg:lhps:50871,au::20334:3:N
lhps,tg:lhps:25072,au::10460:2:N
lhps,tg:lhps:49703,au::48662:2:N
lhps,tg:lhps:42636,au::19432:3:N
lhps,tg:lhps:322,au::20710:2:N
lhps,tg:lhps:60317,au::18391:2
lhps,tg:lhps:46360,au::17445:2:N
lhps,tg:lhps:59095,au::47046:3
lhps,tg:lhps:9662,au::20710:2:N
lhps,tg:lhps:50888,au::20334:3:N
lhps,tg:lhps:4695,au::20710:2:N
lhps,tg:lhps:3853,au::20710:2:N
lhps,tg:lhps:4380,au::20710:2:N
lhps,tg:lhps:50867,au::20334:3:N
lhps,tg:lhps:18960,au::20710:2:N
lhps,tg:lhps:60244,au::48662:2
lhps,tg:lhps:3804,au::20710:2:N
lhps,tg:lhps:4338,au::20710:2:N
lhps,tg:lhps:11995,au::50970:2:N
lhps,tg:lhps:19275,au::656:5:N
lhps,tg:lhps:47160,au::18247:2:N
lhps,tg:lhps:16728,au::656:5:N
lhps,tg:lhps:46835,au::17525:4:N
lhps,tg:lhps:25418,au::10460:2:N
lhps,tg:lhps:3890,au::20710:2:N
lhps,tg:lhps:10243,au::17507:2:N
lhps,tg:lhps:9121,au::20710:2:N
lhps,tg:lhps:11002,au::20710:2:N
lhps,tg:lhps:49555,au::15238:3:N
lhps,tg:lhps:60268,au::50789:2
lhps,tg:lhps:49806,au::10460:4:N
lhps,tg:lhps:3740,au::20710:2:N
lhps,tg:lhps:30163,au::48736:2
lhps,tg:lhps:56862,au::4942:2
lhps,tg:lhps:42572,au::17525:4:N
lhps,tg:lhps:9199,au::20710:2:N
lhps,tg:lhps:47265,au::10464:3:N
lhps,tg:lhps:54449,au::48662:2
lhps,tg:lhps:10214,au::20710:2:N
lhps,tg:lhps:40959,au::20334:3:N
lhps,tg:lhps:51562,au::13433:4:N
lhps,tg:lhps:40373,au::10460:2:N
lhps,tg:lhps:48313,au::20710:2:N
lhps,tg:lhps:35623,au::9420:2:N
lhps,tg:lhps:50236,au::13433:3:N
lhps,tg:lhps:46248,au::46860:2:N
lhps,tg:lhps:35766,au::4711:2:N
lhps,tg:lhps:27937,au::48662:2
lhps,tg:lhps:42134,au::48222:2:N
lhps,tg:lhps:50109,au::54975:4:N
lhps,tg:lhps:82,au::20710:2:N
lhps,tg:lhps:12395,au::10464:3:N
lhps,tg:lhps:27872,au::54975:4:N
lhps,tg:lhps:4752,au::20710:2:N
lhps,tg:lhps:10081,au::20710:2:N
lhps,tg:lhps:49514,au::20334:3:N
lhps,tg:lhps:30067,au::48736:2
lhps,tg:lhps:51431,au::13433:4:N
lhps,tg:lhps:30122,au::48775:2
lhps,tg:lhps:45921,au::10464:3:N
lhps,tg:lhps:3886,au::20710:2:N
lhps,tg:lhps:52533,au::18065:2:N
lhps,tg:lhps:9588,au::20710:2:N
lhps,tg:lhps:47224,au::20334:3:N
lhps,tg:lhps:29991,au::20710:2:N
lhps,tg:lhps:12268,au::656:4:N
lhps,tg:lhps:3869,au::20710:2:N
lhps,tg:lhps:59810,au::48662:2
lhps,tg:lhps:17343,au::9431:2:N
lhps,tg:lhps:3756,au::20710:2:N
lhps,tg:lhps:25399,au::10460:2:N
lhps,tg:lhps:21335,au::656:5:N
lhps,tg:lhps:21335,au::17525:4:N
lhps,tg:lhps:925,au::45583:2:N
lhps,tg:lhps:47360,au::48222:2:N
lhps,tg:lhps:45648,au::20710:2:N
lhps,tg:lhps:47225,au::13332:2:N
lhps,tg:lhps:46064,au::15238:3:N
lhps,tg:lhps:3868,au::20710:2:N
lhps,tg:lhps:49515,au::656:5:N
lhps,tg:lhps:4180,au::20710:2:N
lhps,tg:lhps:34863,au::20710:2:N
lhps,tg:lhps:42135,au::48222:2:N
lhps,tg:lhps:47272,au::46881:2:N
lhps,tg:lhps:10995,au::20710:2:N
lhps,tg:lhps:48312,au::20710:2:N
lhps,tg:lhps:45873,au::17528:1:N
lhps,tg:lhps:58257,au::656:5:N
lhps,tg:lhps:4179,au::20710:2:N
lhps,tg:lhps:9931,au::20710:2:N
lhps,tg:lhps:42573,au::17525:4:N
lhps,tg:lhps:47264,au::46881:2:N
lhps,tg:lhps:10215,au::20710:2:N
lhps,tg:lhps:3829,au::20710:2:N
lhps,tg:lhps:9659,au::20710:2:N
lhps,tg:lhps:3741,au::20710:2:N
lhps,tg:lhps:46834,au::17525:4:N
lhps,tg:lhps:18672,au::16897:2:N
lhps,tg:lhps:46588,au::19446:4:N
lhps,tg:lhps:14016,au::10464:3:N
lhps,tg:lhps:9767,au::20710:2:N
lhps,tg:lhps:13679,au::20710:2:N
lhps,tg:lhps:17790,au::10464:3:N
lhps,tg:lhps:9788,au::20710:2:N
lhps,tg:lhps:35527,au::10460:4:N
lhps,tg:lhps:59606,au::48662:2
lhps,tg:lhps:50831,au::9431:2:N
lhps,tg:lhps:49313,au::17442:2:N
lhps,tg:lhps:10002,au::20710:2:N
lhps,tg:lhps:49597,au::48662:2:N
lhps,tg:lhps:49128,au::10464:3:N
lhps,tg:lhps:45672,au::20334:3:N
lhps,tg:lhps:50889,au::20334:3:N
lhps,tg:lhps:50020,au::13332:2:N
lhps,tg:lhps:3852,au::20710:2:N
lhps,tg:lhps:4381,au::20710:2:N
lhps,tg:lhps:50866,au::20334:3:N
lhps,tg:lhps:9419,au::20710:2:N
lhps,tg:lhps:54219,au::48662:2
lhps,tg:lhps:47065,au::656:5:N
lhps,tg:lhps:4401,au::20710:2:N
lhps,tg:lhps:9399,au::20710:2:N
lhps,tg:lhps:3794,au::20710:2:N
lhps,tg:lhps:9663,au::20710:2:N
lhps,tg:lhps:12245,au::6626:2:N
lhps,tg:lhps:17417,au::20710:2:N
lhps,tg:lhps:9819,au::20710:2:N
lhps,tg:lhps:10628,au::20334:3:N
lhps,tg:lhps:46048,au::48859:2
lhps,tg:lhps:45664,au::10464:3:N
lhps,tg:lhps:50870,au::20334:3:N
lhps,tg:lhps:44560,au::48662:2:N
lhps,tg:lhps:25073,au::10460:2:N
lhps,tg:lhps:49702,au::13433:4:N
lhps,tg:lhps:17786,au::10464:3:N
lhps,tg:lhps:14515,au::10464:3:N
lhps,tg:lhps:60204,au::50789:2
lhps,tg:lhps:4790,au::20710:2:N
lhps,tg:lhps:9585,au::20710:2:N
lhps,tg:lhps:49237,au::13332:2:N
lhps,tg:lhps:58426,au::48775:2
lhps,tg:lhps:3864,au::20710:2:N
lhps,tg:lhps:47229,au::13332:2:N
lhps,tg:lhps:25395,au::10460:2:N
lhps,tg:lhps:41892,au::656:4:N
lhps,tg:lhps:46204,au::48775:2:N
lhps,tg:lhps:46204,au::10464:3:N
lhps,tg:lhps:59958,au::48662:2
lhps,tg:lhps:18516,au::10464:3:N
lhps,tg:lhps:18516,au::48775:2:N
lhps,tg:lhps:45869,au::48859:3:N
lhps,tg:lhps:46316,au::15240:2:N
lhps,tg:lhps:52210,au::48222:2:N
lhps,tg:lhps:46603,au::17848:3:N
lhps,tg:lhps:9301,au::20710:2:N
lhps,tg:lhps:9194,au::20710:2:N
lhps,tg:lhps:47287,au::54975:4:N
lhps,tg:lhps:9897,au::20710:2:N
lhps,tg:lhps:99,au::20710:2:N
lhps,tg:lhps:57287,au::48736:2
lhps,tg:lhps:43694,au::656:4:N
lhps,tg:lhps:46496,au::48775:2:N
lhps,tg:lhps:76,au::20710:2:N
lhps,tg:lhps:46029,au::48859:3:N
lhps,tg:lhps:18500,au::10464:3:N
lhps,tg:lhps:10999,au::20710:2:N
lhps,tg:lhps:12418,au::52342:2:N
lhps,tg:lhps:45890,au::17528:1:N
lhps,tg:lhps:55039,au::4942:2
lhps,tg:lhps:25415,au::10460:2:N
lhps,tg:lhps:9593,au::20710:2:N
lhps,tg:lhps:46838,au::17525:4:N
lhps,tg:lhps:30752,au::10460:4:N
lhps,tg:lhps:50903,au::20334:3:N
lhps,tg:lhps:17972,au::10464:3:N
lhps,tg:lhps:3872,au::20710:2:N
lhps,tg:lhps:49221,au::17525:4:N
lhps,tg:lhps:45081,au::17525:4:N
lhps,tg:lhps:60265,au::50789:2
lhps,tg:lhps:14827,au::20710:2:N
lhps,tg:lhps:60320,au::18391:2
lhps,tg:lhps:47244,au::54975:4:N
lhps,tg:lhps:45783,au::46881:2:N
lhps,tg:lhps:3809,au::20710:2:N
lhps,tg:lhps:40997,au::20334:3:N
lhps,tg:lhps:46510,au::13760:2:N
lhps,tg:lhps:4270,au::20710:2:N
lhps,tg:lhps:14763,au::17525:4:N
lhps,tg:lhps:14763,au::54975:4:N
lhps,tg:lhps:14763,au::656:5:N
lhps,tg:lhps:27900,au::54975:4:N
lhps,tg:lhps:50217,au::21012:2:N
lhps,tg:lhps:54604,au::48662:2
lhps,tg:lhps:40352,au::10460:2:N
lhps,tg:lhps:40702,au::10460:2:N
lhps,tg:lhps:55150,au::48662:2
lhps,tg:lhps:50885,au::20334:3:N
lhps,tg:lhps:46117,au::13333:2:N
lhps,tg:lhps:3761,au::20710:2:N
lhps,tg:lhps:9696,au::20710:2:N
lhps,tg:lhps:13788,au::20710:2:N
lhps,tg:lhps:48670,au::54975:4:N
lhps,tg:lhps:55941,au::48662:2
lhps,tg:lhps:41001,au::20334:3:N
lhps,tg:lhps:9116,au::20710:2:N
lhps,tg:lhps:50893,au::20334:3:N
lhps,tg:lhps:15975,au::20710:2:N
lhps,tg:lhps:143,au::20710:2:N
lhps,tg:lhps:42007,au::17525:4:N
lhps,tg:lhps:52512,au::48222:2:N
lhps,tg:lhps:4231,au::20710:2:N
lhps,tg:lhps:3798,au::20710:2:N
lhps,tg:lhps:30912,au::48662:2:N
lhps,tg:lhps:18097,au::10460:2:N
lhps,tg:lhps:50743,au::656:5:N
lhps,tg:lhps:43641,au::54975:4:N
lhps,tg:lhps:43641,au::656:5:N
lhps,tg:lhps:43641,au::17525:4:N
lhps,tg:lhps:61675,au::48222:2
lhps,tg:lhps:51369,au::17525:4:N
lhps,tg:lhps:4636,au::20710:2:N
lhps,tg:lhps:40981,au::20334:3:N
lhps,tg:lhps:49535,au::17525:4:N
lhps,tg:lhps:42379,au::17525:4:N
lhps,tg:lhps:40344,au::10460:2:N
lhps,tg:lhps:3814,au::20710:2:N
lhps,tg:lhps:46448,au::20334:3:N
lhps,tg:lhps:4144,au::20710:2:N
lhps,tg:lhps:49882,au::48662:2:N
lhps,tg:lhps:18474,au::10460:2:N
lhps,tg:lhps:46274,au::10464:3:N
lhps,tg:lhps:12096,au::48662:2:N
lhps,tg:lhps:42372,au::17525:4:N
lhps,tg:lhps:47170,au::17442:2:N
lhps,tg:lhps:47170,au::656:5:N
lhps,tg:lhps:47170,au::54975:4:N
lhps,tg:lhps:48285,au::17442:2:N
lhps,tg:lhps:50898,au::20334:3:N
lhps,tg:lhps:48051,au::19446:4:N
lhps,tg:lhps:3843,au::20710:2:N
lhps,tg:lhps:58401,au::48775:2
lhps,tg:lhps:25074,au::10460:2:N
lhps,tg:lhps:52519,au::48222:2:N
lhps,tg:lhps:50877,au::20334:3:N
lhps,tg:lhps:46223,au::13332:2:N
lhps,tg:lhps:49586,au::54975:4:N
lhps,tg:lhps:59586,au::48662:2
lhps,tg:lhps:9234,au::20710:2:N
lhps,tg:lhps:59093,au::48662:2
lhps,tg:lhps:46366,au::15237:3:N
lhps,tg:lhps:59990,au::4942:2
lhps,tg:lhps:10639,au::20334:3:N
lhps,tg:lhps:48047,au::15238:3:N
lhps,tg:lhps:45675,au::20334:3:N
lhps,tg:lhps:50861,au::20334:3:N
lhps,tg:lhps:18966,au::20710:2:N
lhps,tg:lhps:9388,au::20710:2:N
lhps,tg:lhps:48440,au::656:5:N
lhps,tg:lhps:48440,au::17442:2:N
lhps,tg:lhps:3802,au::20710:2:N
lhps,tg:lhps:49601,au::48859:3:N
lhps,tg:lhps:9019,au::20710:2:N
lhps,tg:lhps:47189,au::48859:3:N
lhps,tg:lhps:58339,au::48775:2
lhps,tg:lhps:49482,au::17525:4:N
lhps,tg:lhps:47371,au::46881:2:N
lhps,tg:lhps:47721,au::9706:2:N
lhps,tg:lhps:17996,au::20710:2:N
lhps,tg:lhps:46833,au::17525:4:N
lhps,tg:lhps:11004,au::20710:2:N
lhps,tg:lhps:3879,au::20710:2:N
lhps,tg:lhps:10245,au::20710:2:N
lhps,tg:lhps:55989,au::48736:2
lhps,tg:lhps:58342,au::48775:2
lhps,tg:lhps:55120,au::4942:2
lhps,tg:lhps:46219,au::12412:2:N
lhps,tg:lhps:21324,au::656:5:N
lhps,tg:lhps:47326,au::17525:4:N
lhps,tg:lhps:49787,au::13433:4:N
lhps,tg:lhps:10091,au::20710:2:N
lhps,tg:lhps:34937,au::20836:2:N
lhps,tg:lhps:4484,au::20710:2:N
lhps,tg:lhps:31689,au::48110:2:N
lhps,tg:lhps:84,au::20710:2:N
lhps,tg:lhps:52132,au::48222:2:N
lhps,tg:lhps:46171,au::6834:2:N
lhps,tg:lhps:4241,au::20710:2:N
lhps,tg:lhps:46872,au::17525:4:N
lhps,tg:lhps:42077,au::54975:4:N
lhps,tg:lhps:12393,au::10464:3:N
lhps,tg:lhps:49512,au::20334:3:N
lhps,tg:lhps:51067,au::17848:2:N
lhps,tg:lhps:25408,au::10460:2:N
lhps,tg:lhps:29997,au::52342:2:N
lhps,tg:lhps:43631,au::10464:3:N
lhps,tg:lhps:4703,au::20710:2:N
lhps,tg:lhps:4580,au::20710:2:N
lhps,tg:lhps:41876,au::656:5:N
lhps,tg:lhps:30173,au::10464:3:N
lhps,tg:lhps:18028,au::52342:2:N
lhps,tg:lhps:18478,au::10460:2:N
lhps,tg:lhps:10048,au::20710:2:N
lhps,tg:lhps:4518,au::20710:2:N
lhps,tg:lhps:3727,au::20710:2:N
lhps,tg:lhps:42391,au::17525:4:N
lhps,tg:lhps:40343,au::10460:2:N
lhps,tg:lhps:29260,au::17525:4:N
lhps,tg:lhps:29260,au::656:5:N
lhps,tg:lhps:21980,au::20710:2:N
lhps,tg:lhps:12219,au::10464:3:N
lhps,tg:lhps:40986,au::20334:3:N
lhps,tg:lhps:51440,au::13433:4:N
lhps,tg:lhps:3770,au::20710:2:N
lhps,tg:lhps:49836,au::48662:2:N
lhps,tg:lhps:9812,au::20710:2:N
lhps,tg:lhps:50894,au::20334:3:N
lhps,tg:lhps:4689,au::20710:2:N
lhps,tg:lhps:52515,au::48222:2:N
lhps,tg:lhps:41006,au::20334:3:N
lhps,tg:lhps:46393,au::14116:3:N
lhps,tg:lhps:56669,au::48662:2
lhps,tg:lhps:41840,au::656:5:N
lhps,tg:lhps:9384,au::20710:2:N
lhps,tg:lhps:50882,au::20334:3:N
lhps,tg:lhps:46405,au::48775:2:N
lhps,tg:lhps:20329,au::10460:4:N
lhps,tg:lhps:20283,au::10460:4:N
lhps,tg:lhps:15437,au::656:4:N
lhps,tg:lhps:9941,au::20710:2:N
lhps,tg:lhps:50210,au::17525:4:N
lhps,tg:lhps:47490,au::13332:2:N
lhps,tg:lhps:42368,au::17525:4:N
lhps,tg:lhps:4762,au::20710:2:N
lhps,tg:lhps:45784,au::50248:3:N
lhps,tg:lhps:40990,au::20334:3:N
lhps,tg:lhps:49748,au::48662:2:N
lhps,tg:lhps:43715,au::17525:4:N
lhps,tg:lhps:49318,au::17525:4:N
lhps,tg:lhps:30169,au::20334:3:N
lhps,tg:lhps:47404,au::46881:2:N
lhps,tg:lhps:60327,au::18391:2
lhps,tg:lhps:52606,au::48662:2
lhps,tg:lhps:56096,au::48736:2
lhps,tg:lhps:49699,au::48662:2:N
lhps,tg:lhps:46583,au::18239:3:N
lhps,tg:lhps:9828,au::20710:2:N
lhps,tg:lhps:3875,au::20710:2:N
lhps,tg:lhps:48067,au::46860:2:N
lhps,tg:lhps:56079,au::48736:2
lhps,tg:lhps:50904,au::20334:3:N
lhps,tg:lhps:14524,au::54975:4:N
lhps,tg:lhps:49158,au::48662:2:N
lhps,tg:lhps:45897,au::18514:4:N
lhps,tg:lhps:52201,au::18247:2:N
lhps,tg:lhps:62434,au::10464:3:N
lhps,tg:lhps:27881,au::656:5:N
lhps,tg:lhps:9039,au::20710:2:N
lhps,tg:lhps:51354,au::13433:4:N
lhps,tg:lhps:9486,au::20710:2:N
lhps,tg:lhps:3822,au::20710:2:N
lhps,tg:lhps:44013,au::54975:4:N
lhps,tg:lhps:71,au::20710:2:N
lhps,tg:lhps:57150,au::18391:2
lhps,tg:lhps:4471,au::20710:2:N
lhps,tg:lhps:47445,au::13316:2:N
lhps,tg:lhps:47445,au::48872:2:N
lhps,tg:lhps:45881,au::57503:1:N
lhps,tg:lhps:46038,au::15238:3:N
lhps,tg:lhps:57279,au::48662:2
lhps,tg:lhps:58476,au::48775:2
lhps,tg:lhps:11049,au::10464:3:N
lhps,tg:lhps:25668,au::10460:3:N
lhps,tg:lhps:46203,au::13760:2:N
lhps,tg:lhps:60331,au::18391:2
lhps,tg:lhps:50857,au::20334:3:N
lhps,tg:lhps:9428,au::20710:2:N
lhps,tg:lhps:9582,au::20710:2:N
lhps,tg:lhps:51315,au::54975:4:N
lhps,tg:lhps:46829,au::17525:4:N
lhps,tg:lhps:42186,au::20334:3:N
lhps,tg:lhps:47384,au::46881:2:N
lhps,tg:lhps:3863,au::20710:2:N
lhps,tg:lhps:49724,au::13433:4:N
lhps,tg:lhps:12776,au::10464:3:N
lhps,tg:lhps:21446,au::656:5:N
lhps,tg:lhps:50856,au::20334:3:N
lhps,tg:lhps:42187,au::20334:3:N
lhps,tg:lhps:51251,au::52342:2:N
lhps,tg:lhps:3862,au::20710:2:N
lhps,tg:lhps:31503,au::656:5:N
lhps,tg:lhps:51894,au::16897:2:N
lhps,tg:lhps:60330,au::18391:2
lhps,tg:lhps:5723,au::13433:4:N
lhps,tg:lhps:49773,au::13433:4:N
lhps,tg:lhps:46039,au::15238:3:N
lhps,tg:lhps:60222,au::48662:2
lhps,tg:lhps:57151,au::18391:2
lhps,tg:lhps:55496,au::48662:2
lhps,tg:lhps:46310,au::13760:2:N
lhps,tg:lhps:52646,au::18247:2:N
lhps,tg:lhps:61649,au::9431:2:N
lhps,tg:lhps:54442,au::48662:2
lhps,tg:lhps:3823,au::20710:2:N
lhps,tg:lhps:46243,au::48736:2:N
lhps,tg:lhps:9595,au::20710:2:N
lhps,tg:lhps:49698,au::48662:2:N
lhps,tg:lhps:3874,au::20710:2:N
lhps,tg:lhps:58436,au::48775:2
lhps,tg:lhps:10248,au::20710:2:N
lhps,tg:lhps:48436,au::15238:3:N
lhps,tg:lhps:50905,au::20334:3:N
lhps,tg:lhps:60263,au::50789:2
lhps,tg:lhps:18551,au::20710:2:N
lhps,tg:lhps:14821,au::20710:2:N
lhps,tg:lhps:4431,au::20710:2:N
lhps,tg:lhps:30168,au::20334:3:N
lhps,tg:lhps:47405,au::808:2:N
lhps,tg:lhps:34828,au::7601:3:N
lhps,tg:lhps:18414,au::20334:3:N
lhps,tg:lhps:60326,au::18391:2
lhps,tg:lhps:48158,au::656:5:N
lhps,tg:lhps:48158,au::17442:2:N
lhps,tg:lhps:40991,au::20334:3:N
lhps,tg:lhps:42386,au::17525:4:N
lhps,tg:lhps:47184,au::656:5:N
lhps,tg:lhps:50211,au::17525:4:N
lhps,tg:lhps:43578,au::15237:3:N
lhps,tg:lhps:47491,au::13332:2:N
lhps,tg:lhps:42369,au::17525:4:N
lhps,tg:lhps:51545,au::20334:3:N
lhps,tg:lhps:47215,au::17525:4:N
lhps,tg:lhps:9106,au::20710:2:N
lhps,tg:lhps:50883,au::20334:3:N
lhps,tg:lhps:46404,au::48775:2:N
lhps,tg:lhps:43606,au::48662:2:N
lhps,tg:lhps:31493,au::656:5:N
lhps,tg:lhps:48949,au::17442:2:N
lhps,tg:lhps:46541,au::14116:3:N
lhps,tg:lhps:41007,au::20334:3:N
lhps,tg:lhps:12465,au::10464:3:N
lhps,tg:lhps:46392,au::20334:3:N
lhps,tg:lhps:47429,au::54975:4:N
lhps,tg:lhps:30001,au::10464:3:N
lhps,tg:lhps:2463,au::13693:2:N
lhps,tg:lhps:50895,au::20334:3:N
lhps,tg:lhps:5975,au::18065:2:N
lhps,tg:lhps:52514,au::48222:2:N
lhps,tg:lhps:55951,au::4942:2
lhps,tg:lhps:16430,au::20710:3:N
lhps,tg:lhps:3771,au::20710:2:N
lhps,tg:lhps:47254,au::52342:2:N
lhps,tg:lhps:3819,au::20710:2:N
lhps,tg:lhps:46500,au::13760:2:N
lhps,tg:lhps:40987,au::20334:3:N
lhps,tg:lhps:12424,au::52342:2:N
lhps,tg:lhps:18029,au::10464:3:N
lhps,tg:lhps:18029,au::48775:2:N
lhps,tg:lhps:17276,au::48662:2:N
lhps,tg:lhps:10049,au::20710:2:N
lhps,tg:lhps:4519,au::20710:2:N
lhps,tg:lhps:42390,au::17525:4:N
lhps,tg:lhps:3726,au::20710:2:N
