Record ID,Record Type,Keeper Name,URL,ResourceID,Object Number value,Object Identifier,Record Identifier Type,URL Type,Object Identifier Type,Object Number Type,order,card,brocade.id,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,id/place.place,Production Place ID,Production Place Identifier,Production Place Name,Object Type,Start Date
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,7,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Images,tg:mpmph:14,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:3103'},,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,2,Images,tg:mpmph:14,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:3107'},,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,ObjectTypes,tg:mpmph:14,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Places,tg:mpmph:14,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,0,TimeSpans,tg:mpmph:14,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
tg:mpmph:12,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:12/N,43fae41d-2b9c-5b34-b10c-e558dc89ae43,BE-ANN00/ph/000000004,{'url':'https://id.museumplantinmoretus.be/ark:/11975/43fae41d-2b9c-5b34-b10c-e558dc89ae43'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Archives,tg:mpmph:12,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/43fae41d-2b9c-5b34-b10c-e558dc89ae43'},,,,,,,,,,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Descriptions,,,,,"Opening van de tentoonstelling 'Max Rooses herdacht' in het Stedelijk Prentenkabinet. Aan het woord: Ary Delen. Naast hem v.l.n.r.: schepen Adolf Molter, schepen Jules Somers en een onbekende vrouw (Rosa Rooses?).",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Dimensions,,,,,,,,"175,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Dimensions,,,,,,,,"234,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::4838,{'url': 'https://anet.be/record/isaarlh/au::4838'},fo,Tijdschrift,De Dag [Dagblad],Fotograaf,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::5193,{'url': 'https://anet.be/record/isaarlh/au::5193'},ow,Persoon,Ary J.J. Delen,Onderwerp,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::17300,{'url': 'https://anet.be/record/isaarlh/au::17300'},ow,Persoon,Jules Somers,Onderwerp,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:12,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Images,tg:mpmph:12,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:2634'},,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,2,Images,tg:mpmph:12,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:2636'},,,,,,,,,,,,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,ObjectTypes,tg:mpmph:12,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,1,Places,tg:mpmph:12,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,,0,TimeSpans,tg:mpmph:12,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
tg:mpmph:16,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:16/N,68a09ff2-b4bf-5cc1-979b-96655a7771a5,BE-ANN00/ph/000000008,{'url':'https://id.museumplantinmoretus.be/ark:/11975/68a09ff2-b4bf-5cc1-979b-96655a7771a5'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Archives,tg:mpmph:16,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/68a09ff2-b4bf-5cc1-979b-96655a7771a5'},,,,,,,,,,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Descriptions,,,,,"Academische zitting ter gelegenheid van de 25ste verjaring van Max Rooses' overlijden. Aan het woord: Herman F. Bouchery. Naast hem v.l.n.r.: Jan Denucé, schepen Adolf Molter en Emmanuel De Bom.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Dimensions,,,,,,,,"180,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Dimensions,,,,,,,,"246,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::4838,{'url': 'https://anet.be/record/isaarlh/au::4838'},fo,Tijdschrift,De Dag [Dagblad],Fotograaf,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::2561,{'url': 'https://anet.be/record/isaarlh/au::2561'},ow,Persoon,Herman F. Bouchery,Onderwerp,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::5346,{'url': 'https://anet.be/record/isaarlh/au::5346'},ow,Persoon,Jan Denucé,Onderwerp,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::2268,{'url': 'https://anet.be/record/isaarlh/au::2268'},ow,Persoon,Emmanuel de Bom,Onderwerp,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,7,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:16,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Images,tg:mpmph:16,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:3105'},,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,2,Images,tg:mpmph:16,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:3109'},,,,,,,,,,,,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,ObjectTypes,tg:mpmph:16,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,1,Places,tg:mpmph:16,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,,0,TimeSpans,tg:mpmph:16,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
tg:mpmph:11,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:11/N,839033c8-e69d-5629-948b-144adfab957f,BE-ANN00/ph/000000003,{'url':'https://id.museumplantinmoretus.be/ark:/11975/839033c8-e69d-5629-948b-144adfab957f'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Archives,tg:mpmph:11,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/839033c8-e69d-5629-948b-144adfab957f'},,,,,,,,,,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Descriptions,,,,,"Academische zitting ter gelegenheid van de 25ste verjaring van Max Rooses' overlijden. Aan het woord: Jan Denucé. Naast hem v.l.n.r.: schepen Adolf Molter, Emmanuel De Bom en conservator Herman F. Bouchery.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Dimensions,,,,,,,,"182,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Dimensions,,,,,,,,"240,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::7150,{'url': 'https://anet.be/record/isaarlh/au::7150'},fo,Tijdschrift,Gazet van Antwerpen,Fotograaf,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::5346,{'url': 'https://anet.be/record/isaarlh/au::5346'},ow,Persoon,Jan Denucé,Onderwerp,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::2268,{'url': 'https://anet.be/record/isaarlh/au::2268'},ow,Persoon,Emmanuel de Bom,Onderwerp,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::2561,{'url': 'https://anet.be/record/isaarlh/au::2561'},ow,Persoon,Herman F. Bouchery,Onderwerp,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,7,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:11,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Images,tg:mpmph:11,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:2633'},,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,2,Images,tg:mpmph:11,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:2635'},,,,,,,,,,,,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,ObjectTypes,tg:mpmph:11,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,1,Places,tg:mpmph:11,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,839033c8-e69d-5629-948b-144adfab957f,,,,,,,0,TimeSpans,tg:mpmph:11,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
tg:mpmph:15,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:15/N,b779d048-874d-5380-96a7-853bb262031e,BE-ANN00/ph/000000007,{'url':'https://id.museumplantinmoretus.be/ark:/11975/b779d048-874d-5380-96a7-853bb262031e'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Archives,tg:mpmph:15,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/b779d048-874d-5380-96a7-853bb262031e'},,,,,,,,,,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Descriptions,,,,,"Opening van de tentoonstelling 'Max Rooses herdacht' in het Stedelijk Prentenkabinet. V.l.n.r.: Ary Delen, schepen Adolf Molter, schepen Jules Somers, een zekere meneer Rombaut en Frans Wittemans. 
",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Dimensions,,,,,,,,"94,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Dimensions,,,,,,,,"153,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::4838,{'url': 'https://anet.be/record/isaarlh/au::4838'},fo,Tijdschrift,De Dag [Dagblad],Fotograaf,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::5193,{'url': 'https://anet.be/record/isaarlh/au::5193'},ow,Persoon,Ary J.J. Delen,Onderwerp,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::17300,{'url': 'https://anet.be/record/isaarlh/au::17300'},ow,Persoon,Jules Somers,Onderwerp,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::21603,{'url': 'https://anet.be/record/isaarlh/au::21603'},ow,Persoon,Frans Wittemans,Onderwerp,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,7,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:15,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Images,tg:mpmph:15,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:3104'},,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,2,Images,tg:mpmph:15,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:3108'},,,,,,,,,,,,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,ObjectTypes,tg:mpmph:15,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,1,Places,tg:mpmph:15,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,b779d048-874d-5380-96a7-853bb262031e,,,,,,,0,TimeSpans,tg:mpmph:15,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
tg:mpmph:13,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:13/N,de60bf3e-8106-5377-b9d7-dfd48da0c477,BE-ANN00/ph/000000005,{'url':'https://id.museumplantinmoretus.be/ark:/11975/de60bf3e-8106-5377-b9d7-dfd48da0c477'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Archives,tg:mpmph:13,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/de60bf3e-8106-5377-b9d7-dfd48da0c477'},,,,,,,,,,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Descriptions,,,,,"Academische zitting ter gelegenheid van de 25ste verjaring van Max Rooses' overlijden. Aan het woord: conservator Herman F. Bouchery. Naast hem v.l.n.r.: Jan Denucé, schepen Adolf Molter en Emmanuel De Bom.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Dimensions,,,,,,,,"112,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Dimensions,,,,,,,,"175,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::20562,{'url': 'https://anet.be/record/isaarlh/au::20562'},fo,Tijdschrift,De Volksgazet,Fotograaf,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::2561,{'url': 'https://anet.be/record/isaarlh/au::2561'},ow,Persoon,Herman F. Bouchery,Onderwerp,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::5346,{'url': 'https://anet.be/record/isaarlh/au::5346'},ow,Persoon,Jan Denucé,Onderwerp,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::2268,{'url': 'https://anet.be/record/isaarlh/au::2268'},ow,Persoon,Emmanuel de Bom,Onderwerp,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,6,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},vb,Persoon,Max Rooses,In Verband Met,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,7,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:13,au::13308,{'url': 'https://anet.be/record/isaarlh/au::13308'},av,Organisatie,Museum Plantin-Moretus,Archiefvormer,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Images,tg:mpmph:13,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:mpmdoc:3102'},,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,2,Images,tg:mpmph:13,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:mpmdoc:3106'},,,,,,,,,,,,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,ObjectTypes,tg:mpmph:13,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,1,Places,tg:mpmph:13,,,,,,,,,,,,,,,,,,,"[{'value': 'au::13308', 'uuid': '42798d8a-4823-5ee0-95af-a23264d6dc00'}]",au::13308,https://id.museumplantinmoretus.be/ark:/11975/42798d8a-4823-5ee0-95af-a23264d6dc00,Museum Plantin-Moretus,,
,,,,de60bf3e-8106-5377-b9d7-dfd48da0c477,,,,,,,0,TimeSpans,tg:mpmph:13,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
