ResourceID,brocade.id,card,order,adm.acquiredVia,Registration Number value,Location Number,adm.isadPartOf,Warehouse Location (begin),adm.note,Serial Number,Warehouse Location (ende)
11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,tg:lhob:355,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,"Doos 14 / 35
",Doos 14 / 35,
ec713338-1901-5c95-a827-fe2fdffe9b37,tg:lhob:705,Items,1,tr:lh:6812,168497/3,RR 62 / V,,V3 B 1 A1,,,
675fe7d4-2f9c-544a-8e6a-0b763f40e77b,tg:lhob:586,Items,1,,,S 395 / E,,,,,
978c5a2b-bb23-5f2c-b10f-d690ec1d52ce,tg:lhob:569,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
ea53cb96-164a-5f60-9d88-a1fab88260d0,tg:lhob:139,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 4 / 6,,
c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,tg:lhob:617,Items,1,,,M 5162 / E,,,,,
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Items,1,tr:lh:2212,42177,S 1055 / V,isad:lh:134752,V3 B 1 A1,Doos 13 / 2,,
036efff3-bcb1-5176-9ca3-d2a37c44220c,tg:lhob:181,Items,1,tr:lh:6595,166150,A 493 / V,isad:lh:134459,V3 B 1 A1,Doos 6 / 6,,
38df51fb-9845-55ec-8d64-a9bae16384eb,tg:lhob:549,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,
f86a177c-40a0-5a3d-98e8-ee8114ddef11,tg:lhob:375,Items,1,,,,isad:lh:134799,V3 B 1 A1,,Doos 15 / 17,
aa7620ed-b248-5012-801d-44af139e0277,tg:lhob:230,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 9,,
6568f72d-9329-5ca8-affd-da8775f9b2ca,tg:lhob:660,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
1e154e2a-486a-5acd-810e-4c7155cbbfa4,tg:lhob:288,Items,1,,,,isad:lh:134720,V3 B 1 A1,,Doos 12 / 13,
40b73b50-6a75-5243-a771-c34a962e6579,tg:lhob:322,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 3,,
7d7fefa8-3307-51de-a7ac-da11e4248928,tg:lhob:637,Items,1,tr:lh:7398,196044,R 985/ E,,,,,
8e45a706-94d5-5419-8a44-336e5610b60e,tg:lhob:267,Items,1,tr:lh:2432,50022,D 1175 / V,isad:lh:134709,V3 B 1 A1,Doos 11 / 47,,
049e8351-8b2c-5cca-903f-ea20425ad2aa,tg:lhob:508,Items,1,,,,isad:lh:161151,,,D 4813 / 191,
42f6290b-a696-5dc3-a692-36b9e0e67b51,tg:lhob:158,Items,1,tr:lh:6928,,,isad:lh:109818,V3 B 1 A1,C 395 / V,Doos 4 / 25,
5369b966-631a-5143-9518-ea27c85249e3,tg:lhob:334,Items,1,,,,isad:lh:134688,V3 B 1 A1,,Doos 14 / 15,
1bbe3e40-dd56-598f-a25d-262e4e247b86,tg:lhob:271,Items,1,tr:lh:2212,42093,M 762 / V,isad:lh:134449,V3 B 1 A1,Doos 12 / 4,,
312da8d8-7042-5b8d-bd81-fb3b0bb92fca,tg:lhob:621,Items,1,,,M 5162 / E,,,,,
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,tg:lhob:699,Items,1,tr:lh:7376,,K 376 / V,isad:lh:134288,V3 D,,,
06921aaa-1516-5f27-a96a-bf985f5e3171,tg:lhob:363,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 5,,
2eae7de6-e530-56a3-acf9-d6e9b56384d3,tg:lhob:676,Items,1,tr:lh:6898,170837,L 319 / E,,,,,
1e5a2451-acba-564b-95bc-c7b12f049888,tg:lhob:226,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 5,,
38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,tg:lhob:174,Items,1,tr:lh:6603,166277,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 5 / 15,,
f23cbd96-2b7d-5902-8a8e-1491530ffb68,tg:lhob:524,Items,1,tr:lh:6603,163531,G 395 / E,,,,,
3e19ea84-4ecb-5977-9421-9ffa7cf127b1,tg:lhob:318,Items,1,tr:lh:5462,107347,,isad:lh:118147,V3 B 1 A1,,Doos 13 / 17,
1f5bc828-1571-526d-8f90-d50114b812c8,tg:lhob:94,Items,1,tr:lh:6936,166.149 / 1,A 4927 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 23,,
a008a896-b7c3-5d2f-ad98-597ad3ab33b1,tg:lhob:436,Items,1,,,A 357 / E,,,,,
686aaaeb-90ba-5ddb-88fe-f13ac964755c,tg:lhob:573,Items,1,tr:lh:2412,46664,R 985/ E,,,,,
93cb61b6-7711-5dfe-a061-569ac06464be,tg:lhob:123,Items,1,tr:lh:2437,45792,,isad:lh:134494,V3 B 1 A1,,Doos 3 / 13,
777e9212-d7a9-5501-8978-fd54e7f26c95,tg:lhob:420,Items,1,,63003/2,A 357 / E,,,,,
f7fdd293-2b63-5659-9617-b18d7a1be459,tg:lhob:135,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 2 / 5-7,,
68aaa2d9-b5a9-50dc-9ff2-d710265f6eeb,tg:lhob:565,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
52ee1d6d-2804-50d3-bfd3-61042162ed3c,tg:lhob:709,Items,1,tr:lh:140362,,T 3465 / V,,V3 B,,,
bbd8ed56-93f4-5c59-bf7e-d07fd96d4ae1,tg:lhob:359,Items,1,,203541,M 6147 / V,isad:lh:134513,V3 B 1 A1,Doos 15 / 1,,
c7135e38-584c-5a54-8836-5433378b28ad,tg:lhob:532,Items,1,tr:lh:6603,163535,G 395 / E,,,,,
44b9fca4-68bc-5fd6-b341-40e28a6224fd,tg:lhob:498,Items,1,tr:lh:1615,29109,K 376 / V,isad:lh:134288,V3 D,,,
952bcc33-f731-577a-a040-d6d6e8c30fc0,tg:lhob:162,Items,1,tr:lh:2400,45792,C 492 / V,isad:lh:134494,V3 B 1 A1,Doos 5 / 2,,
6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,tg:lhob:533,Items,1,tr:lh:6603,163540,G 395 / E,,,,,
bc71e5a7-816b-5036-bf89-bdcdad003524,tg:lhob:499,Items,1,tr:lh:6444,158169,J 422 / V,isad:lh:134507,V3 D,,,
4eec1b20-1ac5-57c6-a991-8484d9324186,tg:lhob:163,Items,1,tr:lh:6595,166148,A 493 / V,isad:lh:134459,V3 B 1 A1,Doos 5 / 3,,
1d05b1b9-0618-5c54-8751-6479fbf3475f,tg:lhob:708,Items,1,tr:lh:7376,,,isad:lh:134288,V3 D,,,
4f887d02-75a6-5ce8-b12c-e5b38da7ee6c,tg:lhob:358,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 38,,
a65025e9-9d49-5cc7-8251-2302516bbdaa,tg:lhob:421,Items,1,,63003/5,A 357 / E,,,,,
168af78c-5e5c-5350-9eed-b281c25f187f,tg:lhob:134,Items,1,tr:lh:5483,107497,,isad:lh:134518,V3 B 1 A1,,Doos 3 / 28,
5b7bbf90-249a-50cd-b832-34789cc9fe4f,tg:lhob:564,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
ee505759-223f-5451-aee7-5fc99aa8e4c5,tg:lhob:95,Items,1,tr:lh:6502,159633,K 3024 / V,isad:lh:134305,V3 B 1 A1,Doos 2 / 1,,
039e2f17-f200-5204-b703-688251042d88,tg:lhob:437,Items,1,tr:lh:6911,171040,A 357 / E,,,,,
d6ddc6e0-bdbd-5df8-92e4-9f59bd1f9bb1,tg:lhob:572,Items,1,tr:lh:2420,46710,L 775/ E,,,,,
689c4ad9-8332-5e66-b346-1bd7633425c9,tg:lhob:122,Items,1,tr:lh:9517,,,isad:lh:134493,V3 B 1 A1,,Doos 3 / 12,
d04d6f12-b361-5dc9-9072-33c4896dc250,tg:lhob:319,Items,1,tr:lh:4489,86441,F 446 / V,isad:lh:134768,V3 B 1 A1,Doos 13 / 18,,
807d1fa4-a90f-5284-81a1-aa30acf7bba9,tg:lhob:175,Items,1,tr:lh:7438,,S 7484 / V,isad:lh:134605,V3 B 1 A1,Doos 5 / 16,,
6168c962-3e49-5cc3-bc28-25b3366a6315,tg:lhob:525,Items,1,tr:lh:6603,163533,G 395 / E,,,,,
eacb0b64-a631-5317-81ab-b07e5c5a0da5,tg:lhob:698,Items,1,tr:lh:7376,195826/4,,isad:lh:134288,V3 D,,,
38bab78f-ccfe-5cc7-ba4a-274a5667314d,tg:lhob:362,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 4,,
ae4ddc15-90b6-5216-9c39-47a4d69fee0d,tg:lhob:677,Items,1,tr:lh:6898,170837,L 319 / E,,,,,
68063590-95c5-5ec6-9f10-fd69b8b51b68,tg:lhob:227,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 6,,
d30cff16-d872-5c7e-a09f-b05ede5c5258,tg:lhob:335,Items,1,tr:lh:6461,158552,,isad:lh:134780,V3 B 1 A1,,Doos 14 / 16,
f71795ce-64f8-5d14-bec0-e7aaea80989f,tg:lhob:270,Items,1,tr:lh:2212,42093,M 762 / V,isad:lh:134449,V3 B 1 A1,Doos 12 / 3,,
0a65641d-3a81-502e-9c8b-d93c471274ed,tg:lhob:620,Items,1,,,M 5162 / E,,,,,
a15d77ac-2a35-5d4f-8e61-4c852f27bc5c,tg:lhob:159,Items,1,tr:lh:2247,43293,A 2012 / V,isad:lh:134261,V3 B 1 A1,Doos 4 / 26,,
c63e171d-b02a-5052-a9f0-769d01eaab54,tg:lhob:289,Items,1,tr:lh:3327,66375,,isad:lh:109818,V3 B 1 A1,,Doos 12 / 18,
7a04ce32-968d-5c8a-b662-9c05ef366c53,tg:lhob:323,Items,1,tr:lh:3327,66375,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 14 / 27,,
50db8fa5-2250-5d0f-bb8f-8f63d18a4fd5,tg:lhob:266,Items,1,tr:lh:2432,50022,D 1175 / V,isad:lh:134709,V3 B 1 A1,Doos 11 / 46,,
e183894d-04ce-5c3f-8300-1f4b0e083f34,tg:lhob:374,Items,1,tr:lh:6104,140 387 / 2,,isad:lh:135485,V3 B 1 A1,,Doos 15 / 16,
b06ff932-a1e4-562b-944e-cd87ab59530c,tg:lhob:231,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 10,,
3beb2575-8065-551e-8612-06b0c5e9c57f,tg:lhob:661,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
58793a7e-9836-522b-8b8a-1017729be7dc,tg:lhob:548,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
4733eafd-05ba-5af5-a904-4e28c8aada36,tg:lhob:118,Items,1,tr:lh:6595,166144,,isad:lh:134459,V3 B 1 A1,,Doos 3 / 9,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,Items,1,,,,isad:lh:108893,,,P 3445 / 104,
bcf2345c-5724-52f5-a3f5-5ea521ba4778,tg:lhob:180,Items,1,tr:lh:2190,41393,L 3045 / V,isad:lh:134666,V3 B 1 A1,Doos 6 / 5,,
10c034bb-4ac3-57d3-9e4a-93e2a408b890,tg:lhob:495,Items,1,tr:lh:634,12549,S 483 / V,isad:lh:134292,V3 D,,,
6ff7a84d-0bc7-58a3-bd6c-db8914a0b969,tg:lhob:616,Items,1,,,M 5162 / E,,,,,
ad6695ec-5571-566c-9f72-acd025570b4b,tg:lhob:246,Items,1,tr:lh:7740,200983,S 5621 / V,isad:lh:134700,V3 B 1 A1,Doos 11 / 25,,
b4520af0-7898-544a-9886-b5820c65ceeb,tg:lhob:303,Items,1,,,S 638 / V,isad:lh:134756,,Doos 13 / 3,,
501d39d6-eef4-582a-94a0-3765a588a9f5,tg:lhob:587,Items,1,,,S 395 / E,,,,,
ddfa8ec3-89c2-5026-a7bb-f357e70c29e3,tg:lhob:568,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
b2b0fe20-eee7-5511-a5bb-ad3fcc36943a,tg:lhob:138,Items,1,tr:lh:6607,166273,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 4 / 5,,
058d404b-513c-59e9-88e8-7e7ce672f665,tg:lhob:211,Items,1,,,C 397 / V,isad:lh:134688,V3 B 1 A1,,,
cf431aeb-e507-5698-a484-13bf523fa092,tg:lhob:641,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
5b44d137-90fb-5912-acbc-7f2608416c62,tg:lhob:354,Items,1,,,V 4835 / V,isad:lh:134387,V3 B 1 A1,Doos 14 / 34,,
6b25a3a8-b8c0-5231-b439-de5ca1494eba,tg:lhob:704,Items,1,tr:lh:6812,168497/2,RR 62 / V,,V3 B 1 A1,,,
d7bb3ac7-a800-5e75-966b-4303219d8fca,tg:lhob:591,Items,1,,,S 395 / E,,,,,
ce9a9e2d-3504-592d-8bed-8af9bc3c641d,tg:lhob:99,Items,1,tr:lh:5451,106999,A 2875 / V,isad:lh:134421,V3 B 1 A1,Doos 2 / 8-12,,
98a9cc57-28f0-55c4-a7cf-5d705ed9affb,tg:lhob:76,Items,1,tr:lh:6595,166.138,A 493 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 8,,
7f9aef31-a0d4-532d-8121-75b18dda09df,tg:lhob:657,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
b815d424-e521-5661-8181-487b8d20f97a,tg:lhob:207,Items,1,tr:lh:3327,,C 395 / V,isad:lh:109818,V3 B 1 A1,,,
6331e3ce-4997-552b-8d9a-bd41b6fdf8a3,tg:lhob:712,Items,1,,,BB 210 / V,isad:lh:148672,V3 B,In verwerking,,
f360c194-bbed-5833-85d8-17a7a822e6f9,tg:lhob:342,Items,1,,,,isad:lh:109818,V3 B 1 A1,,Doos 14 / 23,
04771dcb-2029-567a-a786-c76208457897,tg:lhob:529,Items,1,tr:lh:6603,163528,G 395 / E,,,,,
1e9e6b2f-bdd6-54d1-a999-290c165c9fa0,tg:lhob:483,Items,1,,179677,V 2563 / V,isad:lh:154725,V3 D,,,
06197111-d903-5b07-a309-644ae51214cf,tg:lhob:179,Items,1,tr:lh:2190,41393,L 3045 / V,isad:lh:134666,V3 B 1 A1,Doos 6 / 4,,
be4cb44a-ab21-5294-8c63-869c43a7b22f,tg:lhob:250,Items,1,tr:lh:4005,76609,V 341 / V,isad:lh:134702,V3 B 1 A1,Doos 11 / 29,,
f9d08c90-afaf-5b15-8b6c-a1c568640b6e,tg:lhob:600,Items,1,,,S 395 / E,,,,,
1eae5d10-a032-5efb-a639-ab64e06fbb97,tg:lhob:552,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,
fddb58b1-af35-52da-b2d6-0976f93d0f6b,tg:lhob:102,Items,1,tr:lh:5486,108190,,isad:lh:134422,V3 B 1 A1,,Doos 2 / 17-18,
2acbdd19-0ecf-5e7c-8ba8-98a18c399fe7,tg:lhob:417,Items,1,tr:lh:2412,,A 357 / E,,,,,
8385be39-85a8-5fba-9c5f-f5e84fa863dd,tg:lhob:694,Items,1,tr:lh:140286,,M 6147 / V,isad:lh:134513,V3 D,,,
f09473bb-edce-5537-9304-fcefa20bb684,tg:lhob:381,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 23,,
1f089839-3c74-55ac-b3ad-93c3ffa960a7,tg:lhob:155,Items,1,tr:lh:6106,125941,K 9885,isad:lh:134604,V3 B 1 A1,Doos 4 / 22,,
65e4bdc5-742f-570a-9d71-d89fd8c84c2f,tg:lhob:505,Items,1,tr:lh:140192,,M 6147 / V,,V3 B 1 A,,,
07dd1c0d-90bd-5d1e-8b17-b4db8d553ccc,tg:lhob:440,Items,1,tr:lh:2412,46453,A 357 / E,,,,,
4b8cd6b0-c23e-5773-b628-5627132fa167,tg:lhob:293,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,,Doos 12 / 22,
63da0311-405d-55da-9844-690abd29fb62,tg:lhob:339,Items,1,tr:lh:6341,166265,,isad:lh:123315,V3 B 1 A1,,Doos 14 / 20,
0f9ab033-daa7-5a85-9e4f-5810c8c3756c,tg:lhob:513,Items,1,,,,isad:lh:161151,,,D 4813 / 188,
5430d12d-0bd8-598a-9c2b-5a295e4a2ce2,tg:lhob:143,Items,1,tr:lh:6607,166269,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 4 / 10,,
88c67227-39f9-57d9-8c01-188757f0fc76,tg:lhob:285,Items,1,,,J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 12 / 16,,
17ac57cf-1bd2-5d54-9c05-744b762d7c70,tg:lhob:114,Items,1,,100576,,,V3 B 1 A1,,Doos 3 / 4,
7054b0cb-3a9d-5f87-828a-3023c6e6655b,tg:lhob:544,Items,1,tr:lh:6603,163548,G 395 / E,,,,,
1e48616c-49d6-5e66-ad68-75c533340319,tg:lhob:401,Items,1,,,,isad:lh:134493,V3 B 1 A1,,Doos 15 / 45,
5784cc53-0e0e-5628-912b-26ce7215dd53,tg:lhob:728,Items,1,,,B 9325 / E,isad:lh:181518,V3 B 1 A,,,
5bdf1b3e-a9b3-56fa-b27e-ba4b8e0ae604,tg:lhob:682,Items,1,tr:lh:2718,53786,R 985 / E,,,,,
8e581ef4-eb3c-5004-be78-fa65214d73c3,tg:lhob:378,Items,1,tr:lh:2595,47409,R 985 / V,isad:lh:135488,V3 B 1 A1,Doos 19 / 20,,
b77d6ea1-d6a6-55d7-bf65-842822d2480b,tg:lhob:397,Items,1,tr:lh:2413,47405,,isad:lh:135488,V3 B 1 A1,,Doos 15 / 41,
0da98ac5-4a39-51b4-8d2f-f0eff19cd057,tg:lhob:689,Items,1,tr:lh:2718,53781,R 985 / E,,,,,
bdd44810-6d54-5030-afc3-54a6c5bf37d3,tg:lhob:373,Items,1,,71.665,,,V3 B 1 A1,,Doos 15 / 15,
eae32cb5-7d78-5b8c-8053-0ec6731f0a83,tg:lhob:236,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 14,,
848526cc-f124-5b87-a440-4e759b961fe2,tg:lhob:666,Items,1,tr:lh:6341,148070,G 395 / E,,,,,
96c8292a-ca37-5dce-b4d4-994081c5e898,tg:lhob:148,Items,1,tr:lh:3992,76135,T 176 / V,isad:lh:112024,V3 B 1 A1,Doos 4 / 15,,
ed83c965-ea6c-58b1-9d5e-1d959f8fd3e9,tg:lhob:518,Items,1,tr:lh:2432,50014,D 1175 / E,,,,,
1f9c5b8c-a852-5d77-8ed5-637b9d2f6db9,tg:lhob:324,Items,1,,126309,C 2753 / V,isad:lh:134770,V3 B 1 A1,Doos 14 / 5,,
50993c04-09db-5aab-91fe-138756c6a126,tg:lhob:631,Items,1,,,K 9045 / E,,,,,
cd1ac1b1-71fa-5901-85b8-0109608d00a9,tg:lhob:261,Items,1,tr:lh:2212,42109,H 635 / V,isad:lh:134273,V3 B 1 A1,Doos 11 / 40,,
10619e69-ff8e-5edd-98f3-0ac22ca386df,tg:lhob:332,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 13,,
6227cee9-6ca5-59cf-9881-f7e324e2fb10,tg:lhob:298,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 12 / 26,,
b98b7ed0-5f42-5ce0-ad47-dde46cb63509,tg:lhob:277,Items,1,tr:lh:6341,148060,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 12 / 8,,
e9a43dc3-0ac1-5e0c-94d7-9ed4c0ebccba,tg:lhob:627,Items,1,,,K 9045 / E,,,,,
5bd293ed-da1d-5499-8d86-8b806b69cea3,tg:lhob:109,Items,1,tr:lh:7844,148062,,isad:lh:123315,V3 B 1 A1,,Doos 2 / 33,
4fd104bd-fdfd-5eac-8bc5-535766f77bbd,tg:lhob:559,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
55a3c15a-6c59-54e5-93ba-a2a4ce1453b0,tg:lhob:365,Items,1,tr:lh:5451,107000 / 3,A 2875 / V,isad:lh:134421,V3 B 1 A1,Doos 15 / 7,,
988b0604-c205-5c86-b3c3-dab983bd8b44,tg:lhob:670,Items,1,tr:lh:6284,146037,H 7653 / E,,,,,
8f224bff-7428-5e5e-9622-98f1e736413f,tg:lhob:220,Items,1,tr:lh:2212,42091,,isad:lh:134695,V3 B 1 A1,,Doos 10 / 1,
5a047795-04fc-5dbe-95f7-4c4e2d6a7915,tg:lhob:488,Items,1,tr:lh:6341,148059,G 395 / V,isad:lh:123315,V3 D,,,
5a247f0e-1926-5765-89f1-0e201cd7405a,tg:lhob:172,Items,1,tr:lh:2212,42162,H 635 / V,isad:lh:134273,V3 B 1 A1,Doos 5 / 12,,
7da89682-68f3-5cff-84f1-4d8c94d27613,tg:lhob:522,Items,1,,164094,V 4123 / E,,,,,
7a584d1a-15de-58ba-b538-3c56522415a6,tg:lhob:430,Items,1,,,A 357 / E,,,,,
7530c604-63a8-5db3-8079-4f9695b04ec4,tg:lhob:92,Items,1,tr:lh:2497,42162,H 635,isad:lh:134273,V3 B 1 A1,Doos 1 / 21,,
b5e5a4a3-05db-5384-a64f-0865630d2f32,tg:lhob:575,Items,1,tr:lh:2718,53779,R 985 / E,,,,,
4dfae4a9-42cd-5250-8164-06ed11ee73fb,tg:lhob:125,Items,1,tr:lh:6595,166140,,isad:lh:134459,V3 B 1 A1,,Doos 3 / 15,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,Items,1,,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 14 / 30,,
99477dc7-97b1-5bdb-a02e-74b53a0ba9d7,tg:lhob:84,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 1 / 14,,
5a00dc31-4cfc-50a5-aee3-1881eb72138d,tg:lhob:426,Items,1,tr:lh:2412,46681,A 357 / E,,,,,
85da6c09-3c6d-540f-8eff-197f0c99b68f,tg:lhob:133,Items,1,tr:lh:7116,203541,M 6147 / V,isad:lh:134513,V3 B 1 A1,Doos 3 / 27,,
0acb2717-a90a-598c-bd3b-c3f82f9a8e7a,tg:lhob:563,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
6bebcd9a-a2ef-5ba1-b466-c0d1a046a5c1,tg:lhob:534,Items,1,tr:lh:6603,163541,G 395 / E,,,,,
4cdfd51b-fcc9-5c60-9a27-1f6bcc2117c1,tg:lhob:164,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 5 / 4,,
9ab450b3-a418-5d62-abd6-d24e4f7e6322,tg:lhob:308,Items,1,tr:lh:2432,50027,D 1175 / V,isad:lh:134709,V3 B 1 A1,Doos 13 / 8,,
fb9d9f79-ed4c-5519-884d-64df2978ea25,tg:lhob:685,Items,1,tr:lh:7398,196042,R 985 / E,,,,,
