ResourceID,ResourceID_mat,mmb_id,mmb_id_mat,card,order,Material Records,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Record Type,Description Type,Description Language,Description
31974045-851a-52a1-934b-2abd151aa9f7,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/31974045-851a-52a1-934b-2abd151aa9f7,object identifier,tg:mmbtk:4,record identifiers,MMB.A.2503,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Feuilles (Planche III)
31974045-851a-52a1-934b-2abd151aa9f7,e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,tg:mmbtk:4,tg:mmbtk:4_#1,e73_MaterialRecords,1,"[{""resourceId"": ""e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2947aa79-9b17-49f0-b669-236640a68185"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
36eba54e-750e-5a42-9b05-fc2c81a34c4e,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/36eba54e-750e-5a42-9b05-fc2c81a34c4e,object identifier,tg:mmbtk:17,record identifiers,MMB.A.2516,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Polypétales. Peripétalie (Planche XVI)
36eba54e-750e-5a42-9b05-fc2c81a34c4e,fafa34f9-fa2f-5a23-97fa-90308d228031,tg:mmbtk:17,tg:mmbtk:17_#1,e73_MaterialRecords,1,"[{""resourceId"": ""fafa34f9-fa2f-5a23-97fa-90308d228031"", ""ontologyProperty"": """", ""resourceXresourceId"": ""65e9018c-9c35-42c7-bc3c-1bdc66d26096"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
56bae6e2-59b1-5775-8fcb-931044b4d3c8,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/56bae6e2-59b1-5775-8fcb-931044b4d3c8,object identifier,tg:mmbtk:1,record identifiers,MMB.A.1618,constructed titles,Kruis van de orde van Malta,Tekeningen,,,
56bae6e2-59b1-5775-8fcb-931044b4d3c8,aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1,tg:mmbtk:1_#1,e73_MaterialRecords,1,"[{""resourceId"": ""aa901457-d319-5707-82f0-6d6664aae111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3435f2ed-b578-45ae-8214-c4a87b8d7df6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
64f22bc5-5102-5d31-a7dd-7257e09498d1,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/64f22bc5-5102-5d31-a7dd-7257e09498d1,object identifier,tg:mmbtk:6,record identifiers,MMB.A.2505,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Fruits et Graines (Planche V)
64f22bc5-5102-5d31-a7dd-7257e09498d1,bdebbf22-8cba-53d8-b061-91b121132463,tg:mmbtk:6,tg:mmbtk:6_#1,e73_MaterialRecords,1,"[{""resourceId"": ""bdebbf22-8cba-53d8-b061-91b121132463"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ecfe72b7-9577-4e3d-8b6b-56fcf8d0e2e2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
6bf3f579-da04-53db-8326-2c7f3823d0e3,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/6bf3f579-da04-53db-8326-2c7f3823d0e3,object identifier,tg:mmbtk:10,record identifiers,MMB.A.2509,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monoepyginie (Planche IX)
6bf3f579-da04-53db-8326-2c7f3823d0e3,cac4f6aa-9ae5-5293-a319-4056ac10e320,tg:mmbtk:10,tg:mmbtk:10_#1,e73_MaterialRecords,1,"[{""resourceId"": ""cac4f6aa-9ae5-5293-a319-4056ac10e320"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b2150890-12ee-4037-a480-3621f4100b8a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
76c0675a-64c4-5e73-a725-a520c17d8941,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/76c0675a-64c4-5e73-a725-a520c17d8941,object identifier,tg:mmbtk:5,record identifiers,MMB.A.2504,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Fleurs (Planche IV)
76c0675a-64c4-5e73-a725-a520c17d8941,c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,tg:mmbtk:5,tg:mmbtk:5_#1,e73_MaterialRecords,1,"[{""resourceId"": ""c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""284e9f2a-edfe-4264-8521-822aec295cfe"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
8385935b-a2e4-5df2-80e8-755ba80a4032,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/8385935b-a2e4-5df2-80e8-755ba80a4032,object identifier,tg:mmbtk:14,record identifiers,MMB.A.2513,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,"Dicodyledones - Monopétales. Synantherie, Corisantherie (Planche XIII)"
8385935b-a2e4-5df2-80e8-755ba80a4032,317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14,tg:mmbtk:14_#1,e73_MaterialRecords,1,"[{""resourceId"": ""317599d4-a3a1-5874-b430-d720f5e9cb97"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2ae3dd30-6055-41e6-a6a1-494c2a75e5c1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,object identifier,tg:mmbtk:11,record identifiers,MMB.A.2510,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,"Dicodyledones - Apétales. Epistaminie, Peristaminie, Hypostaminie (Planche X)"
a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,d1e773b7-7faa-5684-952b-d256d4026e22,tg:mmbtk:11,tg:mmbtk:11_#1,e73_MaterialRecords,1,"[{""resourceId"": ""d1e773b7-7faa-5684-952b-d256d4026e22"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7a97849a-c86f-4819-be56-5857b330a553"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,object identifier,tg:mmbtk:19,record identifiers,MMB.A.2518,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Diclinie (Planche XVIII)
a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19,tg:mmbtk:19_#1,e73_MaterialRecords,1,"[{""resourceId"": ""78f7334c-e93c-5795-bfdf-95ba8090a9d8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""438ced4e-4e95-4dc7-866c-82dc75b7b6d2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
aa39b248-07e0-5ff3-b68a-bce898d9475e,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/aa39b248-07e0-5ff3-b68a-bce898d9475e,object identifier,tg:mmbtk:3,record identifiers,MMB.A.2502,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Tiges (Planche II)
aa39b248-07e0-5ff3-b68a-bce898d9475e,6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3,tg:mmbtk:3_#1,e73_MaterialRecords,1,"[{""resourceId"": ""6058ac12-8ccc-5f78-ac7d-04e06094ff1b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2a234059-c0fd-44c6-957d-a5d96bbcb9db"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
b9f42507-3e99-5e3d-8e72-ac739a7d61ff,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/b9f42507-3e99-5e3d-8e72-ac739a7d61ff,object identifier,tg:mmbtk:8,record identifiers,MMB.A.2507,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monohypogynie (Planche VII)
b9f42507-3e99-5e3d-8e72-ac739a7d61ff,a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8,tg:mmbtk:8_#1,e73_MaterialRecords,1,"[{""resourceId"": ""a354aeff-1559-5ca2-b8f8-e6a27f1ae270"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c1e33dd7-017b-465e-bbdd-453acc520a83"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
c7ea80a7-8b45-578a-8d11-2a001103ea38,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/c7ea80a7-8b45-578a-8d11-2a001103ea38,object identifier,tg:mmbtk:13,record identifiers,MMB.A.2512,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,"Dicodyledones - Monopétales. Hypocorollie, Hypostaminie (Planche XII)"
c7ea80a7-8b45-578a-8d11-2a001103ea38,7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13,tg:mmbtk:13_#1,e73_MaterialRecords,1,"[{""resourceId"": ""7953fcdc-c96d-5178-b6cd-3f96cd0f0e24"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9428bc6b-6924-4a6e-8c0b-2ec67c90ca58"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
d09b5e79-9464-5a3e-acbf-43a8e3dff970,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/d09b5e79-9464-5a3e-acbf-43a8e3dff970,object identifier,tg:mmbtk:2,record identifiers,MMB.A.2501,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Racines (Planche I)
d09b5e79-9464-5a3e-acbf-43a8e3dff970,89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2,tg:mmbtk:2_#1,e73_MaterialRecords,1,"[{""resourceId"": ""89c086ae-dea1-57c1-864e-cba0dc1fbc8f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c74294fc-79be-4941-aa46-460295c847eb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
dad02000-1591-5282-9693-240b3a52ca34,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/dad02000-1591-5282-9693-240b3a52ca34,object identifier,tg:mmbtk:15,record identifiers,MMB.A.2514,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,"Dicodyledones - Polypétales. Epipétalie, Hypopétalie (Planche XIV)"
dad02000-1591-5282-9693-240b3a52ca34,e4e0060b-ec49-5908-8fcd-da70137aec17,tg:mmbtk:15,tg:mmbtk:15_#1,e73_MaterialRecords,1,"[{""resourceId"": ""e4e0060b-ec49-5908-8fcd-da70137aec17"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ec657a1c-481f-474c-90bd-f25e6bfc53d7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
