ResourceID,card,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,source_field,Language,ResourceID_mat,mmb_id,mmb_id_mat,order,Material Records,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
005263cc-4062-5e33-894c-b2ba48b1b11b,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
005263cc-4062-5e33-894c-b2ba48b1b11b,e73_MaterialRecords,,,,,,,beadf23a-d128-5bfe-86d3-8ee1e14a5d41,tg:mmbbr:1610,tg:mmbbr:1610_#1,1,"[{""resourceId"": ""beadf23a-d128-5bfe-86d3-8ee1e14a5d41"", ""ontologyProperty"": """", ""resourceXresourceId"": ""722517b9-9d15-48fb-b7e2-2fa108e90e31"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
005a06ee-12d4-5350-8d15-f7149ebd6e34,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/005a06ee-12d4-5350-8d15-f7149ebd6e34,object identifier,tg:mmbbr:1114,record identifiers,MMB.A.1114,descriptive note,Nederlands,"de ontvangst van foto's, inlichtingen over een werk in de stijl van Rogier, een werk door Clavis, over een werk voorstellend de Madonna met de Notre Dame, over een triptiek voorstellend de rust tijdens de vlucht naar Egypte, over portretten door Moreel waaronder een vrouwenportret, over een werk voorstellend het laatste oordeel door Diest, de vraag naar een veilingscataloog en bibliografische gegevens",Brieven
005a06ee-12d4-5350-8d15-f7149ebd6e34,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
005a06ee-12d4-5350-8d15-f7149ebd6e34,e73_MaterialRecords,,,,,,,cac7e5f6-2e9d-5b00-887e-9a1a1ec8b653,tg:mmbbr:1114,tg:mmbbr:1114_#1,1,"[{""resourceId"": ""cac7e5f6-2e9d-5b00-887e-9a1a1ec8b653"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c66f5c34-8f07-48d8-a495-362a9b83641f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
008e4ca6-5b11-5a63-8c93-9e9e01857721,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/008e4ca6-5b11-5a63-8c93-9e9e01857721,object identifier,tg:mmbbr:1069,record identifiers,MMB.A.1069,descriptive note,Nederlands,"kwitantie voor een schilderij voorstellend de Madonna met kind [Meester van Frankfurt, atelier, Maria lactans met peer]",Brieven
008e4ca6-5b11-5a63-8c93-9e9e01857721,e73_Languages,https://dams.antwerpen.be,/asset/I1IHTndWnTRKldZ9jUu7TJh4,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
008e4ca6-5b11-5a63-8c93-9e9e01857721,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
008e4ca6-5b11-5a63-8c93-9e9e01857721,e73_MaterialRecords,,,,,,,58a241c2-c6b9-5b31-affe-7d7dbbf011a6,tg:mmbbr:1069,tg:mmbbr:1069_#1,1,"[{""resourceId"": ""58a241c2-c6b9-5b31-affe-7d7dbbf011a6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e20465d-c4fc-4119-8010-bb0dc82db075"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
009c8c17-1313-586a-b503-fb0d7eebf193,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/009c8c17-1313-586a-b503-fb0d7eebf193,object identifier,tg:mmbbr:1436,record identifiers,MMB.A.1436,descriptive note,Nederlands,In verband met de Sint Henricusstichting,Brieven
009c8c17-1313-586a-b503-fb0d7eebf193,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
009c8c17-1313-586a-b503-fb0d7eebf193,e73_MaterialRecords,,,,,,,0b9730b2-9bd9-5488-ab35-f7bca1a633b3,tg:mmbbr:1436,tg:mmbbr:1436_#1,1,"[{""resourceId"": ""0b9730b2-9bd9-5488-ab35-f7bca1a633b3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1a9cba61-91b4-461b-a38b-ac5a6871e90b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00a04bce-1ab4-5aaa-a207-449eeee9114b,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00a04bce-1ab4-5aaa-a207-449eeee9114b,object identifier,tg:mmbbr:2424,record identifiers,MMB.A.2424,descriptive note,Nederlands,Het opsturen van de foto's van twee schilderijen (portretten) met de vraag om advies met betrekking tot de toeschrijving,Brieven
00a04bce-1ab4-5aaa-a207-449eeee9114b,e73_Languages,,,,,taal 1,Spanish (language),,,,,,,,,,,,,,
00a04bce-1ab4-5aaa-a207-449eeee9114b,e73_MaterialRecords,,,,,,,df13f5e2-c35e-5c39-b28d-705caf9d52fe,tg:mmbbr:2424,tg:mmbbr:2424_#1,1,"[{""resourceId"": ""df13f5e2-c35e-5c39-b28d-705caf9d52fe"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd838ebd-9fee-4caf-9e98-772df2956a1e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00bf7dff-ee24-5c4b-b1cb-1f1c69db2c67,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00bf7dff-ee24-5c4b-b1cb-1f1c69db2c67,object identifier,tg:mmbbr:1070,record identifiers,MMB.A.1070,descriptive note,Nederlands,"de ontvangst van geld als commissie op de aankoop van een triptiek [Meester van de Heiligenfiguren, Hl. Christoffel, Antonius en Hiëronymus] en inlichtingen over de afhandeling van deze aankoop en over een portret door Largillière",Brieven
00bf7dff-ee24-5c4b-b1cb-1f1c69db2c67,e73_Languages,https://dams.antwerpen.be,/asset/iN4XRefiMJaQlMTUGVEV2M2i,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
00bf7dff-ee24-5c4b-b1cb-1f1c69db2c67,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
00bf7dff-ee24-5c4b-b1cb-1f1c69db2c67,e73_MaterialRecords,,,,,,,6e4d8718-5151-59dc-9cdd-7f892226ffa9,tg:mmbbr:1070,tg:mmbbr:1070_#1,1,"[{""resourceId"": ""6e4d8718-5151-59dc-9cdd-7f892226ffa9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""78d57cde-1636-46b5-9999-06757172d5af"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00c1041c-91c1-59bc-97be-c882bae49af5,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00c1041c-91c1-59bc-97be-c882bae49af5,object identifier,tg:mmbbr:572,record identifiers,MMB.A.0572,descriptive note,Nederlands,"de onderhandelingen over een stilleven door Van Aelst, het schrijven van een brief, het terug zien van een werk voorstellend de allegorie op de dood en een bezoek aan Antwerpen",Brieven
00c1041c-91c1-59bc-97be-c882bae49af5,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
00c1041c-91c1-59bc-97be-c882bae49af5,e73_MaterialRecords,,,,,,,7648524d-f18e-50dd-bc2b-e77d01b0166a,tg:mmbbr:572,tg:mmbbr:572_#1,1,"[{""resourceId"": ""7648524d-f18e-50dd-bc2b-e77d01b0166a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b0a7427-d9f1-4f22-bb92-fd98bca1a171"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00c3f3d6-7a31-5a7c-8646-635f64bd4916,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00c3f3d6-7a31-5a7c-8646-635f64bd4916,object identifier,tg:mmbbr:1704,record identifiers,MMB.A.1704,descriptive note,Nederlands,Bedankkaartje betreffende de ontvangst van de Rhijnsche Legenden,Brieven
00c3f3d6-7a31-5a7c-8646-635f64bd4916,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
00c3f3d6-7a31-5a7c-8646-635f64bd4916,e73_MaterialRecords,,,,,,,8d77bcab-e2b6-5ebb-9d34-9043103bbc2b,tg:mmbbr:1704,tg:mmbbr:1704_#1,1,"[{""resourceId"": ""8d77bcab-e2b6-5ebb-9d34-9043103bbc2b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""df9705c0-f731-465a-bb70-b366801ac880"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00c62462-7b96-51c5-8a4d-59abbf652dc6,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00c62462-7b96-51c5-8a4d-59abbf652dc6,object identifier,tg:mmbbr:2405,record identifiers,MMB.A.2405,descriptive note,Nederlands,Vraag om het museum te mogen bezoeken,Brieven
00c62462-7b96-51c5-8a4d-59abbf652dc6,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
00c62462-7b96-51c5-8a4d-59abbf652dc6,e73_MaterialRecords,,,,,,,c6f1bede-ec70-5103-9973-279bd581634b,tg:mmbbr:2405,tg:mmbbr:2405_#1,1,"[{""resourceId"": ""c6f1bede-ec70-5103-9973-279bd581634b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1b2c5085-ec7a-47c5-9b3b-5113d7a617e4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
010cd7eb-fa08-56b0-94f7-f04f04a1b366,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/010cd7eb-fa08-56b0-94f7-f04f04a1b366,object identifier,tg:mmbbr:2051,record identifiers,MMB.A.2051,descriptive note,Nederlands,Bedankbrief betreffende de uitnodiging bij de opening van het museum en excuses om niet aanwezig te kunnen zijn,Brieven
010cd7eb-fa08-56b0-94f7-f04f04a1b366,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
010cd7eb-fa08-56b0-94f7-f04f04a1b366,e73_MaterialRecords,,,,,,,2045b285-8c10-5f44-b210-63136081f99d,tg:mmbbr:2051,tg:mmbbr:2051_#1,1,"[{""resourceId"": ""2045b285-8c10-5f44-b210-63136081f99d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c08adb49-aadd-4f4c-9672-cee670c5702f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
010e9ea8-d80d-570b-9fb0-7b91318e968a,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/010e9ea8-d80d-570b-9fb0-7b91318e968a,object identifier,tg:mmbbr:2203,record identifiers,MMB.A.2203,descriptive note,Nederlands,Bedanking voor de catalogus,Brieven
010e9ea8-d80d-570b-9fb0-7b91318e968a,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
010e9ea8-d80d-570b-9fb0-7b91318e968a,e73_MaterialRecords,,,,,,,fa6ba4d6-e39a-59df-aff1-f172a65fbc3d,tg:mmbbr:2203,tg:mmbbr:2203_#1,1,"[{""resourceId"": ""fa6ba4d6-e39a-59df-aff1-f172a65fbc3d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0fa5074-419e-4b39-9b65-299ec5cf1cd4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
011cb256-2716-52ce-9fd4-6bcddf0db5c6,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/011cb256-2716-52ce-9fd4-6bcddf0db5c6,object identifier,tg:mmbbr:479,record identifiers,MMB.A.0479,descriptive note,Nederlands,"inlichtingen over een tekening door Van Averkamp, een schilderij van Pourbus en een ciborium en een bedanking voor een kruisbeeld",Brieven
011cb256-2716-52ce-9fd4-6bcddf0db5c6,e73_Languages,,,,,taal 1,German (language),,,,,,,,,,,,,,
011cb256-2716-52ce-9fd4-6bcddf0db5c6,e73_MaterialRecords,,,,,,,d83533da-7640-5a1f-93b6-46229cbd2f01,tg:mmbbr:479,tg:mmbbr:479_#1,1,"[{""resourceId"": ""d83533da-7640-5a1f-93b6-46229cbd2f01"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5ad697bb-12e2-4f85-9a0b-405cdf24e1bf"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
012c06e8-0cda-5cb3-9bcb-f2304fafec3d,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/012c06e8-0cda-5cb3-9bcb-f2304fafec3d,object identifier,tg:mmbbr:399,record identifiers,MMB.A.0399,descriptive note,Nederlands,kwitantie van restauratiewerken,Brieven
012c06e8-0cda-5cb3-9bcb-f2304fafec3d,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
012c06e8-0cda-5cb3-9bcb-f2304fafec3d,e73_MaterialRecords,,,,,,,8f677f33-2efc-5d54-8598-29182c6bf6b9,tg:mmbbr:399,tg:mmbbr:399_#1,1,"[{""resourceId"": ""8f677f33-2efc-5d54-8598-29182c6bf6b9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e4873ae4-8d6b-4492-80ff-105043db0dfd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
0134807d-d007-54cf-8078-74d6680af6e0,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/0134807d-d007-54cf-8078-74d6680af6e0,object identifier,tg:mmbbr:493,record identifiers,MMB.A.0493,descriptive note,Nederlands,500 frank voor de verkoop van een kast,Brieven
0134807d-d007-54cf-8078-74d6680af6e0,e73_Languages,,,,,taal 1,Dutch (language),,,,,,,,,,,,,,
0134807d-d007-54cf-8078-74d6680af6e0,e73_MaterialRecords,,,,,,,22f5bd41-3f62-5818-a3ad-ebdb3512d2fd,tg:mmbbr:493,tg:mmbbr:493_#1,1,"[{""resourceId"": ""22f5bd41-3f62-5818-a3ad-ebdb3512d2fd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b091739a-172d-439c-befb-8b3a9611db87"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
013cba85-de6e-5a4d-b632-244ac205a8ce,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/013cba85-de6e-5a4d-b632-244ac205a8ce,object identifier,tg:mmbbr:2143,record identifiers,MMB.A.2143,descriptive note,Nederlands,Bedanking voor het ontvangst in het museum en voor het toesturen van kunstreproducties. In verband met het sturen van een foto van een schilderij van de Maître des demi-Figures (Meester van de vrouwelijke halffiguren),Brieven
013cba85-de6e-5a4d-b632-244ac205a8ce,e73_Languages,https://dams.antwerpen.be,/asset/t2denKLaOQlPBdmZEUzSP5BW/X1kkPL6VAWjZSpA5UPWeoVAJ,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
013cba85-de6e-5a4d-b632-244ac205a8ce,e73_Languages,https://dams.antwerpen.be,/asset/t2QU6ZUWbQRqeQmcPaLlDjhC,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
013cba85-de6e-5a4d-b632-244ac205a8ce,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
013cba85-de6e-5a4d-b632-244ac205a8ce,e73_MaterialRecords,,,,,,,fdfbec9c-41f3-5236-96a7-b47db7c2931e,tg:mmbbr:2143,tg:mmbbr:2143_#1,1,"[{""resourceId"": ""fdfbec9c-41f3-5236-96a7-b47db7c2931e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b339d72-e388-4527-b386-a11fed99a27e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
01440753-bb24-5a13-9474-107a13e911a1,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/01440753-bb24-5a13-9474-107a13e911a1,object identifier,tg:mmbbr:938,record identifiers,MMB.A.0938,descriptive note,Nederlands,kwitantie van een eiken beeld voorstellend een boogschutter,Brieven
01440753-bb24-5a13-9474-107a13e911a1,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
01440753-bb24-5a13-9474-107a13e911a1,e73_MaterialRecords,,,,,,,76c5d413-9c67-5c06-b307-822e20d3df83,tg:mmbbr:938,tg:mmbbr:938_#1,1,"[{""resourceId"": ""76c5d413-9c67-5c06-b307-822e20d3df83"", ""ontologyProperty"": """", ""resourceXresourceId"": ""db442c4a-6e23-4cc6-98c7-d8752d537b37"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
0152b5da-97bf-5790-ae99-c63fa1306fe3,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/0152b5da-97bf-5790-ae99-c63fa1306fe3,object identifier,tg:mmbbr:2138,record identifiers,MMB.A.2138,descriptive note,Nederlands,Vraag naar een exemplaar van de catalogus,Brieven
0152b5da-97bf-5790-ae99-c63fa1306fe3,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
0152b5da-97bf-5790-ae99-c63fa1306fe3,e73_MaterialRecords,,,,,,,f95c95d2-7e7a-59f7-add1-bac5399fd684,tg:mmbbr:2138,tg:mmbbr:2138_#1,1,"[{""resourceId"": ""f95c95d2-7e7a-59f7-add1-bac5399fd684"", ""ontologyProperty"": """", ""resourceXresourceId"": ""47f76f10-0704-4825-8d42-8a5e8458baeb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
0153fbb5-942a-5c9a-9059-ac173a381d0c,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/0153fbb5-942a-5c9a-9059-ac173a381d0c,object identifier,tg:mmbbr:2089,record identifiers,MMB.A.2089,descriptive note,Nederlands,Bedankbrief betreffende de uitnodiging bij de opening van het museum en excuses om niet aanwezig te kunnen zijn,Brieven
0153fbb5-942a-5c9a-9059-ac173a381d0c,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
0153fbb5-942a-5c9a-9059-ac173a381d0c,e73_MaterialRecords,,,,,,,b3c2f557-d592-5ea5-9730-8ca871495627,tg:mmbbr:2089,tg:mmbbr:2089_#1,1,"[{""resourceId"": ""b3c2f557-d592-5ea5-9730-8ca871495627"", ""ontologyProperty"": """", ""resourceXresourceId"": ""89e02b84-8c51-41da-864f-900787e1c70a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
015ea743-d957-53f0-b38c-86f9b23b8159,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/015ea743-d957-53f0-b38c-86f9b23b8159,object identifier,tg:mmbbr:2304,record identifiers,MMB.A.2304,descriptive note,Nederlands,Bedanking voor de catalogus,Brieven
015ea743-d957-53f0-b38c-86f9b23b8159,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
015ea743-d957-53f0-b38c-86f9b23b8159,e73_MaterialRecords,,,,,,,ce61675f-a229-5feb-87f1-26f15a949e53,tg:mmbbr:2304,tg:mmbbr:2304_#1,1,"[{""resourceId"": ""ce61675f-a229-5feb-87f1-26f15a949e53"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2280d216-5579-4789-8151-b0664855c158"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
0172fce4-3b62-567b-9d81-2c8efef84959,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/0172fce4-3b62-567b-9d81-2c8efef84959,object identifier,tg:mmbbr:1444,record identifiers,MMB.A.1444,descriptive note,Nederlands,Ontwerp van het reglement van de Sint Henricusstichting,Brieven
0172fce4-3b62-567b-9d81-2c8efef84959,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
0172fce4-3b62-567b-9d81-2c8efef84959,e73_MaterialRecords,,,,,,,1b11c517-ef7e-5f73-b252-f69acd8de16f,tg:mmbbr:1444,tg:mmbbr:1444_#1,1,"[{""resourceId"": ""1b11c517-ef7e-5f73-b252-f69acd8de16f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8bc8d9ba-e151-4b7e-b129-96dc14662149"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
01be5b93-4ad7-58fe-895c-5ff93e1c06a4,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/01be5b93-4ad7-58fe-895c-5ff93e1c06a4,object identifier,tg:mmbbr:991,record identifiers,MMB.A.0991,descriptive note,Nederlands,"het verslag van de veiling Schubart [aankoop van Gillis van Coninxloo, Berglandschap met rivierdal en de profeet Osee; en Christoffel van den Berghe, Winterlandschap met ijsvermaak] en het verzenden van foto's van Duitse stukken",Brieven
01be5b93-4ad7-58fe-895c-5ff93e1c06a4,e73_Languages,https://dams.antwerpen.be,/asset/k187dMMYb5seqZtZdU535Awi,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01be5b93-4ad7-58fe-895c-5ff93e1c06a4,e73_Languages,https://dams.antwerpen.be,/asset/x1cONHROvrqGXjPYYeOyH8CY,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01be5b93-4ad7-58fe-895c-5ff93e1c06a4,e73_Languages,,,,,taal 1,German (language),,,,,,,,,,,,,,
01be5b93-4ad7-58fe-895c-5ff93e1c06a4,e73_MaterialRecords,,,,,,,16932364-5ec9-5a8a-9662-de7a13de72fe,tg:mmbbr:991,tg:mmbbr:991_#1,1,"[{""resourceId"": ""16932364-5ec9-5a8a-9662-de7a13de72fe"", ""ontologyProperty"": """", ""resourceXresourceId"": ""516b03e9-bd4c-46b5-b214-f6935fc5dd90"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/01c4a405-abee-5131-be53-7732b695e28d,object identifier,tg:mmbbr:696,record identifiers,MMB.A.0696,descriptive note,Nederlands,"de verzending van twee kwitanties en inlichtingen over herkomst van de aangekochte stukken [Hendrik de Fromantiou, Stilleven met oesters, brood en Venetiaans wijnglas, en Stilleven met perziken, walnoten, muis en Venetiaans wijnglas; Charles Howard Hodges, De Amsterdamse medicus Johan Rudolph Deiman en Sophia Catharina Deiman, née Smit]",Brieven
01c4a405-abee-5131-be53-7732b695e28d,e73_Languages,https://dams.antwerpen.be,/asset/HwGRtV9LJJrlEaKXZbtcsQjb,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,e73_Languages,https://dams.antwerpen.be,/asset/N2evTRsgtInKdJ9UJOQ8jA1a,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,e73_Languages,https://dams.antwerpen.be,/asset/W1isURVLPcvgLrl9f7qQ4D5H,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,e73_Languages,https://dams.antwerpen.be,/asset/yibNeaYSKOevbeAVdzYO0a55,gerelateerde objecten,DAMS Archief,,,,,,,,,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,e73_Languages,,,,,taal 1,Dutch (language),,,,,,,,,,,,,,
01c4a405-abee-5131-be53-7732b695e28d,e73_MaterialRecords,,,,,,,7e5f96cd-2add-5da1-8863-ef6947911105,tg:mmbbr:696,tg:mmbbr:696_#1,1,"[{""resourceId"": ""7e5f96cd-2add-5da1-8863-ef6947911105"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c5202718-5448-4663-a312-42eff5bddea6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
01f8d216-801f-56db-afe0-ebf8dca0b110,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/01f8d216-801f-56db-afe0-ebf8dca0b110,object identifier,tg:mmbbr:1562,record identifiers,MMB.A.1562,descriptive note,Nederlands,In verband met problemen in de Sint Henricusstichting en grond in de Mercatorstraat,Brieven
01f8d216-801f-56db-afe0-ebf8dca0b110,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
01f8d216-801f-56db-afe0-ebf8dca0b110,e73_MaterialRecords,,,,,,,51e11b56-b03d-5fc3-ac97-5c2b3d5716a0,tg:mmbbr:1562,tg:mmbbr:1562_#1,1,"[{""resourceId"": ""51e11b56-b03d-5fc3-ac97-5c2b3d5716a0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""36391ff1-fb1a-4dd8-8f40-99545d3049b5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
01feeb50-ab52-5c10-8cff-e372d701371e,AA,,,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/01feeb50-ab52-5c10-8cff-e372d701371e,object identifier,tg:mmbbr:277,record identifiers,MMB.A.0277,descriptive note,Nederlands,het aanbod van zijn collectie borduurwerk en stoffen en de uitnodiging om ze te komen bezichtigen,Brieven
01feeb50-ab52-5c10-8cff-e372d701371e,e73_Languages,,,,,taal 1,French (language),,,,,,,,,,,,,,
