ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,Image URL,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Material,Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation,Document status
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_ProductionActors,1,,,,,,au::115386:1,"Osy de Zegwaart, Hedwige",correspondents (correspondence writers),"No match for au::115386, correspondents (correspondence writers), Osy de Zegwaart, Hedwige",,,,,,,,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:443_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01cc9d61-8d63-5a99-bfed-e53310b7a28f,Doos A.III,,ink,letters (correspondence),record identifiers,tg:mmbbr:443_#1,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/q1unaJ3KSNWkbajNeGBoUvHD#id,,,,,,,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_ProductionActors,1,,,,,,au::16839:1,"Serrure, Constant Antoon",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1801773"",""au::16839"",""au::16839:1"",""ark:/83110/x0/36be58f7-7dc7-5d9c-8e1a-3a37923e197e"",""Constant Antoon Serrure""],""name"":""Constant Antoon Serrure"",""ark"":""ark:/83110/x0/36be58f7-7dc7-5d9c-8e1a-3a37923e197e"",""uri"":""/agents/people/1801773"",""id"":""au::16839:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1894-05-30,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:920_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01d31050-badc-50ae-81e1-6e16c8de474e,Doos A.VII,,ink,letters (correspondence),record identifiers,tg:mmbbr:920_#1,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/NLNLMLVA8eUCNSVKRCOW44Rr,,,,,,,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_ProductionActors,1,,,,,,au::41073:1,"Snick, Jozef van",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4394811"",""au::41073"",""au::41073:1"",""ark:/83110/x0/06cd0338-ff7d-576c-9b5c-bb3c039f6b97"",""Jozef van Snick""],""name"":""Jozef van Snick"",""ark"":""ark:/83110/x0/06cd0338-ff7d-576c-9b5c-bb3c039f6b97"",""uri"":""/agents/people/4394811"",""id"":""au::41073:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1899-01-06,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:657_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01faacaf-f492-51d2-a477-a3e67206beac,Doos A.V,,ink,letters (correspondence),record identifiers,tg:mmbbr:657_#1,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/h1sYUTiQCX6NUvlPYFntr3iR,,,,,,,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_ProductionActors,1,,,,,,,"Frenkel, Ph. & fils",correspondents (correspondence writers),"No au_code for briefschrijver, Frenkel, Ph. & fils",,,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1896-06-10,,,,,,,,,,,,,,,
024bca8a-1f05-52ff-89d6-ae89e57960f5,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2303_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/024bca8a-1f05-52ff-89d6-ae89e57960f5,Doos A.XVII,,ink,letters (correspondence),record identifiers,tg:mmbbr:2303_#1,,,,
024bca8a-1f05-52ff-89d6-ae89e57960f5,tg:mmbbr:2303_#1,e22_Archives,1,,,MMB.A.I.B.3.c,,,,,,,,,,,,,,,,,,,,,,,
