ResourceID,mmb_id_mat,card,order,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,Image URL,au_code,au_name,Production Actor Role,Production Actor Widget,Production Actor Note,Start Date,End Date,Creation Place Widget,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Material,Carrier Type,Material Colour,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/d1YAbXmRksRcBlTBgRxitwjL,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_ProductionPlaces,1,,,,,,,,au::100012,,,,,,,"dlod={""name"":""Laghouat (Algerije)"",""ark"":""ark:/83110/x0/cb113ac4-01df-5ae5-b7cf-322b68baad1a"",""uri"":""/subjects/10701284"",""id"":""au::100012"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:16_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/292606a5-1be4-5872-bb12-380aca0a3397,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:16_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/R1TTMhwnOHNpBfTKKfvWxLiB,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_ProductionPlaces,1,,,,,,,,au::100016,,,,,,,"dlod={""name"":""Oran (Algerije)"",""ark"":""ark:/83110/x0/b28901ec-f2aa-55d7-a328-1bb14e40b5d4"",""uri"":""/subjects/10701712"",""id"":""au::100016"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:14_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/317599d4-a3a1-5874-b430-d720f5e9cb97,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:14_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/d1tiChgUNVWXRWrcRRoVHVk7,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_ProductionPlaces,1,,,,,,,,au::100014,,,,,,,"dlod={""name"":""Mostaganem (Wilaya de Mostaganem)"",""ark"":""ark:/83110/x0/b09f4ba0-ee5f-5f0e-b2a1-c3297a48784d"",""uri"":""/subjects/10701498"",""id"":""au::100014"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:7_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/35b55d11-ef04-56ae-aadb-ba1cc68d2d17,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:7_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/F1jTDLWqGZXldchSWJpCHSn3,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_ProductionPlaces,1,,,,,,,,au::100007,,,,,,,"dlod={""name"":""Biskra (Wilaya de Biskra)"",""ark"":""ark:/83110/x0/8d736c83-d7db-551c-909a-72f74274caa8"",""uri"":""/subjects/10700749"",""id"":""au::100007"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:18_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/44b787db-6025-590f-a670-526337c10576,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:18_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/faSZKKYtUMOgWZKWs2oGfxnv,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_ProductionPlaces,1,,,,,,,,au::100018,,,,,,,"dlod={""name"":""Tébessa (Algerije)"",""ark"":""ark:/83110/x0/1c0d489a-1004-545a-95d4-8f48982edb51"",""uri"":""/subjects/10701926"",""id"":""au::100018"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:3_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/6058ac12-8ccc-5f78-ac7d-04e06094ff1b,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:3_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/sNZREXPPJXHTZccfToSs5Dd8,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_ProductionPlaces,1,,,,,,,,au::100003,,,,,,,"dlod={""name"":""Algerije (Afrika)"",""ark"":""ark:/83110/x0/41e3fb1b-e941-58c6-b6c8-2735458b001a"",""uri"":""/subjects/10700321"",""id"":""au::100003"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:19_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/78f7334c-e93c-5795-bfdf-95ba8090a9d8,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:19_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/J1vuUWTEhaPSNjcjWjNhHSVi,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_ProductionPlaces,1,,,,,,,,au::100019,,,,,,,"dlod={""name"":""Timgad (Wilaya de Batna)"",""ark"":""ark:/83110/x0/810981f5-e55a-564d-a6d9-52e7a68aa7aa"",""uri"":""/subjects/10702033"",""id"":""au::100019"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:13_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:13_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/h2UGHGOMBRnpUZKYmpXIM4zP,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_ProductionPlaces,1,,,,,,,,au::100013,,,,,,,"dlod={""name"":""Médéah (Wilaya de Médéa)"",""ark"":""ark:/83110/x0/e0c134bf-6241-577d-85fc-33aa6c90e7e4"",""uri"":""/subjects/10701391"",""id"":""au::100013"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:2_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/89c086ae-dea1-57c1-864e-cba0dc1fbc8f,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:2_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/z2qUZWhjBRHOOXXP4ZkrS3C9,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_ProductionPlaces,1,,,,,,,,au::100002,,,,,,,"dlod={""name"":""Albanië (Europa)"",""ark"":""ark:/83110/x0/de6c0812-45b3-5aa7-9baa-705834e5775c"",""uri"":""/subjects/10700214"",""id"":""au::100002"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:8_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/a354aeff-1559-5ca2-b8f8-e6a27f1ae270,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:8_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/lPIFQRb67KChKlqIhebpESCQ,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_ProductionPlaces,1,,,,,,,,au::100008,,,,,,,"dlod={""name"":""Bougie (Wilaya de Bejaïa)"",""ark"":""ark:/83110/x0/4809a123-9d96-59ce-ab7b-6186facc0b4c"",""uri"":""/subjects/10700856"",""id"":""au::100008"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
aa901457-d319-5707-82f0-6d6664aae111,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:1_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/aa901457-d319-5707-82f0-6d6664aae111,Doos A.XII,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:1_#1,,,
aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa901457-d319-5707-82f0-6d6664aae111,,e22_Dimensions,,,,202 x 288 mm,202,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
aa901457-d319-5707-82f0-6d6664aae111,,e22_Dimensions,,,,202 x 288 mm,288,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/B2PIbHsZ6MsE8Ph7OTAOqrZe,,,,,,,,,,,,,,,,,,,,,
aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1_#1,e22_ProductionPlaces,1,,,,,,,,au::100001,,,,,,,"dlod={""name"":""Afghanistan (Azië)"",""ark"":""ark:/83110/x0/2cedff68-341e-5fc0-947b-9e0a0c191a2c"",""uri"":""/subjects/10700107"",""id"":""au::100001"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
bdebbf22-8cba-53d8-b061-91b121132463,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:6_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/bdebbf22-8cba-53d8-b061-91b121132463,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:6_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
bdebbf22-8cba-53d8-b061-91b121132463,tg:mmbtk:6_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdebbf22-8cba-53d8-b061-91b121132463,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
