Object Number,Record Type,URL,ResourceID,Reference Number,Status,Format Dimension,Page Numbers,Page Type,Sheet Numbers,Format Type,Status,Sheeet Type,Group or individual,Typescripts used,Writing style,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhdc:3234,Document,https://anet.be/record/opaclhobj/tg:lhdc:3234/N,93ffcee9-3198-5991-8a1f-f4bd6de1aca1,BE-ANN07/dc/000003115,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/93ffcee9-3198-5991-8a1f-f4bd6de1aca1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1209,Document,https://anet.be/record/opaclhobj/tg:lhdc:1209/N,fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,BE-ANN07/dc/000001119,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1823,Document,https://anet.be/record/opaclhobj/tg:lhdc:1823/N,54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,BE-ANN07/dc/000001717,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/54b55676-f60f-5f9d-abfd-fc6ab28fa0dd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1989,Document,https://anet.be/record/opaclhobj/tg:lhdc:1989/N,a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,BE-ANN07/dc/000001882,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a0bfd496-bdb9-5974-ba6e-4efdac4a96c7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4322,Document,https://anet.be/record/opaclhobj/tg:lhdc:4322/N,1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,BE-ANN07/dc/000004196,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1120,Document,https://anet.be/record/opaclhobj/tg:lhdc:1120/N,194273e5-dce2-55d6-9225-a1a39c7683c4,BE-ANN07/dc/000001040,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/194273e5-dce2-55d6-9225-a1a39c7683c4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:545,Document,https://anet.be/record/opaclhobj/tg:lhdc:545/N,4968b442-83f7-5ac9-8739-78a9594fbb21,BE-ANN07/dc/000000480,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4968b442-83f7-5ac9-8739-78a9594fbb21'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1570,Document,https://anet.be/record/opaclhobj/tg:lhdc:1570/N,e82a4066-c13b-5c1e-a89a-f242d880158f,BE-ANN07/dc/000001467,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e82a4066-c13b-5c1e-a89a-f242d880158f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4288,Document,https://anet.be/record/opaclhobj/tg:lhdc:4288/N,69b18b18-bbe4-5c3f-8fce-82f5a18111df,BE-ANN07/dc/000004162,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/69b18b18-bbe4-5c3f-8fce-82f5a18111df'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3058,Document,https://anet.be/record/opaclhobj/tg:lhdc:3058/N,9260ac3a-493b-5c96-8e8b-2c088046afcd,BE-ANN07/dc/000002942,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/9260ac3a-493b-5c96-8e8b-2c088046afcd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4267,Document,https://anet.be/record/opaclhobj/tg:lhdc:4267/N,918e407c-5088-545f-9600-7455a2ad5ade,BE-ANN07/dc/000004142,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/918e407c-5088-545f-9600-7455a2ad5ade'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1435,Document,https://anet.be/record/opaclhobj/tg:lhdc:1435/N,a4f839b8-c912-557b-91e8-49e0629b7ca8,BE-ANN07/dc/000001336,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a4f839b8-c912-557b-91e8-49e0629b7ca8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3408,Document,https://anet.be/record/opaclhobj/tg:lhdc:3408/N,c73efc8c-499e-5620-9f16-d42150dabc4f,BE-ANN07/dc/000003289,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c73efc8c-499e-5620-9f16-d42150dabc4f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4637,Document,https://anet.be/record/opaclhobj/tg:lhdc:4637/N,14f597ea-cc38-5294-ac90-c97e8f7570c6,BE-ANN07/dc/000004507,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/14f597ea-cc38-5294-ac90-c97e8f7570c6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:400,Document,https://anet.be/record/opaclhobj/tg:lhdc:400/N,059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,BE-ANN07/dc/000000340,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/059e46d3-66dc-5b3b-895f-1f4f6b77c3e0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1966,Document,https://anet.be/record/opaclhobj/tg:lhdc:1966/N,1c069000-f37d-58f1-9832-62d2d4955dc6,BE-ANN07/dc/000001859,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1c069000-f37d-58f1-9832-62d2d4955dc6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2649,Document,https://anet.be/record/opaclhobj/tg:lhdc:2649/N,d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,BE-ANN07/dc/000002539,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d9ef42d8-16a5-5f6b-aca1-2c16301c98bc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:953,Document,https://anet.be/record/opaclhobj/tg:lhdc:953/N,863f5eca-b4fe-5ff0-9545-a487d5b19de6,BE-ANN07/dc/000000884,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/863f5eca-b4fe-5ff0-9545-a487d5b19de6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2219,Document,https://anet.be/record/opaclhobj/tg:lhdc:2219/N,2efcd247-0093-5f43-a4c1-a70f6ed1403e,BE-ANN07/dc/000002112,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2efcd247-0093-5f43-a4c1-a70f6ed1403e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2537,Document,https://anet.be/record/opaclhobj/tg:lhdc:2537/N,697fed17-e5ee-59ed-b9eb-5126ec80b459,BE-ANN07/dc/000002429,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/697fed17-e5ee-59ed-b9eb-5126ec80b459'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2167,Document,https://anet.be/record/opaclhobj/tg:lhdc:2167/N,d1575020-0721-5685-a972-e30c2476f8a8,BE-ANN07/dc/000002060,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d1575020-0721-5685-a972-e30c2476f8a8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4119,Document,https://anet.be/record/opaclhobj/tg:lhdc:4119/N,41d14d41-dfc1-54f9-8a08-852c1805028e,BE-ANN07/dc/000003994,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/41d14d41-dfc1-54f9-8a08-852c1805028e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3326,Document,https://anet.be/record/opaclhobj/tg:lhdc:3326/N,e9a999da-a1c8-5133-a100-77b0a816dae8,BE-ANN07/dc/000003207,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e9a999da-a1c8-5133-a100-77b0a816dae8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4549,Document,https://anet.be/record/opaclhobj/tg:lhdc:4549/N,c57e010f-886e-58a7-b3b0-b053513b9962,BE-ANN07/dc/000004424,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c57e010f-886e-58a7-b3b0-b053513b9962'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3776,Document,https://anet.be/record/opaclhobj/tg:lhdc:3776/N,62c249f2-b9a7-597a-ac55-22637354dd16,BE-ANN07/dc/000003654,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/62c249f2-b9a7-597a-ac55-22637354dd16'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2864,Document,https://anet.be/record/opaclhobj/tg:lhdc:2864/N,f15274bf-0e02-5c8a-a85d-74b5b9e4e418,BE-ANN07/dc/000002749,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f15274bf-0e02-5c8a-a85d-74b5b9e4e418'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:284,Document,https://anet.be/record/opaclhobj/tg:lhdc:284/N,427907aa-7f3e-50f7-9387-3e29bd48c71a,BE-ANN07/dc/000000229,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/427907aa-7f3e-50f7-9387-3e29bd48c71a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3263,Document,https://anet.be/record/opaclhobj/tg:lhdc:3263/N,308a4123-ad05-5ab6-93fe-1353f2e949eb,BE-ANN07/dc/000003144,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/308a4123-ad05-5ab6-93fe-1353f2e949eb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:791,Document,https://anet.be/record/opaclhobj/tg:lhdc:791/N,f5ee3ee2-4185-5e70-9efb-437c54abf769,BE-ANN07/dc/000000721,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f5ee3ee2-4185-5e70-9efb-437c54abf769'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3799,Document,https://anet.be/record/opaclhobj/tg:lhdc:3799/N,2a28e1e7-f916-57ad-835d-e2681ece6f46,BE-ANN07/dc/000003677,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2a28e1e7-f916-57ad-835d-e2681ece6f46'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:3633,Document,https://anet.be/record/opaclhobj/tg:lhdc:3633/N,5af84b01-84cf-512e-8360-b9f5c161be29,BE-ANN07/dc/000003511,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5af84b01-84cf-512e-8360-b9f5c161be29'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2921,Document,https://anet.be/record/opaclhobj/tg:lhdc:2921/N,d3d42335-5419-56f6-82d0-fead9c7db9a2,BE-ANN07/dc/000002805,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d3d42335-5419-56f6-82d0-fead9c7db9a2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2472,Document,https://anet.be/record/opaclhobj/tg:lhdc:2472/N,7e3aa133-adc9-5928-96d0-ef4322952dcd,BE-ANN07/dc/000002364,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7e3aa133-adc9-5928-96d0-ef4322952dcd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2188,Document,https://anet.be/record/opaclhobj/tg:lhdc:2188/N,53608659-e49e-5b3e-8a69-c959b86de8bf,BE-ANN07/dc/000002081,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/53608659-e49e-5b3e-8a69-c959b86de8bf'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:2022,Document,https://anet.be/record/opaclhobj/tg:lhdc:2022/N,815db3e8-919e-5bd2-a0b0-cb8cf85391b7,BE-ANN07/dc/000001915,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/815db3e8-919e-5bd2-a0b0-cb8cf85391b7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1527,Document,https://anet.be/record/opaclhobj/tg:lhdc:1527/N,26d15d9f-8e01-5ff2-a090-290a3e04e7ee,BE-ANN07/dc/000001428,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/26d15d9f-8e01-5ff2-a090-290a3e04e7ee'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:512,Document,https://anet.be/record/opaclhobj/tg:lhdc:512/N,c97309fe-5445-5e17-8c69-b7c249d559c0,BE-ANN07/dc/000000448,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c97309fe-5445-5e17-8c69-b7c249d559c0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:1177,Document,https://anet.be/record/opaclhobj/tg:lhdc:1177/N,3a9901ea-3fe6-507c-8c41-35a0c4ee2671,BE-ANN07/dc/000001094,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3a9901ea-3fe6-507c-8c41-35a0c4ee2671'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:4375,Document,https://anet.be/record/opaclhobj/tg:lhdc:4375/N,fd6a995a-8b02-5ecf-87f3-10974aba08a3,BE-ANN07/dc/000004249,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/fd6a995a-8b02-5ecf-87f3-10974aba08a3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhdc:142,Document,https://anet.be/record/opaclhobj/tg:lhdc:142/N,15405e4c-0613-5379-af4d-8bcb245b1c8a,BE-ANN07/dc/000000118,,,,,,,,,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/15405e4c-0613-5379-af4d-8bcb245b1c8a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
