Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,Dimension Source Note,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration URL,Illustration Type,Archive Note,Legacy Information Value,Legacy Information Type,Legacy Information Published,source_code,Object Type,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Widget,Entity Identifier,Visual ISAAR Brocade ID,Visual Actor Role,Visual Actor Widget,Visual Actor Identifier,Brocade Production Actor ID,Production Actor Role,Production Actor Widget,Production Actor Identifier,Start Date
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,ObjectTypes,tg:mpmph:14,,,,kenmerken.mpmtypeph,,,,,,,,,,,ZP,black-and-white photographs,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,2,OriginalBrocade,tg:mpmph:14,,,,,,,,,,,,,,,,,19180a17-86f1-50ca-842f-7bcc4add0f26,au::5346,subjects (content of works),"dlod={""id"":""ark:/83110/x0/19180a17-86f1-50ca-842f-7bcc4add0f26"",""brocadeID"":""au::5346"",""archivesSpaceID"":""/agents/people/55242"",""name"":""Jan Denucé"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/19180a17-86f1-50ca-842f-7bcc4add0f26,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,3,OriginalBrocade,tg:mpmph:14,,,,,,,,,,,,,,,,,ce83c643-99d7-529b-a64b-4ac724e0ce14,au::13050,subjects (content of works),"dlod={""id"":""ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14"",""brocadeID"":""au::13050"",""archivesSpaceID"":""/agents/people/93744"",""name"":""Adolf Molter"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,4,OriginalBrocade,tg:mpmph:14,,,,,,,,,,,,,,,,,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,au::2268,subjects (content of works),"dlod={""id"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""brocadeID"":""au::2268"",""archivesSpaceID"":""/agents/people/75531"",""name"":""Emmanuel de Bom"",""nameWithContext"":[""H.P."",""Havelingk"",""Ernest d' Hooghe"",""Jan Baptist Janssens"",""Mane"",""Alfried Mendel"",""P.H."",""Daniel Quilp"",""W. Steenackers"",""Thekel"",""G.J van Stockstraeten"",""Karel van Mander"",""Nand Verdonck"",""Dr. Kwabbes"",""Mac Adam"",""Th. van Hauwaert"",""J. Fr. Liebrechts"",""Alfried Mandel"",""H. Ambeloke"",""Bob Calefoot"",""Cheops"",""Colum-Massa"",""Massa"",""Elinor"",""Louis Frisé"",""Piet Palings"",""L. Fré"",""Hatteras"",""Shandy"",""Tsjitsjikoff"",""Louis Trisé""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,5,OriginalBrocade,tg:mpmph:14,,,,,,,,,,,,,,,,,775f40a7-f614-586e-bdf3-1f0f051d712c,au::2561,subjects (content of works),"dlod={""id"":""ark:/83110/x0/775f40a7-f614-586e-bdf3-1f0f051d712c"",""brocadeID"":""au::2561"",""archivesSpaceID"":""/agents/people/85762"",""name"":""Herman F. Bouchery"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/775f40a7-f614-586e-bdf3-1f0f051d712c,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,6,OriginalBrocade,tg:mpmph:14,,,,,,,,,,,,,,,,,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,keywords,"dlod={""id"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""brocadeID"":""au::16015"",""archivesSpaceID"":""/agents/people/60147"",""name"":""Max Rooses"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,ProductionActors,tg:mpmph:14,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,7,ProductionActors,tg:mpmph:14,,,,,,,,,,,,,,,,,42798d8a-4823-5ee0-95af-a23264d6dc00,,,,,,,,,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""brocadeID"":""au::13308"",""archivesSpaceID"":""/agents/corporate_entities/24945"",""name"":""Museum Plantin-Moretus"",""nameWithContext"":[""MPM""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,ProductionTimeSpans,tg:mpmph:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,VisualContent,tg:mpmph:14,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,
tg:mpmph:12,Foto's,43fae41d-2b9c-5b34-b10c-e558dc89ae43,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/43fae41d-2b9c-5b34-b10c-e558dc89ae43,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,Archives,tg:mpmph:12,isad:mpm:661,"dlod={""id"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""brocadeID"":""isad:mpm:661"",""archivesSpaceID"":""/repositories/10/archival_objects/225375"",""name"":""Max Rooses herdacht 1939"",""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceID"":""/repositories/10/resources/2910"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,DimensionSourceNotes,tg:mpmph:12,,,,kenmerken.mpmformatph,175 x 234,,,,,,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,Dimensions,tg:mpmph:12,,,,kenmerken.mpmformatph,,1750.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,Dimensions,tg:mpmph:12,,,,kenmerken.mpmformatph,,2340.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,Images,tg:mpmph:12,,,,ill.lowres,,,,,https://anet.be/docstore/d:mpmdoc:2634,Lage resolutie,,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,Items,tg:mpmph:12,,,,,,,,,,,isad:mpm:661,,,,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,LegacyInformation,,,,,id.objectNumber,,,,,,,,BE-ANN00/ph/000000004,referentienummer,False,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,LegacyInformation,,,,,brocade.id,,,,,,,,tg:mpmph:12,brocade id,False,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,LegacyInformation,,,,,brocade.url,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:12/N,brocade url,False,,,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,ObjectTypes,tg:mpmph:12,,,,kenmerken.mpmtypeph,,,,,,,,,,,ZP,black-and-white photographs,,,,,,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,2,OriginalBrocade,tg:mpmph:12,,,,,,,,,,,,,,,,,44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,au::5193,subjects (content of works),"dlod={""id"":""ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68"",""brocadeID"":""au::5193"",""archivesSpaceID"":""/agents/people/62019"",""name"":""Ary J.J. Delen"",""nameWithContext"":[""Louis van Loo""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,3,OriginalBrocade,tg:mpmph:12,,,,,,,,,,,,,,,,,ce83c643-99d7-529b-a64b-4ac724e0ce14,au::13050,subjects (content of works),"dlod={""id"":""ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14"",""brocadeID"":""au::13050"",""archivesSpaceID"":""/agents/people/93744"",""name"":""Adolf Molter"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,4,OriginalBrocade,tg:mpmph:12,,,,,,,,,,,,,,,,,10ebd5d8-30f1-5d73-8c23-6ab8823074b4,au::17300,subjects (content of works),"dlod={""id"":""ark:/83110/x0/10ebd5d8-30f1-5d73-8c23-6ab8823074b4"",""brocadeID"":""au::17300"",""archivesSpaceID"":""/agents/people/62239"",""name"":""Jules Somers"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/10ebd5d8-30f1-5d73-8c23-6ab8823074b4,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,5,OriginalBrocade,tg:mpmph:12,,,,,,,,,,,,,,,,,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,keywords,"dlod={""id"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""brocadeID"":""au::16015"",""archivesSpaceID"":""/agents/people/60147"",""name"":""Max Rooses"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,ProductionActors,tg:mpmph:12,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,6,ProductionActors,tg:mpmph:12,,,,,,,,,,,,,,,,,42798d8a-4823-5ee0-95af-a23264d6dc00,,,,,,,,,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""brocadeID"":""au::13308"",""archivesSpaceID"":""/agents/corporate_entities/24945"",""name"":""Museum Plantin-Moretus"",""nameWithContext"":[""MPM""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00,
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,,ProductionTimeSpans,tg:mpmph:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
,,43fae41d-2b9c-5b34-b10c-e558dc89ae43,,,,,1,VisualContent,tg:mpmph:12,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,
tg:mpmph:16,Foto's,68a09ff2-b4bf-5cc1-979b-96655a7771a5,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/68a09ff2-b4bf-5cc1-979b-96655a7771a5,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,Archives,tg:mpmph:16,isad:mpm:661,"dlod={""id"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""brocadeID"":""isad:mpm:661"",""archivesSpaceID"":""/repositories/10/archival_objects/225375"",""name"":""Max Rooses herdacht 1939"",""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceID"":""/repositories/10/resources/2910"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,DimensionSourceNotes,tg:mpmph:16,,,,kenmerken.mpmformatph,180 x 246,,,,,,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,Dimensions,tg:mpmph:16,,,,kenmerken.mpmformatph,,1800.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,Dimensions,tg:mpmph:16,,,,kenmerken.mpmformatph,,2460.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,Images,tg:mpmph:16,,,,ill.lowres,,,,,https://anet.be/docstore/d:mpmdoc:3105,Lage resolutie,,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,Items,tg:mpmph:16,,,,,,,,,,,isad:mpm:661,,,,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,LegacyInformation,,,,,id.objectNumber,,,,,,,,BE-ANN00/ph/000000008,referentienummer,False,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,LegacyInformation,,,,,brocade.id,,,,,,,,tg:mpmph:16,brocade id,False,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,LegacyInformation,,,,,brocade.url,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:16/N,brocade url,False,,,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,ObjectTypes,tg:mpmph:16,,,,kenmerken.mpmtypeph,,,,,,,,,,,ZP,black-and-white photographs,,,,,,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,2,OriginalBrocade,tg:mpmph:16,,,,,,,,,,,,,,,,,775f40a7-f614-586e-bdf3-1f0f051d712c,au::2561,subjects (content of works),"dlod={""id"":""ark:/83110/x0/775f40a7-f614-586e-bdf3-1f0f051d712c"",""brocadeID"":""au::2561"",""archivesSpaceID"":""/agents/people/85762"",""name"":""Herman F. Bouchery"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/775f40a7-f614-586e-bdf3-1f0f051d712c,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,3,OriginalBrocade,tg:mpmph:16,,,,,,,,,,,,,,,,,ce83c643-99d7-529b-a64b-4ac724e0ce14,au::13050,subjects (content of works),"dlod={""id"":""ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14"",""brocadeID"":""au::13050"",""archivesSpaceID"":""/agents/people/93744"",""name"":""Adolf Molter"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce83c643-99d7-529b-a64b-4ac724e0ce14,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,4,OriginalBrocade,tg:mpmph:16,,,,,,,,,,,,,,,,,19180a17-86f1-50ca-842f-7bcc4add0f26,au::5346,subjects (content of works),"dlod={""id"":""ark:/83110/x0/19180a17-86f1-50ca-842f-7bcc4add0f26"",""brocadeID"":""au::5346"",""archivesSpaceID"":""/agents/people/55242"",""name"":""Jan Denucé"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/19180a17-86f1-50ca-842f-7bcc4add0f26,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,5,OriginalBrocade,tg:mpmph:16,,,,,,,,,,,,,,,,,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,au::2268,subjects (content of works),"dlod={""id"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""brocadeID"":""au::2268"",""archivesSpaceID"":""/agents/people/75531"",""name"":""Emmanuel de Bom"",""nameWithContext"":[""H.P."",""Havelingk"",""Ernest d' Hooghe"",""Jan Baptist Janssens"",""Mane"",""Alfried Mendel"",""P.H."",""Daniel Quilp"",""W. Steenackers"",""Thekel"",""G.J van Stockstraeten"",""Karel van Mander"",""Nand Verdonck"",""Dr. Kwabbes"",""Mac Adam"",""Th. van Hauwaert"",""J. Fr. Liebrechts"",""Alfried Mandel"",""H. Ambeloke"",""Bob Calefoot"",""Cheops"",""Colum-Massa"",""Massa"",""Elinor"",""Louis Frisé"",""Piet Palings"",""L. Fré"",""Hatteras"",""Shandy"",""Tsjitsjikoff"",""Louis Trisé""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,6,OriginalBrocade,tg:mpmph:16,,,,,,,,,,,,,,,,,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,keywords,"dlod={""id"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""brocadeID"":""au::16015"",""archivesSpaceID"":""/agents/people/60147"",""name"":""Max Rooses"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,ProductionActors,tg:mpmph:16,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,7,ProductionActors,tg:mpmph:16,,,,,,,,,,,,,,,,,42798d8a-4823-5ee0-95af-a23264d6dc00,,,,,,,,,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""brocadeID"":""au::13308"",""archivesSpaceID"":""/agents/corporate_entities/24945"",""name"":""Museum Plantin-Moretus"",""nameWithContext"":[""MPM""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00,
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,,ProductionTimeSpans,tg:mpmph:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939-07-15
,,68a09ff2-b4bf-5cc1-979b-96655a7771a5,,,,,1,VisualContent,tg:mpmph:16,,,,,,,,,,,,,,,,,d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""brocadeID"":""au::4838"",""archivesSpaceID"":""/agents/corporate_entities/15455"",""name"":""De Dag [Dagblad]"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428,,,,,
tg:mpmph:11,Foto's,839033c8-e69d-5629-948b-144adfab957f,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/839033c8-e69d-5629-948b-144adfab957f,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,1,Archives,tg:mpmph:11,isad:mpm:661,"dlod={""id"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""brocadeID"":""isad:mpm:661"",""archivesSpaceID"":""/repositories/10/archival_objects/225375"",""name"":""Max Rooses herdacht 1939"",""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceID"":""/repositories/10/resources/2910"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,1,DimensionSourceNotes,tg:mpmph:11,,,,kenmerken.mpmformatph,182 x 240,,,,,,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,,Dimensions,tg:mpmph:11,,,,kenmerken.mpmformatph,,1820.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,,Dimensions,tg:mpmph:11,,,,kenmerken.mpmformatph,,2400.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,1,Images,tg:mpmph:11,,,,ill.lowres,,,,,https://anet.be/docstore/d:mpmdoc:2633,Lage resolutie,,,,,,,,,,,,,,,,,,,,
,,839033c8-e69d-5629-948b-144adfab957f,,,,,1,Items,tg:mpmph:11,,,,,,,,,,,isad:mpm:661,,,,,,,,,,,,,,,,,,,
