brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Location Number,Archive Note,Warehouse Location (begin),adm.note,Serial Number,Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhob:318,3e19ea84-4ecb-5977-9421-9ffa7cf127b1,Items,1,tr:lh:5462,107347,,isad:lh:118147,V3 B 1 A1,,Doos 13 / 17,,Nederlands,remarks
tg:lhob:94,1f5bc828-1571-526d-8f90-d50114b812c8,Items,1,tr:lh:6936,166.149 / 1,A 4927 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 23,,,Nederlands,remarks
tg:lhob:436,a008a896-b7c3-5d2f-ad98-597ad3ab33b1,Items,1,,,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:573,686aaaeb-90ba-5ddb-88fe-f13ac964755c,Items,1,tr:lh:2412,46664,R 985/ E,,,,,,Nederlands,remarks
tg:lhob:123,93cb61b6-7711-5dfe-a061-569ac06464be,Items,1,tr:lh:2437,45792,,isad:lh:134494,V3 B 1 A1,,Doos 3 / 13,,Nederlands,remarks
tg:lhob:420,777e9212-d7a9-5501-8978-fd54e7f26c95,Items,1,,63003/2,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:135,f7fdd293-2b63-5659-9617-b18d7a1be459,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 2 / 5-7,,,Nederlands,remarks
tg:lhob:565,68aaa2d9-b5a9-50dc-9ff2-d710265f6eeb,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:709,52ee1d6d-2804-50d3-bfd3-61042162ed3c,Items,1,tr:lh:140362,,T 3465 / V,,V3 B,,,,Nederlands,remarks
tg:lhob:359,bbd8ed56-93f4-5c59-bf7e-d07fd96d4ae1,Items,1,,203541,M 6147 / V,isad:lh:134513,V3 B 1 A1,Doos 15 / 1,,,Nederlands,remarks
tg:lhob:532,c7135e38-584c-5a54-8836-5433378b28ad,Items,1,tr:lh:6603,163535,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:498,44b9fca4-68bc-5fd6-b341-40e28a6224fd,Items,1,tr:lh:1615,29109,K 376 / V,isad:lh:134288,V3 D,,,,Nederlands,remarks
tg:lhob:162,952bcc33-f731-577a-a040-d6d6e8c30fc0,Items,1,tr:lh:2400,45792,C 492 / V,isad:lh:134494,V3 B 1 A1,Doos 5 / 2,,,Nederlands,remarks
tg:lhob:533,6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,Items,1,tr:lh:6603,163540,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:499,bc71e5a7-816b-5036-bf89-bdcdad003524,Items,1,tr:lh:6444,158169,J 422 / V,isad:lh:134507,V3 D,,,,Nederlands,remarks
tg:lhob:163,4eec1b20-1ac5-57c6-a991-8484d9324186,Items,1,tr:lh:6595,166148,A 493 / V,isad:lh:134459,V3 B 1 A1,Doos 5 / 3,,,Nederlands,remarks
tg:lhob:708,1d05b1b9-0618-5c54-8751-6479fbf3475f,Items,1,tr:lh:7376,,,isad:lh:134288,V3 D,,,,Nederlands,remarks
tg:lhob:358,4f887d02-75a6-5ce8-b12c-e5b38da7ee6c,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 38,,,Nederlands,remarks
tg:lhob:421,a65025e9-9d49-5cc7-8251-2302516bbdaa,Items,1,,63003/5,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:134,168af78c-5e5c-5350-9eed-b281c25f187f,Items,1,tr:lh:5483,107497,,isad:lh:134518,V3 B 1 A1,,Doos 3 / 28,,Nederlands,remarks
tg:lhob:564,5b7bbf90-249a-50cd-b832-34789cc9fe4f,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:95,ee505759-223f-5451-aee7-5fc99aa8e4c5,Items,1,tr:lh:6502,159633,K 3024 / V,isad:lh:134305,V3 B 1 A1,Doos 2 / 1,,,Nederlands,remarks
tg:lhob:437,039e2f17-f200-5204-b703-688251042d88,Items,1,tr:lh:6911,171040,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:572,d6ddc6e0-bdbd-5df8-92e4-9f59bd1f9bb1,Items,1,tr:lh:2420,46710,L 775/ E,,,,,,Nederlands,remarks
tg:lhob:122,689c4ad9-8332-5e66-b346-1bd7633425c9,Items,1,tr:lh:9517,,,isad:lh:134493,V3 B 1 A1,,Doos 3 / 12,,Nederlands,remarks
tg:lhob:319,d04d6f12-b361-5dc9-9072-33c4896dc250,Items,1,tr:lh:4489,86441,F 446 / V,isad:lh:134768,V3 B 1 A1,Doos 13 / 18,,,Nederlands,remarks
tg:lhob:175,807d1fa4-a90f-5284-81a1-aa30acf7bba9,Items,1,tr:lh:7438,,S 7484 / V,isad:lh:134605,V3 B 1 A1,Doos 5 / 16,,,Nederlands,remarks
tg:lhob:525,6168c962-3e49-5cc3-bc28-25b3366a6315,Items,1,tr:lh:6603,163533,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:698,eacb0b64-a631-5317-81ab-b07e5c5a0da5,Items,1,tr:lh:7376,195826/4,,isad:lh:134288,V3 D,,,,Nederlands,remarks
tg:lhob:362,38bab78f-ccfe-5cc7-ba4a-274a5667314d,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 4,,,Nederlands,remarks
tg:lhob:677,ae4ddc15-90b6-5216-9c39-47a4d69fee0d,Items,1,tr:lh:6898,170837,L 319 / E,,,,,,Nederlands,remarks
tg:lhob:227,68063590-95c5-5ec6-9f10-fd69b8b51b68,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 6,,,Nederlands,remarks
tg:lhob:335,d30cff16-d872-5c7e-a09f-b05ede5c5258,Items,1,tr:lh:6461,158552,,isad:lh:134780,V3 B 1 A1,,Doos 14 / 16,,Nederlands,remarks
tg:lhob:270,f71795ce-64f8-5d14-bec0-e7aaea80989f,Items,1,tr:lh:2212,42093,M 762 / V,isad:lh:134449,V3 B 1 A1,Doos 12 / 3,,,Nederlands,remarks
tg:lhob:620,0a65641d-3a81-502e-9c8b-d93c471274ed,Items,1,,,M 5162 / E,,,,,,Nederlands,remarks
tg:lhob:159,a15d77ac-2a35-5d4f-8e61-4c852f27bc5c,Items,1,tr:lh:2247,43293,A 2012 / V,isad:lh:134261,V3 B 1 A1,Doos 4 / 26,,,Nederlands,remarks
tg:lhob:289,c63e171d-b02a-5052-a9f0-769d01eaab54,Items,1,tr:lh:3327,66375,,isad:lh:109818,V3 B 1 A1,,Doos 12 / 18,,Nederlands,remarks
tg:lhob:323,7a04ce32-968d-5c8a-b662-9c05ef366c53,Items,1,tr:lh:3327,66375,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 14 / 27,,,Nederlands,remarks
tg:lhob:266,50db8fa5-2250-5d0f-bb8f-8f63d18a4fd5,Items,1,tr:lh:2432,50022,D 1175 / V,isad:lh:134709,V3 B 1 A1,Doos 11 / 46,,,Nederlands,remarks
tg:lhob:374,e183894d-04ce-5c3f-8300-1f4b0e083f34,Items,1,tr:lh:6104,140 387 / 2,,isad:lh:135485,V3 B 1 A1,,Doos 15 / 16,,Nederlands,remarks
tg:lhob:231,b06ff932-a1e4-562b-944e-cd87ab59530c,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 10,,,Nederlands,remarks
tg:lhob:661,3beb2575-8065-551e-8612-06b0c5e9c57f,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:548,58793a7e-9836-522b-8b8a-1017729be7dc,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:118,4733eafd-05ba-5af5-a904-4e28c8aada36,Items,1,tr:lh:6595,166144,,isad:lh:134459,V3 B 1 A1,,Doos 3 / 9,,Nederlands,remarks
tg:lhob:40,0198ad6d-839b-5d92-b4d0-0297d2c31de4,Items,1,,,,isad:lh:108893,,,P 3445 / 104,,Nederlands,remarks
tg:lhob:180,bcf2345c-5724-52f5-a3f5-5ea521ba4778,Items,1,tr:lh:2190,41393,L 3045 / V,isad:lh:134666,V3 B 1 A1,Doos 6 / 5,,,Nederlands,remarks
tg:lhob:495,10c034bb-4ac3-57d3-9e4a-93e2a408b890,Items,1,tr:lh:634,12549,S 483 / V,isad:lh:134292,V3 D,,,,Nederlands,remarks
tg:lhob:616,6ff7a84d-0bc7-58a3-bd6c-db8914a0b969,Items,1,,,M 5162 / E,,,,,,Nederlands,remarks
tg:lhob:246,ad6695ec-5571-566c-9f72-acd025570b4b,Items,1,tr:lh:7740,200983,S 5621 / V,isad:lh:134700,V3 B 1 A1,Doos 11 / 25,,,Nederlands,remarks
tg:lhob:303,b4520af0-7898-544a-9886-b5820c65ceeb,Items,1,,,S 638 / V,isad:lh:134756,,Doos 13 / 3,,,Nederlands,remarks
tg:lhob:587,501d39d6-eef4-582a-94a0-3765a588a9f5,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:568,ddfa8ec3-89c2-5026-a7bb-f357e70c29e3,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:138,b2b0fe20-eee7-5511-a5bb-ad3fcc36943a,Items,1,tr:lh:6607,166273,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 4 / 5,,,Nederlands,remarks
tg:lhob:211,058d404b-513c-59e9-88e8-7e7ce672f665,Items,1,,,C 397 / V,isad:lh:134688,V3 B 1 A1,,,,Nederlands,remarks
tg:lhob:641,cf431aeb-e507-5698-a484-13bf523fa092,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:354,5b44d137-90fb-5912-acbc-7f2608416c62,Items,1,,,V 4835 / V,isad:lh:134387,V3 B 1 A1,Doos 14 / 34,,,Nederlands,remarks
tg:lhob:704,6b25a3a8-b8c0-5231-b439-de5ca1494eba,Items,1,tr:lh:6812,168497/2,RR 62 / V,,V3 B 1 A1,,,,Nederlands,remarks
tg:lhob:591,d7bb3ac7-a800-5e75-966b-4303219d8fca,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:99,ce9a9e2d-3504-592d-8bed-8af9bc3c641d,Items,1,tr:lh:5451,106999,A 2875 / V,isad:lh:134421,V3 B 1 A1,Doos 2 / 8-12,,,Nederlands,remarks
tg:lhob:76,98a9cc57-28f0-55c4-a7cf-5d705ed9affb,Items,1,tr:lh:6595,166.138,A 493 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 8,,,Nederlands,remarks
tg:lhob:657,7f9aef31-a0d4-532d-8121-75b18dda09df,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:207,b815d424-e521-5661-8181-487b8d20f97a,Items,1,tr:lh:3327,,C 395 / V,isad:lh:109818,V3 B 1 A1,,,,Nederlands,remarks
tg:lhob:712,6331e3ce-4997-552b-8d9a-bd41b6fdf8a3,Items,1,,,BB 210 / V,isad:lh:148672,V3 B,In verwerking,,,Nederlands,remarks
tg:lhob:342,f360c194-bbed-5833-85d8-17a7a822e6f9,Items,1,,,,isad:lh:109818,V3 B 1 A1,,Doos 14 / 23,,Nederlands,remarks
tg:lhob:529,04771dcb-2029-567a-a786-c76208457897,Items,1,tr:lh:6603,163528,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:483,1e9e6b2f-bdd6-54d1-a999-290c165c9fa0,Items,1,,179677,V 2563 / V,isad:lh:154725,V3 D,,,,Nederlands,remarks
tg:lhob:179,06197111-d903-5b07-a309-644ae51214cf,Items,1,tr:lh:2190,41393,L 3045 / V,isad:lh:134666,V3 B 1 A1,Doos 6 / 4,,,Nederlands,remarks
tg:lhob:250,be4cb44a-ab21-5294-8c63-869c43a7b22f,Items,1,tr:lh:4005,76609,V 341 / V,isad:lh:134702,V3 B 1 A1,Doos 11 / 29,,,Nederlands,remarks
tg:lhob:600,f9d08c90-afaf-5b15-8b6c-a1c568640b6e,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:552,1eae5d10-a032-5efb-a639-ab64e06fbb97,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:102,fddb58b1-af35-52da-b2d6-0976f93d0f6b,Items,1,tr:lh:5486,108190,,isad:lh:134422,V3 B 1 A1,,Doos 2 / 17-18,,Nederlands,remarks
tg:lhob:417,2acbdd19-0ecf-5e7c-8ba8-98a18c399fe7,Items,1,tr:lh:2412,,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:694,8385be39-85a8-5fba-9c5f-f5e84fa863dd,Items,1,tr:lh:140286,,M 6147 / V,isad:lh:134513,V3 D,,,,Nederlands,remarks
tg:lhob:381,f09473bb-edce-5537-9304-fcefa20bb684,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 23,,,Nederlands,remarks
tg:lhob:155,1f089839-3c74-55ac-b3ad-93c3ffa960a7,Items,1,tr:lh:6106,125941,K 9885,isad:lh:134604,V3 B 1 A1,Doos 4 / 22,,,Nederlands,remarks
tg:lhob:505,65e4bdc5-742f-570a-9d71-d89fd8c84c2f,Items,1,tr:lh:140192,,M 6147 / V,,V3 B 1 A,,,,Nederlands,remarks
tg:lhob:440,07dd1c0d-90bd-5d1e-8b17-b4db8d553ccc,Items,1,tr:lh:2412,46453,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:293,4b8cd6b0-c23e-5773-b628-5627132fa167,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,,Doos 12 / 22,,Nederlands,remarks
tg:lhob:339,63da0311-405d-55da-9844-690abd29fb62,Items,1,tr:lh:6341,166265,,isad:lh:123315,V3 B 1 A1,,Doos 14 / 20,,Nederlands,remarks
tg:lhob:513,0f9ab033-daa7-5a85-9e4f-5810c8c3756c,Items,1,,,,isad:lh:161151,,,D 4813 / 188,,Nederlands,remarks
tg:lhob:143,5430d12d-0bd8-598a-9c2b-5a295e4a2ce2,Items,1,tr:lh:6607,166269,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 4 / 10,,,Nederlands,remarks
tg:lhob:285,88c67227-39f9-57d9-8c01-188757f0fc76,Items,1,,,J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 12 / 16,,,Nederlands,remarks
tg:lhob:114,17ac57cf-1bd2-5d54-9c05-744b762d7c70,Items,1,,100576,,,V3 B 1 A1,,Doos 3 / 4,,Nederlands,remarks
tg:lhob:544,7054b0cb-3a9d-5f87-828a-3023c6e6655b,Items,1,tr:lh:6603,163548,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:401,1e48616c-49d6-5e66-ad68-75c533340319,Items,1,,,,isad:lh:134493,V3 B 1 A1,,Doos 15 / 45,,Nederlands,remarks
tg:lhob:728,5784cc53-0e0e-5628-912b-26ce7215dd53,Items,1,,,B 9325 / E,isad:lh:181518,V3 B 1 A,,,,Nederlands,remarks
tg:lhob:682,5bdf1b3e-a9b3-56fa-b27e-ba4b8e0ae604,Items,1,tr:lh:2718,53786,R 985 / E,,,,,,Nederlands,remarks
tg:lhob:378,8e581ef4-eb3c-5004-be78-fa65214d73c3,Items,1,tr:lh:2595,47409,R 985 / V,isad:lh:135488,V3 B 1 A1,Doos 19 / 20,,,Nederlands,remarks
tg:lhob:397,b77d6ea1-d6a6-55d7-bf65-842822d2480b,Items,1,tr:lh:2413,47405,,isad:lh:135488,V3 B 1 A1,,Doos 15 / 41,,Nederlands,remarks
tg:lhob:689,0da98ac5-4a39-51b4-8d2f-f0eff19cd057,Items,1,tr:lh:2718,53781,R 985 / E,,,,,,Nederlands,remarks
tg:lhob:373,bdd44810-6d54-5030-afc3-54a6c5bf37d3,Items,1,,71.665,,,V3 B 1 A1,,Doos 15 / 15,,Nederlands,remarks
tg:lhob:236,eae32cb5-7d78-5b8c-8053-0ec6731f0a83,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 14,,,Nederlands,remarks
tg:lhob:666,848526cc-f124-5b87-a440-4e759b961fe2,Items,1,tr:lh:6341,148070,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:148,96c8292a-ca37-5dce-b4d4-994081c5e898,Items,1,tr:lh:3992,76135,T 176 / V,isad:lh:112024,V3 B 1 A1,Doos 4 / 15,,,Nederlands,remarks
tg:lhob:518,ed83c965-ea6c-58b1-9d5e-1d959f8fd3e9,Items,1,tr:lh:2432,50014,D 1175 / E,,,,,,Nederlands,remarks
tg:lhob:324,1f9c5b8c-a852-5d77-8ed5-637b9d2f6db9,Items,1,,126309,C 2753 / V,isad:lh:134770,V3 B 1 A1,Doos 14 / 5,,,Nederlands,remarks
tg:lhob:631,50993c04-09db-5aab-91fe-138756c6a126,Items,1,,,K 9045 / E,,,,,,Nederlands,remarks
tg:lhob:261,cd1ac1b1-71fa-5901-85b8-0109608d00a9,Items,1,tr:lh:2212,42109,H 635 / V,isad:lh:134273,V3 B 1 A1,Doos 11 / 40,,,Nederlands,remarks
tg:lhob:332,10619e69-ff8e-5edd-98f3-0ac22ca386df,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 13,,,Nederlands,remarks
tg:lhob:298,6227cee9-6ca5-59cf-9881-f7e324e2fb10,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 12 / 26,,,Nederlands,remarks
tg:lhob:277,b98b7ed0-5f42-5ce0-ad47-dde46cb63509,Items,1,tr:lh:6341,148060,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 12 / 8,,,Nederlands,remarks
tg:lhob:627,e9a43dc3-0ac1-5e0c-94d7-9ed4c0ebccba,Items,1,,,K 9045 / E,,,,,,Nederlands,remarks
