Object Number,Record Type,URL,ResourceID,Reference Number,Temporary Location Note,Carrier Colour,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhob:103,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:103/N,0e3c664a-3014-5589-93a4-614dc7ed5327,BE-ANN07/ob/000000062,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0e3c664a-3014-5589-93a4-614dc7ed5327,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:416,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:416/N,5cf6fb19-8a38-5706-90ee-85f1a946e015,BE-ANN07/ob/000000351,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5cf6fb19-8a38-5706-90ee-85f1a946e015,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:601,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:601/N,ab69a3bf-86ff-5650-895c-5337902b75cd,BE-ANN07/ob/000000503,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ab69a3bf-86ff-5650-895c-5337902b75cd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:314,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:314/N,8d2ffbfc-9e25-5c51-be3e-38a01561baf4,BE-ANN07/ob/000000253,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8d2ffbfc-9e25-5c51-be3e-38a01561baf4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:197,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:197/N,9b7353fd-82c9-510e-9e2f-56bb58d88ad9,BE-ANN07/ob/000000150,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9b7353fd-82c9-510e-9e2f-56bb58d88ad9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:528,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:528/N,d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,BE-ANN07/ob/000000430,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:482,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:482/N,f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,BE-ANN07/ob/000000392,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:656,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:656/N,44e552c6-c31f-5bd1-99c9-0b205cec829e,BE-ANN07/ob/000000558,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/44e552c6-c31f-5bd1-99c9-0b205cec829e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:713,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:713/N,aace5079-d656-5063-aa96-7b87fd00e060,BE-ANN07/ob/000000614,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/aace5079-d656-5063-aa96-7b87fd00e060,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:343,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:343/N,76a01cb8-b151-59c3-b593-b02b67de188f,BE-ANN07/ob/000000281,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/76a01cb8-b151-59c3-b593-b02b67de188f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:590,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:590/N,ea048364-6101-5492-bef4-6573a816a250,BE-ANN07/ob/000000492,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ea048364-6101-5492-bef4-6573a816a250,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:98,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:98/N,a319e252-eb18-5a27-80bb-fa2132d48bf9,BE-ANN07/ob/000000057,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a319e252-eb18-5a27-80bb-fa2132d48bf9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:77,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:77/N,89346987-6164-5d91-94a1-ab22af09b8e9,BE-ANN07/ob/000000041,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/89346987-6164-5d91-94a1-ab22af09b8e9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:210,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:210/N,4556877c-3dec-5bf7-a0ca-35af1a796385,BE-ANN07/ob/000000161,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4556877c-3dec-5bf7-a0ca-35af1a796385,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:640,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:640/N,0f54d3fa-a71c-5e14-ba61-7ea676a233b3,BE-ANN07/ob/000000542,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0f54d3fa-a71c-5e14-ba61-7ea676a233b3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:355,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:355/N,11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,BE-ANN07/ob/000000291,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:705,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:705/N,ec713338-1901-5c95-a827-fe2fdffe9b37,BE-ANN07/ob/000000607,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ec713338-1901-5c95-a827-fe2fdffe9b37,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:586,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:586/N,675fe7d4-2f9c-544a-8e6a-0b763f40e77b,BE-ANN07/ob/000000488,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/675fe7d4-2f9c-544a-8e6a-0b763f40e77b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:569,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:569/N,978c5a2b-bb23-5f2c-b10f-d690ec1d52ce,BE-ANN07/ob/000000471,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/978c5a2b-bb23-5f2c-b10f-d690ec1d52ce,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:139,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:139/N,ea53cb96-164a-5f60-9d88-a1fab88260d0,BE-ANN07/ob/000000098,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ea53cb96-164a-5f60-9d88-a1fab88260d0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:617,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:617/N,c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,BE-ANN07/ob/000000519,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:302,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:302/N,56f69663-9f7c-52d9-9357-879ddc002097,BE-ANN07/ob/000000241,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/56f69663-9f7c-52d9-9357-879ddc002097,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:181,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:181/N,036efff3-bcb1-5176-9ca3-d2a37c44220c,BE-ANN07/ob/000000137,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/036efff3-bcb1-5176-9ca3-d2a37c44220c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:549,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:549/N,38df51fb-9845-55ec-8d64-a9bae16384eb,BE-ANN07/ob/000000451,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/38df51fb-9845-55ec-8d64-a9bae16384eb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:375,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:375/N,f86a177c-40a0-5a3d-98e8-ee8114ddef11,BE-ANN07/ob/000000311,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f86a177c-40a0-5a3d-98e8-ee8114ddef11,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:725,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:725/N,bdf60c03-0152-5b5a-ab82-b62df1f7898b,BE-ANN07/ob/000000625,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bdf60c03-0152-5b5a-ab82-b62df1f7898b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:230,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:230/N,aa7620ed-b248-5012-801d-44af139e0277,BE-ANN07/ob/000000179,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/aa7620ed-b248-5012-801d-44af139e0277,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:660,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:660/N,6568f72d-9329-5ca8-affd-da8775f9b2ca,BE-ANN07/ob/000000562,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6568f72d-9329-5ca8-affd-da8775f9b2ca,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:288,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:288/N,1e154e2a-486a-5acd-810e-4c7155cbbfa4,BE-ANN07/ob/000000229,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1e154e2a-486a-5acd-810e-4c7155cbbfa4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:322,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:322/N,40b73b50-6a75-5243-a771-c34a962e6579,BE-ANN07/ob/000000260,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/40b73b50-6a75-5243-a771-c34a962e6579,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:637,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:637/N,7d7fefa8-3307-51de-a7ac-da11e4248928,BE-ANN07/ob/000000539,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7d7fefa8-3307-51de-a7ac-da11e4248928,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:267,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:267/N,8e45a706-94d5-5419-8a44-336e5610b60e,BE-ANN07/ob/000000212,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8e45a706-94d5-5419-8a44-336e5610b60e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:508,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:508/N,049e8351-8b2c-5cca-903f-ea20425ad2aa,BE-ANN07/ob/000000413,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/049e8351-8b2c-5cca-903f-ea20425ad2aa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:158,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:158/N,42f6290b-a696-5dc3-a692-36b9e0e67b51,BE-ANN07/ob/000000116,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/42f6290b-a696-5dc3-a692-36b9e0e67b51,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:334,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:334/N,5369b966-631a-5143-9518-ea27c85249e3,BE-ANN07/ob/000000272,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5369b966-631a-5143-9518-ea27c85249e3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:271,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:271/N,1bbe3e40-dd56-598f-a25d-262e4e247b86,BE-ANN07/ob/000000216,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1bbe3e40-dd56-598f-a25d-262e4e247b86,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:621,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:621/N,312da8d8-7042-5b8d-bd81-fb3b0bb92fca,BE-ANN07/ob/000000523,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/312da8d8-7042-5b8d-bd81-fb3b0bb92fca,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:699,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:699/N,a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,BE-ANN07/ob/000000601,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:363,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:363/N,06921aaa-1516-5f27-a96a-bf985f5e3171,BE-ANN07/ob/000000299,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/06921aaa-1516-5f27-a96a-bf985f5e3171,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:676,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:676/N,2eae7de6-e530-56a3-acf9-d6e9b56384d3,BE-ANN07/ob/000000578,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2eae7de6-e530-56a3-acf9-d6e9b56384d3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:226,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:226/N,1e5a2451-acba-564b-95bc-c7b12f049888,BE-ANN07/ob/000000175,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1e5a2451-acba-564b-95bc-c7b12f049888,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:174,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:174/N,38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,BE-ANN07/ob/000000131,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:524,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:524/N,f23cbd96-2b7d-5902-8a8e-1491530ffb68,BE-ANN07/ob/000000426,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f23cbd96-2b7d-5902-8a8e-1491530ffb68,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:318,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:318/N,3e19ea84-4ecb-5977-9421-9ffa7cf127b1,BE-ANN07/ob/000000256,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3e19ea84-4ecb-5977-9421-9ffa7cf127b1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:94,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:94/N,1f5bc828-1571-526d-8f90-d50114b812c8,BE-ANN07/ob/000000053,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1f5bc828-1571-526d-8f90-d50114b812c8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:436,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:436/N,a008a896-b7c3-5d2f-ad98-597ad3ab33b1,BE-ANN07/ob/000000371,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a008a896-b7c3-5d2f-ad98-597ad3ab33b1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:573,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:573/N,686aaaeb-90ba-5ddb-88fe-f13ac964755c,BE-ANN07/ob/000000475,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/686aaaeb-90ba-5ddb-88fe-f13ac964755c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:123,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:123/N,93cb61b6-7711-5dfe-a061-569ac06464be,BE-ANN07/ob/000000081,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/93cb61b6-7711-5dfe-a061-569ac06464be,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:420,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:420/N,777e9212-d7a9-5501-8978-fd54e7f26c95,BE-ANN07/ob/000000355,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/777e9212-d7a9-5501-8978-fd54e7f26c95,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:135,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:135/N,f7fdd293-2b63-5659-9617-b18d7a1be459,BE-ANN07/ob/000000094,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f7fdd293-2b63-5659-9617-b18d7a1be459,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:565,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:565/N,68aaa2d9-b5a9-50dc-9ff2-d710265f6eeb,BE-ANN07/ob/000000467,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/68aaa2d9-b5a9-50dc-9ff2-d710265f6eeb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:709,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:709/N,52ee1d6d-2804-50d3-bfd3-61042162ed3c,BE-ANN07/ob/000000611,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/52ee1d6d-2804-50d3-bfd3-61042162ed3c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:359,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:359/N,bbd8ed56-93f4-5c59-bf7e-d07fd96d4ae1,BE-ANN07/ob/000000295,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bbd8ed56-93f4-5c59-bf7e-d07fd96d4ae1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:532,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:532/N,c7135e38-584c-5a54-8836-5433378b28ad,BE-ANN07/ob/000000434,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c7135e38-584c-5a54-8836-5433378b28ad,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:498,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:498/N,44b9fca4-68bc-5fd6-b341-40e28a6224fd,BE-ANN07/ob/000000404,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/44b9fca4-68bc-5fd6-b341-40e28a6224fd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:162,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:162/N,952bcc33-f731-577a-a040-d6d6e8c30fc0,BE-ANN07/ob/000000120,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/952bcc33-f731-577a-a040-d6d6e8c30fc0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:533,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:533/N,6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,BE-ANN07/ob/000000435,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:499,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:499/N,bc71e5a7-816b-5036-bf89-bdcdad003524,BE-ANN07/ob/000000405,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bc71e5a7-816b-5036-bf89-bdcdad003524,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:163,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:163/N,4eec1b20-1ac5-57c6-a991-8484d9324186,BE-ANN07/ob/000000121,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4eec1b20-1ac5-57c6-a991-8484d9324186,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:708,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:708/N,1d05b1b9-0618-5c54-8751-6479fbf3475f,BE-ANN07/ob/000000610,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1d05b1b9-0618-5c54-8751-6479fbf3475f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:358,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:358/N,4f887d02-75a6-5ce8-b12c-e5b38da7ee6c,BE-ANN07/ob/000000294,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4f887d02-75a6-5ce8-b12c-e5b38da7ee6c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:421,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:421/N,a65025e9-9d49-5cc7-8251-2302516bbdaa,BE-ANN07/ob/000000356,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a65025e9-9d49-5cc7-8251-2302516bbdaa,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
