ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b0c99398-df65-5f12-8eee-d0d904b3fd35"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9092c95d-93b3-4e32-a56e-28f1286d22c8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,tg:lhph:12781,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:12781,https://data.letterenhuis.be/ark:/24970/007a0a39-9678-581f-a7d6-b12f3640b72d,Foto's,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,tg:lhph:12781,e73_DepictedItems,1,0886055c-2707-5f00-bfc5-041b1da54387,au::3566,,,,,,,,,,,,,keywords,"dlod={""name"":""Libera Carlier"",""ark"":""ark:/83110/x0/0886055c-2707-5f00-bfc5-041b1da54387"",""uri"":""/agents/people/73414"",""id"":""au::3566"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0886055c-2707-5f00-bfc5-041b1da54387,,,,,,,,,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,tg:lhph:12781,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,"Libera Carlier, op bezoek in China.",descriptive note,Nederlands,,,,,,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000012080,referentienummer,False,,,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:12781,brocade id,False,,,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:12781/N,brocade url,False,,,,,,,,,,,,
007a0a39-9678-581f-a7d6-b12f3640b72d,tg:lhph:12781,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fac3fbd8-b3c4-5f4a-9df9-f52704342780"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f092a24a-bda7-440a-a96c-d13d2593d5f6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:5012,https://data.letterenhuis.be/ark:/24970/00a1b942-66fa-51c9-b950-9102ff4d4abd,Foto's,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-04-25,2096-04-25,In Copyright
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_CreationActors,1,122f742c-46c4-5a82-abf6-3a34b0ee195a,au::54282,photographers,"dlod={""name"":""Guido de Leeuw"",""ark"":""ark:/83110/x0/122f742c-46c4-5a82-abf6-3a34b0ee195a"",""uri"":""/agents/people/83329"",""id"":""au::54282"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/122f742c-46c4-5a82-abf6-3a34b0ee195a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19810425,,,,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_CreationTimeSpanSourceNotes,1,,,,,,,,,,,,,id/date.exposure/so,19810523,,,,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_CreationTimeSpans,,,,,,,1981-04-25,,1981-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,2,9bb17409-f9fb-535f-bd49-59ef53992ee4,au::11380,,,,,,,,,,,,,keywords,"dlod={""name"":""Linda Lepomme"",""ark"":""ark:/83110/x0/9bb17409-f9fb-535f-bd49-59ef53992ee4"",""uri"":""/agents/people/80236"",""id"":""au::11380"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9bb17409-f9fb-535f-bd49-59ef53992ee4,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,3,93135682-b874-595e-b210-e3e4c3a83c49,au::45329,,,,,,,,,,,,,keywords,"dlod={""name"":""Marc Coessens"",""ark"":""ark:/83110/x0/93135682-b874-595e-b210-e3e4c3a83c49"",""uri"":""/agents/people/84743"",""id"":""au::45329"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/93135682-b874-595e-b210-e3e4c3a83c49,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,4,4d2e41b8-4ac2-56cd-8b70-b5c0fff8122d,au::46899,,,,,,,,,,,,,keywords,"dlod={""name"":""Katrien Devos"",""ark"":""ark:/83110/x0/4d2e41b8-4ac2-56cd-8b70-b5c0fff8122d"",""uri"":""/agents/people/58043"",""id"":""au::46899"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4d2e41b8-4ac2-56cd-8b70-b5c0fff8122d,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,5,f7cd1291-47e9-5a40-b9bc-ed01332d3fc4,au::50293,,,,,,,,,,,,,keywords,"dlod={""name"":""Karel Deruwe"",""ark"":""ark:/83110/x0/f7cd1291-47e9-5a40-b9bc-ed01332d3fc4"",""uri"":""/agents/people/88467"",""id"":""au::50293"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f7cd1291-47e9-5a40-b9bc-ed01332d3fc4,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,6,b49cdf2c-644e-5719-ad79-a66b814aceeb,au::5486,,,,,,,,,,,,,keywords,"dlod={""name"":""Marijn Devalck"",""ark"":""ark:/83110/x0/b49cdf2c-644e-5719-ad79-a66b814aceeb"",""uri"":""/agents/people/83772"",""id"":""au::5486"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b49cdf2c-644e-5719-ad79-a66b814aceeb,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,7,9a2125ce-eabd-5cea-a569-625c4314c79b,au::5855,,,,,,,,,,,,,keywords,"dlod={""name"":""Liliane Dorekens"",""ark"":""ark:/83110/x0/9a2125ce-eabd-5cea-a569-625c4314c79b"",""uri"":""/agents/people/55876"",""id"":""au::5855"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9a2125ce-eabd-5cea-a569-625c4314c79b,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_DepictedItems,8,021da1ca-d586-5f93-bfe2-32e7c40b9df7,au::667,,,,,,,,,,,,,keywords,"dlod={""name"":""Theater Arena"",""ark"":""ark:/83110/x0/021da1ca-d586-5f93-bfe2-32e7c40b9df7"",""uri"":""/agents/corporate_entities/16603"",""id"":""au::667"",""nameWithContext"":[""Arenatheater"",""Arenateater""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/021da1ca-d586-5f93-bfe2-32e7c40b9df7,,,,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,"De voltallige bezetting van ""Foxtrot"", een musical van Annie M.G. Schmidt
(tekst) en Harry Bannink (muziek),

door Teater Arena.

Met Daan van den Durpel (Jules), Elisabeth van Dooren (Josien), Katrien Devos
(Mathilde), Liliane Dorekens (Lisette),

Erna Palsterman (Rosie), Marijn Devalck (Albert), Karel Deruwe (Tijs), Marc
Coessens (Paul),

en de ""chorus girls"" gespeeld door Liesbeth Eriksson, Marie-Rose Hantiaux,
Rita Hendriks, Isabelle Lamouline, Linda Lepomme, Ludwina Smeets of Michou
Swennen en Marie-Pascale van Eeckhoudt of Léonce Wapelhorst.",descriptive note,Nederlands,,,,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000004713,referentienummer,False,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:5012,brocade id,False,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:5012/N,brocade url,False,,,,,,,,,,,,
00a1b942-66fa-51c9-b950-9102ff4d4abd,tg:lhph:5012,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""576ab6b1-c089-5ace-9384-87847e6d5c28"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7e62e7a8-22b2-410c-af78-f92c269ccd32"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:6176,https://data.letterenhuis.be/ark:/24970/028ab337-41b5-5ec3-a03a-93dd35449b12,Foto's,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911-uu-uu,2026-uu-uu,In Copyright
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19110000,,,,,,,,,,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_CreationTimeSpans,,,,,,,1911-uu-uu,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,," De blinde "" door Gustave van de Woestijne.",descriptive note,Nederlands,,,,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000005844,referentienummer,False,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:6176,brocade id,False,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:6176/N,brocade url,False,,,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c15c91fe-49a8-5e3e-b3c0-feed35791057"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b57214df-cff0-4d9d-9b12-df3b288ea12d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_OriginalBrocade,1,dd2bfdcc-b5f9-5f29-a69a-5f305b74545c,,,,,,,,,,,,,,,,,,,,,,,,au::21614,keywords,"dlod={""name"":""Gustave van de Woestijne"",""ark"":""ark:/83110/x0/dd2bfdcc-b5f9-5f29-a69a-5f305b74545c"",""uri"":""/agents/people/81504"",""id"":""au::21614"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/dd2bfdcc-b5f9-5f29-a69a-5f305b74545c,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,tg:lhph:13679,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:13679,https://data.letterenhuis.be/ark:/24970/02e97cad-5591-548c-b10f-6fc711128908,Foto's,,,
02e97cad-5591-548c-b10f-6fc711128908,tg:lhph:13679,e73_CreationActors,1,f86ce04e-2c47-5bbc-b224-01a68296cc07,au::47167,photographers,"dlod={""name"":""Cayet"",""ark"":""ark:/83110/x0/f86ce04e-2c47-5bbc-b224-01a68296cc07"",""uri"":""/agents/people/90552"",""id"":""au::47167"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f86ce04e-2c47-5bbc-b224-01a68296cc07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,tg:lhph:13679,e73_DepictedItems,2,0e2f1f1b-7733-54ea-a491-d88bfab4b810,au::4048,,,,,,,,,,,,,keywords,"dlod={""name"":""Herman Closson"",""ark"":""ark:/83110/x0/0e2f1f1b-7733-54ea-a491-d88bfab4b810"",""uri"":""/agents/people/57339"",""id"":""au::4048"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0e2f1f1b-7733-54ea-a491-d88bfab4b810,,,,,,,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,tg:lhph:13679,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,"Herman Closson, borststuk.",descriptive note,Nederlands,,,,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000012956,referentienummer,False,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:13679,brocade id,False,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:13679/N,brocade url,False,,,,,,,,,,,,
02e97cad-5591-548c-b10f-6fc711128908,tg:lhph:13679,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""170dc84e-24e6-5f1a-b822-09d7378a4bae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""639965e9-a368-40dc-b870-2ffa16b62de1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:40408,https://data.letterenhuis.be/ark:/24970/032b7fef-ac90-51bc-9a6d-9c0585df0aaa,Foto's,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932-uu-uu,2047-uu-uu,In Copyright
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19320000,,,,,,,,,,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_CreationTimeSpans,,,,,,,1932-uu-uu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_DepictedItems,1,5b7d922b-7c09-52e7-87b8-3d3a0c0cc093,au::12652,,,,,,,,,,,,,keywords,"dlod={""name"":""Frans Mertens"",""ark"":""ark:/83110/x0/5b7d922b-7c09-52e7-87b8-3d3a0c0cc093"",""uri"":""/agents/people/85440"",""id"":""au::12652"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5b7d922b-7c09-52e7-87b8-3d3a0c0cc093,,,,,,,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,Frans Mertens (rechts) met Harry van Berloo aan een drankgelegenheid in conversatie met de barmeid.,descriptive note,Nederlands,,,,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000039153,referentienummer,False,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:40408,brocade id,False,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:40408/N,brocade url,False,,,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a57c5460-6e37-56ed-ae9a-700d7cfe82e5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""80b05601-dae1-4f79-b63f-fbc2a990dee6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
032b7fef-ac90-51bc-9a6d-9c0585df0aaa,tg:lhph:40408,e73_MaterialRecords,2,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0550650e-12dd-5569-8953-14d71ead6fbf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ae321fdc-a948-4852-aa44-bc9b636cb74b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:37474,https://data.letterenhuis.be/ark:/24970/038496f8-3dfb-512d-9a3f-1c815fe43880,Foto's,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937-10-16,2052-10-16,In Copyright
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19371016,,,,,,,,,,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_CreationTimeSpans,,,,,,,1937-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_DepictedItems,1,5b0343ad-d132-568c-b047-d4f4d97ea83a,au::13962,,,,,,,,,,,,,keywords,"dlod={""name"":""Jan Olieslagers"",""ark"":""ark:/83110/x0/5b0343ad-d132-568c-b047-d4f4d97ea83a"",""uri"":""/agents/people/54514"",""id"":""au::13962"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5b0343ad-d132-568c-b047-d4f4d97ea83a,,,,,,,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,"Elza Leysen en Jan Olieslagers, leden van de 'Belgian Air Scouts', door haar gesticht, op de doop van haar nieuwe vlieger 'OO-JAN'.",descriptive note,Nederlands,,,,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000036256,referentienummer,False,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:37474,brocade id,False,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:37474/N,brocade url,False,,,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ca7d7bd9-2304-5e06-9a98-d560d94c181d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c24c307c-49db-416c-a08c-a98fd4ca82fd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_OriginalBrocade,2,d597595f-b931-5ecc-873a-f4c3deba6f66,,,,,,,,,,,,,,,,,,,,,,,,au::11468,keywords,"dlod={""name"":""Elza Leysen"",""ark"":""ark:/83110/x0/d597595f-b931-5ecc-873a-f4c3deba6f66"",""uri"":""/agents/people/59736"",""id"":""au::11468"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d597595f-b931-5ecc-873a-f4c3deba6f66,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_OriginalBrocade,3,6471db0c-3e2b-5b42-8f22-3ff7bea1a2e6,,,,,,,,,,,,,,,,,,,,,,,,au::20106,keywords,"dlod={""name"":""Vlaams Verbond van Katholieke Scouts"",""ark"":""ark:/83110/x0/6471db0c-3e2b-5b42-8f22-3ff7bea1a2e6"",""uri"":""/agents/corporate_entities/26261"",""id"":""au::20106"",""nameWithContext"":[""VVKS""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6471db0c-3e2b-5b42-8f22-3ff7bea1a2e6,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_OriginalBrocade,4,0e225b7a-6dfb-5f46-bc8f-378b0f7e26ac,,,,,,,,,,,,,,,,,,,,,,,,au::47798,keywords,"dlod={""name"":""Antwerpen [Luchthaven]"",""ark"":""ark:/83110/x0/0e225b7a-6dfb-5f46-bc8f-378b0f7e26ac"",""uri"":""/agents/people/89626"",""id"":""au::47798"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0e225b7a-6dfb-5f46-bc8f-378b0f7e26ac,,,,,,,
038496f8-3dfb-512d-9a3f-1c815fe43880,tg:lhph:37474,e73_OriginalBrocade,5,ccd46476-7f11-50d0-a26c-2b09d8f2efd2,,,,,,,,,,,,,,,,,,,,,,,,au::100147,keywords,,,,,,,,,
038d6849-1f1b-572d-bac8-2724f2e865ab,tg:lhph:22963,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:22963,https://data.letterenhuis.be/ark:/24970/038d6849-1f1b-572d-bac8-2724f2e865ab,Foto's,,,
038d6849-1f1b-572d-bac8-2724f2e865ab,tg:lhph:22963,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918-uu-uu,2033-uu-uu,In Copyright
038d6849-1f1b-572d-bac8-2724f2e865ab,tg:lhph:22963,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19180000,,,,,,,,,,,,,,,,,,,,,
