ResourceID,brocade.id,card,order,note,Annotation,Annotation Type,Annotation Language
f49fde20-158a-5195-b666-90849cb8d159,tg:lhps:34141,Annotations,1,note.lhalg,"Kleurenlithografie; niet gesign.  

pub: *Affiches Belle Epoque*, II, cat. 231; K. Scheerlinck, *Papieren Herauten*, p. 70, cat. 20",Algemeen,Nederlands
b53de2dd-bf90-553e-871a-b698d43182ee,tg:lhps:62721,Annotations,1,note.lhalg,"beeld: Dick Verdult

Grafisch ontwerp: Jac de Kok, R2d Tilburg

",Algemeen,Nederlands
a70f7907-7ac7-5b22-99f9-1ebbd5c0b2aa,tg:lhps:50200,Annotations,1,note.lhalg,"druk: Vynckier-Vanloo, Kortrijk",Algemeen,
34b8d835-7955-58ab-9b17-3b2aaf53c8e4,tg:lhps:8497,Annotations,1,note.lhalg,"pub.: K. Scheerlinck en R. Lucas, _Antwerpen geplakt_, AMVC, 1993, cat. 17, p.
92, ill.",Algemeen,Nederlands
0d20ac91-3ee5-535b-9bfe-a2517b96f24b,tg:lhps:34511,Annotations,1,note.lhalg,"Kleurenlithografie; monogram r.o. """"G&EP"""", toegeschreven aan Gerard & Edward Portielje  
pub: K. Scheerlinck, *Papieren Herauten*, p. 85, cat. 45  
Affiche in 2 stukken",Algemeen,Nederlands
7fa4309a-6157-5bfd-b8e9-56ed4e7cb209,tg:lhps:62664,Annotations,1,note.lhalg,foto Sanne Pepper,Algemeen,Nederlands
1170ac32-879a-5f30-990b-9919f4283422,tg:lhps:34004,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.m. in prent """"Jul. t'Felt""""

pub: K. Scheerlinck, _Papieren Herauten_, p. 90, cat. 55",Algemeen,Nederlands
c94735d1-4aad-53f8-86f0-25e454929fbe,tg:lhps:31206,Annotations,1,note.lhalg,"Oude nummering NSM: E 29565

U.S. Government Printing Office",Algemeen,Nederlands
68f5d335-fa3d-5aed-b77a-3563979ed0aa,tg:lhps:58325,Annotations,1,note.lhalg,photo: Raymond Mallentjer,Algemeen,Nederlands
f6fc28a8-6935-5a4c-9a43-caaff01a09e7,tg:lhps:34454,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. + monogram r.o. """"André Blandin",Algemeen,Nederlands
98fd8240-9677-5639-9982-033967a0458a,tg:lhps:62234,Annotations,1,note.lhalg,grafisch ontwerp Dorp & Dal,Algemeen,Nederlands
80c03d1f-0bd9-5a54-a9d8-24ed0c79b926,tg:lhps:33391,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.o. in de tekening """"A. Willette""""

pub: _Das frühe Plakat_, II, p. 256, nr. 890",Algemeen,Nederlands
df54f9db-edef-5f2b-b8f0-a0dbb00b1e81,tg:lhps:36469,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. r.o. """"Tony Castle",Algemeen,Nederlands
9bb7709a-0bda-54c7-8a52-cf4a798a703b,tg:lhps:45844,Annotations,1,note.lhalg,Tekst op achterzijde,Algemeen,Nederlands
c8284ec9-11df-55dd-84d7-ca3f158d5162,tg:lhps:28924,Annotations,1,note.lhalg,"Oude nummering Volkskunde: VM 89.61.9

druk: Cools, Beveren",Algemeen,Nederlands
aad36c62-af59-5546-b262-4d02d77d8f5a,tg:lhps:53139,Annotations,1,note.lhalg,Affiche Remi Coune,Algemeen,Nederlands
ff469774-8a33-5c37-95d8-1421d66b021f,tg:lhps:51104,Annotations,1,note.lhalg,Gesign. en gedat.: Kirstine Hurtigkarl 2009,Algemeen,Nederlands
a14da7a5-bd31-5a72-bff2-1fb47764f15c,tg:lhps:32580,Annotations,1,note.lhalg,"Reclame voor het ijzerpreparaat """"Fer Bravais""""

Kleurenlithografie: vermiljoen, geel, pruissisch blauw, zwartbruin, gesign.
l.o. """"A. Willette""""

pub: Das frühe Plakat, II, p. 256, nr. 892",Algemeen,Nederlands
663500e8-1be1-5480-a3be-f95a391e4d13,tg:lhps:61418,Annotations,1,note.lhalg,Drukk. Aug. Geudens,Algemeen,Nederlands
eb6f3136-5231-581a-baa5-6fee4c398dcf,tg:lhps:35245,Annotations,1,note.lhalg,Twee exempl.,Algemeen,Nederlands
b03493ac-db63-5d15-b89f-5b68455e76ad,tg:lhps:29266,Annotations,1,note.lhalg,Oude nummering Volkskunde: 93.21.159,Algemeen,Nederlands
12cf2e4e-1847-5dc6-8e41-2f8754ad9a9e,tg:lhps:59164,Annotations,1,note.lhalg,"ontwerp: Lies Ros, Rob Schröder, Frank Beekers - druk: Rolf Henderson Amsterdam",Algemeen,Nederlands
c10e92ce-7a9b-5ba0-b5a0-56596e3521a1,tg:lhps:12835,Annotations,1,note.lhalg,Foto: August Sander,Algemeen,Nederlands
3a1b7c76-5a86-5a88-8d23-f458bc398e47,tg:lhps:31085,Annotations,1,note.lhalg,"Oude nummering NSM: E 03854

Druk: Mühlmeister & Johler, Hamburg

Ontwerp: Anton",Algemeen,Nederlands
f36588b7-3318-5c8f-9f7f-dd18e925f7b3,tg:lhps:36740,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. r.o. """"M. de Goeye",Algemeen,Nederlands
345ddc45-a518-5103-9fbd-05ec97b1d940,tg:lhps:57253,Annotations,1,note.lhalg,Druk J. De Blauwe,Algemeen,Nederlands
52ccea33-9ed2-56d8-99cd-9adb7abfcdce,tg:lhps:22353,Annotations,1,note.lhalg,"Foto: Carel Blazer

GKf is een Nederlandse beroepsvereniging voor fotografen, opgericht in 1946,
die actief is op alle fotografieverwante terreinen.",Algemeen,Nederlands
2a81194f-5f95-5131-ad79-6c1aebc37159,tg:lhps:25496,Annotations,1,note.lhalg,Oude nummering Volkskunst: 93.21.430,Algemeen,Nederlands
a68240ea-0136-5b9f-8876-a8fc470f2f48,tg:lhps:46442,Annotations,1,note.lhalg,"Foto: Dimitri van Zeebroeck, tekening: Wim Opbrouck, vorm: Dooreman",Algemeen,Nederlands
5bc62473-4b99-58e5-9dde-32110dea5f93,tg:lhps:34287,Annotations,1,note.lhalg,"Kleurenlithografie; monogram r.o. (in beschadigd deel) """"HTL"""", toegeschreven aan Henri de Toulouse-Lautrec; Imp. Chaix 10.958-6-96  

pub: *Das frühe Plakat*, II, p. 244, nr. 848; *Affiches Belle Epoque*, I, cat. 102; *Affiches Belle Epoque*, II, cat. 250; _Zuurvrij_, nr. 22, p. 75",Algemeen,Nederlands
d5a0c580-eff1-50a7-b942-f51fdf6941f0,tg:lhps:33542,Annotations,1,note.lhalg,Kleurenlithografie; niet gesign.,Algemeen,Nederlands
b10899cc-6a98-56b7-bb7c-85f2216073b9,tg:lhps:27501,Annotations,1,note.lhalg,"Creation: Vesterholt

Buchdrück: Anton M. Jensen",Algemeen,Nederlands
2a552c91-6b66-5030-9462-b9fe50a1ae83,tg:lhps:11960,Annotations,1,note.lhalg,Tekening: Jan Bosschaert; ontwerp: Kris Demey (Griffo),Algemeen,
d50e4fdd-d7ec-57e4-a6c1-e8d8a68d86d1,tg:lhps:32353,Annotations,1,note.lhalg,"Aankondiging voor het tijdschrift """"The Bookman""""

Hoogdruk in kleuren: vermiljoen, groen, zwart; gesign. m.o. """"G.C. Parker""""

pub: Das frühe Plakat, I, p. 84, nr. 315

zie ook AV.14.6.263-264 (kleurenvariant)",Algemeen,Nederlands
94f14439-41fb-5c14-80f8-bdca19ca90b1,tg:lhps:61361,Annotations,1,note.lhalg,Tekening Paul Deja,Algemeen,Nederlands
42a9ceee-db08-524e-888f-a65336c7dd8e,tg:lhps:11599,Annotations,1,note.lhalg,"Gesign. r.o. """"M. de Goeye""""

pub: *L'affiche officiëlle Belge de Cassiers à Folon 1830/1984*, p. 36+43, aff. 115",Algemeen,Nederlands
bfa8146b-2811-58b3-be5a-1dcf21b4030c,tg:lhps:32703,Annotations,1,note.lhalg,"Reclame voor Zweedse kruidenbitter """"Fridtjof""""

Kleurenlithografie; gesign. r.o. """"E. Edel",Algemeen,Nederlands
21e78341-cbb0-50e8-8519-4acbedf326c9,tg:lhps:1570,Annotations,1,note.lhalg,origineel ontwerp,Algemeen,Nederlands
d736eded-e754-5d39-9810-b1d84e525c57,tg:lhps:53210,Annotations,1,note.lhalg,Foto: Lieven Herreman,Algemeen,Nederlands
4458f750-a282-52e0-a12f-5ec14d8bab61,tg:lhps:33811,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. en gedat. """"Julien t'Felt 1920""""; druk: Litho
""""Patria"""" Successeurs Delplace-Koch & Co. Anvers

Affiche in 10 stukken; twee exempl.",Algemeen,Nederlands
e31d4138-33fe-5bec-9db5-a418a06a5853,tg:lhps:47316,Annotations,1,note.lhalg,Foto: Peter Nackaerts,Algemeen,Nederlands
583fc3b3-d0de-5a15-9d8c-2751bd89871b,tg:lhps:9455,Annotations,1,note.lhalg,Foto: bovenste stuk affiche,Algemeen,Nederlands
21bddd4f-abc4-5e9f-a6bf-c3c643f88491,tg:lhps:51738,Annotations,1,note.lhalg,foto: Edward Schellens,Algemeen,Nederlands
8d63fa76-762e-5ae7-9fc5-a7c2c85f5c63,tg:lhps:1065,Annotations,1,note.lhalg,"pub.: L. Neels en K. Ronse, _Waarde landgenoten_, BRT-Open School, 1979, p.
74, ill.

Oude nummering Volkskunde: 93.21.135",Algemeen,Nederlands
e362112f-a58c-543c-a646-74de15a4da94,tg:lhps:52817,Annotations,1,note.lhalg,Vormgeving: Jan Vermeulen/ Marlous Bervoets,Algemeen,Nederlands
e22b039e-3e93-5eb5-88c8-d68c0ac5182e,tg:lhps:32216,Annotations,1,note.lhalg,"Aankondiging voor het tijdschrift """"Die Woche""""

Kleurenlitho: rood, groen, donkergrijs; monogram l.o. """"P.Sch."""" toegeschreven aan Paul Scheurich

pub: _Zuurvrij_, nr. 25, p. 72


",Algemeen,Nederlands
66f5bd7c-5a6e-55d6-ab94-73be615e2a6d,tg:lhps:59758,Annotations,1,note.lhalg,Photo Stephan Peleman,Algemeen,Nederlands
063022ad-ccaa-5274-b08f-237dd0c2ca44,tg:lhps:32646,Annotations,1,note.lhalg,"Aankondiging van de heruitgave van """"Kunst und Kunsthandwerk"""", het tijdschrift
van het het Oostenrijks Museum voor Kunst en Industrie

Kleurenlithografie; monogram r.o. """"HL"""", toegeschreven aan Heinrich Leffler
(volgens fiche toe te schrijven aan Hans Lindenstaedt)

pub: Le Coultre en Purvis, A Century of Posters, 2002, p. 173",Algemeen,Nederlands
7c744239-0d58-557a-9b14-e414ac45b64c,tg:lhps:33954,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. r.o. """"G. Gaudy""""

pub: _L'Affiche en Belgique 1880-1980_, p. 39, cat. 46; *Affiches Belle Epoque*, I, cat. 50; *Affiches Belle Epoque*, II, cat. 301",Algemeen,Nederlands
595cb60f-847f-5e7e-90f9-5de744bb54d0,tg:lhps:53355,Annotations,1,note.lhalg,affiche Lucas Bernaerts,Algemeen,Nederlands
a417ec01-8816-5401-a26e-531314e67362,tg:lhps:33407,Annotations,1,note.lhalg,"Reclame voor likeur """"Hanappier""""

Kleurenlithografie; gesign. r.o. """"A.Guillaume""""

pub: _Das frühe Plakat_, II, p. 128, nr. 454",Algemeen,Nederlands
a4eca086-3fc4-5244-a3cd-567154d0bac7,tg:lhps:29909,Annotations,1,note.lhalg,Oude nummering Volkskunde: 93.21.256,Algemeen,Nederlands
369deef4-1157-5c52-9c83-ccff07b4c4cb,tg:lhps:36605,Annotations,1,note.lhalg,"Kleurenlithografie; niet gesign.

Twee exempl.; tweede exempl. niet opgekleefd",Algemeen,Nederlands
5c9ef6c1-bc87-5713-a801-31507717a530,tg:lhps:62058,Annotations,1,note.lhalg,"Ontwerp: Jo Ducheyne

Druk: De Warande Zeefdrukkerij",Algemeen,Nederlands
bd6b672c-d351-53f2-8c44-a761b09e3ba4,tg:lhps:11825,Annotations,1,note.lhalg,opgekleefd op karton,Algemeen,Nederlands
c42b2157-35c8-5d45-b00e-36a87c2ff92d,tg:lhps:27444,Annotations,1,note.lhalg,verzorging jolijn van de wouw (total design) amsterdam,Algemeen,Nederlands
8b654ae0-8794-5697-9a9f-817282b2e45e,tg:lhps:8614,Annotations,1,note.lhalg,"affiche gesign. in potlood """"par G. Jos B."""" (achterzijde; prent gesign. r.b. """"Edw. Pellens",Algemeen,Nederlands
2f27586b-9d75-5a83-9c2d-5c986e7c2b21,tg:lhps:33057,Annotations,1,note.lhalg,"Reclame voor crèmes en bitumen van het glansmiddelenfabriek van S. Ricart

Kleurenlithografie; gesign. en gedat. l.o. """"A. de Riquem 98""""; r.o. """"J.
Rocabert lit.",Algemeen,Nederlands
a709c913-3fca-52e6-a458-a2130a9c7516,tg:lhps:50579,Annotations,1,note.lhalg,ontwerp: Naerebout,Algemeen,Nederlands
ed4d591e-7223-5e23-bb5a-1ce5c5b8666d,tg:lhps:57746,Annotations,1,note.lhalg,Calco-Godrie - XL Bruxelles,Algemeen,Nederlands
e73b6bfc-8981-5321-8a59-5801c1ae8d94,tg:lhps:50083,Annotations,1,note.lhalg,Ontwerp: Archi.texte,Algemeen,Nederlands
be8726c8-8502-5705-bb3b-0286641e6707,tg:lhps:34268,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. r.o. """"Mucha""""  

pub: *Das frühe Plakat*, II, p. 178, nr. 626; *Affiches Belle Epoque*, II, cat. 95",Algemeen,Nederlands
511faef6-0daa-5e48-80a9-39af3215e2a4,tg:lhps:31590,Annotations,1,note.lhalg,Oude nummering NSM: E 23128,Algemeen,Nederlands
662bfe3b-c23f-5bb8-8a0b-869cd19b5d29,tg:lhps:27690,Annotations,1,note.lhalg,J. Chr. Sörensen & Co A/S,Algemeen,Nederlands
26ef6bff-09a9-56cb-a815-b18894507ba6,tg:lhps:22168,Annotations,1,note.lhalg,druk: Stadsdrukkerij Amsterdam,Algemeen,Nederlands
235faebe-a26d-5a6a-ab1b-e82d6d5b80de,tg:lhps:46383,Annotations,1,note.lhalg,Foto: Design Museum Gent/ Hugo Maertens,Algemeen,Nederlands
12f982f4-5303-55c5-8e20-23884b93d98a,tg:lhps:62326,Annotations,1,note.lhalg,Foto: Karin van de Wiel,Algemeen,Nederlands
01c63301-5d79-539f-a2bb-ade84591a934,tg:lhps:57068,Annotations,1,note.lhalg,photo: Alex Vanhee & Ron Sweetlove - design: info@marcus-design.be,Algemeen,Nederlands
f4a7ab58-037e-58a9-a6f4-23ebbf48f38c,tg:lhps:33779,Annotations,1,note.lhalg,"Kleurenlithografie met foto's; prent gesign. r.o. """"Bruce Moore""""

pub: _Affiches op het oorlogspad; 1917-1918, twee jaar Amerikaanse
oorlogsaffiches_, p. 169, cat. 242",Algemeen,Nederlands
c0c6436b-dd43-5db9-bf8a-9dd9b29e9c1b,tg:lhps:45956,Annotations,1,note.lhalg,"Genomineerd voor de culturele affichewedstrijd van Prospekta, """"Cobra Power of Print 2010",Algemeen,Nederlands
dc53e4cc-7bf9-54be-a440-11ab297efeb2,tg:lhps:58667,Annotations,1,note.lhalg,"Typo Offset V.d.V. Jan Van Lierstraat 7, Antwerpen",Algemeen,Nederlands
9dad8744-422d-59ad-b7f0-c57f82a28e39,tg:lhps:16964,Annotations,1,note.lhalg,Campagne Patrick Janssens voor Gemeenteraadsverkiezingen Antwerpen 08/10/2006;,Algemeen,Nederlands
86531fda-82c1-5f97-8794-54e35363685a,tg:lhps:34116,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.o. """"Duilio Cambellotti",Algemeen,Nederlands
a2856014-096a-5b9d-bac5-4f9f6cdadb22,tg:lhps:33329,Annotations,1,note.lhalg,"Voor een tentoonstelling van de Orde der Rozekruisers in Parijs. De
oorspronkelijke locatie, waarschijnlijk """"5, Rue de la Paix"""", werd overplakt
door """"8, Rue de Sèze, 8"""". Hetzelfde geldt voor de datum, oorspronkelijk
waarschijnlijk """"7 Avril""""

Lithografie; gesign. r.o. in spiegelschrift """"G. Albinet""""

pub: _Das frühe Plakat_, II, p. 2, nr. 5 (variant)",Algemeen,Nederlands
8bcece0b-35ad-5bd3-a31a-4f1e1218ab78,tg:lhps:47592,Annotations,1,note.lhalg,lay-out: Jan Kuiper,Algemeen,
17c92b69-f5e8-54d5-8b9e-fc5fa45af527,tg:lhps:32492,Annotations,1,note.lhalg,"Aankondiging van een tentoonstelling van Alfred Le Petit in Galerij Bernheim
Jeune, Parijs

Kleurenlithografie: vermiljoen, grijsblauw, zwart op lichtbruin papier;
gesign. l.o. """"Alfred Le Petit""""

pub: Das frühe Plakat, II, p. 154 nr. 533",Algemeen,Nederlands
0dec1ad9-30fd-584c-baea-f95f51486733,tg:lhps:35357,Annotations,1,note.lhalg,Twee exempl.,Algemeen,Nederlands
dbc876a1-4473-50ed-a26a-67a756a0c3b3,tg:lhps:30155,Annotations,1,note.lhalg,Affiche recto-verso bedrukt,Algemeen,Nederlands
ec4d5732-7eb2-5068-a9d1-2d767d16db0d,tg:lhps:11608,Annotations,1,note.lhalg,Ongeïdentificeerde sign. l.b.,Algemeen,Nederlands
ce8a988d-945e-53e9-a6d7-c7a73f7338ca,tg:lhps:56229,Annotations,1,note.lhalg,Foto: Noortje Palmers,Algemeen,Nederlands
583f6331-bc52-59bb-9245-b1b6f0422acf,tg:lhps:29724,Annotations,1,note.lhalg,"Oude nummering Volkskunde: 93.21.29

druk: Schuerman, Temse",Algemeen,Nederlands
09153703-cb7c-5021-9075-f4ebec0d8c09,tg:lhps:28836,Annotations,1,note.lhalg,Oude nummering Volkskunde: 90.15.1,Algemeen,Nederlands
401c0033-7bdf-510c-bdd9-248deb54396d,tg:lhps:32538,Annotations,1,note.lhalg,"Reclame voor champagne Moët & Chandon

Kleurenlithografie; gesign. en gedat. l.o. """"Mucha 99""""  

pub: *Affiches Belle Epoque*, II, cat. 188",Algemeen,Nederlands
f2f24c6d-8b6a-5ff8-870e-24d97406bdef,tg:lhps:30505,Annotations,1,note.lhalg,Oude nummering NSM: E 20308,Algemeen,Nederlands
5d033402-6698-5326-b88f-93230b6807ef,tg:lhps:59426,Annotations,1,note.lhalg,Ontwerp: Geert Egghe,Algemeen,Nederlands
4582be58-0f85-502a-8776-b92edac07090,tg:lhps:284,Annotations,1,note.lhalg,"pub.: K. Scheerlinck en R. Lucas, Antwerpen geplakt, cat. 88, p. 200

Monogram l.o. """"AW""""; de bij de tentoonstelling behorende brochure vermeldt: _Het ontwerp van de
tentoonstellingsplakkaat en van het titelblad werd gemaakt door professor
Anton Wendling, Aken_",Algemeen,Nederlands
9dc34530-a328-5f65-92c8-4c445d02d107,tg:lhps:35212,Annotations,1,note.lhalg,Twee exempl.,Algemeen,Nederlands
bb2e3087-96f5-5417-b48e-5e2018f7c77d,tg:lhps:29231,Annotations,1,note.lhalg,Oude nummering Volkskunde: 95.54.8,Algemeen,Nederlands
a923c934-1e11-521a-b5a2-77f219122c13,tg:lhps:30440,Annotations,1,note.lhalg,Oude nummering NSM: E 41889,Algemeen,Nederlands
8fdbbcfa-8dec-5449-991f-344f67c60a16,tg:lhps:3633,Annotations,1,note.lhalg,1 exemplaar met tekst op achterzijde,Algemeen,Nederlands
845b2aa4-0c84-58a2-bcaa-d94dde6f5ce9,tg:lhps:22884,Annotations,1,note.lhalg,"druk: Rossteutser, Coburg",Algemeen,Nederlands
d2acbee5-7b96-576c-953d-1f9b2d3f50fd,tg:lhps:34950,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.o. """"Frank Newbould",Algemeen,Nederlands
26b28f33-375c-57c0-aea7-f5ebf297772e,tg:lhps:28973,Annotations,1,note.lhalg,"Oude nummering Volkskunde: 60.2.10

druk: J. Remy-Saimpain, Beauraing",Algemeen,Nederlands
3ed76a63-9146-506b-bf65-a01cbb93f45a,tg:lhps:32187,Annotations,1,note.lhalg,"Aankondiging voor het tijdschrift """"The Century""""

Kleurenlitho: rood, citroengeel, lichtblaux, zwart; niet gesign. toegeschreven
aan Louis Maurice Boutet de Monvel (vermeld in tekst)

pub: Das frühe Plakat, II, p. 28 nr. 98",Algemeen,Nederlands
bc11df13-729c-59ee-bc82-302c86946205,tg:lhps:8585,Annotations,1,note.lhalg,"pub.: K. Scheerlinck, _Alfred Ost 1884-1945 Affiches/Posters Oeuvrecatalogus_,
Pandora, 1997, p. 64, cat. I,25a-b, ill.",Algemeen,Nederlands
d1e9f5c5-0d59-5b79-8c04-2b134ba15608,tg:lhps:34403,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. r.o. in het beeldvlak """"Flori van Acker",Algemeen,Nederlands
c3d321a8-1c8c-5778-84f4-e3bf0959091d,tg:lhps:55110,Annotations,1,note.lhalg,Photo: Ronald Stoops,Algemeen,Nederlands
3fd7f73f-db59-5099-9f61-06953a05c0ce,tg:lhps:28420,Annotations,1,note.lhalg,"Oude nummering: 60.2.169

druk: Cyriel Decramer, Heule-Watermolen",Algemeen,Nederlands
bc82d4a3-00aa-54ec-bde0-7aa6192b1a71,tg:lhps:36594,Annotations,1,note.lhalg,"Kleurenlithografie; monogram r.o. """"EVD",Algemeen,Nederlands
b88fa304-8719-535a-936c-f9af627f3b3e,tg:lhps:31251,Annotations,1,note.lhalg,"Oude nummering NSM: E 43494

Beeld: Hans Blank",Algemeen,Nederlands
f4fa59ab-6253-52a5-bba7-5c9839a0ab2c,tg:lhps:46696,Annotations,1,note.lhalg,Twee exempl.,Algemeen,Nederlands
e8361e25-1770-54fe-9902-5ada15e8103f,tg:lhps:27385,Annotations,1,note.lhalg,Grafische vormgeving: Maurits Konings,Algemeen,Nederlands
21dc4522-6c39-52e7-9bf9-0da48824aa0c,tg:lhps:28070,Annotations,1,note.lhalg,Oude nummering: 60.2.230,Algemeen,Nederlands
fc6ee987-0fe7-55c4-a53d-085d15c60f7b,tg:lhps:32884,Annotations,1,note.lhalg,"Aankondiging voor het Engelse tijdschrift """"Cassell's Magazine""""

Kleurenlithografie; niet gesign., toegeschreven

pub: Das frühe Plakat, I, p. 2, nr. 2",Algemeen,Nederlands
764c6ebe-ceb5-5929-824f-ce24daa851fe,tg:lhps:33796,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.o. """"Frank Brangwyn del. et lith.""""

pub: _Zuurvrij_, nr. 23, p. 73

Twee exempl.",Algemeen,Nederlands
0ffbca7b-3a8b-5859-9cfc-e46164a2af39,tg:lhps:58958,Annotations,1,note.lhalg,"Drukkerij A. Van Langenhove-De Proost, Opwijk",Algemeen,Nederlands
612c370b-b6c4-5bcd-86a2-7a0352f1a8dc,tg:lhps:32754,Annotations,1,note.lhalg,"Aankondiging voor de opvoering van de komedie """"The Geisha"""" in Daly's Theatre

Kleurenlithografie; gesign. l.o. """"Dudley Hardy",Algemeen,Nederlands
ab6a7a17-b202-5319-9e8e-26f79bdb7076,tg:lhps:33846,Annotations,1,note.lhalg,"Kleurenlithografie; niet gesign., toegeschreven aan Tony van Os

pub.: K. Scheerlinck, *Papieren Herauten*, p. 142-143, cat. 126; *Affiches Belle Epoque*, I, cat. 12",Algemeen,Nederlands
035c1713-a675-5693-ba50-e6e908c6dfeb,tg:lhps:53247,Annotations,1,note.lhalg,Ontwerp: Karin Persoons,Algemeen,Nederlands
4b4a71d4-0822-5dfb-bd51-00d4cdfc89f8,tg:lhps:6718,Annotations,1,note.lhalg,"Gesign. l.o. """"Lode""""

pub.: K. Scheerlinck en R. Lucas, _Antwerpen geplakt_, cat. 38, p.
117",Algemeen,Nederlands
55e591f9-5678-5fd2-ab0b-948c5f3e002e,tg:lhps:27805,Annotations,1,note.lhalg,Printed in Denmark bu Poul Kristensen Herning,Algemeen,Nederlands
d24d30a1-5cd6-538d-8a94-91b0a13b2eb8,tg:lhps:32304,Annotations,1,note.lhalg,"Aankondiging voor het tijdschrift """"Scribner's""""

Offset in kleuren: geel, grijs olijfgrijs; sign r.o. """"WALL"""", waarschijnlijk
Herman C. Wall (?)

pub: Das frühe Plakat, I, p. 128, nr. 495",Algemeen,Nederlands
26e2bfb9-a377-5fde-803b-f6796dfda662,tg:lhps:142,Annotations,1,note.lhalg,Oude nummering Volkskunde: 89.61.11-12,Algemeen,Nederlands
e3a8cefe-2533-5df9-82d8-8dfe3c37e29d,tg:lhps:9814,Annotations,1,note.lhalg,Oude nummering Volkskunde: 60.2.40,Algemeen,Nederlands
47690193-5ae7-52c8-9129-479fe65fc15c,tg:lhps:8706,Annotations,1,note.lhalg,Opgekleefd op bruin papier,Algemeen,Nederlands
969b6fd5-1ad7-596f-b819-ad2d1983bea5,tg:lhps:41780,Annotations,1,note.lhalg,foto: Johan Vigeveno: vormgeving: Ronald Timmermans,Algemeen,
24d3daa5-fe8e-52de-ba0d-5e3589057035,tg:lhps:46045,Annotations,1,note.lhalg,"foto's c JazzLab Series (fotograaf Travak)

Affiche: www.gestalte.be

Druk: StevensPrint",Algemeen,Nederlands
