Object Number,Record Type,URL,ResourceID,Reference Number,Material Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhps:42397,Affiche,https://anet.be/record/opaclhobj/tg:lhps:42397/N,c36ffa9b-bf17-5913-992c-9b5461962379,BE-ANN07/ps/000038341,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c36ffa9b-bf17-5913-992c-9b5461962379'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:13232,Affiche,https://anet.be/record/opaclhobj/tg:lhps:13232/N,2d138a5f-f57d-5dd6-a2ad-96899eabb14c,BE-ANN07/ps/000012753,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2d138a5f-f57d-5dd6-a2ad-96899eabb14c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:45452,Affiche,https://anet.be/record/opaclhobj/tg:lhps:45452/N,54e487c2-d9a2-5bc9-9bfd-fff37c832817,BE-ANN07/ps/000041361,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/54e487c2-d9a2-5bc9-9bfd-fff37c832817'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:22996,Affiche,https://anet.be/record/opaclhobj/tg:lhps:22996/N,8c9337a6-1fd9-51cd-9df9-d84d20144d84,BE-ANN07/ps/000022341,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8c9337a6-1fd9-51cd-9df9-d84d20144d84'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:47195,Affiche,https://anet.be/record/opaclhobj/tg:lhps:47195/N,73342a2f-8adb-5759-bf27-b4749aee9845,BE-ANN07/ps/000043076,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/73342a2f-8adb-5759-bf27-b4749aee9845'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:729,Affiche,https://anet.be/record/opaclhobj/tg:lhps:729/N,528c7092-4e99-5cf9-be4f-7d9121f0906c,BE-ANN07/ps/000000723,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/528c7092-4e99-5cf9-be4f-7d9121f0906c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:16030,Affiche,https://anet.be/record/opaclhobj/tg:lhps:16030/N,8f37cfbe-cfae-53da-9474-1a3809bb9a7e,BE-ANN07/ps/000015478,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8f37cfbe-cfae-53da-9474-1a3809bb9a7e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:40650,Affiche,https://anet.be/record/opaclhobj/tg:lhps:40650/N,b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,BE-ANN07/ps/000036640,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b2906926-4eef-5eb2-8a1d-c9e1ae7ea664'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:41942,Affiche,https://anet.be/record/opaclhobj/tg:lhps:41942/N,cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,BE-ANN07/ps/000037904,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:26486,Affiche,https://anet.be/record/opaclhobj/tg:lhps:26486/N,8817d232-5930-56ae-ae0b-53760ded9232,BE-ANN07/ps/000025809,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8817d232-5930-56ae-ae0b-53760ded9232'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:21343,Affiche,https://anet.be/record/opaclhobj/tg:lhps:21343/N,cf2f2475-7f87-5466-a578-33c7e7be517e,BE-ANN07/ps/000020705,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/cf2f2475-7f87-5466-a578-33c7e7be517e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:54243,Affiche,https://anet.be/record/opaclhobj/tg:lhps:54243/N,b4fb8056-312b-5f94-a0f2-20110061834f,BE-ANN07/ps/000050050,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b4fb8056-312b-5f94-a0f2-20110061834f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:29773,Affiche,https://anet.be/record/opaclhobj/tg:lhps:29773/N,abd1628e-c49b-5615-acf4-6a0e517fd9af,BE-ANN07/ps/000029082,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/abd1628e-c49b-5615-acf4-6a0e517fd9af'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:53586,Affiche,https://anet.be/record/opaclhobj/tg:lhps:53586/N,81ed1814-e5a1-54d7-bb87-89c0b5c88837,BE-ANN07/ps/000049400,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/81ed1814-e5a1-54d7-bb87-89c0b5c88837'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:48260,Affiche,https://anet.be/record/opaclhobj/tg:lhps:48260/N,a23d8928-a726-5918-b71d-996d5fee8a1b,BE-ANN07/ps/000044139,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a23d8928-a726-5918-b71d-996d5fee8a1b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:28861,Affiche,https://anet.be/record/opaclhobj/tg:lhps:28861/N,adf89f7b-b008-50d5-a7eb-08e2c10e5d23,BE-ANN07/ps/000028173,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/adf89f7b-b008-50d5-a7eb-08e2c10e5d23'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:32095,Affiche,https://anet.be/record/opaclhobj/tg:lhps:32095/N,d3641323-a5b0-5af3-b5ef-98834690fd96,BE-ANN07/ps/000031378,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d3641323-a5b0-5af3-b5ef-98834690fd96'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:6523,Affiche,https://anet.be/record/opaclhobj/tg:lhps:6523/N,e864df67-7a2f-5c56-9b5a-5095c9bea5c8,BE-ANN07/ps/000006397,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e864df67-7a2f-5c56-9b5a-5095c9bea5c8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:51411,Affiche,https://anet.be/record/opaclhobj/tg:lhps:51411/N,e949166d-3172-5e4a-bb0b-b75285d96794,BE-ANN07/ps/000047261,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e949166d-3172-5e4a-bb0b-b75285d96794'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:30102,Affiche,https://anet.be/record/opaclhobj/tg:lhps:30102/N,59c8bf1e-503c-5024-80af-3d2b60ae2e26,BE-ANN07/ps/000029408,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/59c8bf1e-503c-5024-80af-3d2b60ae2e26'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:6489,Affiche,https://anet.be/record/opaclhobj/tg:lhps:6489/N,aeb9ca95-a323-5689-8e5e-04600caeaa00,BE-ANN07/ps/000006363,Karton,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/aeb9ca95-a323-5689-8e5e-04600caeaa00'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:3371,Affiche,https://anet.be/record/opaclhobj/tg:lhps:3371/N,8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,BE-ANN07/ps/000003342,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:683,Affiche,https://anet.be/record/opaclhobj/tg:lhps:683/N,b362c266-7802-5e2c-8e99-b118e5f8c762,BE-ANN07/ps/000000677,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b362c266-7802-5e2c-8e99-b118e5f8c762'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:45002,Affiche,https://anet.be/record/opaclhobj/tg:lhps:45002/N,df18cc73-b836-5d25-b31f-e2d06c18827b,BE-ANN07/ps/000040917,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/df18cc73-b836-5d25-b31f-e2d06c18827b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:13662,Affiche,https://anet.be/record/opaclhobj/tg:lhps:13662/N,3a86188e-49d1-5143-bf96-ee7eacd27e65,BE-ANN07/ps/000013178,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3a86188e-49d1-5143-bf96-ee7eacd27e65'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:12970,Affiche,https://anet.be/record/opaclhobj/tg:lhps:12970/N,c69ad6eb-d519-5370-b892-182726872abd,BE-ANN07/ps/000012506,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c69ad6eb-d519-5370-b892-182726872abd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:59021,Affiche,https://anet.be/record/opaclhobj/tg:lhps:59021/N,959eaa13-0eaa-5a72-85d0-4303addd3681,BE-ANN07/ps/000054815,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/959eaa13-0eaa-5a72-85d0-4303addd3681'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:24511,Affiche,https://anet.be/record/opaclhobj/tg:lhps:24511/N,8a53d7ca-91c2-5a9d-86d0-1e197e363de8,BE-ANN07/ps/000023853,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8a53d7ca-91c2-5a9d-86d0-1e197e363de8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:21713,Affiche,https://anet.be/record/opaclhobj/tg:lhps:21713/N,cb830c18-051c-547d-b66f-6d27abc54b1d,BE-ANN07/ps/000021069,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/cb830c18-051c-547d-b66f-6d27abc54b1d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:20801,Affiche,https://anet.be/record/opaclhobj/tg:lhps:20801/N,e20cca8a-dacb-5e56-86fc-eea257087513,BE-ANN07/ps/000020171,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e20cca8a-dacb-5e56-86fc-eea257087513'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:379,Affiche,https://anet.be/record/opaclhobj/tg:lhps:379/N,a31f4b61-a71c-585d-8258-367dea709e1c,BE-ANN07/ps/000000375,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a31f4b61-a71c-585d-8258-367dea709e1c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:40200,Affiche,https://anet.be/record/opaclhobj/tg:lhps:40200/N,ffa01a01-8561-5e00-a849-6629810395e5,BE-ANN07/ps/000036207,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/ffa01a01-8561-5e00-a849-6629810395e5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:16460,Affiche,https://anet.be/record/opaclhobj/tg:lhps:16460/N,e75534b7-b093-5857-9956-2f24648b23a3,BE-ANN07/ps/000015893,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e75534b7-b093-5857-9956-2f24648b23a3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:9286,Affiche,https://anet.be/record/opaclhobj/tg:lhps:9286/N,39ab6b52-f461-5f7d-a1cc-28b546e10573,BE-ANN07/ps/000009114,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/39ab6b52-f461-5f7d-a1cc-28b546e10573'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:13398,Affiche,https://anet.be/record/opaclhobj/tg:lhps:13398/N,d36fcc70-f011-5012-bc6d-59e9661c1e7a,BE-ANN07/ps/000012918,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d36fcc70-f011-5012-bc6d-59e9661c1e7a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:48630,Affiche,https://anet.be/record/opaclhobj/tg:lhps:48630/N,a0b28386-23aa-5ff3-b9b1-e341b8db24ac,BE-ANN07/ps/000044507,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a0b28386-23aa-5ff3-b9b1-e341b8db24ac'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:35300,Affiche,https://anet.be/record/opaclhobj/tg:lhps:35300/N,3fdd75ce-7126-5955-801a-bf2545e3e100,BE-ANN07/ps/000034471,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3fdd75ce-7126-5955-801a-bf2545e3e100'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:55901,Affiche,https://anet.be/record/opaclhobj/tg:lhps:55901/N,c9601883-4615-5194-9521-89605be430e0,BE-ANN07/ps/000051706,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c9601883-4615-5194-9521-89605be430e0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:19795,Affiche,https://anet.be/record/opaclhobj/tg:lhps:19795/N,7079d3b8-c42d-5792-8e61-e168bdabd9f7,BE-ANN07/ps/000019172,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7079d3b8-c42d-5792-8e61-e168bdabd9f7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:6173,Affiche,https://anet.be/record/opaclhobj/tg:lhps:6173/N,5d6af07c-0711-585b-89b7-f3f1ba9f50c3,BE-ANN07/ps/000006050,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5d6af07c-0711-585b-89b7-f3f1ba9f50c3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:18887,Affiche,https://anet.be/record/opaclhobj/tg:lhps:18887/N,8395a9e3-2a12-52f6-b5f0-7d47afbb8c60,BE-ANN07/ps/000018269,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8395a9e3-2a12-52f6-b5f0-7d47afbb8c60'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:29323,Affiche,https://anet.be/record/opaclhobj/tg:lhps:29323/N,b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,BE-ANN07/ps/000028635,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b17ea09e-5207-5ab5-a8f6-48b1e02d1e81'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:2999,Affiche,https://anet.be/record/opaclhobj/tg:lhps:2999/N,3658960c-5aff-5f22-b543-9bdce511d66d,BE-ANN07/ps/000002970,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3658960c-5aff-5f22-b543-9bdce511d66d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:54613,Affiche,https://anet.be/record/opaclhobj/tg:lhps:54613/N,61777f10-ec42-507e-8410-4704d38e58c9,BE-ANN07/ps/000050417,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/61777f10-ec42-507e-8410-4704d38e58c9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:49922,Affiche,https://anet.be/record/opaclhobj/tg:lhps:49922/N,8aa76993-09ca-5cdc-aba2-56b1c449c41e,BE-ANN07/ps/000045788,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8aa76993-09ca-5cdc-aba2-56b1c449c41e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:51942,Affiche,https://anet.be/record/opaclhobj/tg:lhps:51942/N,f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,BE-ANN07/ps/000047783,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f0fa1af9-fb98-5bae-8354-d2fa2921b3b5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:36486,Affiche,https://anet.be/record/opaclhobj/tg:lhps:36486/N,d7e3736c-a419-5d5b-88d0-7e63e550016c,BE-ANN07/ps/000035656,Doek,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d7e3736c-a419-5d5b-88d0-7e63e550016c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
