ResourceID,card,order,Object Identifier,Other Identifier Type,Object Number,Other Identifier,Language,Record Type,Description Type,Description Language,Description
f92564ca-be9a-5c66-b16d-86ad2d1fd84b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f92564ca-be9a-5c66-b16d-86ad2d1fd84b,object identifier,tg:mmbdc:24,MMB.A.1212,French (language),Documenten,,,
c796ac09-736f-5906-a298-02c3b11056cf,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c796ac09-736f-5906-a298-02c3b11056cf,object identifier,tg:mmbdc:25,MMB.A.1213,French (language),Documenten,,,
de162b97-2920-503e-bfc5-801a8f6eaa2a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/de162b97-2920-503e-bfc5-801a8f6eaa2a,object identifier,tg:mmbdc:26,MMB.A.1214,French (language),Documenten,,,
b4601525-c7d5-5388-992f-a2745f0d1bda,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b4601525-c7d5-5388-992f-a2745f0d1bda,object identifier,tg:mmbdc:27,MMB.A.1215,French (language),Documenten,,,
e62350f0-770d-5285-99f2-35f119c5d7ab,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e62350f0-770d-5285-99f2-35f119c5d7ab,object identifier,tg:mmbdc:28,MMB.A.1224,French (language),Documenten,,,
7aa8c4ae-5d48-5ee6-be2e-4fcdee75f2ed,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7aa8c4ae-5d48-5ee6-be2e-4fcdee75f2ed,object identifier,tg:mmbdc:29,MMB.A.1231,French (language),Documenten,,,
fb5f7f90-9bd3-532d-809c-137871439e82,AA,0,https://data.museummayervandenbergh.be/ark:/59511/fb5f7f90-9bd3-532d-809c-137871439e82,object identifier,tg:mmbdc:30,MMB.A.1236,French (language),Documenten,,,
8a105af3-6e4b-5275-817c-2d54bd0ca8d4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8a105af3-6e4b-5275-817c-2d54bd0ca8d4,object identifier,tg:mmbdc:31,MMB.A.1237,French (language),Documenten,,,
3f974829-97c3-5390-9cb7-21992e7ffbbd,AA,0,https://data.museummayervandenbergh.be/ark:/59511/3f974829-97c3-5390-9cb7-21992e7ffbbd,object identifier,tg:mmbdc:32,MMB.A.1238,Dutch (language),Documenten,,,
3356d31c-6a47-5f60-9934-30cde513a6a9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/3356d31c-6a47-5f60-9934-30cde513a6a9,object identifier,tg:mmbdc:33,MMB.A.1239,Dutch (language),Documenten,,,
75c8465d-660b-550c-af3c-e1d379515d9f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/75c8465d-660b-550c-af3c-e1d379515d9f,object identifier,tg:mmbdc:34,MMB.A.1240,Dutch (language),Documenten,,,
be4e3c74-62ad-50db-839a-adb4b0ebbfc1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/be4e3c74-62ad-50db-839a-adb4b0ebbfc1,object identifier,tg:mmbdc:35,MMB.A.1241,French (language),Documenten,,,
f3764377-c5bc-540f-b7b0-ee2cd23732ef,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f3764377-c5bc-540f-b7b0-ee2cd23732ef,object identifier,tg:mmbdc:36,MMB.A.1242,French (language),Documenten,,,
334ad517-eee0-5a64-b69d-9a9e09be8184,AA,0,https://data.museummayervandenbergh.be/ark:/59511/334ad517-eee0-5a64-b69d-9a9e09be8184,object identifier,tg:mmbdc:37,MMB.A.1243,French (language),Documenten,,,
8f038c31-f312-5abf-9fae-aebefcd38e77,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8f038c31-f312-5abf-9fae-aebefcd38e77,object identifier,tg:mmbdc:38,MMB.A.1263,French (language),Documenten,,,
6bf3766e-9d43-5512-9736-e991034e254f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6bf3766e-9d43-5512-9736-e991034e254f,object identifier,tg:mmbdc:39,MMB.A.1269,Dutch (language),Documenten,,,
1c082e15-3131-5b39-acf3-ee112d00ed57,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1c082e15-3131-5b39-acf3-ee112d00ed57,object identifier,tg:mmbdc:40,MMB.A.1270,Dutch (language),Documenten,,,
7fcf8fdd-08ec-59c1-a9c4-5a7f69337794,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7fcf8fdd-08ec-59c1-a9c4-5a7f69337794,object identifier,tg:mmbdc:41,MMB.A.1276,Latin (language),Documenten,,,
7fa9c968-3513-5182-a935-e161b2b76fb9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7fa9c968-3513-5182-a935-e161b2b76fb9,object identifier,tg:mmbdc:42,MMB.A.1277,Italian (language),Documenten,,,
baa604e3-9694-5877-bc90-de335424f37f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/baa604e3-9694-5877-bc90-de335424f37f,object identifier,tg:mmbdc:43,MMB.A.1278,Italian (language),Documenten,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,object identifier,tg:mmbdc:44,MMB.A.1284,Dutch (language),Documenten,descriptive note,Nederlands,Diner die plaatsvond in de 'Taveerne geheeten den Aenghenaemen Hoff in tsoo-geseydt Oudt Antwerpen'
b724b37e-31ee-51f1-902c-5b212fe0b455,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b724b37e-31ee-51f1-902c-5b212fe0b455,object identifier,tg:mmbdc:45,MMB.A.1285,French (language),Documenten,,,
bc833205-a012-5bc8-87b9-c653f2d8470a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/bc833205-a012-5bc8-87b9-c653f2d8470a,object identifier,tg:mmbdc:46,MMB.A.1286,French (language),Documenten,,,
282dca35-a48f-5c78-9f57-b23dd4f81fe5,AA,0,https://data.museummayervandenbergh.be/ark:/59511/282dca35-a48f-5c78-9f57-b23dd4f81fe5,object identifier,tg:mmbdc:47,MMB.A.1287,Italian (language),Documenten,descriptive note,Nederlands,Uniforme del donato di devozione di 2.a classe del S.M.O. Gerosolimitano
aba9fb3f-ece8-58e8-92b1-9a259d7ae7ae,AA,0,https://data.museummayervandenbergh.be/ark:/59511/aba9fb3f-ece8-58e8-92b1-9a259d7ae7ae,object identifier,tg:mmbdc:48,MMB.A.1288,French (language),Documenten,,,
1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,object identifier,tg:mmbdc:49,MMB.A.1289,French (language),Documenten,,,
985e1f42-413d-5bf4-aad8-e503c79c145a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/985e1f42-413d-5bf4-aad8-e503c79c145a,object identifier,tg:mmbdc:50,MMB.A.1296,French (language),Documenten,descriptive note,Nederlands,Wandkasten: aangekocht 1890 van Georgina Clavareau-Van Sprangh in Doornik
d17e6e16-c29d-59be-9067-b414984f45c6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d17e6e16-c29d-59be-9067-b414984f45c6,object identifier,tg:mmbdc:51,MMB.A.1297,French (language),Documenten,,,
bad7771a-af52-5c96-b542-662c29fb79d2,AA,0,https://data.museummayervandenbergh.be/ark:/59511/bad7771a-af52-5c96-b542-662c29fb79d2,object identifier,tg:mmbdc:52,MMB.A.1319,Dutch (language),Documenten,,,
2a3ffdb3-8266-56f8-bd56-c576231952e9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2a3ffdb3-8266-56f8-bd56-c576231952e9,object identifier,tg:mmbdc:53,MMB.A.1320,Dutch (language),Documenten,,,
dfd8430e-f99e-5696-aeb3-7536e33f6cf9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/dfd8430e-f99e-5696-aeb3-7536e33f6cf9,object identifier,tg:mmbdc:54,MMB.A.1321,French (language),Documenten,,,
b69aae14-ca78-53e2-aaec-fc1c967c1c4f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b69aae14-ca78-53e2-aaec-fc1c967c1c4f,object identifier,tg:mmbdc:55,MMB.A.1322,French (language),Documenten,,,
ce0f7af4-da6d-5e66-aac0-e109583f47b2,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ce0f7af4-da6d-5e66-aac0-e109583f47b2,object identifier,tg:mmbdc:56,MMB.A.1338,Dutch (language),Documenten,,,
ff62b6a8-4272-5068-98f5-9f0bf54f1803,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ff62b6a8-4272-5068-98f5-9f0bf54f1803,object identifier,tg:mmbdc:57,MMB.A.1342,Dutch (language),Documenten,,,
27b8c2ea-6767-5148-9e61-f33309add541,AA,0,https://data.museummayervandenbergh.be/ark:/59511/27b8c2ea-6767-5148-9e61-f33309add541,object identifier,tg:mmbdc:58,MMB.A.1352,Dutch (language),Documenten,,,
a5c8f42a-18aa-5603-bfe4-e31872c63d32,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a5c8f42a-18aa-5603-bfe4-e31872c63d32,object identifier,tg:mmbdc:59,MMB.A.1363,Dutch (language),Documenten,,,
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,object identifier,tg:mmbdc:60,MMB.A.1368,Dutch (language),Documenten,,,
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a1fd1a6e-f524-5288-9021-ee6b2fc15c48,object identifier,tg:mmbdc:61,MMB.A.1369,Dutch (language),Documenten,,,
afd359bf-3a32-5753-94f3-603656881eab,AA,0,https://data.museummayervandenbergh.be/ark:/59511/afd359bf-3a32-5753-94f3-603656881eab,object identifier,tg:mmbdc:62,MMB.A.1406,French (language),Documenten,,,
c328943a-46b9-5aca-9210-f61f26e379ec,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c328943a-46b9-5aca-9210-f61f26e379ec,object identifier,tg:mmbdc:63,MMB.A.1454,French (language),Documenten,,,
f0a19a94-019f-5ef5-836f-69f802b52d5c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f0a19a94-019f-5ef5-836f-69f802b52d5c,object identifier,tg:mmbdc:64,MMB.A.1455,French (language),Documenten,,,
6c7ccc0d-5d67-5e6f-9fa4-b0973651bb16,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6c7ccc0d-5d67-5e6f-9fa4-b0973651bb16,object identifier,tg:mmbdc:65,MMB.A.1456,French (language),Documenten,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/108756f8-64b4-506a-9f98-ceb3ef00390d,object identifier,tg:mmbdc:66,MMB.A.1457,French (language),Documenten,,,
c5a33844-8bfb-5e54-b6aa-d0281135b007,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c5a33844-8bfb-5e54-b6aa-d0281135b007,object identifier,tg:mmbdc:67,MMB.A.1458,French (language),Documenten,,,
25a4f489-f009-5fe5-9477-591efdb18ae3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/25a4f489-f009-5fe5-9477-591efdb18ae3,object identifier,tg:mmbdc:68,MMB.A.1459,French (language),Documenten,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/05df2589-1585-5594-bc8a-31b756a2b8f6,object identifier,tg:mmbdc:69,MMB.A.1460,French (language),Documenten,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,object identifier,tg:mmbdc:70,MMB.A.1461,French (language),Documenten,,,
270def31-7396-5780-8a48-ea5ea6d86ed8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/270def31-7396-5780-8a48-ea5ea6d86ed8,object identifier,tg:mmbdc:71,MMB.A.1462,French (language),Documenten,,,
93e90445-472a-5e69-8889-bb123cb5d599,AA,0,https://data.museummayervandenbergh.be/ark:/59511/93e90445-472a-5e69-8889-bb123cb5d599,object identifier,tg:mmbdc:72,MMB.A.1463,French (language),Documenten,,,
313eef31-e6d3-5dbf-8b35-988507c8e01e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/313eef31-e6d3-5dbf-8b35-988507c8e01e,object identifier,tg:mmbdc:73,MMB.A.1464,Dutch (language),Documenten,,,
5cede916-f4cb-5135-8087-0f00e34b416b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/5cede916-f4cb-5135-8087-0f00e34b416b,object identifier,tg:mmbdc:74,MMB.A.1465,Dutch (language),Documenten,,,
74a758b8-f555-5531-96c8-e79a63a7b8d3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/74a758b8-f555-5531-96c8-e79a63a7b8d3,object identifier,tg:mmbdc:75,MMB.A.1467,French (language),Documenten,,,
29da2038-6f05-5285-942a-fb63293810e5,AA,0,https://data.museummayervandenbergh.be/ark:/59511/29da2038-6f05-5285-942a-fb63293810e5,object identifier,tg:mmbdc:76,MMB.A.1468,French (language),Documenten,,,
a6219f25-033c-593f-90d8-efb505fc4bb8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a6219f25-033c-593f-90d8-efb505fc4bb8,object identifier,tg:mmbdc:77,MMB.A.1469,French (language),Documenten,,,
92dc80d1-5388-5313-93c1-582e99f23e9f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/92dc80d1-5388-5313-93c1-582e99f23e9f,object identifier,tg:mmbdc:78,MMB.A.1470,French (language),Documenten,,,
4a36f5c4-24d5-5047-9ee5-3219e07c78b6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4a36f5c4-24d5-5047-9ee5-3219e07c78b6,object identifier,tg:mmbdc:79,MMB.A.1472,Dutch (language),Documenten,,,
7a3ea516-bf4f-5143-aba7-213a091367fc,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7a3ea516-bf4f-5143-aba7-213a091367fc,object identifier,tg:mmbdc:80,MMB.A.1473,French (language),Documenten,,,
22d8d29b-a2be-5a50-b646-5de42555bc3a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/22d8d29b-a2be-5a50-b646-5de42555bc3a,object identifier,tg:mmbdc:81,MMB.A.1474,Dutch (language),Documenten,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1383d707-43bc-571d-919e-7f0dd9994e4f,object identifier,tg:mmbdc:82,MMB.A.1475,Dutch (language),Documenten,,,
342b234e-b819-5020-afef-c997a40c8b3d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/342b234e-b819-5020-afef-c997a40c8b3d,object identifier,tg:mmbdc:83,MMB.A.1476,Dutch (language),Documenten,,,
a186e0f7-a2b1-5c33-b76c-19874b8fa52c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a186e0f7-a2b1-5c33-b76c-19874b8fa52c,object identifier,tg:mmbdc:84,MMB.A.1478,Dutch (language),Documenten,,,
fc39d75e-5e3c-5ff5-a14e-8a07f133088e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/fc39d75e-5e3c-5ff5-a14e-8a07f133088e,object identifier,tg:mmbdc:85,MMB.A.1479,French (language),Documenten,,,
e268ae78-3bbc-57ae-9b11-ab6d7d7ac6ed,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e268ae78-3bbc-57ae-9b11-ab6d7d7ac6ed,object identifier,tg:mmbdc:86,MMB.A.1480,French (language),Documenten,,,
6989ab5a-5e9a-589f-bc91-82ac9e23af82,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6989ab5a-5e9a-589f-bc91-82ac9e23af82,object identifier,tg:mmbdc:87,MMB.A.1481,French (language),Documenten,,,
c29f2fa8-a5c2-5856-b7d1-a1bdbebdaf61,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c29f2fa8-a5c2-5856-b7d1-a1bdbebdaf61,object identifier,tg:mmbdc:88,MMB.A.1482,French (language),Documenten,,,
239f6f57-5465-5c0a-a8f1-5e868780d35a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/239f6f57-5465-5c0a-a8f1-5e868780d35a,object identifier,tg:mmbdc:89,MMB.A.1483,French (language),Documenten,,,
4364bde1-3271-5bc9-9996-dd4168dff6a5,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4364bde1-3271-5bc9-9996-dd4168dff6a5,object identifier,tg:mmbdc:90,MMB.A.1484,French (language),Documenten,,,
c6d15f44-02a7-5349-b1d8-37647638cb33,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c6d15f44-02a7-5349-b1d8-37647638cb33,object identifier,tg:mmbdc:91,MMB.A.1485,French (language),Documenten,,,
1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,object identifier,tg:mmbdc:92,MMB.A.1486,Dutch (language),Documenten,,,
299de83c-bbc7-527d-9297-04ee3a4e3eab,AA,0,https://data.museummayervandenbergh.be/ark:/59511/299de83c-bbc7-527d-9297-04ee3a4e3eab,object identifier,tg:mmbdc:93,MMB.A.1490,French (language),Documenten,descriptive note,Nederlands,Overzicht van dokters die operaties uitvoerden tussen 6 november en 27 december 1915
e89f431c-7364-5c4a-a845-96c43fbb2673,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e89f431c-7364-5c4a-a845-96c43fbb2673,object identifier,tg:mmbdc:94,MMB.A.1515,Dutch (language),Documenten,,,
b383199c-2d93-59eb-8855-fa86ec97811f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b383199c-2d93-59eb-8855-fa86ec97811f,object identifier,tg:mmbdc:95,MMB.A.1516,Dutch (language),Documenten,,,
6355f5eb-9ad7-5f33-baf3-d86a14afcaf8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6355f5eb-9ad7-5f33-baf3-d86a14afcaf8,object identifier,tg:mmbdc:96,MMB.A.1517,Dutch (language),Documenten,,,
969cb11b-cb9b-5e7f-8942-b598386487cc,AA,0,https://data.museummayervandenbergh.be/ark:/59511/969cb11b-cb9b-5e7f-8942-b598386487cc,object identifier,tg:mmbdc:97,MMB.A.1519,French (language),Documenten,,,
493ac90b-fa10-50e3-b7ec-8daf6fcce287,AA,0,https://data.museummayervandenbergh.be/ark:/59511/493ac90b-fa10-50e3-b7ec-8daf6fcce287,object identifier,tg:mmbdc:98,MMB.A.1520,Dutch (language),Documenten,,,
8218acd3-4429-5d35-8f51-80631e753e87,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8218acd3-4429-5d35-8f51-80631e753e87,object identifier,tg:mmbdc:99,MMB.A.1521,Dutch (language),Documenten,,,
451148b0-73dd-5072-a62c-7894d342d278,AA,0,https://data.museummayervandenbergh.be/ark:/59511/451148b0-73dd-5072-a62c-7894d342d278,object identifier,tg:mmbdc:100,MMB.A.1522,Dutch (language),Documenten,,,
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,AA,0,https://data.museummayervandenbergh.be/ark:/59511/87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,object identifier,tg:mmbdc:101,MMB.A.1523,Dutch (language),Documenten,,,
2f82e820-2bab-52cb-9dbf-5ef24a341dad,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2f82e820-2bab-52cb-9dbf-5ef24a341dad,object identifier,tg:mmbdc:102,MMB.A.1524,Dutch (language),Documenten,,,
f888f3d5-80db-5b5f-94aa-5a3d43548e52,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f888f3d5-80db-5b5f-94aa-5a3d43548e52,object identifier,tg:mmbdc:103,MMB.A.1525,Dutch (language),Documenten,,,
76a770c1-e2b5-51b0-ba7f-15687f461925,AA,0,https://data.museummayervandenbergh.be/ark:/59511/76a770c1-e2b5-51b0-ba7f-15687f461925,object identifier,tg:mmbdc:104,MMB.A.1530,French (language),Documenten,,,
6b2b61eb-8dec-5e35-aaf8-fb1c1e137c6a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6b2b61eb-8dec-5e35-aaf8-fb1c1e137c6a,object identifier,tg:mmbdc:105,MMB.A.1550,Dutch (language),Documenten,,,
9c409e7c-ec60-575a-bf76-073097852c86,AA,0,https://data.museummayervandenbergh.be/ark:/59511/9c409e7c-ec60-575a-bf76-073097852c86,object identifier,tg:mmbdc:106,MMB.A.1558,French (language),Documenten,,,
a78ed738-c87c-5d9e-a725-b616e28f4bd4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a78ed738-c87c-5d9e-a725-b616e28f4bd4,object identifier,tg:mmbdc:107,MMB.A.1559,French (language),Documenten,,,
e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,object identifier,tg:mmbdc:108,MMB.A.1575,French (language),Documenten,,,
2d8258f1-a518-5920-8ca7-9eedc2fec6f3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2d8258f1-a518-5920-8ca7-9eedc2fec6f3,object identifier,tg:mmbdc:109,MMB.A.1576,Dutch (language),Documenten,,,
e64ca066-a991-5290-85b8-b3ca6b3615c5,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e64ca066-a991-5290-85b8-b3ca6b3615c5,object identifier,tg:mmbdc:110,MMB.A.1614,French (language),Documenten,,,
cbf06722-4265-5ab3-8eb9-fb5991edbd07,AA,0,https://data.museummayervandenbergh.be/ark:/59511/cbf06722-4265-5ab3-8eb9-fb5991edbd07,object identifier,tg:mmbdc:111,MMB.A.1615,French (language),Documenten,,,
975f495e-f7bc-5fad-a859-5f17f3ef3684,AA,0,https://data.museummayervandenbergh.be/ark:/59511/975f495e-f7bc-5fad-a859-5f17f3ef3684,object identifier,tg:mmbdc:112,MMB.A.1616,French (language),Documenten,,,
