brocade.id,ResourceID,card,order,Registration Number value,Archive Note,Warehouse Location (begin),adm.note,Serial Number,adm.note.language,adm.note.type
tg:mpmak:302,daa05c79-84a0-5fc8-aad6-37822f8bee69,Items,1,Arch. 134,isad:mpm:334,10 Q 3 D,,los stuk 1 tussen fol. 363 links-rechts,Nederlands,remarks
tg:mpmak:181,1d9df6f8-63c7-534b-ac8c-e78603455e2d,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 7 vooraan,,Nederlands,remarks
tg:mpmak:36,2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,9,Nederlands,remarks
tg:mpmak:119,e3d769cf-1a2e-5902-935f-22a2148f5fbd,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 332 links-rechts,,Nederlands,remarks
tg:mpmak:41,e31457a5-0683-5ce7-9025-075a84e9c217,Items,1,Arch. 817,isad:mpm:275,10 R 8 F,Los stuk tussen fol. 36 links-rechts,,Nederlands,remarks
tg:mpmak:230,ef176031-3cbb-5929-a628-b4beb0f40776,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.g.2,Nederlands,remarks
tg:mpmak:16,fc579b29-8d1b-5c17-86a3-ff3a621e40e2,Items,1,Arch. 432,isad:mpm:253,10 Q 6 E,Vooraan ingebonden bij arch. 432,fol. [1-9],Nederlands,remarks
tg:mpmak:288,c92690f2-7e13-5d7b-9c76-55c48b9b23d0,Items,1,Arch. 290,isad:mpm:334,10 Q 4 A,,los stuk 6,Nederlands,remarks
tg:mpmak:322,8c865d12-a422-5a72-81e3-49dd1e30c5e7,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk 1 tussen p. 5-6,Nederlands,remarks
tg:mpmak:267,7a0698d6-a204-5490-b8e0-fffb8f14ba6b,Items,1,Arch. 479,isad:mpm:275,10 Q 6 C,Los stuk 2,,Nederlands,remarks
tg:mpmak:158,455d88b3-5367-5215-9cb1-f71a250a87ef,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk 2 tussen fol. 197 links-rechts,,Nederlands,remarks
tg:mpmak:334,5d29324e-8724-5c76-8e06-8c719144eb99,Items,1,Arch. 315,isad:mpm:567,10 Q 5 D,,los stuk tussen fol. 79 links-rechts,Nederlands,remarks
tg:mpmak:271,0a8ad24d-06ef-5fc5-a44c-183b308a695c,Items,1,Arch. 279,isad:mpm:366,10 Q 4 B,,los stuk 4,Nederlands,remarks
tg:mpmak:57,cab46494-4b6a-50d1-b167-e83bf1094d1e,Items,1,Arch. 993,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:226,3a6f6047-a597-5a45-a886-247420e0e561,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.b.9,Nederlands,remarks
tg:mpmak:174,a09ddf78-2739-5937-93b6-198194e27820,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk tussen fol. 159 links-rechts,,Nederlands,remarks
tg:mpmak:318,fd39fa72-4a4c-5e93-85f9-8b72e8a24046,Items,1,Arch. 133,isad:mpm:333,10 Q 1 D,,los stuk tussen fol. 342 links-rechts,Nederlands,remarks
tg:mpmak:94,110a609e-10ce-5b9a-9f0c-46a6429730a6,Items,1,Arch. TS A stuk 8,isad:mpm:327,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:123,e77ac24e-e805-5670-815e-12673803c9e0,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 62 links-rechts,,Nederlands,remarks
tg:mpmak:82,35e43343-bb75-512b-bf32-51d4ba86d8c9,Items,1,SCH/HF/FA/43,isad:mpm:298,15 Q 4 E,,Map 31 stuk 7,Nederlands,remarks
tg:mpmak:135,8404f0ee-b32f-5fad-8069-ebedee163bd6,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 2 tussen fol. 161 links-rechts,,Nederlands,remarks
tg:mpmak:162,42753813-8445-5e18-83c0-4f94166455b9,Items,1,Arch. 761,isad:mpm:333,10 R 9 C,Los stuk tussen fol. 14 links-rechts,,Nederlands,remarks
tg:mpmak:163,435f20e0-08c1-5413-aece-381c7bd3f6d3,Items,1,Arch. 761,isad:mpm:333,10 R 9 C,Los stuk tussen fol. 16 links-rechts,,Nederlands,remarks
tg:mpmak:83,9a0250ef-6ffb-586c-8078-a13e7ca96d71,Items,1,Arch. 391,isad:mpm:259,10 Q 5 A,,los stuk achteraan,Nederlands,remarks
tg:mpmak:134,65128915-38c7-5110-b067-9875b71f85f3,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 161 links-rechts,,Nederlands,remarks
tg:mpmak:95,9d0a7a76-4a1f-5e76-9d9a-c170ce0b4e5a,Items,1,Arch. TS A stuk 9,isad:mpm:328,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:122,58a41ae2-a013-5625-86b7-f673cf309d41,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 57 links-rechts,,Nederlands,remarks
tg:mpmak:319,81aad390-43d4-53a8-9793-455cf29e2d73,Items,1,Arch. 320,isad:mpm:334,10 Q 5 D,,los stuk tussen fol. 292 links-rechts,Nederlands,remarks
tg:mpmak:175,0aee682c-67c3-530e-9fb6-3daef4a83e33,Items,1,Arch. 753,isad:mpm:334,10 R 9 D,Los stuk 1 tussen fol. 15 links-rechts,,Nederlands,remarks
tg:mpmak:227,f2c3f933-e405-5914-80f8-5394a93b77f0,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.b.10,Nederlands,remarks
tg:mpmak:56,d24d9574-5166-5163-aa12-96df01aa9354,Items,1,Arch. 991,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:335,ba3fa344-195a-5907-9bc2-c83dbea1a890,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk tussen p. 84-85,Nederlands,remarks
tg:mpmak:270,75ae821c-f613-526a-b1fa-9a3dc0dcea0c,Items,1,Arch. 279,isad:mpm:366,10 Q 4 B,,los stuk 3,Nederlands,remarks
tg:mpmak:159,c56698bc-1b59-5b37-a978-c248fdbc6484,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 2 tussen fol. 208 links-rechts,,Nederlands,remarks
tg:mpmak:289,f388254e-8f40-5546-ad24-9310bcb73dd7,Items,1,Arch. 40,isad:mpm:221,10 Q 1 D,,los stuk 1,Nederlands,remarks
tg:mpmak:323,db169666-ad45-5492-a977-d03d0fe83423,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk 2 tussen p. 5-6,Nederlands,remarks
tg:mpmak:266,b12dfa45-a07e-50f1-83c5-cedb4b653b49,Items,1,Arch. 479,isad:mpm:333,10 Q 6 C,los stuk 1,,Nederlands,remarks
tg:mpmak:17,154e4d39-79d5-5e53-ab54-2ed6c73dbfd6,Items,1,Arch. 432,isad:mpm:253,10 Q 6 E,,los stuk nr. [1],Nederlands,remarks
tg:mpmak:231,1a3f2aec-28b9-5b78-a104-f8a16a46cb62,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.g.3,Nederlands,remarks
tg:mpmak:118,104e5c79-fa17-5407-9624-7a1a766e5e7a,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Ingebonden tussen fol. 332 links-rechts,,Nederlands,remarks
tg:mpmak:40,0a7cbd31-014c-50c9-b859-96ccad7a604e,Items,1,Arch. 781,isad:mpm:256,10 R 9 B,Los stuk tussen fol. xxxi links en rechts,,Nederlands,remarks
tg:mpmak:180,c04c9025-0219-5cae-8879-4abbc0af96a5,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 6 vooraan,,Nederlands,remarks
tg:mpmak:37,ee2776b8-9a6c-5094-a710-c7449ca5d9d1,Items,1,L 2920,isad:mpm:245,15 R 2 C,99 exemplaren,,Nederlands,remarks
tg:mpmak:246,9f3270ec-a3e0-5430-977b-038bdf716879,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.X3,Nederlands,remarks
tg:mpmak:303,555144ee-396e-520f-ad6e-0dd812d0c966,Items,1,Arch. 134,isad:mpm:558,10 Q 3 D,,los stuk 2 tussen fol. 363 links-rechts,Nederlands,remarks
tg:mpmak:138,bfa4a29b-4cf3-5477-b2b0-2b7453c545b0,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 188 links-rechts,,Nederlands,remarks
tg:mpmak:60,a5f746ec-15ca-5fc5-b2c4-1e328cb6ecf6,Items,1,Arch. 996,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:211,d346f0df-c6c8-5f22-8fa5-204ba7ac283a,Items,1,Arch. 337,isad:mpm:333,10 Q 5 C,Los stuk tussen fol. 12 links-rechts,,Nederlands,remarks
tg:mpmak:354,ee6fbec6-15e3-5af2-b4cb-e99b17cc8283,Items,1,Arch. 662,isad:mpm:334,10 Q 8 A,los stuk tussen fol. 33 links-rechts,,Nederlands,remarks
tg:mpmak:99,0466a457-275b-505c-b610-8eebd855936b,Items,1,Arch. TS B stuk 1,isad:mpm:328,15 R 1 A,,,Nederlands,remarks
tg:mpmak:76,7868fa85-f20b-5104-8780-af682c5f4901,Items,1,Arch. 1456,isad:mpm:307,10 R 3 B,,,Nederlands,remarks
tg:mpmak:207,09f0649e-72aa-5b96-83de-f4ccd9e5d7a0,Items,1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,,C.b annex 1,Nederlands,remarks
tg:mpmak:342,62a1c49d-4b57-58fa-8973-e6fc5700d77f,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 6 tussen p. 148-149,Nederlands,remarks
tg:mpmak:196,2330a784-8542-5882-a402-eaaf22526c32,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk tussen fol. 148 links-rechts,,Nederlands,remarks
tg:mpmak:179,6f5eec96-3a2d-5242-99da-c901319cf4e8,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 5 vooraan,,Nederlands,remarks
tg:mpmak:21,bb17c032-6f60-5f0b-912e-e40b04b34c92,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,3,Nederlands,remarks
tg:mpmak:250,7628fd26-df18-50b5-ad98-f806a1cbd96e,Items,1,Arch. 335,isad:mpm:565,10 Q 5 C,los stuk tussen fol. 67-68,,Nederlands,remarks
tg:mpmak:315,dcef1a24-db1e-5a6e-99e8-485753bbc748,Items,1,Arch. 133,isad:mpm:334,10 Q 1 D,,los stuk tussen fol. 199 links-rechts,Nederlands,remarks
tg:mpmak:102,43410511-3eab-56e3-8496-1d9c1d9f6443,Items,1,Arch. TS C stuk 1,isad:mpm:328,15 R 1 A,,,Nederlands,remarks
tg:mpmak:155,17ce37f3-2c79-57d4-8960-c47e070940c8,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 4 tussen fol. 196 links-rechts,,Nederlands,remarks
tg:mpmak:293,f59cbb52-107f-58fc-bee1-9caff9833696,Items,1,Arch. 134,isad:mpm:556,10 Q 3 D,,los stuk tussen fol. 181 links-rechts,Nederlands,remarks
tg:mpmak:339,213bc3e4-6c3c-5e5b-8e53-31794112e1a6,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 2 tussen p. 148-149,Nederlands,remarks
tg:mpmak:143,f4b3328c-24a8-51b1-b7f1-4532e846af81,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 115 links-rechts,,Nederlands,remarks
tg:mpmak:285,d015ace3-fa4c-5508-8e0a-82b02136bf5c,Items,1,Arch. 290,isad:mpm:556,10 Q 4 A,tussen folio's 21-22,los stuk 1,Nederlands,remarks
tg:mpmak:114,ac236484-835b-5421-b75e-a80cf31dc98e,Items,1,Arch. 322,isad:mpm:333,10 Q 5 D,Los stuk 1 tussen fol. 66 links-rechts,,Nederlands,remarks
tg:mpmak:47,e107cd92-5e94-5781-b20b-c272950196ca,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Eerste stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:236,81a4954e-3f21-5105-8f91-cbf0c7eee977,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.i.2.3,Nederlands,remarks
tg:mpmak:148,78b969f5-a651-57b5-8fa2-e52b4eee818f,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk2 tussen fol. 172 links-rechts,,Nederlands,remarks
tg:mpmak:324,c4005d76-f02a-5d04-9fff-38ae70308ab6,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk tussen p. 11-12,Nederlands,remarks
tg:mpmak:261,ac89b905-ef82-5bfc-950d-f73dfc3f418b,Items,1,Arch. 1460,isad:mpm:360,10 R 3 B,,12,Nederlands,remarks
tg:mpmak:332,67f06f02-d177-5d72-8bec-fff07c5f5160,Items,1,Arch. 301,isad:mpm:567,10 Q 4 A,,los stuk tussen fol. 136 links-rechts,Nederlands,remarks
tg:mpmak:298,f18fde71-3369-5827-b6f3-7f6765c5803d,Items,1,Arch. 134,isad:mpm:556,10 Q 3 D,,los stuk 2 tussen fol. 349 links-rechts,Nederlands,remarks
tg:mpmak:277,3b749a05-ba0f-586b-bfed-d9180bd7252e,Items,1,Arch. 280,isad:mpm:370,10 Q 4 B,,los stuk 15,Nederlands,remarks
tg:mpmak:109,45d33d8e-fbc3-5016-b3f7-2df7d29fe184,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 47 links-rechts,,Nederlands,remarks
tg:mpmak:51,28f04267-82db-56ce-b96a-81a8adc7ce6a,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Vijfde stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:220,d71c5094-f7f7-5c7b-ab12-f0ef129a81a3,Items,1,Arch. 467,isad:mpm:342,10 Q 6 D,Los stuk tussen p. 231-232,,Nederlands,remarks
tg:mpmak:172,3bf7c3d8-64fe-5107-b43c-910391ebcb92,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 5 tussen fol. 102 links-rechts,,Nederlands,remarks
tg:mpmak:92,2426bffd-f751-51bf-a334-3b73340b0a4d,Items,1,Arch. TS A stuk 6,isad:mpm:327,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:125,727d3d78-0242-5636-8cb0-28a80370b662,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 98 links-rechts,,Nederlands,remarks
tg:mpmak:349,ddee1c2e-d8d6-5845-af8d-433b336883cb,Items,1,Arch. 1186,isad:mpm:570,10 K 8 E,,1,Nederlands,remarks
tg:mpmak:84,8f33aaba-4e46-5c8e-9c2e-fc0b9eabc081,Items,1,Arch. 396,isad:mpm:275,10 Q 5 A,,los stuk [1] tussen fol. 36-37,Nederlands,remarks
tg:mpmak:133,7743fa8b-2b1e-5ef4-bf6d-6eced8200516,Items,1,Arch. 321,isad:mpm:333,10 Q 5 D,Los stuk tussen fol. 157 links-rechts,,Nederlands,remarks
tg:mpmak:164,5c8d58b1-074b-5294-a3ff-fa3359950804,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 1 tussen fol. 25 links-rechts,,Nederlands,remarks
tg:mpmak:308,0bc9312c-6144-52e7-a6c5-a5eddb4de869,Items,1,Arch. 111,isad:mpm:334,10 Q 2 A,,los stuk tussen fol. 127 links-rechts,Nederlands,remarks
tg:mpmak:113,0d776b41-0dad-5953-8610-e6de3fc62990,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 52 links-rechts,,Nederlands,remarks
tg:mpmak:328,7898ec54-a7fb-53b4-a64e-1891b6ea45f3,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk tussen fol. 46-47,Nederlands,remarks
tg:mpmak:282,5f0752ea-2988-593b-93a1-c042240f015d,Items,1,SCH HF FA 51,isad:mpm:418,10 Q 4 D,,1,Nederlands,remarks
tg:mpmak:144,2c7c8cb2-52e4-528e-91ca-8ad0449cd30e,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk tussen fol. 127 links-rechts,,Nederlands,remarks
tg:mpmak:294,dd978c16-3568-5acb-8117-84c35fa9d8b6,Items,1,Arch. 134,isad:mpm:558,10 Q 3 D,,los stuk tussen fol. 192 links-rechts,Nederlands,remarks
tg:mpmak:152,f932016d-6778-5a0f-ad10-ac25c2095bf2,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk 2 tussen fol. 183 links-rechts,,Nederlands,remarks
tg:mpmak:257,d5a3a593-2e2b-5b53-873b-6d921d86b2d6,Items,1,Arch. 1460,isad:mpm:567,10 R 3 B,,7,Nederlands,remarks
tg:mpmak:312,b5c81bab-24cd-5a40-8859-0915a216f259,Items,1,Arch. 133,isad:mpm:334,10 Q 1 D,,los stuk 4 tussen fol. 90 links-rechts,Nederlands,remarks
tg:mpmak:191,6d07827a-a1a2-59c3-bdfe-c02b3d1eecb6,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk tussen fol. 124 links-rechts,,Nederlands,remarks
tg:mpmak:26,857aa1b6-1743-5bb3-9a33-50000bb28f81,Items,1,Arch. 120,isad:mpm:245,10 Q 2 A,,p. 295-298,Nederlands,remarks
tg:mpmak:200,81b02da2-fcdb-5d44-9a27-302e1e15deb7,Items,1,Arch. 496,isad:mpm:334,10 Q 6 C,Los stuk tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:345,5bc0a533-73fc-50a5-a5f0-4096f29d3b80,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk tussen p. 264-265,Nederlands,remarks
tg:mpmak:129,90d4e0fc-abe9-51ac-bc78-09a705cbc484,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 6 tussen fol. 131 links-rechts,,Nederlands,remarks
tg:mpmak:216,c3abbff4-062d-5385-b928-fea87f13df93,Items,1,Arch. 337,isad:mpm:567,10 Q 5 C,Los stuk 2 tussen fol. 81-82,,Nederlands,remarks
tg:mpmak:353,85adc937-5019-5f43-b5f3-be3c6dab32ad,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,,p. 189-190,Nederlands,remarks
tg:mpmak:88,69c52a2b-c539-5ae1-a5e8-43300bc8a62b,Items,1,Arch. TS A stuk 1,isad:mpm:327,15 R 1 A,Tussen fol. 65 links-rechts,,Nederlands,remarks
tg:mpmak:67,00f441cc-a274-59ff-93e6-ab79435a4af4,Items,1,K 1074,isad:mpm:290,Zaal 32,,29,Nederlands,remarks
tg:mpmak:241,6cc8acae-f468-5e80-8700-90f800c03146,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.6,Nederlands,remarks
tg:mpmak:304,64fcc947-e9f0-5644-8dbd-5e4fa3c4bfac,Items,1,Arch. 134,isad:mpm:333,10 Q 3 D,,los stuk tussen fol. 386 links-rechts,Nederlands,remarks
tg:mpmak:187,7c9f210f-c32f-59db-a0d0-f10e68bad764,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 1 tussen fol. 10 links-rechts,,Nederlands,remarks
tg:mpmak:168,b276b384-5450-513b-b0d0-58887da71339,Items,1,Arch. 761,isad:mpm:333,10 R 9 C,Los stuk 2 tussen fol. 27 links-rechts,,Nederlands,remarks
tg:mpmak:30,5652dd86-752e-542e-b882-a71c4178234e,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,5,Nederlands,remarks
tg:mpmak:186,f388bfbe-c5e1-54bf-938b-2d1b7b3765e5,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 12 vooraan,,Nederlands,remarks
tg:mpmak:169,409b82e5-e3b5-501c-b178-c7e5ffd5e8e0,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 1 tussen fol. 102 links-rechts,,Nederlands,remarks
tg:mpmak:31,b53c42cd-4ff0-5756-8452-1bee8457fa4b,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,8,Nederlands,remarks
tg:mpmak:240,72cb205a-cfe8-516f-8f94-3a514b573326,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.3.4,Nederlands,remarks
tg:mpmak:305,7f8fb011-a3cb-5703-b1b0-dbceeee55c3b,Items,1,Arch. 134,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 388 links-rechts,Nederlands,remarks
tg:mpmak:89,dfb0616b-81cc-529f-98ca-96e523739de6,Items,1,Arch. TS A stuk 2,isad:mpm:327,15 R 1 A,Tussen fol. 127 links-rechts,,Nederlands,remarks
tg:mpmak:66,095b7e37-8955-58cf-8731-92a31ccc0c21,Items,1,Arch. 712 (3),isad:mpm:288,10 Q 9 C,,stuk 30,Nederlands,remarks
tg:mpmak:217,5ddf2d6e-4d1b-5023-8963-e170e0ca2b00,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk tussen fol. 26 links-rechts,,Nederlands,remarks
tg:mpmak:352,98e5bfd5-a3a2-5656-9e32-ac2c734e753f,Items,1,Arch. 120,isad:mpm:245,10 Q 2 A,,p. 299-302,Nederlands,remarks
tg:mpmak:128,a85d9c5c-5ecb-5ae2-b1d7-fa7b7483d257,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 5 tussen fol. 131 links-rechts,,Nederlands,remarks
tg:mpmak:70,6d7a544c-bfbc-51e4-ada6-74182533d205,Items,1,Arch. 868,isad:mpm:275,10 R 8 D,Los stuk; Arch. 863-898 zijn samen in een moderne convoluutband ingebonden,,Nederlands,remarks
tg:mpmak:201,db2aacae-f452-58aa-ad20-f48728dc5481,Items,1,Arch. 497,isad:mpm:333,10 Q 6 C,Los stuk tussen fol. 102 links-rechts,,Nederlands,remarks
tg:mpmak:344,4f4dee13-d8e2-5793-b654-70f02ce62ed2,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk tussen p. 244-245,Nederlands,remarks
tg:mpmak:190,1635f9f5-7768-5f30-ab4a-8d0c9b599fda,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 1 tussen fol. 112 links-rechts,,Nederlands,remarks
tg:mpmak:27,780ee72b-6eff-5922-aa06-2fa85a3019b6,Items,1,Arch. 120,isad:mpm:245,10 Q 2 A,,p. 329-332,Nederlands,remarks
tg:mpmak:256,db4bee96-a1ef-5796-8538-fe484c2e11c6,Items,1,Arch. 1460,isad:mpm:355,10 R 3 B,,6,Nederlands,remarks
tg:mpmak:313,cab16bdd-488c-578c-bb15-f04244e7410e,Items,1,Arch. 133,isad:mpm:334,10 Q 1 D,,Los stuk tussen fol. 122 links-rechts,Nederlands,remarks
tg:mpmak:104,1916e3ae-7e6b-5c8f-83bc-f727a4330a04,Items,1,Arch. TS C stuk 9,isad:mpm:331,15 R 1 A,,,Nederlands,remarks
tg:mpmak:153,97caed4b-b793-5fe5-8470-4b8b3fc224ac,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 2 tussen fol. 196 links-rechts,,Nederlands,remarks
tg:mpmak:295,d0498b1d-3d58-5de0-be5a-31868607c143,Items,1,Arch. 134,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 232 links-rechts,Nederlands,remarks
tg:mpmak:145,43482195-5159-578d-b5da-b82690322996,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk 1 tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:329,ee03d7d3-9891-50f0-88a7-8c71fd256cb0,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk tussen fol. 50-51,Nederlands,remarks
