ResourceID,brocade.id,card,order,ire.isaar.uuid,Brocade Production Actor ID,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier
30a919d4-f41d-54af-a3e5-941367e55751,tg:mpmak:314,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,ProductionActors,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
ed45eb92-593c-5aa0-a37a-f1426cef366f,tg:mpmak:178,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,tg:mpmak:20,ProductionActors,1,16263017-adc6-5348-bdfc-35cfaee2268f,au::108363,originators (administrative),,"dlod={""id"":""ark:/83110/x0/16263017-adc6-5348-bdfc-35cfaee2268f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/16263017-adc6-5348-bdfc-35cfaee2268f
3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,tg:mpmak:206,ProductionActors,1,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,originators (administrative),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,tg:mpmak:206,ProductionActors,3,28176360-2f96-5fea-9878-757f9210a022,au::109475,getuige,,"dlod={""id"":""ark:/83110/x0/28176360-2f96-5fea-9878-757f9210a022"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/28176360-2f96-5fea-9878-757f9210a022
c3d5ce56-63b9-5d07-a992-7f084c4687b5,tg:mpmak:343,ProductionActors,1,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,originators (administrative),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
c3d5ce56-63b9-5d07-a992-7f084c4687b5,tg:mpmak:343,ProductionActors,2,7896a2de-2572-50f3-81d6-c3fda72c3155,au::112369,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/7896a2de-2572-50f3-81d6-c3fda72c3155"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/7896a2de-2572-50f3-81d6-c3fda72c3155
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,ProductionActors,1,eaf8fd64-b776-5396-93d4-4fcc4e470b26,au::107537,originators (administrative),,"dlod={""id"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,ProductionActors,3,eaf8fd64-b776-5396-93d4-4fcc4e470b26,au::107537,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,ProductionActors,3,f2a98931-3edd-52b8-b3ab-ebd02d45d504,au::108870,signers,,"dlod={""id"":""ark:/83110/x0/f2a98931-3edd-52b8-b3ab-ebd02d45d504"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/f2a98931-3edd-52b8-b3ab-ebd02d45d504
ae061637-9aca-53de-9042-41252b523078,tg:mpmak:210,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
2f80201a-9d43-50fd-96d5-f30d3559fd0a,tg:mpmak:139,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
4d8a45d3-21ae-5ba9-9fcf-4217e3692b90,tg:mpmak:61,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
5b671649-4092-5832-a1f9-a8ca4b0774e4,tg:mpmak:247,ProductionActors,1,ef8de797-30b0-597d-b7a3-d4745423e3be,au::108564,originators (administrative),,"dlod={""id"":""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be
daa05c79-84a0-5fc8-aad6-37822f8bee69,tg:mpmak:302,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
daa05c79-84a0-5fc8-aad6-37822f8bee69,tg:mpmak:302,ProductionActors,3,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
1d9df6f8-63c7-534b-ac8c-e78603455e2d,tg:mpmak:181,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
1d9df6f8-63c7-534b-ac8c-e78603455e2d,tg:mpmak:181,ProductionActors,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,tg:mpmak:36,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
e3d769cf-1a2e-5902-935f-22a2148f5fbd,tg:mpmak:119,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
e31457a5-0683-5ce7-9025-075a84e9c217,tg:mpmak:41,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
e31457a5-0683-5ce7-9025-075a84e9c217,tg:mpmak:41,ProductionActors,3,e99a01c5-e925-53a9-817c-c26faa5546ca,au::108533,getuige,,"dlod={""id"":""ark:/83110/x0/e99a01c5-e925-53a9-817c-c26faa5546ca"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e99a01c5-e925-53a9-817c-c26faa5546ca
ef176031-3cbb-5929-a628-b4beb0f40776,tg:mpmak:230,ProductionActors,1,455c1363-f306-5b61-91c4-2c01d43428ab,au::106906,originators (administrative),,"dlod={""id"":""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab
ef176031-3cbb-5929-a628-b4beb0f40776,tg:mpmak:230,ProductionActors,2,ef8c1d41-a8e6-5703-b963-28878e2584b8,au::109013,signers,,"dlod={""id"":""ark:/83110/x0/ef8c1d41-a8e6-5703-b963-28878e2584b8"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/ef8c1d41-a8e6-5703-b963-28878e2584b8
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,ProductionActors,1,74ea85fd-c0b5-5e75-81e3-012d40e19483,au::108358,originators (administrative),,"dlod={""id"":""ark:/83110/x0/74ea85fd-c0b5-5e75-81e3-012d40e19483"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/74ea85fd-c0b5-5e75-81e3-012d40e19483
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,ProductionActors,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,signers,,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
c92690f2-7e13-5d7b-9c76-55c48b9b23d0,tg:mpmak:288,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
c92690f2-7e13-5d7b-9c76-55c48b9b23d0,tg:mpmak:288,ProductionActors,3,2a40d4b5-90fb-53b4-9017-8f5dd07e6c05,au::108615,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/2a40d4b5-90fb-53b4-9017-8f5dd07e6c05"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/2a40d4b5-90fb-53b4-9017-8f5dd07e6c05
8c865d12-a422-5a72-81e3-49dd1e30c5e7,tg:mpmak:322,ProductionActors,1,b03dd40d-6470-5373-baba-0a64aea212a7,au::106903,originators (administrative),,"dlod={""id"":""ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7
7a0698d6-a204-5490-b8e0-fffb8f14ba6b,tg:mpmak:267,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
7a0698d6-a204-5490-b8e0-fffb8f14ba6b,tg:mpmak:267,ProductionActors,3,14da77b4-e863-5cb6-883c-18eb8c492494,au::111228,signers,,"dlod={""id"":""ark:/83110/x0/14da77b4-e863-5cb6-883c-18eb8c492494"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/14da77b4-e863-5cb6-883c-18eb8c492494
455d88b3-5367-5215-9cb1-f71a250a87ef,tg:mpmak:158,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
455d88b3-5367-5215-9cb1-f71a250a87ef,tg:mpmak:158,ProductionActors,3,08d15f73-b149-5b58-af76-af43c49d5dc0,au::109077,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/08d15f73-b149-5b58-af76-af43c49d5dc0"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/08d15f73-b149-5b58-af76-af43c49d5dc0
5d29324e-8724-5c76-8e06-8c719144eb99,tg:mpmak:334,ProductionActors,1,c168acff-a59e-552b-9822-11b3f97f4b55,au::108419,originators (administrative),,"dlod={""id"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55
0a8ad24d-06ef-5fc5-a44c-183b308a695c,tg:mpmak:271,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
cab46494-4b6a-50d1-b167-e83bf1094d1e,tg:mpmak:57,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
3a6f6047-a597-5a45-a886-247420e0e561,tg:mpmak:226,ProductionActors,1,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,originators (administrative),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
3a6f6047-a597-5a45-a886-247420e0e561,tg:mpmak:226,ProductionActors,2,28542784-c61c-5b7a-b3fb-6b1efa69a413,au::109854,signers,,"dlod={""id"":""ark:/83110/x0/28542784-c61c-5b7a-b3fb-6b1efa69a413"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/28542784-c61c-5b7a-b3fb-6b1efa69a413
a09ddf78-2739-5937-93b6-198194e27820,tg:mpmak:174,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
fd39fa72-4a4c-5e93-85f9-8b72e8a24046,tg:mpmak:318,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
fd39fa72-4a4c-5e93-85f9-8b72e8a24046,tg:mpmak:318,ProductionActors,2,9d07aad7-c418-5abf-b80e-da17c651f422,au::109071,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/9d07aad7-c418-5abf-b80e-da17c651f422"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9d07aad7-c418-5abf-b80e-da17c651f422
fd39fa72-4a4c-5e93-85f9-8b72e8a24046,tg:mpmak:318,ProductionActors,3,67d6c9ce-69d2-5ce1-83bc-49ac2993be59,au::109066,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/67d6c9ce-69d2-5ce1-83bc-49ac2993be59"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/67d6c9ce-69d2-5ce1-83bc-49ac2993be59
110a609e-10ce-5b9a-9f0c-46a6429730a6,tg:mpmak:94,ProductionActors,1,eaf8fd64-b776-5396-93d4-4fcc4e470b26,au::107537,originators (administrative),,"dlod={""id"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
110a609e-10ce-5b9a-9f0c-46a6429730a6,tg:mpmak:94,ProductionActors,2,819ff134-827c-5f96-9425-018c0e9a4105,au::109044,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/819ff134-827c-5f96-9425-018c0e9a4105"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/819ff134-827c-5f96-9425-018c0e9a4105
e77ac24e-e805-5670-815e-12673803c9e0,tg:mpmak:123,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
35e43343-bb75-512b-bf32-51d4ba86d8c9,tg:mpmak:82,ProductionActors,1,b03dd40d-6470-5373-baba-0a64aea212a7,au::106903,originators (administrative),,"dlod={""id"":""ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/b03dd40d-6470-5373-baba-0a64aea212a7
35e43343-bb75-512b-bf32-51d4ba86d8c9,tg:mpmak:82,ProductionActors,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,signers,,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
