Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,source_field,Description,Description Type,Description Language,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number,Title,Title Type,Title Language,Material Records,ire.isaar.uuid,Creation ISAAR Brocade ID,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,MaterialRecords,tg:lhpr:2050,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""cfccc3d4-089a-5131-94ec-ff6bd61342c9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b6ee308-91be-460f-8265-95f2971ede5c"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:1467,Prenten,04a44421-c371-5bff-ab03-fdfa6ca172f4,Letterenhuis,https://data.letterenhuis.be/ark:/24970/04a44421-c371-5bff-ab03-fdfa6ca172f4,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,1,ImmaterialContent,tg:lhpr:1467,,,,,,,,,,,,,,,,4760982e-5ce9-5771-b79b-df46fdcb981d,au::19541,artists (visual artists),"dlod={""name"":""Piet Verhaert"",""ark"":""ark:/83110/x0/4760982e-5ce9-5771-b79b-df46fdcb981d"",""uri"":""/agents/people/49234"",""id"":""au::19541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4760982e-5ce9-5771-b79b-df46fdcb981d
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,1,Items,tg:lhpr:1467,,,,,tr:lh:2212,43532/1,"Planex GP / IX, 2",,(3) Deze prent is gekleefd op karton,,,,,,,,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,2,Items,tg:lhpr:1467,,,,,tr:lh:2400,45794/1,,,(3) Deze prent is gekleefd op karton,,,,,,,,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,3,Items,tg:lhpr:1467,,,,,tr:lh:4795,104523,Planex KP / B 365,isad:lh:96261,(3) Deze prent is gekleefd op karton,,,,,,,,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,1,MaterialRecords,tg:lhpr:1467,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""e6c0993f-f042-5fc2-aa8e-001697032780"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2c2db745-3efb-4dcc-adeb-23d46e970b27"", ""inverseOntologyProperty"": """"}]",,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,1,MaterialRecords,tg:lhpr:1467,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""1a57eab8-d086-539d-88f9-83e87848e0c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""11898cf0-c474-4a14-bfe6-e7587fa6b5a8"", ""inverseOntologyProperty"": """"}]",,,,,
,,04a44421-c371-5bff-ab03-fdfa6ca172f4,,,,,1,MaterialRecords,tg:lhpr:1467,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""83a2845a-0b21-5387-ad24-c420897d9556"", ""ontologyProperty"": """", ""resourceXresourceId"": ""96864455-cba5-44f1-8906-e2c4258a68bd"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:2230,Prenten,05862d52-d08d-52ad-8ac0-b892704b4b8b,Letterenhuis,https://data.letterenhuis.be/ark:/24970/05862d52-d08d-52ad-8ac0-b892704b4b8b,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,05862d52-d08d-52ad-8ac0-b892704b4b8b,,,,,1,ImmaterialContent,tg:lhpr:2230,,,,,,,,,,,,,,,,e3e2c546-0f44-5681-b9e8-12a5c5f6edfc,au::6036,artists (visual artists),"dlod={""name"":""Josuë Dupon"",""ark"":""ark:/83110/x0/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc"",""uri"":""/agents/people/93237"",""id"":""au::6036"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc
,,05862d52-d08d-52ad-8ac0-b892704b4b8b,,,,,1,Items,tg:lhpr:2230,,,,,tr:lh:1647,31070,Planex KP / L 1384,isad:lh:96321,,,,,,,,,,,,
,,05862d52-d08d-52ad-8ac0-b892704b4b8b,,,,,2,Items,tg:lhpr:2230,,,,,tr:lh:5800,121338,Planex KP / L 1384,isad:lh:96321,,,,,,,,,,,,
,,05862d52-d08d-52ad-8ac0-b892704b4b8b,,,,,1,MaterialRecords,tg:lhpr:2230,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""deda484f-2711-5ccc-81a0-934856a14451"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38b6586d-8fb0-4e45-ae72-1c37108af596"", ""inverseOntologyProperty"": """"}]",,,,,
,,05862d52-d08d-52ad-8ac0-b892704b4b8b,,,,,1,MaterialRecords,tg:lhpr:2230,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""207821e3-87cc-5e9e-80b5-24fd868082ec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e8b9f08b-884e-4561-9970-aeecb8af266a"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:3178,Prenten,06a92f6b-70ae-5009-bc99-a8002bb92aed,Letterenhuis,https://data.letterenhuis.be/ark:/24970/06a92f6b-70ae-5009-bc99-a8002bb92aed,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,06a92f6b-70ae-5009-bc99-a8002bb92aed,,,,,1,ImmaterialContent,tg:lhpr:3178,,,,,,,,,,,,,,,,7205339c-40b6-51b1-a7f3-b74acebbf7e3,au::2966,artists (visual artists),"dlod={""name"":""Oscar Bronckaers"",""ark"":""ark:/83110/x0/7205339c-40b6-51b1-a7f3-b74acebbf7e3"",""uri"":""/agents/people/50030"",""id"":""au::2966"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7205339c-40b6-51b1-a7f3-b74acebbf7e3
,,06a92f6b-70ae-5009-bc99-a8002bb92aed,,,,,1,Items,tg:lhpr:3178,,,,,,179822,B 888 / I,,,,,,,,,,,,,
,,06a92f6b-70ae-5009-bc99-a8002bb92aed,,,,,2,Items,tg:lhpr:3178,,,,,,196155,"Planex GP / X, 2",,"39,5 x 26,5",,,,,,,,,,,
,,06a92f6b-70ae-5009-bc99-a8002bb92aed,,,,,1,MaterialRecords,tg:lhpr:3178,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""7af03644-96bc-56d0-a1a7-19675c830dfc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f1a4db7b-6c8f-4fab-a769-51194f8a89d9"", ""inverseOntologyProperty"": """"}]",,,,,
,,06a92f6b-70ae-5009-bc99-a8002bb92aed,,,,,1,MaterialRecords,tg:lhpr:3178,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""80116232-6095-5f93-b0e9-e5e83577037e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4a121b42-23cf-471d-b133-8393873261d1"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:9126,Prenten,07bf6600-1501-5756-a71f-2a8df3eada7a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/07bf6600-1501-5756-a71f-2a8df3eada7a,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,07bf6600-1501-5756-a71f-2a8df3eada7a,,,,,1,ImmaterialContent,tg:lhpr:9126,,,,,,,,,,,,,,,,55a77342-9a81-500e-a9b2-6e441ebe49e1,au::194,artists (visual artists),"dlod={""name"":""Roger van Akelijen"",""ark"":""ark:/83110/x0/55a77342-9a81-500e-a9b2-6e441ebe49e1"",""uri"":""/agents/people/64724"",""id"":""au::194"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/55a77342-9a81-500e-a9b2-6e441ebe49e1
,,07bf6600-1501-5756-a71f-2a8df3eada7a,,,,,1,Items,tg:lhpr:9126,,,,,,220657,A 2313 / I,,221152: Premieprent voor 2010 van Kunstkring Jacques Gorus.,,,,,,,,,,,
,,07bf6600-1501-5756-a71f-2a8df3eada7a,,,,,2,Items,tg:lhpr:9126,,,,,,221152,A 2313 / I,,221152: Premieprent voor 2010 van Kunstkring Jacques Gorus.,,,,,,,,,,,
,,07bf6600-1501-5756-a71f-2a8df3eada7a,,,,,1,MaterialRecords,tg:lhpr:9126,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""067733a2-31ed-5350-95b8-575ed903b40c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fafa7b08-1bd1-4569-b446-6eb712402474"", ""inverseOntologyProperty"": """"}]",,,,,
,,07bf6600-1501-5756-a71f-2a8df3eada7a,,,,,1,MaterialRecords,tg:lhpr:9126,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""1076d070-2147-5863-b858-9b4f5ae7ad3d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""101c18f8-a76a-45f2-af59-5e80062b8f64"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:1589,Prenten,08b675a7-f189-57a9-9ae7-e44fdc429f9b,Letterenhuis,https://data.letterenhuis.be/ark:/24970/08b675a7-f189-57a9-9ae7-e44fdc429f9b,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,1,ImmaterialContent,tg:lhpr:1589,,,,,,,,,,,,,,,,18797840-5c11-53e1-b30a-823ba91d8eb0,au::4826,artists (visual artists),"dlod={""name"":""Albert Daenens"",""ark"":""ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0"",""uri"":""/agents/people/49136"",""id"":""au::4826"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,1,Items,tg:lhpr:1589,,,,,tr:lh:1166,20233,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,,,,,,,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,2,Items,tg:lhpr:1589,,,,,,42467,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,,,,,,,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,3,Items,tg:lhpr:1589,,,,,,47442/221,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,,,,,,,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,1,MaterialRecords,tg:lhpr:1589,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""39370916-d117-48ec-8695-cdb03d38f138"", ""inverseOntologyProperty"": """"}]",,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,1,MaterialRecords,tg:lhpr:1589,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""926d6315-88a2-5e6d-b26e-4e613a95c902"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bd942386-05f0-48c7-b0dd-871923daee15"", ""inverseOntologyProperty"": """"}]",,,,,
,,08b675a7-f189-57a9-9ae7-e44fdc429f9b,,,,,1,MaterialRecords,tg:lhpr:1589,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""721be338-50e4-5c57-b80e-52adbff73a9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cff9eb1a-bfb8-4183-b272-3a560369252e"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:2906,Prenten,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/09e21c08-3d78-597d-ba2b-fc7f13c19a7a,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,1,ImmaterialContent,tg:lhpr:2906,,,,,,,,,,,,,,,,c23c5dbc-61e5-530a-b466-f7c32c1573c1,au::3288,artists (visual artists),"dlod={""name"":""Aloïs van den Bussche"",""ark"":""ark:/83110/x0/c23c5dbc-61e5-530a-b466-f7c32c1573c1"",""uri"":""/agents/people/58105"",""id"":""au::3288"",""nameWithContext"":[""Bus""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c23c5dbc-61e5-530a-b466-f7c32c1573c1
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,1,Items,tg:lhpr:2906,,,,,,14606,"Planex GP / X, 4",,,,,,,,,,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,2,Items,tg:lhpr:2906,,,,,,87588,"Planex GP / X, 4",,,,,,,,,,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,3,Items,tg:lhpr:2906,,,,,,87891,"Planex GP / X, 4",,,,,,,,,,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,1,MaterialRecords,tg:lhpr:2906,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""28681411-ed4a-5107-9032-4faa153f1e95"", ""ontologyProperty"": """", ""resourceXresourceId"": ""37463a20-0158-4d5a-b50f-142f4bb80e3e"", ""inverseOntologyProperty"": """"}]",,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,1,MaterialRecords,tg:lhpr:2906,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""d74a6745-ee1c-5f81-8cab-a60eb1ff78d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3d937767-d961-47f2-a299-2cccf49781e8"", ""inverseOntologyProperty"": """"}]",,,,,
,,09e21c08-3d78-597d-ba2b-fc7f13c19a7a,,,,,1,MaterialRecords,tg:lhpr:2906,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""b125e54a-1f2e-5d5e-a7a9-ff38ffe10d57"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ecf32c60-6d17-4196-9542-9e11db8b4613"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:3013,Prenten,0a3899d6-b254-55d3-9a21-fff1cda9f62e,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0a3899d6-b254-55d3-9a21-fff1cda9f62e,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,0a3899d6-b254-55d3-9a21-fff1cda9f62e,,,,,1,Items,tg:lhpr:3013,,,,,tr:lh:2021,37758/3,"Planex GP / X, 4 (V 2509)",,,,,,,,,,,,,
,,0a3899d6-b254-55d3-9a21-fff1cda9f62e,,,,,2,Items,tg:lhpr:3013,,,,,,220281,"Planex GP / X, 4 (V 2509)",,,,,,,,,,,,,
,,0a3899d6-b254-55d3-9a21-fff1cda9f62e,,,,,1,MaterialRecords,tg:lhpr:3013,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""4e691bfd-69ed-58fa-943b-c57147ba8a7d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""55072a1a-e04c-4949-bf81-01f6a7fc8d29"", ""inverseOntologyProperty"": """"}]",,,,,
,,0a3899d6-b254-55d3-9a21-fff1cda9f62e,,,,,1,MaterialRecords,tg:lhpr:3013,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""394e605c-c13a-56fb-a8e6-610e9da7a3ea"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3b48028a-1caf-49c5-9c67-8076b2754449"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:9299,Prenten,0b113d41-871e-5060-8943-303201dd20b9,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0b113d41-871e-5060-8943-303201dd20b9,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,1,ImmaterialContent,tg:lhpr:9299,,,,,,,,,,,,,,,,94aeddb7-7932-519a-bb3c-7a5b8fa83f6d,au::6621,artists (visual artists),"dlod={""name"":""Edgard Farasijn"",""ark"":""ark:/83110/x0/94aeddb7-7932-519a-bb3c-7a5b8fa83f6d"",""uri"":""/agents/people/47500"",""id"":""au::6621"",""nameWithContext"":[""Edgar Farazijn""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/94aeddb7-7932-519a-bb3c-7a5b8fa83f6d
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,1,Items,tg:lhpr:9299,,,,,,17561,Planex GP / C 34,,"De afbeelding is geïnspireerd op een foto van G. Hermans, Antwerpen en verschenen als bijlage bij De Kleine Gazet, 8 ste jg., 1886-87, nr 5, 10 oktober 1886.",,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,2,Items,tg:lhpr:9299,,,,,tr:lh:2868,57321,Planex GP / C 34,isad:lh:96302,"De afbeelding is geïnspireerd op een foto van G. Hermans, Antwerpen en verschenen als bijlage bij De Kleine Gazet, 8 ste jg., 1886-87, nr 5, 10 oktober 1886.",,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,3,Items,tg:lhpr:9299,,,,,tr:lh:5693,115201/12,Planex GP / C 34,isad:lh:96682,"De afbeelding is geïnspireerd op een foto van G. Hermans, Antwerpen en verschenen als bijlage bij De Kleine Gazet, 8 ste jg., 1886-87, nr 5, 10 oktober 1886.",,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,4,Items,tg:lhpr:9299,,,,,tr:lh:5774,118749,Planex GP / C 34,isad:lh:96684,"De afbeelding is geïnspireerd op een foto van G. Hermans, Antwerpen en verschenen als bijlage bij De Kleine Gazet, 8 ste jg., 1886-87, nr 5, 10 oktober 1886.",,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,5,Items,tg:lhpr:9299,,,,,tr:lh:6356,146170,Planex GP / C 34,isad:lh:96263,"De afbeelding is geïnspireerd op een foto van G. Hermans, Antwerpen en verschenen als bijlage bij De Kleine Gazet, 8 ste jg., 1886-87, nr 5, 10 oktober 1886.",,,,,,,,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,1,MaterialRecords,tg:lhpr:9299,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""7b176821-b74d-5ce5-ac18-8a7f582395df"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7adf0c97-d197-407b-9e29-688c7c57df78"", ""inverseOntologyProperty"": """"}]",,,,,
,,0b113d41-871e-5060-8943-303201dd20b9,,,,,1,MaterialRecords,tg:lhpr:9299,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""899a9631-c58e-5ea2-945d-a6a9c1534ee7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5f4442aa-2ae0-4b4a-9141-51d67b6daf9e"", ""inverseOntologyProperty"": """"}]",,,,,
