Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,source_field,Immaterial Record,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,source_code,Carrier Type,Colour,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Illustration URL,Illustration Type,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number,Legacy Information Value,Legacy Information Type,Legacy Information Published,Mark Text,Mark Type,Mark Language,Material,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Widget,Entity Identifier,Title,Title Type,Title Language,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Start Date,Start Date Type,End Date,End Date Type
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,LegacyInformation,,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000028,referentienummer,False,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,LegacyInformation,,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:1351_#1,brocade id,False,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,LegacyInformation,,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:1351/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Marks,tg:lhpr:1351_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Links onder in de prent gedrukt: _FVL_;

midden onder in de prent gedrukt: _STEENDR. FLORIMOND VAN LOO, GENT_;

midden onder de prent gedrukt: _Peter Benoit / 1892_;

midden onder de prent met inkt: _Mijnen waarden vriend Edward Keurvels /
stichter en orkestmeester van het Lyrisch Drama / te Antwerpen. / Peter
Benoit_",signatures (names),Nederlands,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,2,OriginalBrocade,tg:lhpr:1351_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe44f3e-b12f-56a8-b6cc-976a8c988e10,au::1539,keywords,"dlod={""name"":""Peter Benoit"",""ark"":""ark:/83110/x0/5fe44f3e-b12f-56a8-b6cc-976a8c988e10"",""uri"":""/agents/people/57779"",""id"":""au::1539"",""nameWithContext"":[""Pol Arelbeca"",""Bratski"",""Palfi""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5fe44f3e-b12f-56a8-b6cc-976a8c988e10,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,ProductionActors,tg:lhpr:1351_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d65a9eee-ccdf-548b-9b04-3e545d6618fe,,,,,,,,au::11741,artists (visual artists),"dlod={""name"":""Florimond van Loo"",""ark"":""ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe"",""uri"":""/agents/people/82780"",""id"":""au::11741"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,ProductionTechniques,tg:lhpr:1351_#1,kenmerken/lhtechbasispr.lhtechpr,,,,,,,,,,,pls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lithography,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,,ProductionTimeSpans,tg:lhpr:1351_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,1896,
tg:lhpr:2326_#6,Prenten,0245f78f-c67b-5c75-b618-4d6e98443efa,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0245f78f-c67b-5c75-b618-4d6e98443efa,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Acquisitions,tg:lhpr:2326_#6,,,tr:lh:7805,"dlod={""name"":""Schenking van Walter Resseler"",""ark"":""ark:/24970/x0/e4401aba-7033-50c8-9b61-c527a30d9f52"",""uri"":""/repositories/11/accessions/18625"",""id"":""tr:lh:7805"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/e4401aba-7033-50c8-9b61-c527a30d9f52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Annotations,tg:lhpr:2326_#6,adm.note,,,,,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Carrier,tg:lhpr:2326_#6,kenmerken/lhdragerico.lhdragertypeico,,,,,,,,,,,dpp,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Colours,tg:lhpr:2326_#6,kenmerken/lhdragerico.lhkleur,,,,,,,,,,,kgw,,cream (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,DimensionSourceNotes,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,"14,5 x 10,6",,,,,,,,,"14,5 x 10,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,DimensionSourceNotes,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,16 x 11,,,,,,,,,16 x 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,,Dimensions,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,145.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,,Dimensions,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,106.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,,Dimensions,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,,,160.0,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,,Dimensions,tg:lhpr:2326_#6,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,,,110.0,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Images,tg:lhpr:2326_#6,ill.lowres,,,,,,,,,,,,,,,,,,,,,https://anet.be/docstore/d:lh:46412,Lage resolutie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,ImmaterialRecord,tg:lhpr:2326_#6,brocade.immaterial_uuid,"[{""resourceId"": ""47205cb0-793f-583c-a9d9-a60f9b2a0e0a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""db2065f3-9027-4bf8-8a9a-aece2b15a9e8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Items,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:7805,201870,Planex KP / M 762,,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",,,,,,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,LegacyInformation,,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000200,referentienummer,False,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,LegacyInformation,,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:2326_#6,brocade id,False,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,LegacyInformation,,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:2326/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,3,LegacyInformation,,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1)Oningeschreven gevonden; (3) Afkomstig uit archief 'De Rozeknop';(7) Geschenk Walter Resseler, archiefvormer: Victor Resseler.",herkomst,False,,,,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,Marks,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r.o.: _Ph. Zilcken / 343_,signatures (names),Nederlands,,,,,,,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,2,OriginalBrocade,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67b78ec4-0a19-5856-99a3-7fdb36d5ef22,au::13075,keywords,"dlod={""name"":""Pol de Mont"",""ark"":""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""uri"":""/agents/people/69759"",""id"":""au::13075"",""nameWithContext"":[""Janne van Assenede"",""Jan Dingen Dingemans"",""Karl"",""Montsalvat"",""Multafero"",""Nemo"",""Olympio"",""A. Scalde""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,3,OriginalBrocade,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ade7aa1f-ba2c-534c-a988-4244405a31b8,au::2827,keywords,"dlod={""name"":""Stanislas van der Brempt"",""ark"":""ark:/83110/x0/ade7aa1f-ba2c-534c-a988-4244405a31b8"",""uri"":""/agents/people/51930"",""id"":""au::2827"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ade7aa1f-ba2c-534c-a988-4244405a31b8,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,4,OriginalBrocade,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77f80908-578d-5e22-b42e-b86ea48283df,au::10236,keywords,"dlod={""name"":""Edward Keurvels"",""ark"":""ark:/83110/x0/77f80908-578d-5e22-b42e-b86ea48283df"",""uri"":""/agents/people/81495"",""id"":""au::10236"",""nameWithContext"":[""E. Duward""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/77f80908-578d-5e22-b42e-b86ea48283df,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,5,OriginalBrocade,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7f91652-0da0-591b-b5e9-98c545b06d15,au::16136,keywords,"dlod={""name"":""De Rozeknop"",""ark"":""ark:/83110/x0/f7f91652-0da0-591b-b5e9-98c545b06d15"",""uri"":""/agents/corporate_entities/27613"",""id"":""au::16136"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f7f91652-0da0-591b-b5e9-98c545b06d15,,,,,,,,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,ProductionActors,tg:lhpr:2326_#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd863ee1-a232-5f1d-8a82-efa4f83878df,,,,,,,,au::21797,artists (visual artists),"dlod={""name"":""Philippe Zilcken"",""ark"":""ark:/83110/x0/dd863ee1-a232-5f1d-8a82-efa4f83878df"",""uri"":""/agents/people/58447"",""id"":""au::21797"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/dd863ee1-a232-5f1d-8a82-efa4f83878df,,,,,
,,0245f78f-c67b-5c75-b618-4d6e98443efa,,,,,1,ProductionTechniques,tg:lhpr:2326_#6,kenmerken/lhtechbasispr.lhtechpr,,,,,,,,,,,pku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,copper engraving (printing process),,,,
tg:lhpr:2216_#3,Prenten,02eb0629-9011-5b98-b079-238daa7f4f53,Letterenhuis,https://data.letterenhuis.be/ark:/24970/02eb0629-9011-5b98-b079-238daa7f4f53,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,Acquisitions,tg:lhpr:2216_#3,,,tr:lh:2212,"dlod={""name"":""Oningeschreven gevonden in 1951"",""ark"":""ark:/24970/x0/9e40034b-2e40-58a0-a966-1e4e8d5a3db4"",""uri"":""/repositories/11/accessions/12303"",""id"":""tr:lh:2212"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/9e40034b-2e40-58a0-a966-1e4e8d5a3db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,Carrier,tg:lhpr:2216_#3,kenmerken/lhdragerico.lhdragertypeico,,,,,,,,,,,dpp,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,DimensionSourceNotes,tg:lhpr:2216_#3,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,"11 x 8,2",,,,,,,,,"11 x 8,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,,Dimensions,tg:lhpr:2216_#3,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,110.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,,Dimensions,tg:lhpr:2216_#3,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,82.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,Images,tg:lhpr:2216_#3,ill.lowres,,,,,,,,,,,,,,,,,,,,,https://anet.be/docstore/d:lh:46373,Lage resolutie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,ImmaterialRecord,tg:lhpr:2216_#3,brocade.immaterial_uuid,"[{""resourceId"": ""ff1d5870-b01d-5f2f-bc4d-8cfbcc26571a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20827349-8324-4ba1-9d69-8daf0ff36eb4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,Items,tg:lhpr:2216_#3,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:2212,43550/1,Planex KP / S 654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,LegacyInformation,,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000161,referentienummer,False,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,LegacyInformation,,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:2216_#3,brocade id,False,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,LegacyInformation,,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:2216/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,Marks,tg:lhpr:2216_#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r.o.: _FVL._

m.o.: _Gand, Lith. Florimond Van Loo / Sleeckx_",signatures (names),Nederlands,,,,,,,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,2,OriginalBrocade,tg:lhpr:2216_#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c354d41f-28c6-5c60-bc69-749fc1f7c039,au::17056,keywords,"dlod={""name"":""Domien Sleeckx"",""ark"":""ark:/83110/x0/c354d41f-28c6-5c60-bc69-749fc1f7c039"",""uri"":""/agents/people/76597"",""id"":""au::17056"",""nameWithContext"":[""Belgicus"",""van den Bogaert"",""Albrecht van den Bossche"",""H. Sadeleer"",""Schertser II"",""Jan Stern"",""Zondag""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c354d41f-28c6-5c60-bc69-749fc1f7c039,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,3,OriginalBrocade,tg:lhpr:2216_#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00fc3798-8493-5179-a1f1-2b67c15ddfd4,au::18019,keywords,"dlod={""name"":""Taalverbond"",""ark"":""ark:/83110/x0/00fc3798-8493-5179-a1f1-2b67c15ddfd4"",""uri"":""/agents/corporate_entities/26773"",""id"":""au::18019"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/00fc3798-8493-5179-a1f1-2b67c15ddfd4,,,,,,,,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,ProductionActors,tg:lhpr:2216_#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d65a9eee-ccdf-548b-9b04-3e545d6618fe,,,,,,,,au::11741,artists (visual artists),"dlod={""name"":""Florimond van Loo"",""ark"":""ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe"",""uri"":""/agents/people/82780"",""id"":""au::11741"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe,,,,,
,,02eb0629-9011-5b98-b079-238daa7f4f53,,,,,1,ProductionTechniques,tg:lhpr:2216_#3,kenmerken/lhtechbasispr.lhtechpr,,,,,,,,,,,pls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lithography,,,,
tg:lhpr:2741_#4,Prenten,031be3f0-227c-5452-861a-3e6d68367945,Letterenhuis,https://data.letterenhuis.be/ark:/24970/031be3f0-227c-5452-861a-3e6d68367945,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,Annotations,tg:lhpr:2741_#4,adm.note,,,,,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,Carrier,tg:lhpr:2741_#4,kenmerken/lhdragerico.lhdragertypeico,,,,,,,,,,,dpp,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,Colours,tg:lhpr:2741_#4,kenmerken/lhtechaanvtk.lhkleur,,,,,,,,,,,kor,,gold (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,Colours,tg:lhpr:2741_#4,kenmerken/lhtechbasispr.lhkleur,,,,,,,,,,,kzw,,black (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,Descriptions,tg:lhpr:2741_#4,note.lhdetail,,,,,,,,,,,,,,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,DimensionSourceNotes,tg:lhpr:2741_#4,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,"30,8 x 24,7",,,,,,,,,"30,8 x 24,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,1,DimensionSourceNotes,tg:lhpr:2741_#4,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,"41,4 x 31",,,,,,,,,"41,4 x 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,,Dimensions,tg:lhpr:2741_#4,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,308.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,031be3f0-227c-5452-861a-3e6d68367945,,,,,,Dimensions,tg:lhpr:2741_#4,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,,,247.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
