Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:2425,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2425/N,8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,BE-ANN14/gr/000002425,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3664,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3664/N,b054fb3a-43e0-5770-af6e-03df58406ab5,BE-ANN14/gr/000003664,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b054fb3a-43e0-5770-af6e-03df58406ab5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1659,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1659/N,799335a5-10ae-5d78-ad7b-3d9e7e510a2e,BE-ANN14/gr/000001659,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/799335a5-10ae-5d78-ad7b-3d9e7e510a2e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2976,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2976/N,bf61acd1-1a65-57f6-baec-029912374c27,BE-ANN14/gr/000002976,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/bf61acd1-1a65-57f6-baec-029912374c27'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:396,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:396/N,353d1bea-869d-55ba-8541-cb90e5330b2c,BE-ANN14/gr/000000396,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/353d1bea-869d-55ba-8541-cb90e5330b2c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3234,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3234/N,2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,BE-ANN14/gr/000003234,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/2d4b2d19-0e2d-521b-bfc1-8963c4b5088b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1209,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1209/N,8042eaa7-0073-558c-945d-d5bad0bf545f,BE-ANN14/gr/000001209,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/8042eaa7-0073-558c-945d-d5bad0bf545f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:816,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:816/N,590fefe8-2c37-5fc6-bda7-7f12c41405b2,BE-ANN14/gr/000000816,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/590fefe8-2c37-5fc6-bda7-7f12c41405b2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1823,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1823/N,33f2d377-ac3c-5327-a7be-23f4e590d677,BE-ANN14/gr/000001823,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/33f2d377-ac3c-5327-a7be-23f4e590d677'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1989,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1989/N,c6d9e256-6a1e-5a3a-9925-b584353913a0,BE-ANN14/gr/000001989,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c6d9e256-6a1e-5a3a-9925-b584353913a0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:5163,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:5163/N,c1213526-8aa3-5636-b761-88b23fd5499a,BE-ANN14/gr/000005163,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c1213526-8aa3-5636-b761-88b23fd5499a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4322,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4322/N,6865645d-835d-5edb-a6fa-84e89256c876,BE-ANN14/gr/000004322,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6865645d-835d-5edb-a6fa-84e89256c876'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:115,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:115/N,31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,BE-ANN14/gr/000000115,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1120,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1120/N,04fbc0f6-7964-5fec-aa99-f37952fc1df4,BE-ANN14/gr/000001120,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/04fbc0f6-7964-5fec-aa99-f37952fc1df4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4772,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4772/N,609021a6-c817-5bed-98cc-6916534b4d63,BE-ANN14/gr/000004772,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/609021a6-c817-5bed-98cc-6916534b4d63'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:545,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:545/N,62948151-4c94-5bdd-a21a-608f1477d274,BE-ANN14/gr/000000545,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/62948151-4c94-5bdd-a21a-608f1477d274'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1570,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1570/N,82f085c3-e0a3-5d76-9b29-318ffab0e03e,BE-ANN14/gr/000001570,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/82f085c3-e0a3-5d76-9b29-318ffab0e03e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4288,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4288/N,13a592fd-0f0b-531f-8d95-a54f3f9750f4,BE-ANN14/gr/000004288,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/13a592fd-0f0b-531f-8d95-a54f3f9750f4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1065,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1065/N,b8f5eb9e-95f2-548d-8ad4-8c65553be050,BE-ANN14/gr/000001065,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b8f5eb9e-95f2-548d-8ad4-8c65553be050'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3058,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3058/N,dc93b455-5ef2-564b-ad57-dc75cb4ff550,BE-ANN14/gr/000003058,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/dc93b455-5ef2-564b-ad57-dc75cb4ff550'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4267,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4267/N,a7642b03-dd0f-571a-8b9d-8b1810effb35,BE-ANN14/gr/000004267,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/a7642b03-dd0f-571a-8b9d-8b1810effb35'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1435,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1435/N,add7db4a-cdf4-5243-a528-79417eb20d78,BE-ANN14/gr/000001435,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/add7db4a-cdf4-5243-a528-79417eb20d78'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3408,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3408/N,11b2138e-74e7-521f-b189-c1f953def81f,BE-ANN14/gr/000003408,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/11b2138e-74e7-521f-b189-c1f953def81f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4637,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4637/N,531cf614-2c68-518e-b586-bd494618926d,BE-ANN14/gr/000004637,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/531cf614-2c68-518e-b586-bd494618926d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:400,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:400/N,6c64f22d-2d5d-5661-a80e-c279a5bfc831,BE-ANN14/gr/000000400,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6c64f22d-2d5d-5661-a80e-c279a5bfc831'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1966,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1966/N,0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,BE-ANN14/gr/000001966,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/0bcab4b7-8d1d-5d86-a490-a1f7ec90800d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2649,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2649/N,a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,BE-ANN14/gr/000002649,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:953,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:953/N,f715bcfd-faf9-5f78-9baa-551d4a990414,BE-ANN14/gr/000000953,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f715bcfd-faf9-5f78-9baa-551d4a990414'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2219,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2219/N,bb62a898-50a6-50b3-a44e-2f9e060e9e81,BE-ANN14/gr/000002219,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/bb62a898-50a6-50b3-a44e-2f9e060e9e81'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:5026,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:5026/N,3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,BE-ANN14/gr/000005026,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2537,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2537/N,70038380-71dd-5a9b-af39-4051d9409a9e,BE-ANN14/gr/000002537,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/70038380-71dd-5a9b-af39-4051d9409a9e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2167,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2167/N,449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,BE-ANN14/gr/000002167,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/449468cf-8bb0-5fb9-8d6c-c0f46d0b9883'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4119,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4119/N,5106b653-34ce-568b-a589-321045ea8df2,BE-ANN14/gr/000004119,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5106b653-34ce-568b-a589-321045ea8df2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3326,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3326/N,443d95f3-e455-5e8a-8463-56421a30fb26,BE-ANN14/gr/000003326,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/443d95f3-e455-5e8a-8463-56421a30fb26'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4549,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4549/N,44f316c0-2c66-508d-a47e-3fe71e01064e,BE-ANN14/gr/000004549,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/44f316c0-2c66-508d-a47e-3fe71e01064e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3776,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3776/N,675ad524-cfb6-5d06-9684-ac3f31dd37ec,BE-ANN14/gr/000003776,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/675ad524-cfb6-5d06-9684-ac3f31dd37ec'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2864,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2864/N,fd86a9ca-697e-5d44-9605-1832fe5b4d74,BE-ANN14/gr/000002864,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/fd86a9ca-697e-5d44-9605-1832fe5b4d74'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:284,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:284/N,720fd76d-d5a6-5e2b-b964-dbd86d71de31,BE-ANN14/gr/000000284,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/720fd76d-d5a6-5e2b-b964-dbd86d71de31'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3263,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3263/N,6db128d1-86f3-5b4c-9d24-b3eacf525c6f,BE-ANN14/gr/000003263,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6db128d1-86f3-5b4c-9d24-b3eacf525c6f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:791,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:791/N,037309f8-8f5b-5f37-8044-6ce5455e61ee,BE-ANN14/gr/000000791,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/037309f8-8f5b-5f37-8044-6ce5455e61ee'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3799,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3799/N,32e4eb8d-a113-5c79-a6c7-a4fccf150f52,BE-ANN14/gr/000003799,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/32e4eb8d-a113-5c79-a6c7-a4fccf150f52'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3633,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3633/N,c64486c7-ca7c-50cb-a364-d6818b775779,BE-ANN14/gr/000003633,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c64486c7-ca7c-50cb-a364-d6818b775779'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2921,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2921/N,b30d8240-2015-58a6-908f-bdd8020b27d0,BE-ANN14/gr/000002921,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b30d8240-2015-58a6-908f-bdd8020b27d0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2472,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2472/N,e47c3249-7620-578a-a233-18d69d472267,BE-ANN14/gr/000002472,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e47c3249-7620-578a-a233-18d69d472267'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2188,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2188/N,1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,BE-ANN14/gr/000002188,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2022,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2022/N,2e48946a-6634-5a76-a87d-0d025b40e35e,BE-ANN14/gr/000002022,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/2e48946a-6634-5a76-a87d-0d025b40e35e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
