ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,db,record.id,record_uuid,source_place_name,source_au_uuid,match_id,record_id,Creation Place Widget,Creation Place Note,Creation Place Note Language,Creation Place Note Type,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andréas de Weerdt,constructed titles,Dutch (language),,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:1196,https://data.letterenhuis.be/ark:/24970/01173118-1065-5ac0-95a5-84cd3d650f70,Beeldhouwwerken,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,2053,In Copyright
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_CreationActors,,,au::9691,,,,lh,lhsc,Object,baecc7d9-6355-530f-8abd-ce1539329632,ar,artists (visual artists),au::9691:1,au::9691g:1,,"dlod={""suggest"":[""/agents/people/1036937"",""au::9691"",""au::9691:1"",""ark:/83110/x0/baecc7d9-6355-530f-8abd-ce1539329632"",""Oscar Jespers""],""name"":""Oscar Jespers"",""ark"":""ark:/83110/x0/baecc7d9-6355-530f-8abd-ce1539329632"",""uri"":""/agents/people/1036937"",""id"":""au::9691:1"",""isCapacity"":false}",ark:/83110/x0/baecc7d9-6355-530f-8abd-ce1539329632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_DepictedItems,,,au::15416,,,,lh,,,756fe14c-35c0-5588-b436-201ea0881a38,kw,,au::15416:1,au::15416g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1649512"",""au::15416"",""au::15416:1"",""ark:/83110/x0/756fe14c-35c0-5588-b436-201ea0881a38"",""Lodewijk de Raet""],""name"":""Lodewijk de Raet"",""ark"":""ark:/83110/x0/756fe14c-35c0-5588-b436-201ea0881a38"",""uri"":""/agents/people/1649512"",""id"":""au::15416:1"",""isCapacity"":false}",ark:/83110/x0/756fe14c-35c0-5588-b436-201ea0881a38,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000574,referentienummer,False,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1196,brocade id,False,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:1196/N,brocade url,False,,,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2969c4f6-c9c1-5e50-b73f-7750f86206bb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3273c7b1-5bfe-48bb-959f-fdad3d74d0d0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
01173118-1065-5ac0-95a5-84cd3d650f70,tg:lhsc:1196,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodewijk de Raet,constructed titles,Dutch (language),,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:945,https://data.letterenhuis.be/ark:/24970/0132a4ce-d78f-5f35-b607-75a7bd6d5179,Beeldhouwwerken,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,e73_DepictedItems,,,au::17799,,,,lh,,,247e719e-494a-57ff-9807-6ae2f352503b,kw,,au::17799:1,au::17799g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1904493"",""au::17799"",""au::17799:1"",""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""Stijn Streuvels""],""name"":""Stijn Streuvels"",""ark"":""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""uri"":""/agents/people/1904493"",""id"":""au::17799:1"",""isCapacity"":false}",ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000331,referentienummer,False,,,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:945,brocade id,False,,,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:945/N,brocade url,False,,,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,,e73_LegacyInformation,2,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Schenking Ol. Guillierme, 9.4.1943</p>
",herkomst,False,,,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fda62aa5-6dc8-521a-8ba5-a3353d4c1c10"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fbd8d6f6-ce6e-41ee-8cbd-662c9858a06a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afdruk rechterhand (bij leven) van Stijn Streuvels,constructed titles,Dutch (language),,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:913,https://data.letterenhuis.be/ark:/24970/015d1f00-d835-52fb-9d6f-ff0fee809287,Beeldhouwwerken,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,e73_CreationActors,,,au::9508,,,,lh,lhsc,Object,c4ba3cb0-605d-583a-84da-0479ac98670f,ar,artists (visual artists),au::9508:1,au::9508g:1,,"dlod={""suggest"":[""/agents/people/1017356"",""au::9508"",""au::9508:1"",""ark:/83110/x0/c4ba3cb0-605d-583a-84da-0479ac98670f"",""Jef Jacobs""],""name"":""Jef Jacobs"",""ark"":""ark:/83110/x0/c4ba3cb0-605d-583a-84da-0479ac98670f"",""uri"":""/agents/people/1017356"",""id"":""au::9508:1"",""isCapacity"":false}",ark:/83110/x0/c4ba3cb0-605d-583a-84da-0479ac98670f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,e73_DepictedItems,,,au::13075,,,,lh,,,67b78ec4-0a19-5856-99a3-7fdb36d5ef22,kw,,au::13075:1,au::13075g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1399025"",""au::13075"",""au::13075:1"",""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""Pol de Mont""],""name"":""Pol de Mont"",""ark"":""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""uri"":""/agents/people/1399025"",""id"":""au::13075:1"",""isCapacity"":false}",ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000300,referentienummer,False,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:913,brocade id,False,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:913/N,brocade url,False,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,,e73_LegacyInformation,3,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Geschonken door Frits de Mont op 2 juli 1940.</p>
",herkomst,False,,,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d31c4d95-fe9b-5d60-bac4-358dc7992ceb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3aa01a32-b9bb-4ea8-9284-b9e04d39d0eb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
015d1f00-d835-52fb-9d6f-ff0fee809287,tg:lhsc:913,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pol de Mont,constructed titles,Dutch (language),,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhob:40,https://data.letterenhuis.be/ark:/24970/0198ad6d-839b-5d92-b4d0-0297d2c31de4,Voorwerpen,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
0198ad6d-839b-5d92-b4d0-0297d2c31de4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ob/000000019,referentienummer,False,,,,,,,,,,,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhob:40,brocade id,False,,,,,,,,,,,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhob:40/N,brocade url,False,,,,,,,,,,,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""31dfa36d-f2d1-5e71-a794-2fc8c579bfd0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cd23c752-1014-4d74-84d5-00403263ae61"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,e73_OriginalBrocade,,,au::14638,,,,lh,,,5e2182d8-f53a-5458-a31e-3b8df1776e93,kw,,au::14638:1,au::14638g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1566266"",""au::14638"",""au::14638:1"",""ark:/83110/x0/5e2182d8-f53a-5458-a31e-3b8df1776e93"",""Hugues C. Pernath""],""name"":""Hugues C. Pernath"",""ark"":""ark:/83110/x0/5e2182d8-f53a-5458-a31e-3b8df1776e93"",""uri"":""/agents/people/1566266"",""id"":""au::14638:1"",""isCapacity"":false}",ark:/83110/x0/5e2182d8-f53a-5458-a31e-3b8df1776e93,agent,,,,,,,,,,,,
0198ad6d-839b-5d92-b4d0-0297d2c31de4,tg:lhob:40,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zonnebril,titles proper,Dutch (language),,,,,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,tg:lhsc:804,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:804,https://data.letterenhuis.be/ark:/24970/01adf1b1-0645-5f49-b26f-e3ecc7f88346,Beeldhouwwerken,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,tg:lhsc:804,e73_CreationActors,,,au::4378,,,,lh,lhsc,Object,a1e4fc05-d7fd-53af-9c76-c118efb1637d,ar,artists (visual artists),au::4378:1,au::4378g:1,,"dlod={""suggest"":[""/agents/people/468446"",""au::4378"",""au::4378:1"",""ark:/83110/x0/a1e4fc05-d7fd-53af-9c76-c118efb1637d"",""Joan Baptist Coomans""],""name"":""Joan Baptist Coomans"",""ark"":""ark:/83110/x0/a1e4fc05-d7fd-53af-9c76-c118efb1637d"",""uri"":""/agents/people/468446"",""id"":""au::4378:1"",""isCapacity"":false}",ark:/83110/x0/a1e4fc05-d7fd-53af-9c76-c118efb1637d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,tg:lhsc:804,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
01adf1b1-0645-5f49-b26f-e3ecc7f88346,tg:lhsc:804,e73_DepictedItems,,,au::4333,,,,lh,,,ebd00cc4-2119-5474-b6ef-42b56014bfd9,kw,,au::4333:1,au::4333g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/463631"",""au::4333"",""au::4333:1"",""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""Hendrik Conscience""],""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""uri"":""/agents/people/463631"",""id"":""au::4333:1"",""isCapacity"":false}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000196,referentienummer,False,,,,,,,,,,,,,,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:804,brocade id,False,,,,,,,,,,,,,,,,,,
01adf1b1-0645-5f49-b26f-e3ecc7f88346,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:804/N,brocade url,False,,,,,,,,,,,,,,,,,,
