ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,adm.id_mat,adm.inv,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,a60c900f-d19a-5e08-b98d-da1146aa582f,au::47449,printers (people),"dlod={""name"":""L. Slootmans"",""ark"":""ark:/83110/x0/a60c900f-d19a-5e08-b98d-da1146aa582f"",""uri"":""/agents/corporate_entities/17997"",""id"":""au::47449"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a60c900f-d19a-5e08-b98d-da1146aa582f,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:53667_#1,https://data.letterenhuis.be/ark:/24970/0163a78c-6e57-55a2-b179-54ab752983ff
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92937,"dlod={""name"":""Affiches i.v.m. Frans Mertens"",""ark"":""ark:/24970/x0/3ea5053d-8cab-5709-b8e7-435c7db3d003"",""uri"":""/repositories/11/archival_objects/313259"",""id"":""isad:lh:92937"",""nameWithContext"":[""Verzamelingen"",""Affiches""],""resourceName"":""Archief van Frans Mertens"",""resourceArk"":""ark:/24970/x0/e18ec883-2404-59eb-af2d-36f941eec16f"",""resourceURI"":""/repositories/11/resources/3903"",""resourceID"":""isad:lh:70705"",""capacity"":""Affiches i.v.m. Frans Mertens"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/3ea5053d-8cab-5709-b8e7-435c7db3d003,,,,,,,,,,,,,,,,,,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,84 x 61,,,,,,,,,,,84 x 61,,,,,,,,,,,,,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,840.0,hoogte,millimeter,,,,,,,,,,,,,,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,610.0,breedte,millimeter,,,,,,,,,,,,,,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:53667_#1,,M 51648 / A,0163a78c-6e57-55a2-b179-54ab752983ff,,isad:lh:92937,,,,,,,,,
0163a78c-6e57-55a2-b179-54ab752983ff,tg:lhps:53667_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,11b1ac56-55dc-536a-8257-c7d597323dc5,au::45602,printers (people),"dlod={""name"":""Papeteries de Genval"",""ark"":""ark:/83110/x0/11b1ac56-55dc-536a-8257-c7d597323dc5"",""uri"":""/agents/corporate_entities/22936"",""id"":""au::45602"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/11b1ac56-55dc-536a-8257-c7d597323dc5,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:24679_#1,https://data.letterenhuis.be/ark:/24970/01885d60-ffd2-5ac6-9261-915ea2f2c17e
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_AcquisitionNumbers,1,,,,225212/2566,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_Acquisitions,1,tr:lh:7875,"dlod={""name"":""Schenking van Openluchtmuseum der Beeldhouwkunst Middelheim"",""ark"":""ark:/24970/x0/dfe90014-bf65-5856-a851-07c3bb48894c"",""uri"":""/repositories/11/accessions/13903"",""id"":""tr:lh:7875"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/dfe90014-bf65-5856-a851-07c3bb48894c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92200,"dlod={""name"":""Affiches (verzameling)"",""ark"":""ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769"",""uri"":""/repositories/11/archival_objects/178219"",""id"":""isad:lh:92200"",""nameWithContext"":[""Verzamelingen"",""Affiches""],""resourceName"":""Affichecollectie van Openluchtmuseum der Beeldhouwkunst Middelheim"",""resourceArk"":""ark:/24970/x0/da0a5bd5-6d91-50a1-92c4-d7fbd16e71fd"",""resourceURI"":""/repositories/11/resources/2327"",""resourceID"":""isad:lh:92197"",""capacity"":""Affiches (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769,,,,,,,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"84,5 x 59,5",,,,,,,,,,,"84,5 x 59,5",,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,845.0,hoogte,millimeter,,,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,595.0,breedte,millimeter,,,,,,,,,,,,,,,,
01885d60-ffd2-5ac6-9261-915ea2f2c17e,tg:lhps:24679_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:24679_#1,225212/2566,O 3369 / A (CM1569),01885d60-ffd2-5ac6-9261-915ea2f2c17e,tr:lh:7875,isad:lh:92200,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:364_#1,https://data.letterenhuis.be/ark:/24970/01cc942d-2b34-57db-bfd5-3d2260ba33eb
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_AcquisitionNumbers,1,,,,236649,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,60 x 40,,,,,,,,,,,60 x 40,,,,,,,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,600.0,hoogte,millimeter,,,,,,,,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,400.0,breedte,millimeter,,,,,,,,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:364_#1,236649,A 357 / A,01cc942d-2b34-57db-bfd5-3d2260ba33eb,,,,,,,,,,,
01cc942d-2b34-57db-bfd5-3d2260ba33eb,tg:lhps:364_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,4c42ba96-e8b5-57ce-8cfc-d65d96c55da1,au::44440,printers (people),"dlod={""name"":""Mertens"",""ark"":""ark:/83110/x0/4c42ba96-e8b5-57ce-8cfc-d65d96c55da1"",""uri"":""/agents/corporate_entities/15746"",""id"":""au::44440"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4c42ba96-e8b5-57ce-8cfc-d65d96c55da1,,,
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:3564_#2,https://data.letterenhuis.be/ark:/24970/01e7f0bf-816b-5b17-9d49-430d1ac5d86a
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,e22_AcquisitionNumbers,2,,,,239997,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,60 x 40,,,,,,,,,,,60 x 40,,,,,,,,,,,,,,,
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,600.0,hoogte,millimeter,,,,,,,,,,,,,,,,
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,400.0,breedte,millimeter,,,,,,,,,,,,,,,,
01e7f0bf-816b-5b17-9d49-430d1ac5d86a,tg:lhps:3564_#2,e22_Items,2,,,,,,,,,,,,,,,,,,,tg:lhps:3564_#2,239997,H 67355 / A,01e7f0bf-816b-5b17-9d49-430d1ac5d86a,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:32417_#1,https://data.letterenhuis.be/ark:/24970/01f1b6c4-6563-55df-895f-ec6667c3d0a6
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_AcquisitionNumbers,1,,,,225272/327,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_AnnotationsMaterial,1,,,,,,note.lhalg,"<p>Aankondiging van het tijdschrift &quot;The Pocket Magazine&quot;</p>
<p>Kleurenlitho: rood, olijfgroen; monogram l.o. &quot;LJR&quot;, toegeschreven aan Louis<br />
John Rhead</p>
<p>pub: Das frühe Plakat, I, p. 120, nr 465</p>
","<p>Aankondiging van het tijdschrift &quot;The Pocket Magazine&quot;</p>
<p>Kleurenlitho: rood, olijfgroen; monogram l.o. &quot;LJR&quot;, toegeschreven aan Louis<br />
John Rhead</p>
<p>pub: Das frühe Plakat, I, p. 120, nr 465</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92873,"dlod={""name"":""Aankoop Henri Grell (1914)"",""ark"":""ark:/24970/x0/3261f836-1b4f-54de-a827-75d0c490d29e"",""uri"":""/repositories/11/archival_objects/271765"",""id"":""isad:lh:92873"",""resourceName"":""Affichecollectie van Museum Vleeshuis"",""resourceArk"":""ark:/24970/x0/f6c95b67-ed69-5283-93e0-66c4960b34da"",""resourceURI"":""/repositories/11/resources/3452"",""resourceID"":""isad:lh:92216"",""capacity"":""Aankoop Henri Grell (1914)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/3261f836-1b4f-54de-a827-75d0c490d29e,,,,,,,,,,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_Carrier,1,,,,,,kenmerken.lhdragerps,ddo,,,,,,,canvas (textile material),,,,,,,,,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"44,5 x 30,5 (Linnen: 48,3 x 34,4)",,,,,,,,,,,"44,5 x 30,5 (Linnen: 48,3 x 34,4)",,,,,,,,,,,,,,,
01f1b6c4-6563-55df-895f-ec6667c3d0a6,tg:lhps:32417_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:32417_#1,225272/327,"AV.14.6.327 (LK VII,5)",01f1b6c4-6563-55df-895f-ec6667c3d0a6,,isad:lh:92873,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:33620_#1,https://data.letterenhuis.be/ark:/24970/0207ab1c-dbd3-5b51-9fb4-790e11ff1479
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_AcquisitionNumbers,1,,,,225272/1516,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_AnnotationsMaterial,1,,,,,,note.lhalg,"<p>Kleurenlithografie; gesign. r.o. &quot;L. Cappiello&quot;</p>
<p>pub: Jack Rennert, <em>Cappiello - The Posters of Leonetto Cappiello</em>, p. 47</p>
","<p>Kleurenlithografie; gesign. r.o. &quot;L. Cappiello&quot;</p>
<p>pub: Jack Rennert, <em>Cappiello - The Posters of Leonetto Cappiello</em>, p. 47</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92873,"dlod={""name"":""Aankoop Henri Grell (1914)"",""ark"":""ark:/24970/x0/3261f836-1b4f-54de-a827-75d0c490d29e"",""uri"":""/repositories/11/archival_objects/271765"",""id"":""isad:lh:92873"",""resourceName"":""Affichecollectie van Museum Vleeshuis"",""resourceArk"":""ark:/24970/x0/f6c95b67-ed69-5283-93e0-66c4960b34da"",""resourceURI"":""/repositories/11/resources/3452"",""resourceID"":""isad:lh:92216"",""capacity"":""Aankoop Henri Grell (1914)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/3261f836-1b4f-54de-a827-75d0c490d29e,,,,,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Carrier,1,,,,,,kenmerken.lhdragerps,ddo,,,,,,,canvas (textile material),,,,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,150 x 110,,,,,,,,,,,150 x 110,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,1500.0,hoogte,millimeter,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,1100.0,breedte,millimeter,,,,,,,,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:33620_#1,225272/1516,AV.14.6.1449,0207ab1c-dbd3-5b51-9fb4-790e11ff1479,,isad:lh:92873,,,,,,,,,
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,2b3e43f9-699a-5190-8827-ba8fb7d55778,au::59644,printers (people),"dlod={""name"":""Vercasson \u0026 Cie"",""ark"":""ark:/83110/x0/2b3e43f9-699a-5190-8827-ba8fb7d55778"",""uri"":""/agents/corporate_entities/21384"",""id"":""au::59644"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2b3e43f9-699a-5190-8827-ba8fb7d55778,,,
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:52685_#1,https://data.letterenhuis.be/ark:/24970/024f2890-740d-54b6-94a0-16d45bc39970
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,e22_Acquisitions,1,tr:lh:110342,"dlod={""name"":""Affichecollectie verzameld door het Muziekcentrum Vlaanderen"",""ark"":""ark:/24970/x0/a1d60a67-ed22-57d5-8bac-25228bbfa3e2"",""uri"":""/repositories/11/accessions/15710"",""id"":""tr:lh:110342"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/a1d60a67-ed22-57d5-8bac-25228bbfa3e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"59,5 x 42",,,,,,,,,,,"59,5 x 42",,,,,,,,,,,,,,,
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,595.0,hoogte,millimeter,,,,,,,,,,,,,,,,
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,420.0,breedte,millimeter,,,,,,,,,,,,,,,,
024f2890-740d-54b6-94a0-16d45bc39970,tg:lhps:52685_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:52685_#1,,BB 177 / A,024f2890-740d-54b6-94a0-16d45bc39970,tr:lh:110342,,,,,,,,,,
