ResourceID,brocade.id,card,order,Production Technique Type,source_code
664bf011-d18f-5436-a928-be74b5427ede,tg:rubgr:2360,ProductionTechniques,1,handwriting,dtrvnt
5a3db888-9512-5944-bcc7-2a03a5f972bb,tg:rubgr:187,ProductionTechniques,2,handwriting,dtrvnt
9bf2387e-4aa1-5d5b-9f20-fb5632d1a1ff,tg:rubgr:2361,ProductionTechniques,1,handwriting,dtrvnt
2f740096-4fcd-5b8f-8fc5-6aa789509a1b,tg:rubgr:1326,ProductionTechniques,1,handwriting,dtrvnt
ab3c6373-ec39-5b84-973f-80b85e4c6f22,tg:rubgr:4344,ProductionTechniques,1,handwriting,dtrvnt
ab3c6373-ec39-5b84-973f-80b85e4c6f22,tg:rubgr:4344,ProductionTechniques,2,printing (process),dtrvod
4fa9643d-e296-549e-9932-84a73acd50de,tg:rubgr:1644,ProductionTechniques,1,handwriting,dtrvnt
5b4191e2-42f7-5ec0-8687-1d47b5e88dd2,tg:rubgr:2183,ProductionTechniques,1,handwriting,dtrvnt
c190da6f-c557-5b54-a9af-690240693b2c,tg:rubgr:667,ProductionTechniques,1,handwriting,dtrvnt
ed1e30ad-59b9-5cfb-95f5-23f4dd5f4315,tg:rubgr:2357,ProductionTechniques,1,handwriting,dtrvnt
e30b0447-8732-5fb7-99a0-2bebdc885e5b,tg:rubgr:2212,ProductionTechniques,1,handwriting,dtrvnt
594ec211-c9fc-5dde-bcd5-8828f6df077b,tg:rubgr:69,ProductionTechniques,1,handwriting,dtrvnt
57a86521-224c-565c-a6d3-a170094b045d,tg:rubgr:1283,ProductionTechniques,1,handwriting,dtrvnt
cb4ed68f-9a06-56a3-9ae4-a0a500ee34d0,tg:rubgr:2155,ProductionTechniques,1,handwriting,dtrvnt
5365a24f-38cc-5bfd-9384-47f5c2b2fa18,tg:rubgr:2293,ProductionTechniques,1,handwriting,dtrvnt
2da92245-dd1c-50a4-9895-6f9116343b76,tg:rubgr:1647,ProductionTechniques,1,handwriting,dtrvnt
1b592d00-21b3-5f2c-960a-602561c351d0,tg:rubgr:2084,ProductionTechniques,1,handwriting,dtrvnt
493dcdaa-3c8c-5f54-9b9c-1668f0e0fb0a,tg:rubgr:2179,ProductionTechniques,1,handwriting,dtrvnt
09d39614-36b5-5378-b81b-f7ce4dd33d9e,tg:rubgr:2315,ProductionTechniques,1,handwriting,dtrvnt
52b7229d-bfb4-5fdc-b35a-30c2b1065ed4,tg:rubgr:2180,ProductionTechniques,1,handwriting,dtrvnt
9e4d6ca9-2fd3-5a18-9b86-619ef451100c,tg:rubgr:2303,ProductionTechniques,1,handwriting,dtrvnt
bb26df9f-54d2-51bd-afce-9316c08c6e91,tg:rubgr:1333,ProductionTechniques,1,handwriting,dtrvnt
c2e997a1-7449-5a06-b469-dc1892089fbd,tg:rubgr:2374,ProductionTechniques,1,handwriting,dtrvnt
7fdc3a92-d820-5f53-b01a-8a3fe4bb2e74,tg:rubgr:691,ProductionTechniques,1,handwriting,dtrvnt
d7b4392a-9999-5d7a-b1c6-51d7ca60c42d,tg:rubgr:1889,ProductionTechniques,1,handwriting,dtrvnt
3ae93005-502b-5adb-b644-d5a9c2f8cf08,tg:rubgr:1827,ProductionTechniques,1,handwriting,dtrvnt
95ab0658-9ace-56ec-9feb-cdf971f8c4f5,tg:rubgr:2359,ProductionTechniques,1,handwriting,dtrvnt
dabf88e3-ea8f-5b95-a6f9-308aedd28788,tg:rubgr:2174,ProductionTechniques,1,handwriting,dtrvnt
a4ddacc9-3fa0-50c8-84c8-9ad12f5a01d2,tg:rubgr:2436,ProductionTechniques,1,handwriting,dtrvnt
099bdc25-6a29-5a27-a2a6-9f1c6eaf8cfe,tg:rubgr:1324,ProductionTechniques,1,handwriting,dtrvnt
68c96a1d-6e16-55f9-b38e-aa29a07ff7dd,tg:rubgr:2375,ProductionTechniques,1,handwriting,dtrvnt
70b41165-9e3b-5ff3-8df6-783b5b71d41a,tg:rubgr:2288,ProductionTechniques,1,handwriting,dtrvnt
a8498d0e-f9bc-50a1-972c-9b235413c959,tg:rubgr:2302,ProductionTechniques,1,handwriting,dtrvnt
e1cd69d2-8276-5776-98ce-5fdeb3d84629,tg:rubgr:2251,ProductionTechniques,1,handwriting,dtrvnt
b67d38dc-75ba-567b-92ff-a3cdf6de74c4,tg:rubgr:1884,ProductionTechniques,1,handwriting,dtrvnt
57a1a325-4bb7-58fe-9aee-d918ae2cb244,tg:rubgr:1754,ProductionTechniques,1,handwriting,dtrvnt
922f50c6-f2a7-5ba4-aa80-6fc860aafa64,tg:rubgr:1646,ProductionTechniques,1,handwriting,dtrvnt
c9636db2-836e-5e54-a156-a6b2b909ac97,tg:rubgr:2085,ProductionTechniques,1,handwriting,dtrvnt
4e29a38d-14bf-5e25-b911-447e6ef1f898,tg:rubgr:2154,ProductionTechniques,1,handwriting,dtrvnt
ec6a0911-dbe6-5be9-ad2a-68531ffbf2d0,tg:rubgr:2396,ProductionTechniques,1,handwriting,dtrvnt
36323ad6-183f-5a12-aa3f-27c2e756c9eb,tg:rubgr:1698,ProductionTechniques,1,handwriting,dtrvnt
c1fab97a-12c9-5836-9e2b-810db3ae52e3,tg:rubgr:2734,ProductionTechniques,2,handwriting,dtrvnt
95497ada-2a0e-51c4-a1e3-6bb082105e2b,tg:rubgr:2333,ProductionTechniques,1,handwriting,dtrvnt
a460f5bc-5af8-5916-846d-89494f7e7e3e,tg:rubgr:2348,ProductionTechniques,1,handwriting,dtrvnt
86962bd8-0a87-5cec-91fc-9da48b075bdd,tg:rubgr:2309,ProductionTechniques,1,handwriting,dtrvnt
e82587e5-dc98-5ada-b31f-309046254ecb,tg:rubgr:2165,ProductionTechniques,1,handwriting,dtrvnt
6d447429-85a8-567e-8387-142cb0625760,tg:rubgr:926,ProductionTechniques,1,handwriting,dtrvnt
569486e9-f421-5c70-b873-6923405a270b,tg:rubgr:1694,ProductionTechniques,1,handwriting,dtrvnt
b5d0cd83-4d3e-5187-88a0-0be47fffc829,tg:rubgr:1944,ProductionTechniques,1,handwriting,dtrvnt
5e3da9a4-b604-5bf1-ad1f-26c25b6fb953,tg:rubgr:2411,ProductionTechniques,1,handwriting,dtrvnt
22ebc023-6a5f-553b-858a-87caac427453,tg:rubgr:2368,ProductionTechniques,1,handwriting,dtrvnt
83eba31a-fb9a-50b3-a740-38e1a8c698a6,tg:rubgr:2153,ProductionTechniques,1,handwriting,dtrvnt
cdbb4d33-a044-5a24-b3cf-3ff1e03dd09a,tg:rubgr:2446,ProductionTechniques,1,handwriting,dtrvnt
c8a69b94-fe29-5607-8b04-ba7cb219a936,tg:rubgr:2295,ProductionTechniques,1,handwriting,dtrvnt
d6e771e8-1e58-5e6d-9000-d239ea086b59,tg:rubgr:875,ProductionTechniques,1,handwriting,dtrvnt
eeca19a5-c28c-50f1-84dd-48e03620d129,tg:rubgr:55,ProductionTechniques,1,handwriting,dtrvnt
4ef3efa1-6a95-5846-9040-626b22161aea,tg:rubgr:2190,ProductionTechniques,1,handwriting,dtrvnt
c1188e32-f56f-53a2-a74a-4e89fffcd21f,tg:rubgr:1600,ProductionTechniques,1,handwriting,dtrvnt
2febb1fc-d862-5bb0-a421-5e76a03529e0,tg:rubgr:1315,ProductionTechniques,1,handwriting,dtrvnt
219ef250-ab1b-5670-88f1-0fc80fe7438c,tg:rubgr:2305,ProductionTechniques,1,handwriting,dtrvnt
2e8255db-80f3-551d-86a3-09dca678188a,tg:rubgr:2304,ProductionTechniques,1,handwriting,dtrvnt
0e271133-2775-51bb-b8c8-bf39ae7a85f1,tg:rubgr:1601,ProductionTechniques,1,handwriting,dtrvnt
27f8d9cc-6b3c-5501-8b69-d65faef9ecfb,tg:rubgr:1314,ProductionTechniques,1,handwriting,dtrvnt
909dd6c9-4c09-518a-8b4d-df59722e1f8e,tg:rubgr:2312,ProductionTechniques,1,handwriting,dtrvnt
78b2dbbf-9f13-504f-a27d-53c8b5267d77,tg:rubgr:2152,ProductionTechniques,1,handwriting,dtrvnt
a2348c10-9923-5dfd-9f2c-7aa3c0fe6f0a,tg:rubgr:1945,ProductionTechniques,1,handwriting,dtrvnt
3a9f1d7c-4091-5592-bf28-4c55e52eba26,tg:rubgr:1318,ProductionTechniques,1,handwriting,dtrvnt
6cdf19b3-066b-5698-ab61-c22938999f31,tg:rubgr:2164,ProductionTechniques,1,handwriting,dtrvnt
a3785722-e3a1-548f-b06d-78674a5a55d6,tg:rubgr:2308,ProductionTechniques,1,handwriting,dtrvnt
07ce82de-1427-522a-9104-eb4115abce36,tg:rubgr:2060,ProductionTechniques,1,handwriting,dtrvnt
1fa17693-cbd8-5182-93f6-14a1b39ad5f6,tg:rubgr:2298,ProductionTechniques,1,handwriting,dtrvnt
f839be95-3ed3-55c9-a1b0-b97395b17845,tg:rubgr:1699,ProductionTechniques,1,handwriting,dtrvnt
ddc618c4-b2dc-5f55-a936-9783958df595,tg:rubgr:1363,ProductionTechniques,1,handwriting,dtrvnt
e70c7306-8412-58aa-8bd7-db2c66f18832,tg:rubgr:751,ProductionTechniques,1,handwriting,dtrvnt
ca38b0fa-c16e-511f-a489-5efbd547255c,tg:rubgr:1334,ProductionTechniques,1,handwriting,dtrvnt
