Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Format Dimension,Format Type,Sheet Numbers,Sheeet Type,Page Numbers,Page Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubhs:139,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:139/N,facadc33-bdd7-54fd-8c35-a3156f280ad9,BE-ANN14/hs/RA001/122/080,Handgeschreven,"15,7 x 10 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/facadc33-bdd7-54fd-8c35-a3156f280ad9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:61,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:61/N,8ba8ffac-3c35-5178-85a8-0df0924a37f1,BE-ANN14/hs/RA001/122/011,Handgeschreven,"17 x 10,5 x 0,6",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/8ba8ffac-3c35-5178-85a8-0df0924a37f1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:181,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:181/N,71cefda3-be50-508c-a98e-c9c552369f73,BE-ANN14/hs/RA001/122/118,Handgeschreven,"19 x 11 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/71cefda3-be50-508c-a98e-c9c552369f73'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:36,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:36/N,013db479-4b8e-51d9-8e5d-793832023bda,BE-ANN14/hs/RA001/001/32,Handgeschreven,"11,7 x 7,7 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/013db479-4b8e-51d9-8e5d-793832023bda'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:119,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:119/N,cf13a37b-d8f8-5092-8ccb-56c26be682eb,BE-ANN14/hs/RA001/122/060,Handgeschreven,"7 x 11 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/cf13a37b-d8f8-5092-8ccb-56c26be682eb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:41,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:41/N,fb58236a-34ca-5dce-9524-4234b548880e,BE-ANN14/hs/RA001/001/37,Handgeschreven,"14 x 9,5 x 1,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/fb58236a-34ca-5dce-9524-4234b548880e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:16,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:16/N,ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,BE-ANN14/hs/RA001/001/12,Handgeschreven,"12,8 x 8,5 x 0,6",Maximum,80,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:158,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:158/N,76405c8e-f119-5338-99fc-65a0be468e3b,BE-ANN14/hs/RA001/122/097,Handgeschreven,"16,5 x 10 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/76405c8e-f119-5338-99fc-65a0be468e3b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:57,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:57/N,db03d75c-f6bd-560e-a0bc-701dccd7cdac,BE-ANN14/hs/RA001/122/007,Handgeschreven,"16,5 x 10,5 x 1,5",Maximum,,,159,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/db03d75c-f6bd-560e-a0bc-701dccd7cdac'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:174,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:174/N,1575e60d-ff57-5aa7-8698-f8ab175402dd,BE-ANN14/hs/RA001/122/111,Handgeschreven,"16,5 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/1575e60d-ff57-5aa7-8698-f8ab175402dd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:94,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:94/N,a3efe53b-777c-5c27-8fac-b2ab7e054028,BE-ANN14/hs/RA001/122/044,Handgeschreven,16 x 10 x 1,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/a3efe53b-777c-5c27-8fac-b2ab7e054028'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:123,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:123/N,e8f343b6-5e7d-5204-bb58-d426e6016269,BE-ANN14/hs/RA001/122/064,Handgeschreven,"7 x 11 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e8f343b6-5e7d-5204-bb58-d426e6016269'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:82,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:82/N,4b9d89fc-1d97-5e7e-8e3d-7fa0a5b7c1fc,BE-ANN14/hs/RA001/122/032,Handgeschreven,"10 x 15,5 x 0,6",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/4b9d89fc-1d97-5e7e-8e3d-7fa0a5b7c1fc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:6,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:6/N,b412a4ae-4325-5a90-83f0-e809116a7f9e,BE-ANN14/hs/RA001/001/2,Handgeschreven,"13,3 x 8,2 x 0,5",Maximum,40,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b412a4ae-4325-5a90-83f0-e809116a7f9e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:135,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:135/N,e84587f9-c4ac-5f8d-bf98-256295b41cde,BE-ANN14/hs/RA001/122/076,Handgeschreven,"15,5 x 9,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e84587f9-c4ac-5f8d-bf98-256295b41cde'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:162,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:162/N,bba95541-b953-51cb-bb30-06349e54c4d3,BE-ANN14/hs/RA001/122/099,Handgeschreven,"16,5 x 10 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/bba95541-b953-51cb-bb30-06349e54c4d3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:163,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:163/N,4d430dc5-68c5-5556-9ddc-4b9041c573e9,BE-ANN14/hs/RA001/122/100,Handgeschreven,"12,5 x 8,5 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/4d430dc5-68c5-5556-9ddc-4b9041c573e9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:83,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:83/N,6ba58e6a-c5aa-528d-8223-0cdeecb3d481,BE-ANN14/hs/RA001/122/033,Handgeschreven,"17 x 12 x 0,3",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6ba58e6a-c5aa-528d-8223-0cdeecb3d481'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:134,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:134/N,7c225786-d095-55ee-8d80-eaf75ab82926,BE-ANN14/hs/RA001/122/075,Handgeschreven,"16,5 x 10 x 1,7",Maximum,,,118,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/7c225786-d095-55ee-8d80-eaf75ab82926'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:95,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:95/N,c9314aa8-f637-5d3d-aab1-b5a856601641,BE-ANN14/hs/RA001/002/001,Handgeschreven,"19 x 12 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c9314aa8-f637-5d3d-aab1-b5a856601641'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:122,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:122/N,80ddb6da-09ba-512d-a340-2a29e29da93e,BE-ANN14/hs/RA001/122/063,Handgeschreven,"7 x 11 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/80ddb6da-09ba-512d-a340-2a29e29da93e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:175,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:175/N,9d985d63-cbb7-5c4a-aa79-18748d76f47e,BE-ANN14/hs/RA001/122/112,Handgeschreven,"17,5 x 11,5 x 1,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/9d985d63-cbb7-5c4a-aa79-18748d76f47e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:56,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:56/N,654d6d97-997d-555f-ad89-c11f184b9917,BE-ANN14/hs/RA001/122/006,Handgeschreven,"15,8 x 10 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/654d6d97-997d-555f-ad89-c11f184b9917'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:159,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:159/N,3ac3e81b-bc7e-5499-ac45-6389e06c6ec1,BE-ANN14/hs/RA001/122/098,Handgeschreven,"17 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/3ac3e81b-bc7e-5499-ac45-6389e06c6ec1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:17,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:17/N,bb580b69-be01-550d-9ef8-8ecd9a1e9dc4,BE-ANN14/hs/RA001/001/011,Handgeschreven,"12,5 x 8,5 x 0,7",Maximum,60,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/bb580b69-be01-550d-9ef8-8ecd9a1e9dc4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:118,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:118/N,a7b7dfe7-8bff-58b8-b9a6-7d85258ad951,BE-ANN14/hs/RA001/122/059,Handgeschreven,"7 x 11 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/a7b7dfe7-8bff-58b8-b9a6-7d85258ad951'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:40,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:40/N,302dadda-bf64-5ec1-b32b-5bfdc490fc08,BE-ANN14/hs/RA001/001/36,Handgeschreven,"13 x 8,7 x 2",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/302dadda-bf64-5ec1-b32b-5bfdc490fc08'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:180,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:180/N,1f7c8be3-70e8-5048-ace7-65dcbee30cdd,BE-ANN14/hs/RA001/122/117,Handgeschreven,16 x 10 x 2,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/1f7c8be3-70e8-5048-ace7-65dcbee30cdd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:37,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:37/N,5454dcb4-ee56-5ff9-ab6c-9f8a28f1b745,BE-ANN14/hs/RA001/001/33,Handgeschreven,"12,7 x 8,6 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5454dcb4-ee56-5ff9-ab6c-9f8a28f1b745'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:138,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:138/N,568eb2b2-e872-5bd4-b883-d45041fbf573,BE-ANN14/hs/RA001/122/079,Handgeschreven,16 x 10 x 2,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/568eb2b2-e872-5bd4-b883-d45041fbf573'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:60,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:60/N,75577ba0-3510-5f3a-a847-8e835bbcf15b,BE-ANN14/hs/RA001/122/010,Handgeschreven,16 x 10 x 1,Maximum,,,25,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/75577ba0-3510-5f3a-a847-8e835bbcf15b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:211,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:211/N,2f639716-8718-5e72-a485-c6e0b0ec814c,BE-ANN14/hs/RA001/122/141,Handgeschreven,"24,7 x 18,8 x 2,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/2f639716-8718-5e72-a485-c6e0b0ec814c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:99,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:99/N,3bad7f9e-001c-5157-aaad-666a587bcb81,BE-ANN14/hs/RA001/002/004,Handgeschreven,"17 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/3bad7f9e-001c-5157-aaad-666a587bcb81'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:76,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:76/N,5154fddb-09a7-5763-a247-6619b67a6a9d,BE-ANN14/hs/RA001/122/026,Handgeschreven,"16,5 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5154fddb-09a7-5763-a247-6619b67a6a9d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:207,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:207/N,67b63eb1-4d26-5a98-aa53-0bb599a0920e,BE-ANN14/hs/RA001/122/137,Handgeschreven,"22 x 16,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/67b63eb1-4d26-5a98-aa53-0bb599a0920e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:196,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:196/N,e11971b7-5b6c-5359-9502-f436522362e4,BE-ANN14/hs/RA001/122/126,Handgeschreven,"20 x 13 x 1,3",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e11971b7-5b6c-5359-9502-f436522362e4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:179,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:179/N,ba53b791-7b7d-54c1-ab97-d87002a8a91d,BE-ANN14/hs/RA001/122/116,Handgeschreven,16 x 10 x 2,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/ba53b791-7b7d-54c1-ab97-d87002a8a91d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:21,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:21/N,9393531a-c279-5330-a028-1eaad6505039,BE-ANN14/hs/RA001/001/17,Handgeschreven,"11,2 x 7,5 x 1",Maximum,120,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/9393531a-c279-5330-a028-1eaad6505039'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:102,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:102/N,d609fecc-495a-59f3-aea5-37d40adc6052,BE-ANN14/hs/RA001/002/007,Handgeschreven,"17 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/d609fecc-495a-59f3-aea5-37d40adc6052'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:155,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:155/N,27533568-4345-51b9-a141-691a47ff01e0,BE-ANN14/hs/RA001/122/094,Handgeschreven,"16 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/27533568-4345-51b9-a141-691a47ff01e0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
