brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type
tg:rubhs:28,b8dc72da-ef79-56ae-83a1-392fe8d16013,Items,1,isad:rub:314,,,RA 001 / 001,24,Nederlands,Noot
tg:rubhs:170,1be503ea-dd3a-5275-91d0-e41d1bc02f28,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,107,Nederlands,Noot
tg:rubhs:53,396d9030-f603-5a4d-88e1-4a1190d86187,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,3,Nederlands,Noot
tg:rubhs:12,03322c74-e03a-5d1f-beac-0b05e87d0a1f,Items,1,isad:rub:314,,,RA 001 / 001,8,Nederlands,Noot
tg:rubhs:45,b2d6e750-f8ac-5088-bd1f-f73776d665e5,Items,1,isad:rub:314,,,RA 001 / 001,41,Nederlands,Noot
tg:rubhs:32,b5da3516-de0b-58ee-ac85-45fdf878d635,Items,1,isad:rub:314,,,RA 001 / 001,28,Nederlands,Noot
tg:rubhs:185,d10435c2-73d4-50c6-b560-e69d428e9a83,Items,1,isad:rub:1107,T 2 20 2,T 2 20 2,RA 001 / 003,1,Nederlands,Noot
tg:rubhs:65,d43eb5ca-58dd-59c7-9a3b-6f79751297c9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,15,Nederlands,Noot
tg:rubhs:214,458021ac-32d3-5dd9-91b6-8c165064acdf,Items,1,isad:rub:314,,,RA 001 / 001,3,Nederlands,Noot
tg:rubhs:73,eb18bae2-09d9-5d6d-b2a6-ea518b7eee12,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,23,Nederlands,Noot
tg:rubhs:202,e6a0a787-5a3b-52c9-8583-7837c18f6d5f,Items,1,isad:rub:911,,,RA 001 / 122,132,Nederlands,Noot
tg:rubhs:24,5faa1eb2-5d3a-59c5-94c7-41873d211d30,Items,1,isad:rub:314,,,Ra 001 / 001,20,Nederlands,Noot
tg:rubhs:193,e51eb822-e3e2-5a4f-a122-78a38f179bd6,Items,1,isad:rub:911,,,RA 001 / 122,123,Nederlands,Noot
tg:rubhs:107,d1e5fdae-1c99-5051-bcd6-eeb10544c27b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,48,Nederlands,Noot
tg:rubhs:150,b0d8c4ac-9577-5f33-be38-1f3fc5fa4a1b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,90,Nederlands,Noot
tg:rubhs:146,c841b542-4e43-53f0-8620-d3dfc17dfd6f,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,86,Nederlands,Noot
tg:rubhs:49,75047aef-c244-5ec3-847e-32db85f0a72f,Items,1,isad:rub:314,,,RA 001 / 001,45,Nederlands,Noot
tg:rubhs:111,269cd29b-9b7e-5d01-bac2-e53aa005792a,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,52,Nederlands,Noot
tg:rubhs:48,bb73f2d7-05b4-5c90-b428-1ff2e1dac739,Items,1,isad:rub:314,,,RA 001 / 001,44,Nederlands,Noot
tg:rubhs:110,b3f40f5e-25d3-57f8-b1be-193b5b5afa07,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,51,Nederlands,Noot
tg:rubhs:147,e19d6016-6de8-52f7-89c6-abd31b37120f,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,87,Nederlands,Noot
tg:rubhs:151,cd73145f-4b0e-5d51-95ca-e8133f93cbee,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,91,Nederlands,Noot
tg:rubhs:106,e3f76a05-f91c-5ead-b6b6-19aaf05b4722,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,47,Nederlands,Noot
tg:rubhs:25,b94c9251-d3a4-532f-ba4e-470c528dc483,Items,1,isad:rub:314,,,RA 001 / 001,21,Nederlands,Noot
tg:rubhs:203,710de3b2-01c6-5757-b609-34bde322a124,Items,1,isad:rub:911,,,RA 001 / 122,133,Nederlands,Noot
tg:rubhs:72,07aa31db-cafd-5a95-8d34-e1a31ef66bad,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,22,Nederlands,Noot
tg:rubhs:215,35c29247-ff60-5792-ae69-d95c4b40aa5a,Items,1,isad:rub:314,,,RA 001 / 001,4,Nederlands,Noot
tg:rubhs:64,06091ed7-7f00-5c87-b75d-bc3c42d422c1,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,14,Nederlands,Noot
tg:rubhs:33,73e0688a-2baa-5062-b858-447b0ca453cc,Items,1,isad:rub:314,,,RA 001 / 001,29,Nederlands,Noot
tg:rubhs:184,9bf33f5e-af29-5d24-9ccd-c31c35e18a45,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,121,Nederlands,Noot
tg:rubhs:44,2c26cff8-3a61-521f-803e-bc4524c3f5c6,Items,1,isad:rub:314,,,RA 001 / 001,40,Nederlands,Noot
tg:rubhs:13,54d52cfc-258c-568a-9bd5-3eba376d5ded,Items,1,isad:rub:314,,,RA 001 / 001,9,Nederlands,Noot
tg:rubhs:52,7070f9cc-d99a-5d50-a5e8-313604832c73,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,2,Nederlands,Noot
tg:rubhs:29,ea4966cf-ff6f-59e2-b617-9ef3a577e04f,Items,1,isad:rub:314,,,RA 001 / 001,25,Nederlands,Noot
tg:rubhs:171,98ea238d-43b8-531c-ac18-c215f018db56,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,108,Nederlands,Noot
tg:rubhs:126,fbfdb4db-8642-5512-b87f-c16b54471bd9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,67,Nederlands,Noot
tg:rubhs:91,f9fad658-00a4-524b-bd89-6029367758dc,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,41,Nederlands,Noot
tg:rubhs:68,3250f9ad-7a2f-5f76-bd96-2bb4d3abcea5,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,18,Nederlands,Noot
tg:rubhs:130,e415c72d-c912-5ca4-b4c4-13d35818ba50,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,71,Nederlands,Noot
tg:rubhs:87,c8de16ec-31f2-5b12-9718-450e360a0516,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,Ra 001 / 122,37,Nederlands,Noot
tg:rubhs:219,362d2b3f-ff1e-5ef1-b7ab-4e44f28a893d,Items,1,isad:rub:3292,,,,RA 006 / 009,Nederlands,Noot
tg:rubhs:167,b374fac0-f650-535b-89e5-3c27efdb5bfb,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,104,Nederlands,Noot
tg:rubhs:34,82b8de86-ff89-5b6f-a7d1-5c037ea34a11,Items,1,isad:rub:314,,,RA 001 / 001,30,Nederlands,Noot
tg:rubhs:183,49892431-bc2a-50f8-96c0-ccb9f4b359cf,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,120,Nederlands,Noot
tg:rubhs:63,4e37693b-e937-5536-ad55-9c21d86cee53,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,13,Nederlands,Noot
tg:rubhs:75,bf1ea677-dc81-5e11-997c-658e291849eb,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,25,Nederlands,Noot
tg:rubhs:204,63470bbd-1ac7-5b2c-a570-6ccf1abf7c7b,Items,1,isad:rub:911,,,RA 001 / 122,134,Nederlands,Noot
tg:rubhs:22,da5d40cc-feda-5437-be6f-2898179f56c8,Items,1,isad:rub:314,,,RA 001 / 001,18,Nederlands,Noot
tg:rubhs:195,35420d49-1920-5358-a302-f91893728def,Items,1,isad:rub:911,,,RA 001 / 122,125,Nederlands,Noot
tg:rubhs:59,3f377f02-e7c5-5b6e-992c-aef5050aa0d4,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,9,Nederlands,Noot
tg:rubhs:101,64e24d91-5997-55c1-92cf-9666e5a8e1b4,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,6,Nederlands,Noot
tg:rubhs:156,66ee24ad-bccd-555b-bda2-3fd81b481e90,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,95,Nederlands,Noot
tg:rubhs:18,87474395-b13a-597b-821b-be7ae3d6d461,Items,1,isad:rub:314,,,RA 001 / 001,14,Nederlands,Noot
tg:rubhs:117,65b839f9-12bc-57af-9d30-e6f61655a6d9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,58,Nederlands,Noot
tg:rubhs:38,71627245-8df3-5bfa-a9ff-5dd5f397f28d,Items,1,isad:rub:314,,,RA 001 / 001,34,Nederlands,Noot
tg:rubhs:137,6c774a55-ac69-59f8-93a0-b1be0c7a230d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,78,Nederlands,Noot
tg:rubhs:80,ebc83518-f60b-5f0c-b64c-80c6387a73d0,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,30,Nederlands,Noot
tg:rubhs:208,a928c7a8-04c3-5484-9d94-e11d0e2c2f4b,Items,1,isad:rub:911,,,RA 001 / 122,138,Nederlands,Noot
tg:rubhs:79,f3c7e972-bd15-5ea5-a80f-88f304395901,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,29,Nederlands,Noot
tg:rubhs:121,9bad62a0-8708-586c-af29-72c95b19d67d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,62,Nederlands,Noot
tg:rubhs:96,ec73332b-329b-53aa-9605-2b7ab293c964,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,2,Nederlands,Noot
