brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Warehouse Location (begin),Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhaq:8989,a2a341c3-e2ce-5391-90b5-c592faf6680e,Items,1,tr:lh:7497,197413/12,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8966,fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,Items,1,tr:lh:7497,197412/41,isad:lh:95953,S 5621 / I (Doos 2),"De rol van de oom van Dierik, werd door de acteur Marcel Hendrickx vertolkt.",,,,Nederlands,Noot
tg:lhaq:6539,00e0fbdd-4572-51d8-b853-f22d4051ec6e,Items,1,,100122/3b,,Planex GT / B 186,,,,,Nederlands,Noot
tg:lhaq:8874,4402b862-8185-50ce-a227-ce7e540c8105,Items,1,tr:lh:7497,197408/84,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9273,47bf8d11-d5db-5792-acd2-fa9915b9b2ef,Items,1,tr:lh:7087,177573,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:8931,0582cb82-8673-5f25-bd9f-584a0c57386f,Items,1,tr:lh:7497,197411/16,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Peter, een dienaar van Capulet, werd  door de acteur Maurits Goossens vertolkt.",,,,Nederlands,Noot
tg:lhaq:8675,d9193347-1e9b-5a41-90fb-c85a862668a8,Items,1,tr:lh:2339,44074/12,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8360,522c53e9-263a-5c6b-8b47-5128f198b1de,Items,1,,215082/11,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:9121,38a00c02-f0d7-5265-8a98-002a2d3fc11d,Items,1,tr:lh:9862,219084/b,,Planex KP / G 395,,,,,Nederlands,Noot
tg:lhaq:8788,6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,Items,1,tr:lh:7087,177576,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8788,6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,Items,2,tr:lh:7497,197406/4,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:2385,b71db4b7-0e93-5438-8cee-966fd1130158,Items,1,,202842,isad:lh:95922,SC 49 E 1,,,,,Nederlands,Noot
tg:lhaq:9033,67cc776d-eded-52ef-9013-f8d16406c585,Items,1,tr:lh:7497,197415/32,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8767,10089a08-cd5d-53fc-ae98-dad45dba721f,Items,1,,174222/23,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6846,735a394a-dd03-5cd0-b1e8-50b90936b68c,Items,1,tr:lh:7634,212577/2,isad:lh:132095,Planex GT 905,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,,Nederlands,Noot
tg:lhaq:7304,0f633b29-fd17-5e80-9cf5-a0d271042edf,Items,1,tr:lh:5300,104358/19,isad:lh:96017,V 444 / I,Op achterzijde kleine geometrische schets.,,,,Nederlands,Noot
tg:lhaq:8858,4b5f5db5-2980-5218-bad4-6157a2478f9b,Items,1,tr:lh:7497,197408/70,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9025,f52547bc-ebcc-5b6a-983a-5182fc56891c,Items,1,tr:lh:7497,197415/26,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8634,e8715f8e-49b4-5b10-b814-f99d31b7b461,Items,1,,101014,,V 152245 / I (Planex GT),,,,,Nederlands,Noot
tg:lhaq:8771,fcfa0ff9-6c11-5143-954c-8aaa3ec15a61,Items,1,,174222/27,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6850,cc0bf213-92e5-52af-a983-50c2cccd5464,Items,1,tr:lh:6511,160062/3,isad:lh:96010,Planex GT 905,,,,,Nederlands,Noot
tg:lhaq:8399,b8ea5fbc-ef22-518d-b0f1-49279177881f,Items,1,,215082/46,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:9137,25edab14-c8f7-5c2c-95df-f46300929ace,Items,1,tr:lh:9930,218018/5,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,,Nederlands,Noot
tg:lhaq:8376,a9823bd0-44f5-52b0-ab1d-9472b05fa644,Items,1,,215082/23,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:7579,546b9481-aa6b-59c7-bc5b-a340bb13d42d,Items,1,tr:lh:5702,109861/33,isad:lh:100726,P 7385 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:4569,7a65585b-4499-59a9-8d3d-b33a0a3e3048,Items,1,tr:lh:5448,106948/4,isad:lh:95963,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:6943,b4aef652-88e9-5147-9e48-dc9af836824f,Items,1,,76467/2,,SC 49 C 1,"**Opvoering:** KNS van Antwerpen van af 13-09-1930, de regie was van Joris
Diels.

Drie tekeningen (76467/1-3) in éen langwerpige kader.",,,,Nederlands,Noot
tg:lhaq:8818,712aa656-f276-5bdd-8681-9d2edab83871,Items,1,tr:lh:7497,197408/34,isad:lh:95953,S 5621 / I (Doos 2),De rol van Priester of Pastoor werd door de acteur Lode van Beek vertolkt.,,,,Nederlands,Noot
tg:lhaq:8398,6d7e651b-9d88-59b5-a3e6-3d8b9b30d067,Items,1,,215082/45,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8662,a36e92c5-0f8a-5561-ba97-6654acbb820f,Items,1,tr:lh:2190,41400/A,isad:lh:95924,Planex GT,,,,,Nederlands,Noot
tg:lhaq:9136,69ea3836-b1a2-53be-9eb0-d11034ec422f,Items,1,tr:lh:9930,218018/4,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,,Nederlands,Noot
tg:lhaq:5115,41b98cdd-3991-5d41-b1b6-0d8e86ec28b1,Items,1,,115882/3,,V 36657 / I,,,,,Nederlands,Noot
tg:lhaq:8377,6054f13c-ad14-5163-8f30-a0e324ae892b,Items,1,,215082/24,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:7578,0214fbdf-6684-5a9f-9305-d3d03e7ed43f,Items,1,tr:lh:5702,109861/32,isad:lh:100726,P 7385 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:6851,d353168e-e8e7-5cda-945e-b06c7b2b4a26,Items,1,tr:lh:6511,160062/4,isad:lh:96010,Planex GT 905,,,,,Nederlands,Noot
tg:lhaq:9024,40d447db-e4f1-519f-8f54-81cffc776631,Items,1,tr:lh:7497,197415/14,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8320,94e4a2d5-834c-5458-a4ce-7b0d1d71fb0d,Items,1,tr:lh:1987,37028/17,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:8770,df3cf8c4-8782-5dae-96a1-8ba31d234e91,Items,1,,174222/26,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6847,8977eddf-762b-5d0b-91dc-10b43a4ff8ea,Items,1,tr:lh:7634,212577/3,isad:lh:132095,Planex GT 905,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,,Nederlands,Noot
tg:lhaq:5338,368a9b70-d698-5a26-b004-aa52a7f4f787,Items,1,tr:lh:7356,195658/17,isad:lh:95976,H 538 / I,,,,,Nederlands,Noot
tg:lhaq:8859,051851a8-de19-5fae-8d1e-fded9d099cda,Items,1,tr:lh:7497,197408/69,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:2384,16a9eb62-6a5c-534c-bd97-c9856db68280,Items,1,,202841,isad:lh:95922,SC 49 E 1,Kunstenaar M.T.,,,,Nederlands,Noot
tg:lhaq:8789,79592f66-3e85-59b6-86ea-d1a7d0ff4338,Items,1,tr:lh:7497,197407/17,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9032,441fd62b-f45d-589b-b967-e6058f13c382,Items,1,tr:lh:7497,197415/34,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8766,007c9074-f043-5cce-bfed-bb701cfd548c,Items,1,,174222/22,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:2691,bdabe72c-eb4d-5c91-afa6-73cf63a7d13f,Items,1,tr:lh:6975,174236/1a,,A 18647 / I,,,,,Nederlands,Noot
tg:lhaq:3311,6ca9d290-2da1-5252-8516-d622dfc72cc1,Items,1,tr:lh:2681,53534/4,isad:lh:95949,Planex GP / H 5252 (doos 1),,,,,Nederlands,Noot
tg:lhaq:2629,0fdc281e-9752-5f57-9f62-56bfdcfe24a9,Items,1,tr:lh:5190,102771/4,isad:lh:95930,Planex GT / S,,,,,Nederlands,Noot
tg:lhaq:8674,05c52c61-a548-5f23-8a06-316fd4a837b1,Items,1,tr:lh:2339,44074/11,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8361,2aeb4991-67f4-53e0-bfd4-d8a70de34f53,Items,1,,215082/12,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8875,e815e902-eae4-56f8-96c8-75581a34e074,Items,1,tr:lh:7497,197408/85A,isad:lh:95953,S 5621 / I (Doos 2),De rol van bedelaar werd door de acteur Toon Brouwers vertolkt.,,,,Nederlands,Noot
tg:lhaq:6884,501b238f-d4fd-540b-871e-58aa7f3ab6d9,Items,1,,174218/1,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, oktober 1942

**Regie:** Joris Diels",,,,Nederlands,Noot
tg:lhaq:9272,b1a5249e-303f-5e48-89be-9f24a47f7e50,Items,1,tr:lh:7087,177567,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:8930,28c6beb6-5d39-5eb6-ba48-355cd032c85c,Items,1,tr:lh:7497,197411/15,isad:lh:95953,S 5621 / I (Doos 2),De rol van de Voedster van Julia werd  door de actrice Jeanne de Coen vertolkt.,,,,Nederlands,Noot
tg:lhaq:8571,52af5ed1-07c1-56e5-bf6c-6a700fc03ab2,Items,1,,215880/37,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:7542,79203454-833f-53fb-9a93-d2ae7232b14e,Items,1,tr:lh:5702,109863/1,isad:lh:100726,P 7385 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:6646,d47b5803-6d6a-5213-8130-d1b2685fa9d3,Items,1,tr:lh:7281,179864/13,isad:lh:96004,Planex GT / CC 201,,,,,Nederlands,Noot
tg:lhaq:9376,30a08090-6407-528c-b5df-d5a0adc4f5d5,Items,1,tr:lh:1217,,isad:lh:125154,D 89 / I (Map 1),,,,,Nederlands,Noot
tg:lhaq:8834,fe5263f1-2f5e-5ae8-896d-96c85039aabf,Items,1,tr:lh:7497,197408/50,isad:lh:95953,S 5621 / I (Doos 2),"De rollen van snollen werden door de actrices Marilou Mermans, Martha de Wachter en Tine Balder vertolkt.",,,,Nederlands,Noot
tg:lhaq:8567,21903495-259f-547d-b838-4af760477160,Items,1,,215880/33,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8072,38d27616-e096-5ec3-a76a-6655e34689b5,Items,1,,142650,,SC 08 E 2,,,,,Nederlands,Noot
tg:lhaq:9399,c0776009-11b9-5872-83f1-68dfb9b9ae7a,Items,1,tr:lh:5068,,isad:lh:138658,C 2756 / I (Planex GT),,,,,Nederlands,Noot
tg:lhaq:8971,fa9d99c3-8302-50b6-bb41-7ca29a79623f,Items,1,tr:lh:7497,197412/45,isad:lh:95953,S 5621 / I (Doos 2),De rol van de oom van Dierik werd door de acteur Marcel Hendrickx vertolkt.,,,,Nederlands,Noot
tg:lhaq:8926,4d062601-3044-5a15-8e74-1f5f932db9b3,Items,1,tr:lh:7497,197411/11,isad:lh:95953,S 5621 / I (Doos 2),De rol van Montague werd  door de acteur Free Waeles vertolkt.,,,,Nederlands,Noot
tg:lhaq:6892,2df7e58d-1308-5562-a1ce-c307787b4b01,Items,1,,174215/2,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, mei 1943

**Regie:** Joris Diels",,,,Nederlands,Noot
tg:lhaq:9008,e625361a-de20-56b3-9a45-64c2abe4079d,Items,1,tr:lh:7497,197413/32,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8394,2408849f-099c-5a51-9183-59018e2c6b51,Items,1,,215082/41,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8681,ec2ca4fc-6551-5ef0-9716-5fed7b4258b5,Items,1,tr:lh:2339,44074/18,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8402,c52f258b-05e0-5fe2-892a-d0eaa8d7b3e5,Items,1,,215082/49,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8547,d1010bec-1453-5404-b4d7-e1182d02c1d6,Items,1,,215880/17,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:7348,826d744f-1e33-5169-874b-f6f0cde769b1,Items,1,tr:lh:5300,104358/8b,isad:lh:96017,V 444 / I,Op achterkant gelijkaardig aquarel.,,,,Nederlands,Noot
tg:lhaq:8793,505e0b5c-1f77-5f57-9bed-daf42810853c,Items,1,tr:lh:7497,197407/21,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:2371,269cee99-d826-53fd-9b86-2161b159e369,Items,1,,76436,,SC 49 C 1,,,,,Nederlands,Noot
tg:lhaq:8906,d9302f84-2e8d-5168-bffd-88ca481c673d,Items,1,tr:lh:7497,197410/3,isad:lh:95953,S 5621 / I (Doos 2),De rol van Kopecka werd door de actrice Yolande Markey  vertolkt.,,,,Nederlands,Noot
tg:lhaq:8785,d1ac254b-fed4-5c93-ae87-6e24876d4ec9,Items,1,tr:lh:7497,197406/2,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:5508,d5a72e80-e210-5238-8fff-06fbd9869fee,Items,1,tr:lh:7876,213470/1,isad:lh:95980,W 7562 / I,,,,,Nederlands,Noot
tg:lhaq:1398,d2ec5af7-2128-5a68-935f-16cbbdc30394,Items,1,tr:lh:5006,99191/22,isad:lh:95916,Planex KP / A 2875,Op postkaart gestuurd aan Jef Alpaerts,,,,Nederlands,Noot
tg:lhaq:8910,1c4318d7-6f9d-5ba2-ba12-1ed4163a336c,Items,1,tr:lh:7497,197410/7,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9317,b39099c6-a388-5af8-8626-0f145d08bd43,Items,1,tr:lh:9314,221035,isad:lh:96060,Planex GP / N 123,Kunstenaar: Max Van Dam.,,,,Nederlands,Noot
tg:lhaq:8855,398b321c-d4df-5398-988d-07c22137a0ee,Items,1,tr:lh:7497,197408/66,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:8506,8b9934e0-ddf2-50f4-abb0-dac0c392145e,Items,1,,215879/26,,Planex GT / T 292,,,,,Nederlands,Noot
tg:lhaq:7309,916d5ab5-de0e-50b9-86fc-f59e684d2a46,Items,1,tr:lh:5300,104358/14,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
