Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Carrier Colour,Temporary Location Note,Production Technique Keywords,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhaq:9402,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9402/N,b2bbf28f-a732-5f52-be4c-4e3a67ca9678,BE-ANN07/aq/000000647,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b2bbf28f-a732-5f52-be4c-4e3a67ca9678'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8985,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8985/N,f051649c-2a76-5b5a-8afd-6f3b95716bc4,BE-ANN07/aq/000000534,Karton,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f051649c-2a76-5b5a-8afd-6f3b95716bc4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:5122,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:5122/N,2a009e82-1442-52f3-bdde-255bd25a5b29,BE-ANN07/aq/000000077,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2a009e82-1442-52f3-bdde-255bd25a5b29'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9414,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9414/N,77b0399b-e866-5c0f-97b5-3aa876feeb5a,BE-ANN07/aq/000000659,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/77b0399b-e866-5c0f-97b5-3aa876feeb5a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8878,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8878/N,b115a4c2-902f-58fd-bf56-710a9ed715cc,BE-ANN07/aq/000000457,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b115a4c2-902f-58fd-bf56-710a9ed715cc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8897,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8897/N,1c2549b2-f726-5e8d-b9d9-6024da36156d,BE-ANN07/aq/000000473,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1c2549b2-f726-5e8d-b9d9-6024da36156d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6889,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6889/N,29cd2b73-2d47-5785-883a-989c4e9de3b6,BE-ANN07/aq/000000150,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/29cd2b73-2d47-5785-883a-989c4e9de3b6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:7261,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:7261/N,2889da1d-de01-506d-a2b8-86ab9eaf34d7,BE-ANN07/aq/000000168,Papier,,KP 15a,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2889da1d-de01-506d-a2b8-86ab9eaf34d7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8747,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8747/N,090a8e15-d13b-556d-9d94-a248ac6264bf,BE-ANN07/aq/000000375,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/090a8e15-d13b-556d-9d94-a248ac6264bf'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8317,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8317/N,473c6aab-df61-5f40-bbb3-628e05adfba3,BE-ANN07/aq/000000210,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/473c6aab-df61-5f40-bbb3-628e05adfba3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9013,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9013/N,135c55d1-f7f0-5ed0-ac20-77c41a3026c4,BE-ANN07/aq/000000559,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/135c55d1-f7f0-5ed0-ac20-77c41a3026c4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:4066,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:4066/N,3427e823-4487-5f09-a8b8-0a62308a7afa,BE-ANN07/aq/000000058,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3427e823-4487-5f09-a8b8-0a62308a7afa'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8550,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8550/N,7c078dc8-7219-5041-974a-d43d540d22fb,BE-ANN07/aq/000000293,Gekleurd Papier,,,"gouache, aquarel, oost-indische inkt en potlood op papier",Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7c078dc8-7219-5041-974a-d43d540d22fb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:4123,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:4123/N,262ab269-588a-565f-9fff-7b4d784fe26a,BE-ANN07/aq/000000063,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/262ab269-588a-565f-9fff-7b4d784fe26a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8383,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8383/N,397cdc4d-1877-5ff1-aea4-d5699678eec6,BE-ANN07/aq/000000249,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/397cdc4d-1877-5ff1-aea4-d5699678eec6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8679,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8679/N,e9b2a80c-720e-5fb9-88c6-7dca2e80d611,BE-ANN07/aq/000000342,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e9b2a80c-720e-5fb9-88c6-7dca2e80d611'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9068,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9068/N,da23c11e-76c1-5d41-bc0d-4654a90f4146,BE-ANN07/aq/000000590,Karton,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/da23c11e-76c1-5d41-bc0d-4654a90f4146'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:20,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:20/N,977c1be7-d310-596c-adf3-46f76e4317a7,BE-ANN07/aq/000000001,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/977c1be7-d310-596c-adf3-46f76e4317a7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8696,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8696/N,9c28a607-05e3-5d17-bea8-9dba2f73b252,BE-ANN07/aq/000000357,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/9c28a607-05e3-5d17-bea8-9dba2f73b252'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:1399,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:1399/N,4bddeb9c-33d5-5850-a47c-c9d9b051c50f,BE-ANN07/aq/000000006,Karton,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4bddeb9c-33d5-5850-a47c-c9d9b051c50f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8911,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8911/N,9b000f80-5b64-5386-992c-edf855837ac7,BE-ANN07/aq/000000486,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/9b000f80-5b64-5386-992c-edf855837ac7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8854,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8854/N,9abd95fd-1030-5479-8146-b6d6efc1c2ad,BE-ANN07/aq/000000434,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/9abd95fd-1030-5479-8146-b6d6efc1c2ad'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8784,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8784/N,5c3c5c94-0899-5cf3-9203-2f45ab429ca0,BE-ANN07/aq/000000405,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5c3c5c94-0899-5cf3-9203-2f45ab429ca0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:5509,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:5509/N,8b0c07b1-b052-570b-bca7-98f8d7fba377,BE-ANN07/aq/000000097,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8b0c07b1-b052-570b-bca7-98f8d7fba377'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8907,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8907/N,d26759cd-338b-529c-b7b2-93481776dced,BE-ANN07/aq/000000482,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d26759cd-338b-529c-b7b2-93481776dced'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8842,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8842/N,145c5f0a-bb6c-52ca-b04e-873c5c0615b5,BE-ANN07/aq/000000424,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/145c5f0a-bb6c-52ca-b04e-873c5c0615b5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8792,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8792/N,5c1e09e9-31d5-570e-9050-94a70b3f39d9,BE-ANN07/aq/000000412,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5c1e09e9-31d5-570e-9050-94a70b3f39d9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6626,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6626/N,1beea900-3308-5a4d-9492-8a60f728f42d,BE-ANN07/aq/000000120,Karton,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1beea900-3308-5a4d-9492-8a60f728f42d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:2370,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:2370/N,3e4916c8-11e1-57a6-b7f5-adcd826f7bae,BE-ANN07/aq/000000012,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3e4916c8-11e1-57a6-b7f5-adcd826f7bae'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8403,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8403/N,dcc55afd-62ec-50f4-8a26-7f808b7735ba,BE-ANN07/aq/000000269,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/dcc55afd-62ec-50f4-8a26-7f808b7735ba'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:4565,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:4565/N,5e937a35-f83b-5d43-9f13-29afb0ff6951,BE-ANN07/aq/000000067,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5e937a35-f83b-5d43-9f13-29afb0ff6951'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8546,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8546/N,7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,BE-ANN07/aq/000000289,Gekleurd Papier,,,"gouache, aquarel, oost-indische inkt en potlood op papier",Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7c729a34-ba1a-58f8-a6ce-69f7c86f50d7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:2632,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:2632/N,52738c98-5867-5d59-906c-9ba1046e26c3,BE-ANN07/aq/000000028,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/52738c98-5867-5d59-906c-9ba1046e26c3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8395,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8395/N,54b8899f-fe69-58b3-bf28-58ce7abca638,BE-ANN07/aq/000000261,Papier,Okergeel,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/54b8899f-fe69-58b3-bf28-58ce7abca638'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8680,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8680/N,06c48f40-7010-5f14-bbd5-02802f6b0a5a,BE-ANN07/aq/000000343,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/06c48f40-7010-5f14-bbd5-02802f6b0a5a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:5548,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:5548/N,0cccfe13-5966-514f-988a-6d35cc081d04,BE-ANN07/aq/000000100,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/0cccfe13-5966-514f-988a-6d35cc081d04'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9009,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9009/N,e833935d-27a6-5ffc-a736-109781e1f502,BE-ANN07/aq/000000555,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e833935d-27a6-5ffc-a736-109781e1f502'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8531,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8531/N,7441af4b-7744-54fb-a0f6-4036bed9cba9,BE-ANN07/aq/000000274,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7441af4b-7744-54fb-a0f6-4036bed9cba9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8862,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8862/N,b1ce90f6-e392-5335-b3bd-669a5c58aee7,BE-ANN07/aq/000000442,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b1ce90f6-e392-5335-b3bd-669a5c58aee7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8927,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8927/N,bf88cfb6-f431-5418-a71f-a37074a5f5f7,BE-ANN07/aq/000000500,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/bf88cfb6-f431-5418-a71f-a37074a5f5f7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6893,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6893/N,207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,BE-ANN07/aq/000000154,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:2583,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:2583/N,01582bee-3c39-5ada-b2be-121bcba0b779,BE-ANN07/aq/000000024,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01582bee-3c39-5ada-b2be-121bcba0b779'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9377,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9377/N,407075f2-7ac8-5743-bab0-7bab26c3df34,BE-ANN07/aq/000000628,Papier,Gebroken Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/407075f2-7ac8-5743-bab0-7bab26c3df34'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8835,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8835/N,8a64f85a-b500-58e5-a6dc-81d241f27c55,BE-ANN07/aq/000000420,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8a64f85a-b500-58e5-a6dc-81d241f27c55'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
