brocade.id,ResourceID,card,order,Archive Note,Archive Note,Warehouse Location (begin),Serial Number,adm.note,Warehouse Location (ende),adm.note.language,adm.note.type
tg:rubgr:2872,1abc553b-befd-5a22-a2c4-d56419da9908,Items,1,AFG_086_130,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:3760,a7260df8-a873-5baa-8215-29583d82c2de,Items,1,AFG_098_068,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:768,229ba1fe-3025-5478-b1a6-9f3f120d29e8,Items,1,AFG_017_061,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:338,05ec1fa4-fab4-578d-91fb-022fb102f71c,Items,1,AFG_006_052,isad:rub:2936,,,,,Nederlands,remarks
tg:rubgr:2521,862a892d-c5b8-5f1f-83c5-ced9958e2748,Items,1,AFG_083_071,isad:rub:3013,,,,,Nederlands,remarks
tg:rubgr:2034,80d4588d-503e-560e-87a3-1d44db419649,Items,1,AFG_055_065,isad:rub:2985,,,,,Nederlands,remarks
tg:rubgr:4949,7b3bfad1-584f-5ca9-af95-510983fe9d91,Items,1,AFG_136_077,isad:rub:3058,,,,,Nederlands,remarks
tg:rubgr:2464,3cebb87f-6cb9-5949-aa14-cbfb10f15df2,Items,1,AFG_083_014,isad:rub:3013,,,,,Nederlands,remarks
tg:rubgr:2937,52185ea3-17c4-504e-b163-2e48d6bdb444,Items,1,AFG_086_195,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:1618,3fac2592-4423-55c8-8e66-739a4c60838f,Items,1,AFG_044_019,isad:rub:2974,,,,,Nederlands,remarks
tg:rubgr:3625,526b700f-e3fc-5e17-ab4a-85bf5a48780e,Items,1,AFG_097_071,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:787,01e63bde-b5f0-5f51-a022-8a0774f1d01c,Items,1,AFG_017_080,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:1248,c0bab8ac-de0e-5a75-af27-c180db8650b4,Items,1,AFG_030_012,isad:rub:2960,,,,,Nederlands,remarks
tg:rubgr:857,230a0b02-94ee-56b2-a90f-8e58ae40178f,Items,1,AFG_019_028,isad:rub:2949,,,,,Nederlands,remarks
tg:rubgr:1862,c0b60f8f-12af-51ae-8819-a872b42f41fa,Items,1,AFG_050_015,isad:rub:2980,,,,,Nederlands,remarks
tg:rubgr:4363,5a2c0228-5de3-58a4-b9d6-6ca44f3112b0,Items,1,AFG_111_158,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:1161,740c891c-0120-5e2e-82c5-e2ba7ec42b35,Items,1,AFG_026_007,isad:rub:2956,,,,,Nederlands,remarks
tg:rubgr:504,d5df4bff-2273-5e2a-ad2f-3a141849035c,Items,1,AFG_010_019,isad:rub:2940,,,,,Nederlands,remarks
tg:rubgr:1531,e252befe-b683-5741-9f3e-20e89db9f808,Items,1,AFG_041_005,isad:rub:2971,,,,,Nederlands,remarks
tg:rubgr:3019,e35d0ef8-cdd9-531e-96f3-c970b021768d,Items,1,AFG_089_019,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:1024,b6e33e93-997a-53cd-8edb-dee29dd632d7,Items,1,AFG_022_057,isad:rub:2952,,,,,Nederlands,remarks
tg:rubgr:3449,8e9f9d1b-40b8-59da-962d-e9b4f0d1ed34,Items,1,AFG_094_013,isad:rub:3020,,,,,Nederlands,remarks
tg:rubgr:1474,11484f99-ccf3-5fc1-9db3-7035560a602d,Items,1,AFG_038_080,isad:rub:2968,,,,,Nederlands,remarks
tg:rubgr:441,f8030d3e-7c70-567e-a6fc-93997443c2b8,Items,1,AFG_009_030,isad:rub:2939,,,,,Nederlands,remarks
tg:rubgr:4676,ba302184-385b-52f4-8bc2-95e48027f2d4,Items,1,AFG_122_014,isad:rub:3044,,,,,Nederlands,remarks
tg:rubgr:1927,992f645a-38f2-592a-939d-c449949edca5,Items,1,AFG_054_018,isad:rub:2984,,,,,Nederlands,remarks
tg:rubgr:912,c3acbb61-9caf-5d14-a4de-860ab704d52e,Items,1,AFG_020_025,isad:rub:2950,,,,,Nederlands,remarks
tg:rubgr:5067,c7e66fe7-33eb-5de9-bc10-d2ecc8c6bf6f,Items,1,AFG_141_005,isad:rub:3063,,,,,Nederlands,remarks
tg:rubgr:5319,1bdf25d0-ccff-5d0d-8a0e-507176920d33,Items,1,AFG_145_049,isad:rub:3068,,,,,Nederlands,remarks
tg:rubgr:2126,dae122f4-2002-5f16-aae8-9c06b9ec0464,Items,1,AFG_058_040,isad:rub:2988,,,,,Nederlands,remarks
tg:rubgr:4158,3449d19d-96a8-500e-862b-8a6a29cc9ca2,Items,1,AFG_109_038,isad:rub:3030,,,,,Nederlands,remarks
tg:rubgr:695,dac66ae3-5cc6-51f8-9f47-9153fd2f3b7b,Items,1,AFG_016_028,isad:rub:2946,,,,,Nederlands,remarks
tg:rubgr:3367,464e61bb-da61-51f6-bc53-bafe496f4fe2,Items,1,AFG_093_030,isad:rub:3019,,,,,Nederlands,remarks
tg:rubgr:4508,56ab6dca-0490-51e3-a944-314583817b88,Items,1,AFG_115_024,isad:rub:3036,,,,,Nederlands,remarks
tg:rubgr:2825,cf32b6ee-359f-516e-9bfe-30c16075c282,Items,1,AFG_086_083,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:3737,88eb0865-9a90-57f0-9b99-9637b00d3210,Items,1,AFG_098_045,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:3222,61ec8430-6d0e-585f-adc2-895e3984f41d,Items,1,AFG_091_026,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:380,5df1f967-bb5c-5f35-a6d9-2f1ecba745bf,Items,1,AFG_007_029,isad:rub:2937,,,,,Nederlands,remarks
tg:rubgr:2960,6d430051-6798-51ed-9305-f3a3c61904e8,Items,1,AFG_086_218,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:3672,6a9aeea9-31e4-5806-8ade-b058b788f941,Items,1,AFG_097_118,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:1566,3a43620a-2bac-5589-bb3f-ddfd6c335af4,Items,1,AFG_042_018,isad:rub:2972,,,,,Nederlands,remarks
tg:rubgr:103,f92af240-0dab-5612-af69-7bf1e4fca5de,Items,1,AFG_003_031,isad:rub:2933,,,,,Nederlands,remarks
tg:rubgr:5175,c5ec9665-0dff-51a7-98be-877fbfccf427,Items,1,AFG_143_054,isad:rub:3065,,,,,Nederlands,remarks
tg:rubgr:1835,10a5b042-d317-57ea-a06b-54dd6c1c2068,Items,1,AFG_049_008,isad:rub:2979,,,,,Nederlands,remarks
tg:rubgr:800,d15dbe74-83fa-5370-9b65-17269e351743,Items,1,AFG_017_093,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:945,d7f25001-8808-5a1e-a276-79ddc15266f5,Items,1,AFG_021_029,isad:rub:2951,,,,,Nederlands,remarks
tg:rubgr:1970,4df5c77e-ff3e-5376-9dbf-9e62791f746b,Items,1,AFG_055_001,isad:rub:2985,,,,,Nederlands,remarks
tg:rubgr:416,57e7a4a6-3968-5973-88ee-a479d1d247c6,Items,1,AFG_009_005,isad:rub:2939,,,,,Nederlands,remarks
tg:rubgr:4621,e5b73b74-f6d6-51e7-bef5-bf54db49ace1,Items,1,AFG_119_002,isad:rub:3040,,,,,Nederlands,remarks
tg:rubgr:1423,581fe53d-42a6-5af0-b2c2-c3b617436b75,Items,1,AFG_038_029,isad:rub:2968,,,,,Nederlands,remarks
tg:rubgr:4271,b82694f7-b33b-5007-a2d4-e3ef415c6c76,Items,1,AFG_111_066,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:1589,e19110fb-19df-5598-9fc7-5e85b73b2527,Items,1,AFG_043_010,isad:rub:2973,,,,,Nederlands,remarks
tg:rubgr:1073,124a951f-3caa-5d8f-b85c-e529e48e1764,Items,1,AFG_023_021,isad:rub:2953,,,,,Nederlands,remarks
tg:rubgr:1264,a5faaec0-e8c6-56a9-9d0d-8fcfc462b6b4,Items,1,AFG_033_002,isad:rub:2963,,,,,Nederlands,remarks
tg:rubgr:3259,2e1db667-0e6a-5ab6-b811-5e0eba212b79,Items,1,AFG_091_063,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:251,e8303114-b787-5416-8a90-34d0f6a2ea03,Items,1,AFG_005_015,isad:rub:2935,,,,,Nederlands,remarks
tg:rubgr:4066,476a46ba-23f6-58be-bbb3-fb03ffb5e69c,Items,1,AFG_106_051,isad:rub:3027,,,,,Nederlands,remarks
tg:rubgr:1634,10961998-faa7-58cc-a46f-ebf082530899,Items,1,AFG_044_035,isad:rub:2974,,,,,Nederlands,remarks
tg:rubgr:3609,6a125937-5e2f-508e-8522-e71cc55c963f,Items,1,AFG_097_055,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:601,ee2ee171-7e06-52a8-8cf7-0ffa28e77235,Items,1,AFG_013_004,isad:rub:2943,,,,,Nederlands,remarks
tg:rubgr:4436,809d33c7-06d0-5bf0-91d8-f29ed337b516,Items,1,AFG_112_043,isad:rub:3033,,,,,Nederlands,remarks
tg:rubgr:2018,de809ed4-f74a-5eab-bb3a-8eb8c0b260fd,Items,1,AFG_055_049,isad:rub:2985,,,,,Nederlands,remarks
tg:rubgr:5227,f9fcec3f-63fe-5635-83b4-a05c0a2ec356,Items,1,AFG_144_011,isad:rub:3066,,,,,Nederlands,remarks
tg:rubgr:4820,446d2f55-01da-5024-8328-fb0eaeecf10e,Items,1,AFG_134_004,isad:rub:3056,,,,,Nederlands,remarks
tg:rubgr:314,9ce10a8b-8fc4-5a9a-8826-30305095ffef,Items,1,AFG_006_028,isad:rub:2936,,,,,Nederlands,remarks
tg:rubgr:4123,2a60ce34-0374-54ae-b2f2-9f2941ff1567,Items,1,AFG_109_003,isad:rub:3030,,,,,Nederlands,remarks
tg:rubgr:744,888bc4b6-28d2-59af-8462-fb6e4eff70bd,Items,1,AFG_017_037,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:4573,c82a571b-607f-5163-92ec-964de8eb1ffc,Items,1,AFG_117_009,isad:rub:3038,,,,,Nederlands,remarks
tg:rubgr:1771,6dd8733c-f7b5-5445-84b1-21ea6f86f559,Items,1,AFG_046_074,isad:rub:2976,,,,,Nederlands,remarks
tg:rubgr:4089,bfad276f-a57d-5846-a290-cf92cf833b57,Items,1,AFG_108_010,isad:rub:3029,,,,,Nederlands,remarks
tg:rubgr:894,e3cf140f-0962-53b0-be4e-93f045eac001,Items,1,AFG_020_007,isad:rub:2950,,,,,Nederlands,remarks
tg:rubgr:3936,8c5e08be-551d-54be-9986-a819982465de,Items,1,AFG_102_051,isad:rub:3023,,,,,Nederlands,remarks
tg:rubgr:197,686ecfca-4516-557b-887b-1b525e5d1abb,Items,1,AFG_004_010,isad:rub:2934,,,,,Nederlands,remarks
tg:rubgr:3465,48334894-a628-55c8-90f3-d6cfada3db81,Items,1,AFG_094_029,isad:rub:3020,,,,,Nederlands,remarks
tg:rubgr:1458,afda0051-abc2-581b-8f0d-920f75d04230,Items,1,AFG_038_064,isad:rub:2968,,,,,Nederlands,remarks
tg:rubgr:3035,75464bb2-5fc1-5030-a63a-b46a65bab78e,Items,1,AFG_089_035,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:3520,bf6e6cb2-7b49-5144-bfb4-9db3b87414c8,Items,1,AFG_095_005,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:528,f73e3b04-42e1-53f3-b718-80808291813f,Items,1,AFG_010_043,isad:rub:2940,,,,,Nederlands,remarks
tg:rubgr:482,26ae5397-e6e9-5f05-ba99-8ea72d6a2638,Items,1,AFG_009_071,isad:rub:2939,,,,,Nederlands,remarks
tg:rubgr:3170,90df76a2-4539-5421-a2af-6e6fa07dd7f0,Items,1,AFG_090_090,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:178,9199b22d-e43b-5609-a102-b8e3729ec0ce,Items,1,AFG_003_106,isad:rub:2933,,,,,Nederlands,remarks
tg:rubgr:2761,dc4532b1-d140-5e8f-b46f-8ac75531dccc,Items,1,AFG_086_019,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:3873,fd41893b-387b-594e-ab82-19bbc7f23f98,Items,1,AFG_101_025,isad:rub:3022,,,,,Nederlands,remarks
tg:rubgr:5270,807c47e4-af47-589c-87e8-69d1d9080b58,Items,1,AFG_144_054,isad:rub:3066,,,,,Nederlands,remarks
tg:rubgr:4932,16ea83b2-23eb-5631-89c4-34fa83c6be51,Items,1,AFG_136_060,isad:rub:3058,,,,,Nederlands,remarks
tg:rubgr:656,bcfc6f9e-83cd-5b6d-9f20-e99713ab2587,Items,1,AFG_015_013,isad:rub:2945,,,,,Nederlands,remarks
tg:rubgr:4461,c0659472-0262-5599-8575-e5790d3119e6,Items,1,AFG_113_025,isad:rub:3034,,,,,Nederlands,remarks
tg:rubgr:1663,5a69eda4-bf29-5e19-97c2-9decaf7eef27,Items,1,AFG_045_019,isad:rub:2975,,,,,Nederlands,remarks
tg:rubgr:206,eba2b52f-969d-5de1-9f06-9e888ab12706,Items,1,AFG_004_019,isad:rub:2934,,,,,Nederlands,remarks
tg:rubgr:4031,283aec9b-5cc8-5447-aca8-8d170fed70b2,Items,1,AFG_106_016,isad:rub:3027,,,,,Nederlands,remarks
tg:rubgr:1233,83a8c3c9-6c0b-5367-803e-5dfc4a21df47,Items,1,AFG_029_042,isad:rub:2959,,,,,Nederlands,remarks
tg:rubgr:2809,f54d5bbc-c866-53f6-8eab-2756f8b36691,Items,1,AFG_086_067,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:1726,15fdd219-f80a-5ca7-93ce-119f2f7847d5,Items,1,AFG_046_029,isad:rub:2976,,,,,Nederlands,remarks
tg:rubgr:713,a54845e2-62a8-5462-88f3-9e6a3d73999b,Items,1,AFG_017_006,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:4524,aeede4ed-6812-5289-a56d-8eeed595d83d,Items,1,AFG_116_011,isad:rub:3037,,,,,Nederlands,remarks
tg:rubgr:1376,100c81c8-d38f-54f4-9552-abd01adfca1f,Items,1,AFG_037_012,isad:rub:2967,,,,,Nederlands,remarks
tg:rubgr:5335,0939cc3d-27f7-53d2-8037-6bfe59c66b4d,Items,1,AFG_145_065,isad:rub:3068,,,,,Nederlands,remarks
tg:rubgr:590,422a2582-1683-5940-a7fc-3296395c61d3,Items,1,AFG_012_004,isad:rub:2942,,,,,Nederlands,remarks
tg:rubgr:3062,3e2e0506-7f01-5627-b6b1-58bb07ffb726,Items,1,AFG_089_062,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:3598,fd9eab5f-a963-5551-a6b3-d48ebc6eb267,Items,1,AFG_097_044,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:3432,0efe3ebb-ec10-5132-ab71-13d7f41210ae,Items,1,AFG_093_095,isad:rub:3019,,,,,Nederlands,remarks
tg:rubgr:3961,faeb788b-9f35-557a-8a19-314a99b7c115,Items,1,AFG_102_076,isad:rub:3023,,,,,Nederlands,remarks
tg:rubgr:98,7112dc95-6c51-594a-910d-b11f820dc529,Items,1,AFG_003_026,isad:rub:2933,,,,,Nederlands,remarks
tg:rubgr:2389,04b12d92-e4c5-5d98-a516-e37e39209dfb,Items,1,AFG_077_073,isad:rub:3007,,,,,Nederlands,remarks
tg:rubgr:969,8c778f0a-b432-52bb-a209-d6f206e9348b,Items,1,AFG_022_002,isad:rub:2952,,,,,Nederlands,remarks
tg:rubgr:2223,388666aa-b99f-5e33-9179-d7ae1db64f58,Items,1,AFG_068_001,isad:rub:2998,,,,,Nederlands,remarks
tg:rubgr:1819,088c0221-f8a0-5969-b19d-5b127367b001,Items,1,AFG_047_010,isad:rub:2977,,,,,Nederlands,remarks
tg:rubgr:5159,91767c84-7722-523a-a127-543c280e65bd,Items,1,AFG_143_038,isad:rub:3065,,,,,Nederlands,remarks
tg:rubgr:986,b71c8834-3018-564f-a707-518fe2f9ecc4,Items,1,AFG_022_019,isad:rub:2952,,,,,Nederlands,remarks
tg:rubgr:77,c569babb-c0a4-5df4-90e8-4d0f8edd3011,Items,1,AFG_003_005,isad:rub:2933,,,,,Nederlands,remarks
tg:rubgr:4318,b9cd1192-003b-5a26-8396-7c38b924cf6a,Items,1,AFG_111_113,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:3127,5be5b0c8-dac0-5e2d-9a4f-420f2eb8b69e,Items,1,AFG_090_047,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:3577,5ef9a0d5-c848-51e0-9426-60375ade756c,Items,1,AFG_097_023,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:3218,04061c0c-3414-511d-830c-6d1b9b243723,Items,1,AFG_091_022,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:4027,96dec8d4-9dc8-5465-98ac-6e518caf4661,Items,1,AFG_106_012,isad:rub:3027,,,,,Nederlands,remarks
tg:rubgr:210,f6950f52-1260-53ed-a2c6-5a2bdc11c902,Items,1,AFG_004_023,isad:rub:2934,,,,,Nederlands,remarks
tg:rubgr:3648,fd712680-cb3c-521c-be3c-f8e3e6224637,Items,1,AFG_097_094,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:1675,28330453-bec7-5ba7-a8e9-de8af02d48b1,Items,1,AFG_045_031,isad:rub:2975,,,,,Nederlands,remarks
tg:rubgr:4477,064825cd-087e-58c4-ab83-533a2212c709,Items,1,AFG_114_011,isad:rub:3035,,,,,Nederlands,remarks
tg:rubgr:640,de0e3516-4eac-51fe-ac8e-7b394c770c5e,Items,1,AFG_014_010,isad:rub:2944,,,,,Nederlands,remarks
tg:rubgr:5266,0e0f25ad-2368-5632-8e8d-57a537be6a9d,Items,1,AFG_144_050,isad:rub:3066,,,,,Nederlands,remarks
tg:rubgr:4162,5c5043aa-c887-530d-92a3-2f90561d22bf,Items,1,AFG_109_042,isad:rub:3030,,,,,Nederlands,remarks
tg:rubgr:355,64d2e0ac-e5bd-5716-a2f5-03afa5788a89,Items,1,AFG_007_004,isad:rub:2937,,,,,Nederlands,remarks
tg:rubgr:1360,dce9732e-d451-5074-8f72-303a707242a4,Items,1,AFG_036_013,isad:rub:2966,,,,,Nederlands,remarks
tg:rubgr:4498,1b2903dd-2ca1-58a7-99d8-52d3c56fa4a8,Items,1,AFG_115_014,isad:rub:3036,,,,,Nederlands,remarks
tg:rubgr:4532,8c6206dc-35f0-589d-b11e-79d12a9632f6,Items,1,AFG_116_019,isad:rub:3037,,,,,Nederlands,remarks
tg:rubgr:1730,5ead639d-8f4e-5f82-9d41-8c756ec152fa,Items,1,AFG_046_033,isad:rub:2976,,,,,Nederlands,remarks
tg:rubgr:3977,469ea590-f5ad-5a58-ae44-17b655e942a2,Items,1,AFG_103_004,isad:rub:3024,,,,,Nederlands,remarks
tg:rubgr:2665,72542c9b-8eda-59f2-a046-8d710cc1fc1d,Items,1,AFG_084_079,isad:rub:3014,,,,,Nederlands,remarks
