Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Format Dimension,Format Type,Sheet Numbers,Sheeet Type,Page Numbers,Page Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Genre Type,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type,Language,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Title,Title Type,Title Language,Writing material
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemengd
tg:rubhs:36,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:36/N,013db479-4b8e-51d9-8e5d-793832023bda,BE-ANN14/hs/RA001/001/32,Handgeschreven,"11,7 x 7,7 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/013db479-4b8e-51d9-8e5d-793832023bda'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:36,,,,,isad:rub:314,Agenda's,{'url':'https://id.rubenianum.be//ark:/86530/013db479-4b8e-51d9-8e5d-793832023bda'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1946.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:36,,,,,,,,,,,Agenda,,,,,,,,,,,,,,,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:36,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:36,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,32,Nederlands,Noot,,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,,,,,,Engels,,,,,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1946,Titel,Nederlands,
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,,,,,2,WritingMaterials,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inkt
tg:rubhs:10,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:10/N,02feda08-6016-59e2-8d63-e116729cdb80,BE-ANN14/hs/RA001/001/6,Handgeschreven,"13,3 x 8 x 0,7",Maximum,60,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/02feda08-6016-59e2-8d63-e116729cdb80'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:10,,,,,isad:rub:314,Agenda's,{'url':'https://id.rubenianum.be//ark:/86530/02feda08-6016-59e2-8d63-e116729cdb80'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1920.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:10,,,,,,,,,,,Agenda,,,,,,,,,,,,,,,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:10,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:10,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,6,Nederlands,Noot,,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,,,,,,Duits,,,,,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1920,Titel,Nederlands,
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,,,,,2,WritingMaterials,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inkt
tg:rubhs:173,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:173/N,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,BE-ANN14/hs/RA001/122/110,Handgeschreven,"17 x 11 x 1,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:173,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.rubenianum.be//ark:/86530/032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje met aantekeningen betreffende bezoeken aan verscheidene collecties.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:173,,,,,,,,,,,Notitieboekje,,,,,,,,,,,,,,,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:173,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:173,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,110,Nederlands,Noot,,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:173,,,,,,,,,,,,,,,,,,,,,,,,,,Duits,,,,,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:173,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Koetser""""",Titel,Nederlands,
,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
tg:rubhs:12,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:12/N,03322c74-e03a-5d1f-beac-0b05e87d0a1f,BE-ANN14/hs/RA001/001/8,Handgeschreven,"13,3 x 8 x 0,7",Maximum,60,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/03322c74-e03a-5d1f-beac-0b05e87d0a1f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:12,,,,,isad:rub:314,Agenda's,{'url':'https://id.rubenianum.be//ark:/86530/03322c74-e03a-5d1f-beac-0b05e87d0a1f'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1922.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:12,,,,,,,,,,,Agenda,,,,,,,,,,,,,,,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:12,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:12,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,8,Nederlands,Noot,,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,,,,,,Duits,,,,,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1922,Titel,Nederlands,
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,,,,,2,WritingMaterials,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inkt
tg:rubhs:64,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:64/N,06091ed7-7f00-5c87-b75d-bc3c42d422c1,BE-ANN14/hs/RA001/122/014,Handgeschreven,"16,8 x 10,3 x 0,2",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/06091ed7-7f00-5c87-b75d-bc3c42d422c1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:64,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.rubenianum.be//ark:/86530/06091ed7-7f00-5c87-b75d-bc3c42d422c1'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje betreffende Stift und Feder.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:64,,,,,,,,,,,Notitieboekje,,,,,,,,,,,,,,,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:64,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:64,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,14,Nederlands,Noot,,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,Duits,,,,,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Stift und Feder""""",Titel,Nederlands,
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,,,,,2,WritingMaterials,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inkt
tg:rubhs:72,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:72/N,07aa31db-cafd-5a95-8d34-e1a31ef66bad,BE-ANN14/hs/RA001/122/022,Handgeschreven,"16,5 x 10,5 x 0,3",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/07aa31db-cafd-5a95-8d34-e1a31ef66bad'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:72,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.rubenianum.be//ark:/86530/07aa31db-cafd-5a95-8d34-e1a31ef66bad'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje met aantekeningen betreffende afbeeldingen van Frits Lugt.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:72,,,,,,,,,,,Notitieboekje,,,,,,,,,,,,,,,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:72,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:72,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,22,Nederlands,Noot,,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,,,,,,Duits,,,,,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur,,,,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Frits Lugt - Rustenhoven""""",Titel,Nederlands,
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,1,WritingMaterials,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlood
,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,,,,,2,WritingMaterials,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inkt
tg:rubhs:213,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:213/N,127afc38-d546-52da-9db8-2043726f5b2c,BE-ANN14/hs/RA001/50/001,Handgeschreven,"19 x 13 x 0,7",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/127afc38-d546-52da-9db8-2043726f5b2c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:213,,,,,isad:rub:324,"Assistent-Archiefdirecteur""ergungstelle für Kunstwerke beim Government Met""",{'url':'https://id.rubenianum.be//ark:/86530/127afc38-d546-52da-9db8-2043726f5b2c'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,"Dagboek voor het jaar 1917, tijdens Burchards tewerkstelling bij de *Bergungstelle für Kunstwerke beim Government Metz*",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:213,,,,,,,,,,,Notitieboekje,,,,,,,,,,,,,,,,,,,,,,,
,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:213,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,,,
,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:213,,,,,,,,,,,,,,,,,,,isad:rub:324,,,RA 001 / 050,,Nederlands,Noot,,,,,,,,,
