ResourceID,brocade.id,card,order,volgnummer,note
dfb40d36-9a0f-590e-9053-34ff4a2ebf75,tg:lhbr:243264_#1,e22_OtherIdentifiers,1,D 9653 / 11 (49),
4053f323-7be5-511b-a0d7-018163a88bcc,tg:lhbr:258923_#1,e22_OtherIdentifiers,1,J 416 / 69,
d549e564-908d-5f17-b6e4-b0963b9fdc8a,tg:lhbr:245650_#1,e22_OtherIdentifiers,1,D 9653 / 21 (336a),
152dce67-1154-54e7-bde2-8fa36652007c,tg:lhbr:257231_#1,e22_OtherIdentifiers,1,J 416 / 64,
e4607d3c-0362-5498-9087-22c52b134523,tg:lhbr:299022_#1,e22_OtherIdentifiers,1,B 585 / 98,
0d1f7faa-8f0d-5602-b067-fa290f507a3b,tg:lhbr:271207_#1,e22_OtherIdentifiers,1,R 8963 / 558,
40b693c8-dd7f-54d2-bfb8-f9a4cde9dc44,tg:lhbr:263666_#1,e22_OtherIdentifiers,1,G 21795 / 509,
b0df2751-878e-5334-ac87-2f57d59b48e8,tg:lhbr:240076_#1,e22_OtherIdentifiers,1,C 34 / Jacob 1,
f053444b-ed70-505b-8e6e-a013cfb1de98,tg:lhbr:295922_#1,e22_OtherIdentifiers,1,C 33941 / 66,
073131aa-c478-5733-96f2-255856a4062f,tg:lhbr:298528_#1,e22_OtherIdentifiers,1,L 179 /,
deaa57a2-fdab-5577-ab2c-1ee89a631817,tg:lhbr:266040_#1,e22_OtherIdentifiers,1,R 462 / 857,
1a6d5de0-56b1-5ba1-95a4-e53b5cdfb6db,tg:lhbr:274421_#1,e22_OtherIdentifiers,1,D 325 / 293,
43ba7326-44cf-5b64-b951-99c10a9aa85c,tg:lhbr:264620_#1,e22_OtherIdentifiers,1,G 21795 / 905,
babc474d-735e-5242-946d-74f4253d96af,tg:lhbr:288729_#1,e22_OtherIdentifiers,1,R 1476 / 173,
24d7a865-8649-5402-bdd4-553f6435e40c,tg:lhbr:273467_#1,e22_OtherIdentifiers,1,R 8963 / 878,
59620118-809a-5cce-989a-5f03e02e1b6b,tg:lhbr:261006_#1,e22_OtherIdentifiers,1,J 416 / 77,
6ff4389d-defc-5a99-ab51-9a7cef7d195d,tg:lhbr:291397_#1,e22_OtherIdentifiers,1,R 5419 / 262,
bd706865-baa8-5c77-b359-8b57ce7d94f2,tg:lhbr:255451_#1,e22_OtherIdentifiers,1,J 416 / 56,
72817ff9-83e9-580e-a9c9-013865f888b9,tg:lhbr:289223_#1,e22_OtherIdentifiers,1,R 1476 / 174,
f5c71c0e-f90e-5256-a4e9-de1937aeb942,tg:lhbr:246452_#1,e22_OtherIdentifiers,1,D 9653 / 22 (86),
5a037bfb-74d8-58e5-b63a-66c164df2b04,tg:lhbr:281967_#1,e22_OtherIdentifiers,1,L 1833 / 133,
c27a3a53-b5fc-5f6e-8f3b-924abc8b7606,tg:lhbr:282394_#1,e22_OtherIdentifiers,1,D 9653 / 149 (56),
728286a7-128c-5095-877c-cf17b5adf31a,tg:lhbr:288641_#1,e22_OtherIdentifiers,1,R 1476 / 173,
4c20f556-f45e-530d-a6d4-fe78939418f3,tg:lhbr:264748_#1,e22_OtherIdentifiers,1,G 21795 / 916,
bcacb5f0-a58b-58e0-8667-692bf8d7513d,tg:lhbr:276329_#1,e22_OtherIdentifiers,1,D 325 / 420,
56dc4926-e52f-5f6a-ba87-fec1b8a9a9c8,tg:lhbr:260464_#1,e22_OtherIdentifiers,1,J 416 / 76,
f70e3fdc-d666-56e1-9552-8b99d3391e26,tg:lhbr:272005_#1,e22_OtherIdentifiers,1,W 213 / 159,
16e53598-0848-5bac-90a1-eb685d11ba0d,tg:lhbr:243274_#1,e22_OtherIdentifiers,1,D 9653 / 11 (59),
f202deb7-91bd-5acf-ae23-8d04c2ee70e7,tg:lhbr:258933_#1,e22_OtherIdentifiers,1,J 416 / 69,
fd4308d7-ff56-5fc2-821a-9306db587987,tg:lhbr:247158_#1,e22_OtherIdentifiers,1,C 3622 / 21,
e88660cc-1633-5b13-bd67-df886ffe1c36,tg:lhbr:255539_#1,e22_OtherIdentifiers,1,J 416 / 56,
b434b8e2-c645-5ffa-8fe7-ab1a158c1263,tg:lhbr:277623_#1,e22_OtherIdentifiers,1,D 325 / 475,
34faea60-d014-5013-866e-bbc8372ba3e9,tg:lhbr:102811_#1,e22_OtherIdentifiers,1,,Gedat.: 30.8
f7219515-1b1e-5fc8-aade-d857858107a6,tg:lhbr:245738_#1,e22_OtherIdentifiers,1,E 285 / 112,
2b6c9e5e-168f-5b45-ad3c-4413590daae6,tg:lhbr:257359_#1,e22_OtherIdentifiers,1,J 416 / 64,
7a1b3f9e-75c5-5f48-8efe-c7ae64220828,tg:lhbr:275043_#1,e22_OtherIdentifiers,1,W 213 / 321,
7968f78e-42f8-52c3-8ce6-38b038793945,tg:lhbr:267422_#1,e22_OtherIdentifiers,1,R 462 / 875,
92eaf156-4531-5ea1-a49b-0909cc0884ba,tg:lhbr:239722_#1,e22_OtherIdentifiers,1,BB 457 / 31,
19553b11-8b97-59f6-adf5-9b0075553727,tg:lhbr:241414_#1,e22_OtherIdentifiers,1,C 2756 / 439,
efafe81d-0c18-5e81-b9c1-62b2a0ef124b,tg:lhbr:262204_#1,e22_OtherIdentifiers,1,B 798 / 178 - 235,
0d5a3308-bb38-5640-9033-5a4277376a30,tg:lhbr:270665_#1,e22_OtherIdentifiers,1,R 8963 / 405,
9f04cb88-ed4d-548f-a2c0-fb3592821e33,tg:lhbr:256653_#1,e22_OtherIdentifiers,1,J 416 / 60,
a5b086d5-aeb4-510b-b474-97c42104c356,tg:lhbr:244232_#1,e22_OtherIdentifiers,1,D 9653 / 15 (146),
527f5a8f-495d-5edd-8ee8-097191e44c56,tg:lhbr:266128_#1,e22_OtherIdentifiers,1,R 462 / 848,
73dc2473-6d99-5e1f-badd-a377f2eadaf3,tg:lhbr:274549_#1,e22_OtherIdentifiers,1,W 213 / 298,
a6b49581-fa5e-523a-9ac5-5705be05b174,tg:lhbr:298440_#1,e22_OtherIdentifiers,1,C 33941 / 179,
b4c4d8a7-2829-58fa-a1cd-a741fb84cfe4,tg:lhbr:250267_#1,e22_OtherIdentifiers,1,D 9653 / 23 (141),
03ba7660-7d88-5419-9654-0b1af5bfbf8c,tg:lhbr:288739_#1,e22_OtherIdentifiers,1,R 1476 / 173,
7147e1fa-a842-5f99-8c92-37ba37a1adcb,tg:lhbr:276251_#1,e22_OtherIdentifiers,1,D 325 / 414,
2bb08707-8c88-59df-8c57-46a3dcf140dd,tg:lhbr:264630_#1,e22_OtherIdentifiers,1,G 21795 / 906,
d8b144cd-e187-5d9e-95f8-dbe4c0ea115e,tg:lhbr:255441_#1,e22_OtherIdentifiers,1,J 416 / 56,
d915ec2a-ee29-54fb-97b6-f7407f99a2e9,tg:lhbr:247020_#1,e22_OtherIdentifiers,1,C 3622 / 21,
e7aa3698-b7fa-5d36-80b7-f6b094d57d21,tg:lhbr:291387_#1,e22_OtherIdentifiers,1,R 5419 / 262,
962fc7f0-c45e-5e56-afaf-522ac4fee23c,tg:lhbr:289233_#1,e22_OtherIdentifiers,1,R 1476 / 174,
47c3a6e6-cbbc-5adb-8caf-8a70a4e7dd4a,tg:lhbr:261016_#1,e22_OtherIdentifiers,1,J 416 / 77,
ee4c3b54-212d-5a9b-95fb-d0185881bfd0,tg:lhbr:273477_#1,e22_OtherIdentifiers,1,R 8963 / 879,
0424c540-9d61-5875-8dc8-c0f70d1d985a,tg:lhbr:263676_#1,e22_OtherIdentifiers,1,D 9653 / 56 (140),
f230fd6d-3499-5acc-877b-cd76661c57f9,tg:lhbr:271217_#1,e22_OtherIdentifiers,1,R 8963 / 558,
edbe9e27-94da-50b7-bba0-106a745120f3,tg:lhbr:257221_#1,e22_OtherIdentifiers,1,J 416 / 64,
14ebede0-7ee8-5ae8-ad28-4e5d7187ad58,tg:lhbr:245640_#1,e22_OtherIdentifiers,1,D 9653 / 21 (329),
ff465bea-1193-500b-ab03-e7a65dfd5064,tg:lhbr:299032_#1,e22_OtherIdentifiers,1,B 585 / 98,
baff21ab-d7d7-5cb8-bcc3-fad0917e3d94,tg:lhbr:266050_#1,e22_OtherIdentifiers,1,R 462 / 855,
2cd063ca-fdbb-5fcc-bf66-febdd0ebb124,tg:lhbr:298538_#1,e22_OtherIdentifiers,1,L 179 /,
fceb41f2-e8ee-56cb-b69d-8c83903e71e8,tg:lhbr:295932_#1,e22_OtherIdentifiers,1,C 33941 / 66,
ee4c0b60-671c-537a-8f30-a92a22086f0a,tg:lhbr:240066_#1,e22_OtherIdentifiers,1,C 34 / Jacob 1,
2977b50c-c033-5e10-a9ff-6882a8808e6a,tg:lhbr:264894_#1,e22_OtherIdentifiers,1,B 798 / 60 - 124,
