brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhph:39773,e368da7c-3c64-56f2-b777-28c79e0ee3a3,Items,1,tr:lh:4256,82690/23,isad:lh:93877,M 435 / P (I),,,,,Nederlands,Noot
tg:lhph:44243,faa21d16-2c0d-5edf-9bae-98a024d2f6f7,Items,1,,,isad:lh:94164,B 585 / ARC (28),,,,,Nederlands,Noot
tg:lhph:12423,a4c17d5e-5855-563b-b2b0-a36249938212,Items,1,,61167/12,,B 8701 / P,,,,,Nederlands,Noot
tg:lhph:43586,8b88944e-bfa9-5105-aa29-a3888d45a63e,Items,1,tr:lh:30829,219697/39,isad:lh:93751,M 945 / P,,,,,Nederlands,Noot
tg:lhph:24842,c089ea6c-0779-5a66-9db6-4dd2be3682d3,Items,1,,150673/1,,NN 21 / P,,,,,Nederlands,Noot
tg:lhph:41041,9d750fc3-d4c4-5822-b261-0e9b57befd17,Items,1,tr:lh:6783,167912/60,isad:lh:94330,M 6439 / P,,,,,Nederlands,Noot
tg:lhph:17621,21b4c90c-5ae3-5088-b88f-23bacbe8fa71,Items,1,tr:lh:5830,122419/11,,H 518 / P,,,,,Nederlands,Noot
tg:lhph:39289,8ca2013d-d6b2-5ced-a5bb-cb0256e722b1,Items,1,tr:lh:9510,218458/2815,isad:lh:95309,B 1183 / P (NEG00304/4/14),,,,,Nederlands,Noot
tg:lhph:46784,5d0bb0ee-f08a-54a1-9261-11aea3ac27f0,Items,1,tr:lh:3522,69706,,E 154 / P,,,,,Nederlands,Noot
tg:lhph:47896,97e1dff9-866f-5746-816d-914cdc0b19da,Items,1,tr:lh:7336,186508/1,isad:lh:103960,S 59 /P,,,,,Nederlands,Noot
tg:lhph:27297,cd181cad-5222-5c13-8190-318f21298963,Items,1,tr:lh:5552,110081/173,isad:lh:93622,P 38 / P,,,,,Nederlands,Noot
tg:lhph:16933,f3d93139-34b5-5052-b813-0d316c55c2aa,Items,1,tr:lh:3837,73771/5,,H 1935 / P,,,,,Nederlands,Noot
tg:lhph:52397,09e646b3-13c3-554e-9ee9-3b6575cdb877,Items,1,tr:lh:139964,,isad:lh:161168,,Bruikleen Vlaamse Gemeenschap - STR10565,S 935 / 484,,,Nederlands,Noot
tg:lhph:28162,fcfeb626-f3da-5939-b09e-88aa1110811d,Items,1,tr:lh:6350,148142/1-20,,P 616 / P (S),,,,,Nederlands,Noot
tg:lhph:32996,8897571d-1c70-5f9e-ba4a-4abe981dbd8a,Items,1,tr:lh:1224,22251/27,,K 293 / P,,,,,Nederlands,Noot
tg:lhph:33684,a7c6a91a-1d11-5552-a190-eb17d7d57e55,Items,1,,75339/b,,K 592 / P,,,,,Nederlands,Noot
tg:lhph:7332,ffe4eee3-3d6e-5685-932e-5813da029e26,Items,1,tr:lh:5197,102821/18,isad:lh:93851,V 1582 / P,,,,,Nederlands,Noot
tg:lhph:49471,90192338-7b0a-5c15-b5bc-8691b296e7f4,Items,1,,,isad:lh:95662,,,W 909 / 6,,,Nederlands,Noot
tg:lhph:34141,cd663574-8f69-57b9-95ee-1da7ae727d93,Items,1,tr:lh:4744,92278/4,isad:lh:93095,B 1333 / P (Portretten 1946-1965),,,,,Nederlands,Noot
tg:lhph:30801,58aa95b1-4d5e-527e-ab37-06c3b45e4651,Items,1,tr:lh:7019,183399/15,,G 4125 / P,,,,,Nederlands,Noot
tg:lhph:50200,8bf06cc4-4b58-5fe9-9a29-608141d9915b,Items,1,tr:lh:1961,35841,isad:lh:94550,L 126 / P,,,,,Nederlands,Noot
tg:lhph:7298,a89bf226-0b74-5eb8-a244-23a0e80e7ef3,Items,1,tr:lh:825,15275,isad:lh:93423,S 935 / P,,,,,Nederlands,Noot
tg:lhph:2560,92e5e3e3-5425-5684-a19a-d57135de6a1c,Items,1,tr:lh:6603,163141/904,isad:lh:93324,G 395 / P,,,,,Nederlands,Noot
tg:lhph:31713,208b35b9-4ab1-59f5-a5ba-70f1d29341dc,Items,1,,215857/14,,SS 448 / P,,,,,Nederlands,Noot
tg:lhph:12073,cd323fc3-3253-58fc-bfca-36b00b7cd7e0,Items,1,tr:lh:4981,98788/16,isad:lh:93183,B 523 / P,,,,,Nederlands,Noot
tg:lhph:44613,5e279465-fa41-5564-9fb0-f1809577cedd,Items,1,,220813,isad:lh:176462,L 179 / P,,,,,Nederlands,Noot
tg:lhph:39323,80b7ec5c-0e63-5314-baf0-d70dcc94a31c,Items,1,tr:lh:3925,74787/6,,M 335 / P,,,,,Nederlands,Noot
tg:lhph:25300,8b2325bb-756c-55e0-8351-2c2815024bb8,Items,1,tr:lh:1321,22347/5,,T 3465 / P,,,,,Nederlands,Noot
tg:lhph:45901,1f837051-5067-5b6a-bb0b-e4996e6746c5,Items,1,tr:lh:4574,87843,isad:lh:95759,C 3664 / P,,,,,Nederlands,Noot
tg:lhph:16899,bbc918e2-8051-501a-a5e1-3c1509900a7a,Items,1,tr:lh:6071,137454/452,isad:lh:93676,S 176 / P,,,,,Nederlands,Noot
tg:lhph:17271,9e769312-3a30-51df-bae0-8d9ef087cfd4,Items,1,tr:lh:6721,166603/26,isad:lh:93637,S 584 / P,,,,,Nederlands,Noot
tg:lhph:41411,153bc76d-6eb5-562f-aeea-36c181ff8d2e,Items,1,tr:lh:1867,34763/28c,isad:lh:94467,O 295 / P (A1),,,,,Nederlands,Noot
tg:lhph:12589,fc23b4b5-a6f6-521e-b4fa-d5c2799c33d8,Items,1,tr:lh:6918,171159,isad:lh:94339,B 97563 / P,,,,,Nederlands,Noot
tg:lhph:8497,b4cfb4e3-aa46-59a2-9495-82a2578d688e,Items,1,tr:lh:4429,84949/6,,V 85711 / P,,,,,Nederlands,Noot
tg:lhph:18184,4ddb0376-17f4-555d-8891-9d31096c9128,Items,1,tr:lh:7827,202254/85,isad:lh:94871,R 286 / P,,,,,Nederlands,Noot
tg:lhph:34511,bb558c5e-34ff-5ee4-a974-a90f0a0ff88b,Items,1,tr:lh:6947,173392/39,isad:lh:95444,L 1628 / P,,,,,Nederlands,Noot
tg:lhph:28532,8d42ea0f-eb50-50e0-b5bc-4d57f4f061be,Items,1,tr:lh:4283,82986/6,,P 8836 / P,,,,,Nederlands,Noot
tg:lhph:6870,8ac79404-a9b3-5af2-bf87-94d89d9ec5c1,Items,1,tr:lh:7601,198980/31,isad:lh:93452,G 9947 / P,,,,,Nederlands,Noot
tg:lhph:15759,32d71454-b9a5-502d-9e03-cb851c6bbdb2,Items,1,tr:lh:1492,27571/428,,F 1603 / P,,,,,Nederlands,Noot
tg:lhph:43139,68985793-4ae6-58ae-8cd8-b826574e43d4,Items,1,,106681,,B 943 / P,,,,,Nederlands,Noot
tg:lhph:17764,fcf740c5-31f6-5961-8945-f73450c1455f,Items,1,tr:lh:4584,88066/1,,H 534 / P,,,,,Nederlands,Noot
tg:lhph:41104,0e89a1f7-f5f7-56fa-b317-4acdada712a9,Items,1,,175736/1,,M 6523 / P,,,,,Nederlands,Noot
tg:lhph:8182,65800d28-f952-5d44-8c4f-6e3d2f1cbd21,Items,1,,103299/23b,,W 803 / P,,,,,Nederlands,Noot
tg:lhph:16876,8534c1ca-2888-563d-a353-f0253f0269d6,Items,1,tr:lh:3832,74005/4,,H 165 / P,,,,,Nederlands,Noot
tg:lhph:20417,3281753e-11aa-5a5f-8d7c-50667a5859a2,Items,1,tr:lh:7859,203626/1430,isad:lh:94873,M 224 / P (NEG0050/5/59),,,,,Nederlands,Noot
tg:lhph:28027,62ccb6fb-6a9b-5dac-bc49-abb29d259111,Items,1,tr:lh:3839,74271/5,,P 616 / P,,,,,Nederlands,Noot
tg:lhph:34004,6ec1da2d-4583-5293-88f1-c76437d1548b,Items,1,tr:lh:1492,27493/477,,B 1333 / P (Portretten 1920-1945),,,,,Nederlands,Noot
tg:lhph:49534,cd09d4c3-25af-5561-8762-26e4c371535d,Items,1,,,isad:lh:95662,,,W 909 / 8,,,Nederlands,Noot
tg:lhph:18491,470507dc-cda9-5b01-8f80-4e9a2e0a9c83,Items,1,tr:lh:7859,203626/287,isad:lh:94873,M 224 / P (NEG0009/4/31A),,,,,Nederlands,Noot
tg:lhph:7277,d8e8fc3b-dc5f-5443-be6d-1fec5885a2ee,Items,1,tr:lh:6820,168597,isad:lh:92978,S 935 / P,,,,,Nederlands,Noot
tg:lhph:36039,2de84226-24be-516e-a22d-a55c654500d2,Items,1,tr:lh:5584,111577/64,isad:lh:93015,L 4312 / P,,,,,Nederlands,Noot
tg:lhph:31206,53daec95-261a-531b-b983-828befa03b1f,Items,1,tr:lh:5795,120382/15,,J 243 / P,,,,,Nederlands,Noot
tg:lhph:2075,70e4f6f0-5c0c-538b-b8e7-bd1a3119cdf6,Items,1,tr:lh:7282,185730,,G 3633 / P,,,,,Nederlands,Noot
tg:lhph:52728,3d21a7af-dc4f-54d8-9b12-07bf6f7c20a7,Items,1,tr:lh:139964,,isad:lh:161172,,Bruikleen Vlaamse Gemeenschap - STR11557,S 935 / 488,,,Nederlands,Noot
tg:lhph:38924,c6797a55-58f6-50a3-9b38-c50f86ad99e5,Items,1,tr:lh:3839,74035/1,,M 235 / P,,,,,Nederlands,Noot
tg:lhph:27628,24a70e85-4dbb-5f34-8e87-50d04f256552,Items,1,tr:lh:7721,200537/37,isad:lh:146741,P 505 / P (IV),,,,,Nederlands,Noot
tg:lhph:25615,55500cb0-6305-579f-8ff3-8133f9a2745f,Items,1,tr:lh:6462,158575/54,isad:lh:93743,V 3484 / P,,,,,Nederlands,Noot
tg:lhph:24907,968d517a-7719-574d-9764-0259bcb53ded,Items,1,,76367/2,,V 3419222 / P,,,,,Nederlands,Noot
tg:lhph:12566,09801a22-f927-590e-b9f5-ac094b363e5f,Items,1,tr:lh:7358,195682/1,isad:lh:94332,B 896558 / P,,,,,Nederlands,Noot
tg:lhph:44306,4839a2c3-f543-5fc8-99cc-c3c7134d5113,Items,1,,220150,isad:lh:95763,F 36 / P,,,,,Nederlands,Noot
tg:lhph:8478,37ef833c-a8d5-52e8-b45d-6183de426614,Items,1,tr:lh:6861,169842/70,isad:lh:93429,W 144 / P,,,,,Nederlands,Noot
tg:lhph:39636,0f5e122d-d84f-5d7d-b935-df1547c60f46,Items,1,tr:lh:6989,174486/19,isad:lh:92953,M 4073 / P,,,,,Nederlands,Noot
tg:lhph:27782,4ef702d9-1456-5261-8850-820808169b73,Items,1,tr:lh:6558,161924/16,isad:lh:93210,V 486 / P,,,,,Nederlands,Noot
tg:lhph:46291,ae4a5f03-ffac-595b-812f-646b465de697,Items,1,,203864/36,isad:lh:94147,C 395 / ARC (377),,,,,Nederlands,Noot
tg:lhph:43569,413f2ca5-a867-5e5c-b3c6-35ce7205f5da,Items,1,,219721/14,,E 232 / P,,,,,Nederlands,Noot
tg:lhph:15309,cbff7b50-0d63-52c6-9727-efd7d548820e,Items,1,tr:lh:692,13405,,R 606 / P,,,,,Nederlands,Noot
tg:lhph:41554,2eb81bfc-5fc0-53e9-b9e0-128ca1d21220,Items,1,tr:lh:6989,174462,isad:lh:92953,B 745 / P,,,,,Nederlands,Noot
tg:lhph:17334,b3fa8b41-9478-5391-b97e-63fc9bef3c02,Items,1,tr:lh:5960,130205,,H 4133 / P,,,,,Nederlands,Noot
tg:lhph:26890,bcf33c02-ac18-5673-841c-5e04ccb96bd9,Items,1,tr:lh:5428,106516/3,isad:lh:95159,P 27263 / P,,,,,Nederlands,Noot
tg:lhph:49164,d96eaf51-56ff-5365-b51f-b7c626dd9708,Items,1,,,isad:lh:133548,,Enkel digitaal beschikbaar. Het origineel is in bezit van de familie.,,,,Nederlands,Noot
tg:lhph:34454,f9a4758e-88ae-50c5-b6c2-6735a9e98cf8,Items,1,tr:lh:6462,158575/393,isad:lh:93803,W 1925 / P,,,,,Nederlands,Noot
tg:lhph:33391,f1d38d74-b3cb-5e0d-9d1f-61974558f167,Items,1,tr:lh:4895,97872/3,,K 3779 / P,,,,,Nederlands,Noot
tg:lhph:36469,eacaaa44-c060-57d2-89f1-927ad4e1fafc,Items,1,tr:lh:4414,84802,,B 418 / P,,,,,Nederlands,Noot
tg:lhph:7627,aa991f06-8947-5c50-9da0-1e2db80bed84,Items,1,tr:lh:2877,57785/2,isad:lh:93093,V 37336 / P,,,,,Nederlands,Noot
tg:lhph:28477,8297b535-2278-5fbb-abf5-405486f6f25a,Items,1,tr:lh:9820,71733/11,,V 603 / P,,,,,Nederlands,Noot
tg:lhph:6935,a1b52101-6f2e-5e80-83c3-0875b5440d27,Items,1,tr:lh:4834,96578/49k,isad:lh:93832,A 14 / P,,,,,Nederlands,Noot
tg:lhph:4908,f847d74e-3c66-5377-bb99-a14611b01a58,Items,1,tr:lh:6726,166711/2,isad:lh:93699,A 3571 / P,,,,,Nederlands,Noot
tg:lhph:52682,07bb1ea9-3a82-5bb9-9644-04093495a319,Items,1,tr:lh:139964,,isad:lh:161172,,Bruikleen Vlaamse Gemeenschap - STR11467,S 935 / 488,,,Nederlands,Noot
tg:lhph:32979,97385054-6566-54b1-a59f-9b3568b02b7e,Items,1,tr:lh:1224,22251/61,,K 293 / P,,,,,Nederlands,Noot
tg:lhph:30944,58dbae78-0cf4-55ea-ab00-887baf89e1c7,Items,1,,88246/2,,G 452 / P,,,,,Nederlands,Noot
tg:lhph:52378,deebc22f-fb5f-540e-aa09-ad9bbc929639,Items,1,tr:lh:139964,,isad:lh:161040,,Bruikleen Vlaamse Gemeenschap - STR10179,S 935 / 482,,,Nederlands,Noot
tg:lhph:31656,ab7343c5-3a66-5f03-8682-312cb9341570,Items,1,,174077/4,,J 3357 / P,,,,,Nederlands,Noot
tg:lhph:36193,d7565c2b-39f0-5ce0-b444-1ce69665823f,Items,1,tr:lh:9510,218458/1751,isad:lh:95309,B 1183 / P (NEG00190/2/1),,,,,Nederlands,Noot
tg:lhph:2425,27ec2153-e30d-5741-aaef-6b5fc440e17d,Items,1,,111407/5,,G 395 / P,,,,,Nederlands,Noot
tg:lhph:43093,2c3f5e5f-7120-54ed-a941-9a801c424ae4,Items,1,,219354/4,isad:lh:95708,AA 228 / P,,,,,Nederlands,Noot
tg:lhph:39266,2a827234-97f9-536c-901d-140927740463,Items,1,tr:lh:9510,218458/2806,isad:lh:95309,B 1183 / P (NEG00304/2/5),,,,,Nederlands,Noot
tg:lhph:44756,30a17332-bc2c-59b6-a4f2-1c44811b5ef1,Items,1,tr:lh:2432,47319/7,isad:lh:94503,D 1175 / P,,,,,Nederlands,Noot
tg:lhph:12136,f5d04e61-9e65-5527-9297-38bdf132cb69,Items,1,,116721/2,,B 6285 / P,,,,,Nederlands,Noot
tg:lhph:45844,e1a4d40b-ef80-5267-bc23-e74334b3467e,Items,1,tr:lh:9314,221009/1,isad:lh:95056,SC 14 E1,,,,,Nederlands,Noot
tg:lhph:22580,e119a767-cb08-5c2e-b681-f5eb60f14a33,Items,1,tr:lh:1247,21386/8,,H 905 / P,,,,,Nederlands,Noot
tg:lhph:22580,e119a767-cb08-5c2e-b681-f5eb60f14a33,Items,2,tr:lh:1874,33543,isad:lh:93862,H 905 / P,,,,,Nederlands,Noot
tg:lhph:27278,472faf59-1da7-5407-ac5b-4d0c1a59df45,Items,1,tr:lh:4231,81775/47,isad:lh:93123,V 36695 / P,,,,,Nederlands,Noot
tg:lhph:25245,abcd21d5-f7c2-506d-b683-d246c3b2bddc,Items,1,tr:lh:882,16079/75,isad:lh:93498,V 353 / P,,,,,Nederlands,Noot
tg:lhph:25245,abcd21d5-f7c2-506d-b683-d246c3b2bddc,Items,2,tr:lh:1102,19866/2,isad:lh:93142,V 353 / P,,,,,Nederlands,Noot
tg:lhph:25245,abcd21d5-f7c2-506d-b683-d246c3b2bddc,Items,3,tr:lh:2936,59296/77,isad:lh:93151,V 353 / P,,,,,Nederlands,Noot
tg:lhph:47879,1beb5107-a30d-51aa-9fe0-ce33f5a8a96a,Items,1,tr:lh:7336,210298,isad:lh:103960,S 59 /P,,,,,Nederlands,Noot
tg:lhph:40715,bc9ed203-99c5-5fad-b52a-6f1b41cea4dd,Items,1,tr:lh:7859,203626/2553,isad:lh:94873,M 224 / P (NEG0084/7/36),,,,,Nederlands,Noot
tg:lhph:16175,a1ab8663-a030-5bbc-9cfb-92178ba94cb5,Items,1,,86566/71,,R 7874 / P,,,,,Nederlands,Noot
tg:lhph:9793,133ce82a-2e32-5989-a3a3-5ec8db31bbd0,Items,1,tr:lh:7192,179231/6,isad:lh:94095,S 5947 / P,,,,,Nederlands,Noot
tg:lhph:14148,aff65742-1bf7-53a2-8688-16f2dff65e90,Items,1,tr:lh:2432,46956/49,isad:lh:94503,D 1175 / P,,,,,Nederlands,Noot
tg:lhph:21206,902fa777-443b-5fea-8312-f0ed44d709e9,Items,1,tr:lh:7859,203626/1743,isad:lh:94873,M 224 / P (DIA0060/6/34),,,,,Nederlands,Noot
tg:lhph:41807,89d11f54-742b-56d8-8f1c-6eb671745bba,Items,1,tr:lh:4066,77913/1,,W 7977 / P,,,,,Nederlands,Noot
tg:lhph:8881,79228485-0c78-536e-9528-61b91417a6ad,Items,1,tr:lh:4697,97588/8,isad:lh:93330,S 2968 / P,,,,,Nederlands,Noot
tg:lhph:34907,83ebaeb7-f9c7-5bb9-98a9-b0953b46bee6,Items,1,tr:lh:9850,218439/16,isad:lh:95298,L 2057 / P,,,,,Nederlands,Noot
tg:lhph:29636,ea3df8db-10b2-515f-8064-5e83e2508e28,Items,1,,235148/3-4,,G 8943 / P,,,,,Nederlands,Noot
