ResourceID,brocade.id,card,order,adm.acquiredVia,adm.plaatsingsnummer,adm.inv,adm.isadPartOf,adm.note,adm.volgnummer
e949166d-3172-5e4a-bb0b-b75285d96794,tg:lhps:51411,Items,1,tr:lh:110342,A 24915 / A,,,,
59c8bf1e-503c-5024-80af-3d2b60ae2e26,tg:lhps:30102,Items,1,tr:lh:9940,PP 210 / A (CA 268),225265/85,isad:lh:170202,,
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,Items,1,,"P 7385 / A (LK II,7)",237244,,,
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,tg:lhps:3371,Items,1,tr:lh:7019,H 890 / A,180460,,,
b362c266-7802-5e2c-8e99-b118e5f8c762,tg:lhps:683,Items,1,,P 1959 / A,235092,,,
b362c266-7802-5e2c-8e99-b118e5f8c762,tg:lhps:683,Items,2,,P 1959 / A,235093,,,
df18cc73-b836-5d25-b31f-e2d06c18827b,tg:lhps:45002,Items,1,,GG 138 / A,225289/187,,,
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,Items,1,tr:lh:7632,S 4687 / A,214195,,,
c69ad6eb-d519-5370-b892-182726872abd,tg:lhps:12970,Items,1,tr:lh:7632,C 20385 / A,213516,,,
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,Items,1,tr:lh:110342,M 1885 / A,,,,
8a53d7ca-91c2-5a9d-86d0-1e197e363de8,tg:lhps:24511,Items,1,tr:lh:7875,O 3369 / A (CM1459),225212/2456,isad:lh:92200,,
cb830c18-051c-547d-b66f-6d27abc54b1d,tg:lhps:21713,Items,1,tr:lh:7875,O 3369 / A,225212/329,isad:lh:92467,,
e20cca8a-dacb-5e56-86fc-eea257087513,tg:lhps:20801,Items,1,,H 132 / A,215084/4,,,
a31f4b61-a71c-585d-8258-367dea709e1c,tg:lhps:379,Items,1,,A 357 / A,236559,,,
ffa01a01-8561-5e00-a849-6629810395e5,tg:lhps:40200,Items,1,,V 345355 / A,225271/260,,,
e75534b7-b093-5857-9956-2f24648b23a3,tg:lhps:16460,Items,1,,B 628 / A,216279,,,
39ab6b52-f461-5f7d-a1cc-28b546e10573,tg:lhps:9286,Items,1,tr:lh:7316,S 4685 / A,184300,,,
d36fcc70-f011-5012-bc6d-59e9661c1e7a,tg:lhps:13398,Items,1,tr:lh:7632,S 4687 / A,213933,,,
a0b28386-23aa-5ff3-b9b1-e341b8db24ac,tg:lhps:48630,Items,1,,MM 280 / A,216829/347,,,
3fdd75ce-7126-5955-801a-bf2545e3e100,tg:lhps:35300,Items,1,,AV.93.2.102,225272/2639,isad:lh:92220,,
c9601883-4615-5194-9521-89605be430e0,tg:lhps:55901,Items,1,tr:lh:110342,JJ 23 / A,,,,
7079d3b8-c42d-5792-8e61-e168bdabd9f7,tg:lhps:19795,Items,1,,E 2362 / A,215052/84,,,
5d6af07c-0711-585b-89b7-f3f1ba9f50c3,tg:lhps:6173,Items,1,,O 295 / A,237064,,,
8395a9e3-2a12-52f6-b5f0-7d47afbb8c60,tg:lhps:18887,Items,1,,D 217 / A,215038/81,,,
b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,tg:lhps:29323,Items,1,tr:lh:9937,V 75457 / A (VM825),225261/825,isad:lh:92204,,
3658960c-5aff-5f22-b543-9bdce511d66d,tg:lhps:2999,Items,1,tr:lh:7019,H 262 / A,181526,,,
61777f10-ec42-507e-8410-4704d38e58c9,tg:lhps:54613,Items,1,tr:lh:7281,T 376505 / A,179869/18,,,
8aa76993-09ca-5cdc-aba2-56b1c449c41e,tg:lhps:49922,Items,1,,P 9323 / A,225293/520,,,
f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,tg:lhps:51942,Items,1,tr:lh:110437,S 810974 / A,,,,
d7e3736c-a419-5d5b-88d0-7e63e550016c,tg:lhps:36486,Items,1,,AV.5740,225272/1643a,isad:lh:92876,,
88286c6a-3182-5052-b483-7ce588c7e2a0,tg:lhps:2130,Items,1,,E 4152 / A,162021,,,
736f4e56-0921-55e9-a12d-f32c7526373c,tg:lhps:31343,Items,1,,T 196 / A,225269/117,,,
702a9b51-dccb-5728-9927-c16a759d5ff0,tg:lhps:57195,Items,1,,O 296 / A,,isad:lh:133770,,
36602cdc-061b-5781-b577-edd77d8b8eb1,tg:lhps:50650,Items,1,tr:lh:9943,G 21795 / A,,isad:lh:114487,,
7f92434e-2f68-5975-94c7-e7f566181a8a,tg:lhps:28498,Items,1,,O 4389 / A,225260/244,,,
44e4e359-f985-5ee6-995b-4c21735fd330,tg:lhps:58260,Items,1,,A 357 / A,,,,
a1454ee0-f2a7-5cca-b9d9-89f8903419df,tg:lhps:25750,Items,1,,M 96798 / A,225255/510,,,
264ec288-3975-59d4-8b70-7d6e1ccb916b,tg:lhps:22095,Items,1,tr:lh:7875,L 962 / A,225212/297,isad:lh:92200,,
78e35c4c-4159-5f57-8f69-16388bdc30d7,tg:lhps:44243,Items,1,,AV.86.2.144,225272/2710,isad:lh:92220,,
33b73bef-649e-51bc-a014-7706dca214da,tg:lhps:12423,Items,1,tr:lh:7634,"EE 104 / A (LK IV,9)",212969,,,
3130c849-b859-59bc-bfaf-0f099487a3cf,tg:lhps:43586,Items,1,,DD 43 / A,225284/248,,,
191cd4fb-fed5-594e-a362-1a4056f7f38e,tg:lhps:24842,Items,1,,M 5582 / A,225255/38,,,
592ad513-d388-58d5-961e-57ce94083e59,tg:lhps:41041,Items,1,,W 218 / A,225273/287,,,
2984e583-cce8-59a7-9898-41858fa2b3c5,tg:lhps:17621,Items,1,,V 1521 / A,217238,,,
499517a6-ef52-5c05-ae55-74d1e248d9d0,tg:lhps:46784,Items,1,,M 1885 / A,225291/189,,,
499517a6-ef52-5c05-ae55-74d1e248d9d0,tg:lhps:46784,Items,2,,H 6968 / A,,isad:lh:132149,,
dcd0e454-3cf9-58b5-8a0e-8459b057843e,tg:lhps:59888,Items,1,tr:lh:110342,VV 274 / A,,,,
df455a42-42b3-5ea4-9498-ae2ff9b364bd,tg:lhps:47896,Items,1,,GG 132 / A,,,,
3b39ac91-5eb4-547a-b489-bbf5220b9d56,tg:lhps:20552,Items,1,,G 3655 / A,215073/2,,,
e6e542cd-a34f-5cf6-bb63-8ae44335f991,tg:lhps:27297,Items,1,tr:lh:7875,O 3369 / A (CM3216),225212/4214,isad:lh:92200,,
9b4b501e-feba-5ed2-a9e7-b7de1c0f3051,tg:lhps:16933,Items,1,,C 14065 / A,216741,,,
3010492c-66cf-5453-b0fa-1426639dad0e,tg:lhps:52397,Items,1,tr:lh:110437,H 890 / A,,,,
4f7cb5ae-7386-56dd-a8db-83e4c5881043,tg:lhps:28162,Items,1,,O 3642 / A,225260/77,,,
47438e29-55cc-542e-a0f9-4f277f286c7d,tg:lhps:55452,Items,1,,KK 106 / A,,isad:lh:129680,,
2c5a292f-ff54-5b98-aee4-41b6e95e47e8,tg:lhps:33684,Items,1,,AV.19.14.8,225272/1959,isad:lh:92220,,
37581d15-5ef7-5d72-be9b-b0b95cbc3463,tg:lhps:7332,Items,1,,T 161227 / A,239798,,,
4978e3c7-d767-5470-ae5e-e982f63b1ed0,tg:lhps:49471,Items,1,,TT 127 / A,,,,
f49fde20-158a-5195-b666-90849cb8d159,tg:lhps:34141,Items,1,,AV.38.5.10.318,225272/2144,isad:lh:92750,,
b53de2dd-bf90-553e-871a-b698d43182ee,tg:lhps:62721,Items,1,,H 6035 / A,,isad:lh:181804,,
b5cfcbeb-3670-5917-9c5f-e731c4e28901,tg:lhps:30801,Items,1,,S 626722 / A,225263/726,,,
a70f7907-7ac7-5b22-99f9-1ebbd5c0b2aa,tg:lhps:50200,Items,1,tr:lh:5172,G 993 / A,,isad:lh:92395,,
f421c7c9-edcc-5af3-82b1-2e248c96bdd5,tg:lhps:7298,Items,1,,T 1612 / A,239745,,,
3cd83fff-69ff-579b-8900-7b3137b1e096,tg:lhps:2560,Items,1,tr:lh:2250,F 3012 / A,42997,isad:lh:92381,,
688d0ae3-82de-5778-8b9c-0c514f975e49,tg:lhps:31713,Items,1,,T 335 / A,225269/386,,,
4adcb386-6bb6-58df-a5cf-9c982691635a,tg:lhps:12073,Items,1,tr:lh:7755,TT 71 / A,200877/70,isad:lh:92200,,
9cd6d513-8db1-52e2-835e-4f312b6bdff7,tg:lhps:59922,Items,1,tr:lh:110342,G 283 / A,,,,
c3da22af-7939-5c81-b582-2dedd1710f40,tg:lhps:25300,Items,1,tr:lh:7875,O 3369 / A (CM1957),225212/2954,isad:lh:92200,,
e64afef2-4704-5c74-bf28-5307be9d3016,tg:lhps:58630,Items,1,,F 221 / A,,isad:lh:138631,Uit F 221 / 38,
c4f475b3-de18-55f6-a15e-5fd23c28dabf,tg:lhps:45901,Items,1,tr:lh:30802,PP 210 / A (CA 480),225290/126,isad:lh:98629,,
24e73f1c-f491-55a5-89cd-5fd98042672a,tg:lhps:20102,Items,1,,F 165 / A,215061,,,
24e73f1c-f491-55a5-89cd-5fd98042672a,tg:lhps:20102,Items,2,,G 2704 / A,215061,,,
24e73f1c-f491-55a5-89cd-5fd98042672a,tg:lhps:20102,Items,3,,P 2044 / A,215061,,,
ea8a8af1-412e-5492-8bd3-96dfd328fc5e,tg:lhps:17271,Items,1,,S 4685 / A,216967,,,
f0b5eec1-7b97-5e11-89e4-035c4f7e7958,tg:lhps:41411,Items,1,tr:lh:1206,Z 3755 / A,20573/2,isad:lh:92572,,
69ec0647-378f-5d9d-964c-a49824d2d3dc,tg:lhps:12589,Items,1,tr:lh:7634,B 55115 / A,213161,,,
69ec0647-378f-5d9d-964c-a49824d2d3dc,tg:lhps:12589,Items,2,tr:lh:7634,B 55115 / A,213233,,,
34b8d835-7955-58ab-9b17-3b2aaf53c8e4,tg:lhps:8497,Items,1,tr:lh:7055,"S 304 / A (LK I,1)",183564,,,
ff672e70-b801-5744-859c-73f6cec5a1d6,tg:lhps:18184,Items,1,,C 2897 / A,225168,,,
7a3a1fd5-7ada-594b-8e8c-d414cd7e8286,tg:lhps:7762,Items,1,tr:lh:7019,T 3465 / A,183096,,,
141716e8-dfeb-5231-8f38-d62e8e3e35f4,tg:lhps:62371,Items,1,tr:lh:140390,MM 70 / A,,,,
0d20ac91-3ee5-535b-9bfe-a2517b96f24b,tg:lhps:34511,Items,1,,AV.38.5.10.628a,225272/2466,isad:lh:92750,,
488081b4-b933-50bb-bacb-28bb5b9fb103,tg:lhps:49021,Items,1,,O 33695 / A,225293/309,,,
030b3041-4dd1-5af0-aa16-df55cccfaf97,tg:lhps:55002,Items,1,tr:lh:7317,B 70993 / A,,,,
3d19ee8c-869e-540b-956e-13bf9153bf3c,tg:lhps:28532,Items,1,,O 4389 / A,225260/272,,,
293eed7a-eb0d-5c65-9c57-be904cddbc21,tg:lhps:6870,Items,1,tr:lh:7019,R 805 / A,181949,,,
124db75b-26ec-5003-b448-980f26c1127c,tg:lhps:15759,Items,1,tr:lh:7634,A 2892 / A,212535,,,
2c099142-36df-5557-a77e-1ebef083b14d,tg:lhps:43139,Items,1,,CC 12 / A,225281/216,,,
fae4cbe1-511f-579f-b941-5772d43a9f8a,tg:lhps:17764,Items,1,,F 108 / A,217412,,,
fae4cbe1-511f-579f-b941-5772d43a9f8a,tg:lhps:17764,Items,2,,U 653 / A,217412,,,
3440bea0-ffd8-56d8-a9e1-f643990ea2b9,tg:lhps:41104,Items,1,,W 2545 / A,225273/350,,,
12acdf07-ef40-51de-8b32-9752d60ea9d9,tg:lhps:8182,Items,1,,V 758 / A,236320/1,,,
475816b2-e6df-5ad2-8fea-304ffcbbabc6,tg:lhps:16876,Items,1,,BB 6 / A,216677,,,
2ac80143-f731-5a4b-abea-937c6235aa7a,tg:lhps:20417,Items,1,,G 1487 / A,215069/3,,,
ff51c622-4bd3-53f0-b203-f3e4c5a2ae16,tg:lhps:55517,Items,1,tr:lh:110342,BB 327 / A,,,,
d7486cb8-5ffc-55b4-8aa3-3f10f68ba930,tg:lhps:28027,Items,1,tr:lh:9939,PP 210 / A (CA 124),225259/141,isad:lh:170201,,
7fa4309a-6157-5bfd-b8e9-56ed4e7cb209,tg:lhps:62664,Items,1,tr:lh:140424,MM 70 / A,,,,
1170ac32-879a-5f30-990b-9919f4283422,tg:lhps:34004,Items,1,,AV.38.5.10.209,225272/2267,isad:lh:92750,,
ac08d257-9a85-54ab-a400-5eb59ee04a90,tg:lhps:49534,Items,1,,B 1717 / A,,isad:lh:92725,,
db4012b7-ceb2-5974-b688-a53c4fda391f,tg:lhps:18491,Items,1,,NN 67 / A,215034/66,,,
5e49f5ad-7247-5dc7-9226-2282fefadb97,tg:lhps:60659,Items,1,,O 33745 / A,,,,
29ae6c8c-485c-5ab2-a935-aeadf6ae9981,tg:lhps:7277,Items,1,,T 14 / A,55994,,,
c94735d1-4aad-53f8-86f0-25e454929fbe,tg:lhps:31206,Items,1,tr:lh:9936,S 282 / A (CS 287),225267/349,isad:lh:92208,,
2fa04bc8-adfe-5ec7-9c33-e71cb2d66ab5,tg:lhps:51807,Items,1,tr:lh:110437,A 1811 / A,,,,
161da657-5fa8-5c6f-b80c-499a9f8155eb,tg:lhps:2075,Items,1,,E 4152 / A,238416,,,
47bfa350-c6df-55d6-9c42-33cfa2d759b6,tg:lhps:50715,Items,1,,S 9409 / A,225294/285,,,
b216e6a2-4ac8-5b07-b114-f39d49a419fa,tg:lhps:27628,Items,1,tr:lh:7875,O 3369 / A (CM3546),225212/4544,isad:lh:92200,,
5c6ed3ee-30e2-58b8-abd2-15a7c75e5b88,tg:lhps:25615,Items,1,tr:lh:7875,O 3369 / A (CM2020),225212/3018,isad:lh:92200,,
68f5d335-fa3d-5aed-b77a-3563979ed0aa,tg:lhps:58325,Items,1,tr:lh:139765,DD 77 / A,,isad:lh:140015,,
594a2b02-0dcd-5305-81ad-499b87af4d65,tg:lhps:24907,Items,1,,M 622 / A,225255/63,,,
3eb2044f-8697-5972-8fa7-eac08a66f1ce,tg:lhps:44306,Items,1,,AV.88.6.60,225272/2465,isad:lh:92220,,
68886282-897a-5077-9654-cea98a2811c5,tg:lhps:8478,Items,1,,Z 317 / A,233895/2,,,
008f5337-4558-51f3-b446-88c4e6ec05e3,tg:lhps:27782,Items,1,tr:lh:7875,O 3369 / A (CM 3700),225212/4698,isad:lh:92200,,
522b39b4-7929-5a95-9d5e-0fe2ae29ad49,tg:lhps:20047,Items,1,,F 108 / A,215059/50,,,
28d29f6e-958c-5b35-86a0-80353fec1ff1,tg:lhps:46291,Items,1,,KK 161 / A,216829/247,,,
d3643507-3618-59a5-a385-0dd56df08e9b,tg:lhps:43569,Items,1,,DD 2 / A,225284/232,,,
520e8036-2bb0-5888-bd46-7d07010a8937,tg:lhps:15309,Items,1,tr:lh:6740,H 50494 / A,167017,isad:lh:92363,,
520e8036-2bb0-5888-bd46-7d07010a8937,tg:lhps:15309,Items,2,tr:lh:6740,V 36689 / A,167017,isad:lh:92363,,
520e8036-2bb0-5888-bd46-7d07010a8937,tg:lhps:15309,Items,3,tr:lh:6740,W 4897 / A,167017,isad:lh:92363,,
c3364125-41a9-5887-a843-3b224efbb357,tg:lhps:41554,Items,1,,A 3569 / A,225276/74,,,
0c79c1cc-925f-5fea-810e-b719d22f8abf,tg:lhps:17334,Items,1,,S 2143 / A,217031,,,
3daf955f-dd1b-5a1d-8505-505e7dda491f,tg:lhps:26890,Items,1,tr:lh:7875,O 3369 / A (CM2818),225212/3816,isad:lh:92200,,
69a2d5ba-43e5-56a4-a373-6b85edd2091c,tg:lhps:49164,Items,1,,AA 5 / A,,,,
573f57c0-ea65-5559-be9a-42f494a647b2,tg:lhps:53990,Items,1,,KK 106 / A,,isad:lh:123877,affiche met oranje achtergrond,
f6fc28a8-6935-5a4c-9a43-caaff01a09e7,tg:lhps:34454,Items,1,,AV.38.5.10.587,225272/2423,isad:lh:92750,,
98fd8240-9677-5639-9982-033967a0458a,tg:lhps:62234,Items,1,tr:lh:140367,BB 111 / A,,isad:lh:134182,,
80c03d1f-0bd9-5a54-a9d8-24ed0c79b926,tg:lhps:33391,Items,1,,AV.14.6.1227,225272/1290,isad:lh:92873,,
df54f9db-edef-5f2b-b8f0-a0dbb00b1e81,tg:lhps:36469,Items,1,,AV.5723,225272/1627,isad:lh:92876,,
59f12100-298f-55a0-b183-c48f6f71efe2,tg:lhps:7627,Items,1,tr:lh:2691,T 259 / A,53168,isad:lh:92541,,
40e8b895-c86c-5b51-bbbd-ba2da07591d0,tg:lhps:60209,Items,1,tr:lh:110342,M 9679 / A,,,,
a4bbbe97-c6ce-5b29-913a-9631a51a039d,tg:lhps:28477,Items,1,,O 4389 / A,60565,,,
1a644c92-6402-5977-8305-9260d00ced00,tg:lhps:55147,Items,1,tr:lh:110342,M 9679 / A,,,,
6fbc6879-56c3-5276-80cb-6765d56a6963,tg:lhps:6935,Items,1,tr:lh:7019,S 1835 / A,182000/1,,,
d473f30d-2ce4-56c3-9443-676ef3203c57,tg:lhps:4908,Items,1,tr:lh:7019,L 179 / A,182940,,,
85a7df3c-84b0-5ab4-9662-d098f5f1d8c4,tg:lhps:52682,Items,1,,F 131 / A,,,,
cd6ff38e-9bba-543b-94f5-aebfa59e451e,tg:lhps:50345,Items,1,,M 9364 / A,,,"Formaat: 59,5 x 42",
cd6ff38e-9bba-543b-94f5-aebfa59e451e,tg:lhps:50345,Items,2,,M 9364 / A (LH.341),,,Formaat: 120 x 80,
a313fd29-5962-5434-91bb-0ae6b9aa77d2,tg:lhps:57480,Items,1,,J 3368 / A,,,,
0201cda4-9887-57e5-95bc-74befb975f9a,tg:lhps:52378,Items,1,tr:lh:110437,SS 46 / A,,,,
32194da6-3530-5814-aeae-6776e37d392a,tg:lhps:31656,Items,1,,T 26514 / A,225269/335,,,
4ac056db-3143-5590-bd98-76bbf15663e6,tg:lhps:2425,Items,1,,F 131 / A,238881/1,,,
bca146ec-b6b2-51a4-89e0-18e530ec4a5e,tg:lhps:43093,Items,1,,CC 12 / A,225281/170,,,
40adc9ec-1511-550d-951f-251b98edc2b9,tg:lhps:59867,Items,1,tr:lh:110342,B 413365 / A,,,,
db1f693e-62d5-5152-b919-448a0bf65d79,tg:lhps:8028,Items,1,,V 757494 / A,236207,,,
cffa5233-c86e-5406-990f-936734481564,tg:lhps:44756,Items,1,,G 36427 / A,225289/85,,,
abd00537-c17b-54c9-8a49-a2dcfed2dc38,tg:lhps:12136,Items,1,tr:lh:7755,"B 9968 / A (LK XI,2)",200877/152,isad:lh:92200,,
9bb7709a-0bda-54c7-8a52-cf4a798a703b,tg:lhps:45844,Items,1,tr:lh:30802,PP 210 / A (CA 439),225290/85,isad:lh:98629,,
dbf2b7a7-9e1a-5e4d-a63c-cf40b84b558a,tg:lhps:22580,Items,1,tr:lh:7875,O 3369 / A (CM 283),225212/1280,isad:lh:92200,,
ffa0b057-ef99-5be9-960b-e4be3aa7bd90,tg:lhps:27278,Items,1,tr:lh:7875,O 3369 / A (CM3197),225212/4195,isad:lh:92200,,
008c24a0-9c54-5aff-8d7d-5d8a8ca12598,tg:lhps:58775,Items,1,,F 221 / A,,isad:lh:139365,Uit F 221 / 56,
a3c77faa-ce81-5105-b27c-cd91a37af14b,tg:lhps:25245,Items,1,tr:lh:7875,O 3369 / A (CM1906),225212/2903,isad:lh:92200,,
13be8839-eac0-57c2-bd17-61ef99f93f72,tg:lhps:47879,Items,1,,M 9356 / A,225292/92,,,
59c5fed0-8af1-5ee5-b181-534549d635a0,tg:lhps:40715,Items,1,,V 725 / A,107447,,,
31378770-cb80-50ff-b640-1ab2bfb65f40,tg:lhps:16175,Items,1,,B 1988 / A,215996,,,
01871863-9317-5913-95ae-79e48c9445fd,tg:lhps:9793,Items,1,tr:lh:7284,O 33745 / A,184811,,,
d3090d74-9b6d-5b5f-ad29-a900c5ef30da,tg:lhps:42728,Items,1,tr:lh:7875,C 203647 / A,225212/31,isad:lh:92200,,
7c6bd6ac-47be-5a3b-89a3-70d07f582b8c,tg:lhps:14148,Items,1,tr:lh:7632,H 575 / A,214622/1,,,
c227404c-3f5c-55a0-a24a-6a19b810551b,tg:lhps:21206,Items,1,,H 837 / A,215093/15,,,
8e55bc22-03d2-5d2f-8d88-f876a7f69a76,tg:lhps:41807,Items,1,,A 389 / A,225276/303a,,,
a72a3571-5709-5d4e-af03-98bf2058cb0e,tg:lhps:8881,Items,1,tr:lh:2791,B 906 / A,57299,isad:lh:92224,,
a72a3571-5709-5d4e-af03-98bf2058cb0e,tg:lhps:8881,Items,2,,AV.93.9.19,225272/2822,isad:lh:92220,,
b598d12b-6eea-5fd2-91d5-17351455d0a4,tg:lhps:29636,Items,1,,P 9337 / A,225263/183,,,
398a1dc2-86a0-554c-b0d4-ab6a95d7d5b3,tg:lhps:54306,Items,1,tr:lh:110342,M 9679 / A,,,,
c8284ec9-11df-55dd-84d7-ca3f158d5162,tg:lhps:28924,Items,1,tr:lh:9937,V 75457 / A (VM425),225261/425,isad:lh:92204,,
88db4944-3e90-5317-926e-1073409c75f8,tg:lhps:19280,Items,1,,V 7576 / A,215047/40,,,
55e02086-3506-5227-a6db-12aa5cd426f3,tg:lhps:61048,Items,1,,"O 33745 / A (LK X,8)",,,,
2c3c675b-a9e0-5ee6-82a7-3cc2aacc1d8e,tg:lhps:6466,Items,1,,P 545 / A,238914,,,
b8dd8dfd-9776-51f9-8910-fb12f2c26221,tg:lhps:48325,Items,1,tr:lh:103936,Y 952 / A,,,,
dfd1cbdc-fc08-5696-b107-941e9ffd2ed0,tg:lhps:3664,Items,1,,J 3357 / A,239321,,,
dfd1cbdc-fc08-5696-b107-941e9ffd2ed0,tg:lhps:3664,Items,2,tr:lh:7875,,225212/481,,,
fd4033da-37d1-5cef-b771-3943a855f253,tg:lhps:30417,Items,1,,S 2143 / A,225263/502,,,
b0a0ec29-b2e7-571d-878d-dbad470cd587,tg:lhps:1659,Items,1,,"G 19969 / A (LK II,10)",236254/1,,,
aad36c62-af59-5546-b262-4d02d77d8f5a,tg:lhps:53139,Items,1,tr:lh:110342,TT 181 / A,,,,
ff469774-8a33-5c37-95d8-1421d66b021f,tg:lhps:51104,Items,1,,MM 42 / A,,isad:lh:106225,,
bb94bd4f-868e-520d-aa4b-c8955d118c6f,tg:lhps:18868,Items,1,,D 1995 / A,215038,,,
bb94bd4f-868e-520d-aa4b-c8955d118c6f,tg:lhps:18868,Items,2,,F 277 / A,215038,,,
8f64b58c-4bfa-5afc-8d2b-ee88388b7a51,tg:lhps:2976,Items,1,,G 9662 / A,237183,,,
0e046e87-c909-5c38-a425-8cbed3ec7876,tg:lhps:59534,Items,1,tr:lh:110342,AA 84 / A,,,,
ddf0b260-646c-5658-9933-8de014c8e7ee,tg:lhps:24004,Items,1,tr:lh:7875,O 3369 / A (CM1016),225212/2013,isad:lh:92200,,
fa03c0f4-d849-5c90-a1f0-c7e95b628bc3,tg:lhps:26039,Items,1,tr:lh:7875,A 24941 / A (CM2272),225212/3270,isad:lh:92200,,
da33d6c6-dd36-5e7d-a6f6-0d377cabd86c,tg:lhps:9269,Items,1,tr:lh:7316,S 4685 / A,184285,,,
8d20581a-ba0a-5c95-87de-5d52ae8e0113,tg:lhps:45517,Items,1,,J 287 / A,225289/543,,,
fff4991e-9245-59d9-ad7b-583ba892ce16,tg:lhps:13377,Items,1,tr:lh:7632,S 4687 / A,213912,,,
554bdf14-2c6e-52a9-8044-915f298d960f,tg:lhps:396,Items,1,,A 357 / A,236539,,,
