ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier,source role,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,ISAAR Brocade ID,Original Entity Type,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubens Commissie / Brieven - Kladboek / [doorstreept: Niet gephotografieerde schilderijen van Rubens / naar Landen en Steden gerangschikt] / II - 1892,titles proper,Dutch (language),,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:525,https://data.museumplantinmoretus.be/ark:/11975/0080ab7f-8e6d-5f07-8ad8-19fa53513765,Registers,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_AssociatedRecords,2,,,,,,mpmre,,vorig register,tg:mpmre:524,Verwijzing naar MPM objectbeschrijvingen,489a3ad6-e940-59e5-aea3-d48c1ec72a84,"[{""resourceId"": ""489a3ad6-e940-59e5-aea3-d48c1ec72a84"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e03ded13-11b6-408f-bcad-aa139fd766cb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c0576633-cd5a-443a-ad8a-ce550f5be166"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b102a1f1-c119-4599-90c9-fe600477301e"", ""inverseOntologyProperty"": """"}]"
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591,1706,No Copyright - Public Domain Mark 1.0,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_CreationActors,1,,,,,,,,,,,,,455c1363-f306-5b61-91c4-2c01d43428ab,au::106906,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_CreationActors,2,,,,,,,,,,,,,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15910129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16020326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,1591-01-29,,1602-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderne convoluutband van losse vellen en katernen met concepten van uitgaande brieven,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transcripts,Digitale beelden in de World Digital Library: https://www.wdl.org/en/item/11728,Nederlands,remarks,11728,https://www.wdl.org/en/item/,PURL,,,,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Languages,2,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Languages,3,kenmerken.mpmlanguage,ita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian (language),,,,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/re/000000519,referentienummer,False,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmre:525,brocade id,False,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmre:525/N,brocade url,False,,,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c039f5a4-200b-5ed3-961a-0843dc1c1a33"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e9cd7ecc-dff9-453f-bd9e-e571827f7f7a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
0080ab7f-8e6d-5f07-8ad8-19fa53513765,tg:mpmre:525,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brievenboek 1591-1602,titles proper,Dutch (language),,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:156,https://data.museumplantinmoretus.be/ark:/11975/00965f57-9509-512d-a935-131a0d7c260f,Registers,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_AnnotationsImmaterial,2,note.mpmalg,"<p>Bevat enkele losse stukken</p>
","<p>Bevat enkele losse stukken</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_AssociatedRecords,1,,,,,,mpmre,A,vorig register,tg:mpmre:155,Verwijzing naar MPM objectbeschrijvingen,da472f92-bdd2-5420-b652-3e2be1d0d5ca,"[{""resourceId"": ""da472f92-bdd2-5420-b652-3e2be1d0d5ca"", ""ontologyProperty"": """", ""resourceXresourceId"": ""061c5a6c-779a-4c07-bfd7-de0f84657746"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2ec2aa24-e77a-41f7-a3ad-3ef6f8a077ee"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b996d52-1f77-4714-b0f9-7be720c46e42"", ""inverseOntologyProperty"": """"}]"
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723,1838,No Copyright - Public Domain Mark 1.0,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_CreationActors,1,,,,,,,,,,,,,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17230522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,1723-05-22,,1800-07-17,,fol. 1 links,creation date note,Nederlands,fol. 135 recto,creation date note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/re/000000152,referentienummer,False,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmre:156,brocade id,False,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmre:156/N,brocade url,False,,,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5aeeb953-7397-509a-aae7-ecfc25b31b9f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f78f91b3-503e-4d91-ada2-c980ff23edfd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werkliedenboek 1723-1800,titles proper,Dutch (language),,,,
00965f57-9509-512d-a935-131a0d7c260f,tg:mpmre:156,e73_Titles,2,id.title/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livre des comptes des imprimereurs, compositeurs et imprim[eur]s des tailles douces començant [sic] au mois de maij 1723. Signé B.",incipits,French (language),,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:378,https://data.museumplantinmoretus.be/ark:/11975/00e2d85a-e51c-502e-b7b4-17f7a66b9b01,Akten,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Looptijd: 12 jaar</p>
","<p>Looptijd: 12 jaar</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""46b3e37f-7664-4f0e-a6c9-49ea60ebe0f2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0eda89ad-1898-401c-930d-54a4b16dc092"", ""inverseOntologyProperty"": """"}]"
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1695,No Copyright - Public Domain Mark 1.0,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_CreationActors,1,,,,,,,,,,,,,7113bf60-4d7f-5e59-8211-53151e404e61,au::14861,,,,va,recipients (people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_CreationActors,2,,,,,,,,,,,,,e4a31d29-f730-5f90-a90a-76c8da90efc0,au::108868,,,,vd,begunstiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,1580-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,,,,c:lvd:373163,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_ExternalRelations,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,,,,c:lvd:7083235,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_ExternalRelations,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,,,,c:lvd:730488,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/ak/000000365,referentienummer,False,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmak:378,brocade id,False,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmak:378/N,brocade url,False,,,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1c45e7e4-6c92-5b5c-884f-fb667a475bee"", ""ontologyProperty"": """", ""resourceXresourceId"": ""db0b34e2-1bf9-4639-8e29-e2af28ba0b83"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,tg:mpmak:378,e73_Titles,1,id.title/subTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Privilege toegekend door de Raad van Brabant voor het drukken van het boek Descrittione di tutti i Paesi Bassi van Ludovico Guicciardini in alle talen,constructed titles,Dutch (language),,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:378,https://data.museumplantinmoretus.be/ark:/11975/00eefe84-d8db-55ef-87a0-0fdf632d6d3b,Registers,,,,,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_AssociatedRecords,1,,,,,,mpmre,,volgend register,tg:mpmre:379,Verwijzing naar MPM objectbeschrijvingen,11df1a8d-0cfe-5c0d-b000-ffef17e4d714,"[{""resourceId"": ""11df1a8d-0cfe-5c0d-b000-ffef17e4d714"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f029fc4f-520c-4ddc-9ced-40e6d540d65a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_AssociatedRecords,2,,,,,,mpmre,,vorig register,tg:mpmre:377,Verwijzing naar MPM objectbeschrijvingen,528a2503-f80a-5a93-a539-13612dd4b221,"[{""resourceId"": ""528a2503-f80a-5a93-a539-13612dd4b221"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5c0ad36d-c46b-4f0f-93f0-60620fbf3c46"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""49fefd8c-ca67-414e-b81a-44566de0ac8e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2dc7cb32-933a-43e4-a087-084d487ad211"", ""inverseOntologyProperty"": """"}]"
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643,1758,No Copyright - Public Domain Mark 1.0,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_CreationActors,1,,,,,,,,,,,,,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16430102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,tg:mpmre:378,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16431231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
