ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,Object Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,112 x 175,"112 x 175 - height, width, kenmerken.mpmformatph",,,,,,
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,112,hoogte,millimeter,,,,,,,,
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,175,breedte,millimeter,,,,,,,,
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:16_#1,https://data.museumplantinmoretus.be/ark:/11975/441c824c-45cf-515d-a021-27e089d7928a,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,180 x 246,"180 x 246 - height, width, kenmerken.mpmformatph",,,,,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,180,hoogte,millimeter,,,,,,,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,246,breedte,millimeter,,,,,,,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:11_#1,https://data.museumplantinmoretus.be/ark:/11975/8f71b843-ee7e-5121-bd20-f1741e59f3ed,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,182 x 240,"182 x 240 - height, width, kenmerken.mpmformatph",,,,,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,182,hoogte,millimeter,,,,,,,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,240,breedte,millimeter,,,,,,,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:14_#1,https://data.museumplantinmoretus.be/ark:/11975/c69d0e47-9009-53bb-ad77-2e33fd199b30,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,175 x 233,"175 x 233 - height, width, kenmerken.mpmformatph",,,,,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,175,hoogte,millimeter,,,,,,,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,233,breedte,millimeter,,,,,,,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
