Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:3388,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3388/N,031756e2-6d4a-5915-b5db-a9235abdbddc,BE-ANN14/gr/000003388,Rubenianum,https://data.rubenianum.be//ark:/86530/031756e2-6d4a-5915-b5db-a9235abdbddc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2433,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2433/N,a92134b5-0ae2-5049-83e8-8a59785c8357,BE-ANN14/gr/000002433,Rubenianum,https://data.rubenianum.be//ark:/86530/a92134b5-0ae2-5049-83e8-8a59785c8357,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2063,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2063/N,fb224144-3e5f-5edb-ba90-a21e0a17a872,BE-ANN14/gr/000002063,Rubenianum,https://data.rubenianum.be//ark:/86530/fb224144-3e5f-5edb-ba90-a21e0a17a872,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2448,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2448/N,245a391c-8e42-5d2a-a333-6f48ee5cd7b1,BE-ANN14/gr/000002448,Rubenianum,https://data.rubenianum.be//ark:/86530/245a391c-8e42-5d2a-a333-6f48ee5cd7b1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4965,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4965/N,4385a282-15f2-5400-88c0-ca2fa0d76a88,BE-ANN14/gr/000004965,Rubenianum,https://data.rubenianum.be//ark:/86530/4385a282-15f2-5400-88c0-ca2fa0d76a88,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1321,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1321/N,0dd33f22-6022-54eb-b09e-eaa4186c4846,BE-ANN14/gr/000001321,Rubenianum,https://data.rubenianum.be//ark:/86530/0dd33f22-6022-54eb-b09e-eaa4186c4846,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1399,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1399/N,708ed429-392e-5eca-8a18-65eae43c07fe,BE-ANN14/gr/000001399,Rubenianum,https://data.rubenianum.be//ark:/86530/708ed429-392e-5eca-8a18-65eae43c07fe,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2673,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2673/N,3f4882e7-2156-50ad-a957-b12c1adb704d,BE-ANN14/gr/000002673,Rubenianum,https://data.rubenianum.be//ark:/86530/3f4882e7-2156-50ad-a957-b12c1adb704d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2736,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2736/N,9e196bb0-7f75-5a56-a23b-051cb2a474b6,BE-ANN14/gr/000002736,Rubenianum,https://data.rubenianum.be//ark:/86530/9e196bb0-7f75-5a56-a23b-051cb2a474b6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2366,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2366/N,1c79fab5-84da-5f36-b982-24f79a4e6dd9,BE-ANN14/gr/000002366,Rubenianum,https://data.rubenianum.be//ark:/86530/1c79fab5-84da-5f36-b982-24f79a4e6dd9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2059,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2059/N,8af96a7d-dbb6-5d8c-b5ca-d61f1279d7c3,BE-ANN14/gr/000002059,Rubenianum,https://data.rubenianum.be//ark:/86530/8af96a7d-dbb6-5d8c-b5ca-d61f1279d7c3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2235,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2235/N,ecd10fbe-04eb-5005-805b-d8ef18e05da3,BE-ANN14/gr/000002235,Rubenianum,https://data.rubenianum.be//ark:/86530/ecd10fbe-04eb-5005-805b-d8ef18e05da3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:586,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:586/N,97af1d09-fbb7-5c75-8de1-d3c5976d1574,BE-ANN14/gr/000000586,Rubenianum,https://data.rubenianum.be//ark:/86530/97af1d09-fbb7-5c75-8de1-d3c5976d1574,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:752,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:752/N,85442c1e-b453-5a1d-a2f2-0706d61b5df0,BE-ANN14/gr/000000752,Rubenianum,https://data.rubenianum.be//ark:/86530/85442c1e-b453-5a1d-a2f2-0706d61b5df0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:181,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:181/N,cf465dec-4dd5-5e28-bd54-34d0c63c6789,BE-ANN14/gr/000000181,Rubenianum,https://data.rubenianum.be//ark:/86530/cf465dec-4dd5-5e28-bd54-34d0c63c6789,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2262,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2262/N,043475a8-e637-52ef-904f-63521481bc6f,BE-ANN14/gr/000002262,Rubenianum,https://data.rubenianum.be//ark:/86530/043475a8-e637-52ef-904f-63521481bc6f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2645,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2645/N,16e1dee2-135a-5ea2-87e8-73755c94bfa9,BE-ANN14/gr/000002645,Rubenianum,https://data.rubenianum.be//ark:/86530/16e1dee2-135a-5ea2-87e8-73755c94bfa9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:375,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:375/N,b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,BE-ANN14/gr/000000375,Rubenianum,https://data.rubenianum.be//ark:/86530/b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2429,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2429/N,69f08c39-b838-57b1-98b6-0d04ac59ebf9,BE-ANN14/gr/000002429,Rubenianum,https://data.rubenianum.be//ark:/86530/69f08c39-b838-57b1-98b6-0d04ac59ebf9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2307,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2307/N,dbda26c2-c6ed-5f8e-98bf-d7a3763db587,BE-ANN14/gr/000002307,Rubenianum,https://data.rubenianum.be//ark:/86530/dbda26c2-c6ed-5f8e-98bf-d7a3763db587,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:908,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:908/N,a72a1a6a-c98a-5410-b745-43abfdd72cdf,BE-ANN14/gr/000000908,Rubenianum,https://data.rubenianum.be//ark:/86530/a72a1a6a-c98a-5410-b745-43abfdd72cdf,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1747,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1747/N,21b98523-1953-5222-bf58-55dc47fb9c51,BE-ANN14/gr/000001747,Rubenianum,https://data.rubenianum.be//ark:/86530/21b98523-1953-5222-bf58-55dc47fb9c51,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3280,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3280/N,6e38af89-47d9-5a7a-8730-98d552436b7f,BE-ANN14/gr/000003280,Rubenianum,https://data.rubenianum.be//ark:/86530/6e38af89-47d9-5a7a-8730-98d552436b7f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4115,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4115/N,2d12f68e-49c7-5d45-b8c0-8204faace167,BE-ANN14/gr/000004115,Rubenianum,https://data.rubenianum.be//ark:/86530/2d12f68e-49c7-5d45-b8c0-8204faace167,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2311,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2311/N,6785c56a-cdc0-5343-beb9-09959d5651a8,BE-ANN14/gr/000002311,Rubenianum,https://data.rubenianum.be//ark:/86530/6785c56a-cdc0-5343-beb9-09959d5651a8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1182,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1182/N,a88518c4-e145-5ce7-892c-68b6bca6cbed,BE-ANN14/gr/000001182,Rubenianum,https://data.rubenianum.be//ark:/86530/a88518c4-e145-5ce7-892c-68b6bca6cbed,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1751,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1751/N,4105d536-5663-5d9f-a8c1-42e7bfd880e4,BE-ANN14/gr/000001751,Rubenianum,https://data.rubenianum.be//ark:/86530/4105d536-5663-5d9f-a8c1-42e7bfd880e4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3279,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3279/N,4f2b5b6c-be18-5d28-afa9-d7ed9883d816,BE-ANN14/gr/000003279,Rubenianum,https://data.rubenianum.be//ark:/86530/4f2b5b6c-be18-5d28-afa9-d7ed9883d816,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2192,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2192/N,248fd077-40fa-5978-a103-71d6b813317d,BE-ANN14/gr/000002192,Rubenianum,https://data.rubenianum.be//ark:/86530/248fd077-40fa-5978-a103-71d6b813317d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3557,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3557/N,5de2b479-2291-57ec-b131-20cc80c593ac,BE-ANN14/gr/000003557,Rubenianum,https://data.rubenianum.be//ark:/86530/5de2b479-2291-57ec-b131-20cc80c593ac,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4787,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4787/N,31c8eee5-d8d9-5bbe-b4df-9b6b073f0838,BE-ANN14/gr/000004787,Rubenianum,https://data.rubenianum.be//ark:/86530/31c8eee5-d8d9-5bbe-b4df-9b6b073f0838,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2653,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2653/N,a67eeaca-82bb-5ae3-8855-410ea6c5b4d7,BE-ANN14/gr/000002653,Rubenianum,https://data.rubenianum.be//ark:/86530/a67eeaca-82bb-5ae3-8855-410ea6c5b4d7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:226,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:226/N,f76b6914-8bd7-5405-bf57-af80c1dabb98,BE-ANN14/gr/000000226,Rubenianum,https://data.rubenianum.be//ark:/86530/f76b6914-8bd7-5405-bf57-af80c1dabb98,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4011,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4011/N,f034f50d-aa99-5e39-9434-b34e19c15998,BE-ANN14/gr/000004011,Rubenianum,https://data.rubenianum.be//ark:/86530/f034f50d-aa99-5e39-9434-b34e19c15998,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2278,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2278/N,d53effcf-3a9e-5484-88f4-b10fd749efa2,BE-ANN14/gr/000002278,Rubenianum,https://data.rubenianum.be//ark:/86530/d53effcf-3a9e-5484-88f4-b10fd749efa2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:174,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:174/N,22671933-0ed5-578a-87c8-7988aeed42f8,BE-ANN14/gr/000000174,Rubenianum,https://data.rubenianum.be//ark:/86530/22671933-0ed5-578a-87c8-7988aeed42f8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:748,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:748/N,e7e2ea61-d663-57e0-8c6a-c292d8678095,BE-ANN14/gr/000000748,Rubenianum,https://data.rubenianum.be//ark:/86530/e7e2ea61-d663-57e0-8c6a-c292d8678095,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3310,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3310/N,25996cb6-c4b1-5e53-a16c-92e827a3020d,BE-ANN14/gr/000003310,Rubenianum,https://data.rubenianum.be//ark:/86530/25996cb6-c4b1-5e53-a16c-92e827a3020d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2151,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2151/N,865dad8b-53d3-5f68-929c-9321e4733174,BE-ANN14/gr/000002151,Rubenianum,https://data.rubenianum.be//ark:/86530/865dad8b-53d3-5f68-929c-9321e4733174,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2385,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2385/N,6300799f-4fe7-56c4-b237-7dba90752b38,BE-ANN14/gr/000002385,Rubenianum,https://data.rubenianum.be//ark:/86530/6300799f-4fe7-56c4-b237-7dba90752b38,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1546,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1546/N,2194ea8b-0a85-503f-9eee-e9972556acda,BE-ANN14/gr/000001546,Rubenianum,https://data.rubenianum.be//ark:/86530/2194ea8b-0a85-503f-9eee-e9972556acda,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4314,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4314/N,4da34ead-8a54-5672-8028-83078c9f8563,BE-ANN14/gr/000004314,Rubenianum,https://data.rubenianum.be//ark:/86530/4da34ead-8a54-5672-8028-83078c9f8563,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3828,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3828/N,b2e3659a-a775-57c2-807f-3ceadf6d3afe,BE-ANN14/gr/000003828,Rubenianum,https://data.rubenianum.be//ark:/86530/b2e3659a-a775-57c2-807f-3ceadf6d3afe,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1395,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1395/N,931e776c-4cde-5a59-8092-a24eb9b837bb,BE-ANN14/gr/000001395,Rubenianum,https://data.rubenianum.be//ark:/86530/931e776c-4cde-5a59-8092-a24eb9b837bb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2669,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2669/N,feda592c-e655-520c-89f0-32eb1140bd1e,BE-ANN14/gr/000002669,Rubenianum,https://data.rubenianum.be//ark:/86530/feda592c-e655-520c-89f0-32eb1140bd1e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2393,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2393/N,33e6cb98-f088-5610-aa3a-346865cb1d69,BE-ANN14/gr/000002393,Rubenianum,https://data.rubenianum.be//ark:/86530/33e6cb98-f088-5610-aa3a-346865cb1d69,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2686,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2686/N,a7642c59-ff93-588a-9729-84a045f10181,BE-ANN14/gr/000002686,Rubenianum,https://data.rubenianum.be//ark:/86530/a7642c59-ff93-588a-9729-84a045f10181,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2517,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2517/N,794754da-f682-5c8d-8e54-9406ff9f4960,BE-ANN14/gr/000002517,Rubenianum,https://data.rubenianum.be//ark:/86530/794754da-f682-5c8d-8e54-9406ff9f4960,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2516,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2516/N,29c016e9-efc2-57fd-ab98-790534d47785,BE-ANN14/gr/000002516,Rubenianum,https://data.rubenianum.be//ark:/86530/29c016e9-efc2-57fd-ab98-790534d47785,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4641,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4641/N,3ac99a10-14b5-56e2-b1f0-b960ec33ed93,BE-ANN14/gr/000004641,Rubenianum,https://data.rubenianum.be//ark:/86530/3ac99a10-14b5-56e2-b1f0-b960ec33ed93,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2280,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2280/N,437b3ab5-c7de-59c1-961f-55e0306ecb85,BE-ANN14/gr/000002280,Rubenianum,https://data.rubenianum.be//ark:/86530/437b3ab5-c7de-59c1-961f-55e0306ecb85,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1228,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1228/N,ef0ebb1f-7b18-52b1-8be2-5c70bbdc3c42,BE-ANN14/gr/000001228,Rubenianum,https://data.rubenianum.be//ark:/86530/ef0ebb1f-7b18-52b1-8be2-5c70bbdc3c42,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:708,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:708/N,2d87282f-cc45-5ed7-8873-2a64b5bf17b3,BE-ANN14/gr/000000708,Rubenianum,https://data.rubenianum.be//ark:/86530/2d87282f-cc45-5ed7-8873-2a64b5bf17b3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2668,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2668/N,7b747166-e6dc-54ae-8bb5-3d846ae8688e,BE-ANN14/gr/000002668,Rubenianum,https://data.rubenianum.be//ark:/86530/7b747166-e6dc-54ae-8bb5-3d846ae8688e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2687,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2687/N,d5ab01e5-834f-5d86-93ed-bd48d18a7b4a,BE-ANN14/gr/000002687,Rubenianum,https://data.rubenianum.be//ark:/86530/d5ab01e5-834f-5d86-93ed-bd48d18a7b4a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2384,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2384/N,3730dbde-aca7-51a7-9219-9e74cba34c7c,BE-ANN14/gr/000002384,Rubenianum,https://data.rubenianum.be//ark:/86530/3730dbde-aca7-51a7-9219-9e74cba34c7c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:964,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:964/N,13ed4e87-4215-5c52-a594-fd7ede674dbd,BE-ANN14/gr/000000964,Rubenianum,https://data.rubenianum.be//ark:/86530/13ed4e87-4215-5c52-a594-fd7ede674dbd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1951,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1951/N,0d9b6087-0a9e-519e-9db4-78c093e1a3fd,BE-ANN14/gr/000001951,Rubenianum,https://data.rubenianum.be//ark:/86530/0d9b6087-0a9e-519e-9db4-78c093e1a3fd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1052,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1052/N,ed50cbf0-3cd7-5b70-b567-3981214cf5a4,BE-ANN14/gr/000001052,Rubenianum,https://data.rubenianum.be//ark:/86530/ed50cbf0-3cd7-5b70-b567-3981214cf5a4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:749,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:749/N,dd716db3-acb4-5860-baa3-44900cc45ba0,BE-ANN14/gr/000000749,Rubenianum,https://data.rubenianum.be//ark:/86530/dd716db3-acb4-5860-baa3-44900cc45ba0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2150,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2150/N,9e371504-c02c-5d27-8a8c-41ee890baee6,BE-ANN14/gr/000002150,Rubenianum,https://data.rubenianum.be//ark:/86530/9e371504-c02c-5d27-8a8c-41ee890baee6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2279,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2279/N,3ee7047c-78cb-536a-8a9e-9528664bc93a,BE-ANN14/gr/000002279,Rubenianum,https://data.rubenianum.be//ark:/86530/3ee7047c-78cb-536a-8a9e-9528664bc93a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2347,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2347/N,b81ff850-c2f8-5cbd-8d2c-057c07f55b82,BE-ANN14/gr/000002347,Rubenianum,https://data.rubenianum.be//ark:/86530/b81ff850-c2f8-5cbd-8d2c-057c07f55b82,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1750,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1750/N,df6a787c-57ee-58df-a924-55dc4d23b577,BE-ANN14/gr/000001750,Rubenianum,https://data.rubenianum.be//ark:/86530/df6a787c-57ee-58df-a924-55dc4d23b577,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3278,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3278/N,2846af04-26e3-5315-9499-1707e7dc7abc,BE-ANN14/gr/000003278,Rubenianum,https://data.rubenianum.be//ark:/86530/2846af04-26e3-5315-9499-1707e7dc7abc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
