Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Transcription ID,Status,Access Type,Keeper,Object Identifier,Transcription URL,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:mpmak:178,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:178/N,ed45eb92-593c-5aa0-a37a-f1426cef366f,BE-ANN00/ak/000000166,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ed45eb92-593c-5aa0-a37a-f1426cef366f,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:20,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:20/N,7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,BE-ANN00/ak/000000011,paper (fiber product),d:mpm:2031,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,https://anet.be/docstore/d:mpm:2031,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:206,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:206/N,3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,BE-ANN00/ak/000000194,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:343,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:343/N,c3d5ce56-63b9-5d07-a992-7f084c4687b5,BE-ANN00/ak/000000331,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c3d5ce56-63b9-5d07-a992-7f084c4687b5,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:98,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:98/N,15565c71-b2cd-5925-96bd-2d1dc9c6594c,BE-ANN00/ak/000000087,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/15565c71-b2cd-5925-96bd-2d1dc9c6594c,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:77,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:77/N,daadc3e8-0f68-5054-bc39-ad4b3996b2a4,BE-ANN00/ak/000000067,parchment (animal material),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/daadc3e8-0f68-5054-bc39-ad4b3996b2a4,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:210,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:210/N,ae061637-9aca-53de-9042-41252b523078,BE-ANN00/ak/000000198,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ae061637-9aca-53de-9042-41252b523078,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:139,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:139/N,2f80201a-9d43-50fd-96d5-f30d3559fd0a,BE-ANN00/ak/000000127,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/2f80201a-9d43-50fd-96d5-f30d3559fd0a,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:61,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:61/N,4d8a45d3-21ae-5ba9-9fcf-4217e3692b90,BE-ANN00/ak/000000052,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/4d8a45d3-21ae-5ba9-9fcf-4217e3692b90,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:247,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:247/N,5b671649-4092-5832-a1f9-a8ca4b0774e4,BE-ANN00/ak/000000235,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/5b671649-4092-5832-a1f9-a8ca4b0774e4,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:302,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:302/N,daa05c79-84a0-5fc8-aad6-37822f8bee69,BE-ANN00/ak/000000290,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/daa05c79-84a0-5fc8-aad6-37822f8bee69,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:181,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:181/N,1d9df6f8-63c7-534b-ac8c-e78603455e2d,BE-ANN00/ak/000000169,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/1d9df6f8-63c7-534b-ac8c-e78603455e2d,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:36,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:36/N,2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,BE-ANN00/ak/000000027,carbon paper,d:mpmdoc:3099,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,https://anet.be/docstore/d:mpmdoc:3099,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:119,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:119/N,e3d769cf-1a2e-5902-935f-22a2148f5fbd,BE-ANN00/ak/000000107,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/e3d769cf-1a2e-5902-935f-22a2148f5fbd,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:41,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:41/N,e31457a5-0683-5ce7-9025-075a84e9c217,BE-ANN00/ak/000000032,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/e31457a5-0683-5ce7-9025-075a84e9c217,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:230,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:230/N,ef176031-3cbb-5929-a628-b4beb0f40776,BE-ANN00/ak/000000218,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ef176031-3cbb-5929-a628-b4beb0f40776,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:16,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:16/N,fc579b29-8d1b-5c17-86a3-ff3a621e40e2,BE-ANN00/ak/000000007,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/fc579b29-8d1b-5c17-86a3-ff3a621e40e2,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:288,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:288/N,c92690f2-7e13-5d7b-9c76-55c48b9b23d0,BE-ANN00/ak/000000276,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c92690f2-7e13-5d7b-9c76-55c48b9b23d0,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:322,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:322/N,8c865d12-a422-5a72-81e3-49dd1e30c5e7,BE-ANN00/ak/000000310,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/8c865d12-a422-5a72-81e3-49dd1e30c5e7,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:267,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:267/N,7a0698d6-a204-5490-b8e0-fffb8f14ba6b,BE-ANN00/ak/000000255,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/7a0698d6-a204-5490-b8e0-fffb8f14ba6b,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:158,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:158/N,455d88b3-5367-5215-9cb1-f71a250a87ef,BE-ANN00/ak/000000146,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/455d88b3-5367-5215-9cb1-f71a250a87ef,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:334,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:334/N,5d29324e-8724-5c76-8e06-8c719144eb99,BE-ANN00/ak/000000322,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/5d29324e-8724-5c76-8e06-8c719144eb99,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:271,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:271/N,0a8ad24d-06ef-5fc5-a44c-183b308a695c,BE-ANN00/ak/000000259,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/0a8ad24d-06ef-5fc5-a44c-183b308a695c,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:57,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:57/N,cab46494-4b6a-50d1-b167-e83bf1094d1e,BE-ANN00/ak/000000048,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/cab46494-4b6a-50d1-b167-e83bf1094d1e,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:226,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:226/N,3a6f6047-a597-5a45-a886-247420e0e561,BE-ANN00/ak/000000214,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/3a6f6047-a597-5a45-a886-247420e0e561,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:174,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:174/N,a09ddf78-2739-5937-93b6-198194e27820,BE-ANN00/ak/000000162,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/a09ddf78-2739-5937-93b6-198194e27820,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:318,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:318/N,fd39fa72-4a4c-5e93-85f9-8b72e8a24046,BE-ANN00/ak/000000306,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/fd39fa72-4a4c-5e93-85f9-8b72e8a24046,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:94,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:94/N,110a609e-10ce-5b9a-9f0c-46a6429730a6,BE-ANN00/ak/000000083,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/110a609e-10ce-5b9a-9f0c-46a6429730a6,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:123,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:123/N,e77ac24e-e805-5670-815e-12673803c9e0,BE-ANN00/ak/000000111,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/e77ac24e-e805-5670-815e-12673803c9e0,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:82,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:82/N,35e43343-bb75-512b-bf32-51d4ba86d8c9,BE-ANN00/ak/000000071,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/35e43343-bb75-512b-bf32-51d4ba86d8c9,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:135,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:135/N,8404f0ee-b32f-5fad-8069-ebedee163bd6,BE-ANN00/ak/000000123,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/8404f0ee-b32f-5fad-8069-ebedee163bd6,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:162,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:162/N,42753813-8445-5e18-83c0-4f94166455b9,BE-ANN00/ak/000000150,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/42753813-8445-5e18-83c0-4f94166455b9,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:163,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:163/N,435f20e0-08c1-5413-aece-381c7bd3f6d3,BE-ANN00/ak/000000151,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/435f20e0-08c1-5413-aece-381c7bd3f6d3,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:83,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:83/N,9a0250ef-6ffb-586c-8078-a13e7ca96d71,BE-ANN00/ak/000000072,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/9a0250ef-6ffb-586c-8078-a13e7ca96d71,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:134,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:134/N,65128915-38c7-5110-b067-9875b71f85f3,BE-ANN00/ak/000000122,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/65128915-38c7-5110-b067-9875b71f85f3,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:95,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:95/N,9d0a7a76-4a1f-5e76-9d9a-c170ce0b4e5a,BE-ANN00/ak/000000084,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/9d0a7a76-4a1f-5e76-9d9a-c170ce0b4e5a,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:122,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:122/N,58a41ae2-a013-5625-86b7-f673cf309d41,BE-ANN00/ak/000000110,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/58a41ae2-a013-5625-86b7-f673cf309d41,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:319,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:319/N,81aad390-43d4-53a8-9793-455cf29e2d73,BE-ANN00/ak/000000307,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/81aad390-43d4-53a8-9793-455cf29e2d73,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:175,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:175/N,0aee682c-67c3-530e-9fb6-3daef4a83e33,BE-ANN00/ak/000000163,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/0aee682c-67c3-530e-9fb6-3daef4a83e33,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:227,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:227/N,f2c3f933-e405-5914-80f8-5394a93b77f0,BE-ANN00/ak/000000215,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f2c3f933-e405-5914-80f8-5394a93b77f0,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:56,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:56/N,d24d9574-5166-5163-aa12-96df01aa9354,BE-ANN00/ak/000000047,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/d24d9574-5166-5163-aa12-96df01aa9354,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:335,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:335/N,ba3fa344-195a-5907-9bc2-c83dbea1a890,BE-ANN00/ak/000000323,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ba3fa344-195a-5907-9bc2-c83dbea1a890,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:270,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:270/N,75ae821c-f613-526a-b1fa-9a3dc0dcea0c,BE-ANN00/ak/000000258,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/75ae821c-f613-526a-b1fa-9a3dc0dcea0c,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:159,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:159/N,c56698bc-1b59-5b37-a978-c248fdbc6484,BE-ANN00/ak/000000147,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c56698bc-1b59-5b37-a978-c248fdbc6484,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:289,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:289/N,f388254e-8f40-5546-ad24-9310bcb73dd7,BE-ANN00/ak/000000277,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f388254e-8f40-5546-ad24-9310bcb73dd7,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:323,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:323/N,db169666-ad45-5492-a977-d03d0fe83423,BE-ANN00/ak/000000311,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/db169666-ad45-5492-a977-d03d0fe83423,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:266,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:266/N,b12dfa45-a07e-50f1-83c5-cedb4b653b49,BE-ANN00/ak/000000254,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/b12dfa45-a07e-50f1-83c5-cedb4b653b49,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:17,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:17/N,154e4d39-79d5-5e53-ab54-2ed6c73dbfd6,BE-ANN00/ak/000000008,paper (fiber product),d:mpmdoc:2622,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/154e4d39-79d5-5e53-ab54-2ed6c73dbfd6,https://anet.be/docstore/d:mpmdoc:2622,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:231,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:231/N,1a3f2aec-28b9-5b78-a104-f8a16a46cb62,BE-ANN00/ak/000000219,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/1a3f2aec-28b9-5b78-a104-f8a16a46cb62,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:118,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:118/N,104e5c79-fa17-5407-9624-7a1a766e5e7a,BE-ANN00/ak/000000106,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/104e5c79-fa17-5407-9624-7a1a766e5e7a,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:40,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:40/N,0a7cbd31-014c-50c9-b859-96ccad7a604e,BE-ANN00/ak/000000031,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/0a7cbd31-014c-50c9-b859-96ccad7a604e,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:180,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:180/N,c04c9025-0219-5cae-8879-4abbc0af96a5,BE-ANN00/ak/000000168,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c04c9025-0219-5cae-8879-4abbc0af96a5,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:37,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:37/N,ee2776b8-9a6c-5094-a710-c7449ca5d9d1,BE-ANN00/ak/000000028,paper (fiber product),d:mpmdoc:2632,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ee2776b8-9a6c-5094-a710-c7449ca5d9d1,https://anet.be/docstore/d:mpmdoc:2632,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:246,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:246/N,9f3270ec-a3e0-5430-977b-038bdf716879,BE-ANN00/ak/000000234,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/9f3270ec-a3e0-5430-977b-038bdf716879,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:303,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:303/N,555144ee-396e-520f-ad6e-0dd812d0c966,BE-ANN00/ak/000000291,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/555144ee-396e-520f-ad6e-0dd812d0c966,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:138,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:138/N,bfa4a29b-4cf3-5477-b2b0-2b7453c545b0,BE-ANN00/ak/000000126,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/bfa4a29b-4cf3-5477-b2b0-2b7453c545b0,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:60,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:60/N,a5f746ec-15ca-5fc5-b2c4-1e328cb6ecf6,BE-ANN00/ak/000000051,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/a5f746ec-15ca-5fc5-b2c4-1e328cb6ecf6,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:211,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:211/N,d346f0df-c6c8-5f22-8fa5-204ba7ac283a,BE-ANN00/ak/000000199,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/d346f0df-c6c8-5f22-8fa5-204ba7ac283a,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:354,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:354/N,ee6fbec6-15e3-5af2-b4cb-e99b17cc8283,BE-ANN00/ak/000000342,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ee6fbec6-15e3-5af2-b4cb-e99b17cc8283,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
