brocade.id,ResourceID,card,order,Acquisition Note,Location Number,Registration Number value,Archive Note,adm.note,Serial Number,adm.note.language,adm.note.type
tg:lhps:40650,b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,Items,1,,V 6152 / A,225273/11,,,,Nederlands,remarks
tg:lhps:41942,cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,Items,1,tr:lh:9942,K 3875 / A (SC 55-58 muur),225278/8,isad:lh:141536,,,Nederlands,remarks
tg:lhps:26486,8817d232-5930-56ae-ae0b-53760ded9232,Items,1,tr:lh:7875,O 3369 / A (CM2550),225212/3548,isad:lh:92200,,,Nederlands,remarks
tg:lhps:21343,cf2f2475-7f87-5466-a578-33c7e7be517e,Items,1,,I 557 / A,215096/28,,,,Nederlands,remarks
tg:lhps:54243,b4fb8056-312b-5f94-a0f2-20110061834f,Items,1,tr:lh:110342,H 575 / A,,,,,Nederlands,remarks
tg:lhps:29773,abd1628e-c49b-5615-acf4-6a0e517fd9af,Items,1,tr:lh:9937,V 75457 / A (VM950),225261/950,isad:lh:92204,,,Nederlands,remarks
tg:lhps:53586,81ed1814-e5a1-54d7-bb87-89c0b5c88837,Items,1,,C 1954,225297/4,isad:lh:92284,,,Nederlands,remarks
tg:lhps:48260,a23d8928-a726-5918-b71d-996d5fee8a1b,Items,1,tr:lh:9111,G 938 / A,,isad:lh:105207,,,Nederlands,remarks
tg:lhps:28861,adf89f7b-b008-50d5-a7eb-08e2c10e5d23,Items,1,tr:lh:2817,P 2576 / A,55866,isad:lh:92334,,,Nederlands,remarks
tg:lhps:32095,d3641323-a5b0-5af3-b5ef-98834690fd96,Items,1,,"AV.14.6.38 (LK VII,1)",225272/38,isad:lh:92873,,,Nederlands,remarks
tg:lhps:6523,e864df67-7a2f-5c56-9b5a-5095c9bea5c8,Items,1,tr:lh:7019,P 9151 / A,180782,,,,Nederlands,remarks
tg:lhps:6523,e864df67-7a2f-5c56-9b5a-5095c9bea5c8,Items,2,tr:lh:7019,VV 9 / A,225212/563,,,,Nederlands,remarks
tg:lhps:51411,e949166d-3172-5e4a-bb0b-b75285d96794,Items,1,tr:lh:110342,A 24915 / A,,,,,Nederlands,remarks
tg:lhps:30102,59c8bf1e-503c-5024-80af-3d2b60ae2e26,Items,1,tr:lh:9940,PP 210 / A (CA 268),225265/85,isad:lh:170202,,,Nederlands,remarks
tg:lhps:6489,aeb9ca95-a323-5689-8e5e-04600caeaa00,Items,1,,"P 7385 / A (LK II,7)",237244,,,,Nederlands,remarks
tg:lhps:3371,8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,Items,1,tr:lh:7019,H 890 / A,180460,,,,Nederlands,remarks
tg:lhps:683,b362c266-7802-5e2c-8e99-b118e5f8c762,Items,1,,P 1959 / A,235092,,,,Nederlands,remarks
tg:lhps:683,b362c266-7802-5e2c-8e99-b118e5f8c762,Items,2,,P 1959 / A,235093,,,,Nederlands,remarks
tg:lhps:45002,df18cc73-b836-5d25-b31f-e2d06c18827b,Items,1,,GG 138 / A,225289/187,,,,Nederlands,remarks
tg:lhps:13662,3a86188e-49d1-5143-bf96-ee7eacd27e65,Items,1,tr:lh:7632,S 4687 / A,214195,,,,Nederlands,remarks
tg:lhps:12970,c69ad6eb-d519-5370-b892-182726872abd,Items,1,tr:lh:7632,C 20385 / A,213516,,,,Nederlands,remarks
tg:lhps:59021,959eaa13-0eaa-5a72-85d0-4303addd3681,Items,1,tr:lh:110342,M 1885 / A,,,,,Nederlands,remarks
tg:lhps:24511,8a53d7ca-91c2-5a9d-86d0-1e197e363de8,Items,1,tr:lh:7875,O 3369 / A (CM1459),225212/2456,isad:lh:92200,,,Nederlands,remarks
tg:lhps:21713,cb830c18-051c-547d-b66f-6d27abc54b1d,Items,1,tr:lh:7875,O 3369 / A,225212/329,isad:lh:92467,,,Nederlands,remarks
tg:lhps:20801,e20cca8a-dacb-5e56-86fc-eea257087513,Items,1,,H 132 / A,215084/4,,,,Nederlands,remarks
tg:lhps:379,a31f4b61-a71c-585d-8258-367dea709e1c,Items,1,,A 357 / A,236559,,,,Nederlands,remarks
tg:lhps:40200,ffa01a01-8561-5e00-a849-6629810395e5,Items,1,,V 345355 / A,225271/260,,,,Nederlands,remarks
tg:lhps:16460,e75534b7-b093-5857-9956-2f24648b23a3,Items,1,,B 628 / A,216279,,,,Nederlands,remarks
tg:lhps:9286,39ab6b52-f461-5f7d-a1cc-28b546e10573,Items,1,tr:lh:7316,S 4685 / A,184300,,,,Nederlands,remarks
tg:lhps:13398,d36fcc70-f011-5012-bc6d-59e9661c1e7a,Items,1,tr:lh:7632,S 4687 / A,213933,,,,Nederlands,remarks
tg:lhps:48630,a0b28386-23aa-5ff3-b9b1-e341b8db24ac,Items,1,,MM 280 / A,216829/347,,,,Nederlands,remarks
tg:lhps:35300,3fdd75ce-7126-5955-801a-bf2545e3e100,Items,1,,AV.93.2.102,225272/2639,isad:lh:92220,,,Nederlands,remarks
tg:lhps:55901,c9601883-4615-5194-9521-89605be430e0,Items,1,tr:lh:110342,JJ 23 / A,,,,,Nederlands,remarks
tg:lhps:19795,7079d3b8-c42d-5792-8e61-e168bdabd9f7,Items,1,,E 2362 / A,215052/84,,,,Nederlands,remarks
tg:lhps:6173,5d6af07c-0711-585b-89b7-f3f1ba9f50c3,Items,1,,O 295 / A,237064,,,,Nederlands,remarks
tg:lhps:18887,8395a9e3-2a12-52f6-b5f0-7d47afbb8c60,Items,1,,D 217 / A,215038/81,,,,Nederlands,remarks
tg:lhps:29323,b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,Items,1,tr:lh:9937,V 75457 / A (VM825),225261/825,isad:lh:92204,,,Nederlands,remarks
tg:lhps:2999,3658960c-5aff-5f22-b543-9bdce511d66d,Items,1,tr:lh:7019,H 262 / A,181526,,,,Nederlands,remarks
tg:lhps:54613,61777f10-ec42-507e-8410-4704d38e58c9,Items,1,tr:lh:7281,T 376505 / A,179869/18,,,,Nederlands,remarks
tg:lhps:49922,8aa76993-09ca-5cdc-aba2-56b1c449c41e,Items,1,,P 9323 / A,225293/520,,,,Nederlands,remarks
tg:lhps:51942,f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,Items,1,tr:lh:110437,S 810974 / A,,,,,Nederlands,remarks
tg:lhps:36486,d7e3736c-a419-5d5b-88d0-7e63e550016c,Items,1,,AV.5740,225272/1643a,isad:lh:92876,,,Nederlands,remarks
tg:lhps:2130,88286c6a-3182-5052-b483-7ce588c7e2a0,Items,1,,E 4152 / A,162021,,,,Nederlands,remarks
tg:lhps:31343,736f4e56-0921-55e9-a12d-f32c7526373c,Items,1,,T 196 / A,225269/117,,,,Nederlands,remarks
tg:lhps:57195,702a9b51-dccb-5728-9927-c16a759d5ff0,Items,1,,O 296 / A,,isad:lh:133770,,,Nederlands,remarks
tg:lhps:50650,36602cdc-061b-5781-b577-edd77d8b8eb1,Items,1,tr:lh:9943,G 21795 / A,,isad:lh:114487,,,Nederlands,remarks
tg:lhps:28498,7f92434e-2f68-5975-94c7-e7f566181a8a,Items,1,,O 4389 / A,225260/244,,,,Nederlands,remarks
tg:lhps:58260,44e4e359-f985-5ee6-995b-4c21735fd330,Items,1,,A 357 / A,,,,,Nederlands,remarks
tg:lhps:25750,a1454ee0-f2a7-5cca-b9d9-89f8903419df,Items,1,,M 96798 / A,225255/510,,,,Nederlands,remarks
tg:lhps:22095,264ec288-3975-59d4-8b70-7d6e1ccb916b,Items,1,tr:lh:7875,L 962 / A,225212/297,isad:lh:92200,,,Nederlands,remarks
tg:lhps:44243,78e35c4c-4159-5f57-8f69-16388bdc30d7,Items,1,,AV.86.2.144,225272/2710,isad:lh:92220,,,Nederlands,remarks
tg:lhps:12423,33b73bef-649e-51bc-a014-7706dca214da,Items,1,tr:lh:7634,"EE 104 / A (LK IV,9)",212969,,,,Nederlands,remarks
tg:lhps:43586,3130c849-b859-59bc-bfaf-0f099487a3cf,Items,1,,DD 43 / A,225284/248,,,,Nederlands,remarks
tg:lhps:24842,191cd4fb-fed5-594e-a362-1a4056f7f38e,Items,1,,M 5582 / A,225255/38,,,,Nederlands,remarks
tg:lhps:41041,592ad513-d388-58d5-961e-57ce94083e59,Items,1,,W 218 / A,225273/287,,,,Nederlands,remarks
tg:lhps:17621,2984e583-cce8-59a7-9898-41858fa2b3c5,Items,1,,V 1521 / A,217238,,,,Nederlands,remarks
tg:lhps:46784,499517a6-ef52-5c05-ae55-74d1e248d9d0,Items,1,,M 1885 / A,225291/189,,,,Nederlands,remarks
tg:lhps:46784,499517a6-ef52-5c05-ae55-74d1e248d9d0,Items,2,,H 6968 / A,,isad:lh:132149,,,Nederlands,remarks
tg:lhps:59888,dcd0e454-3cf9-58b5-8a0e-8459b057843e,Items,1,tr:lh:110342,VV 274 / A,,,,,Nederlands,remarks
tg:lhps:47896,df455a42-42b3-5ea4-9498-ae2ff9b364bd,Items,1,,GG 132 / A,,,,,Nederlands,remarks
tg:lhps:20552,3b39ac91-5eb4-547a-b489-bbf5220b9d56,Items,1,,G 3655 / A,215073/2,,,,Nederlands,remarks
tg:lhps:27297,e6e542cd-a34f-5cf6-bb63-8ae44335f991,Items,1,tr:lh:7875,O 3369 / A (CM3216),225212/4214,isad:lh:92200,,,Nederlands,remarks
tg:lhps:16933,9b4b501e-feba-5ed2-a9e7-b7de1c0f3051,Items,1,,C 14065 / A,216741,,,,Nederlands,remarks
tg:lhps:52397,3010492c-66cf-5453-b0fa-1426639dad0e,Items,1,tr:lh:110437,H 890 / A,,,,,Nederlands,remarks
tg:lhps:28162,4f7cb5ae-7386-56dd-a8db-83e4c5881043,Items,1,,O 3642 / A,225260/77,,,,Nederlands,remarks
tg:lhps:55452,47438e29-55cc-542e-a0f9-4f277f286c7d,Items,1,,KK 106 / A,,isad:lh:129680,,,Nederlands,remarks
tg:lhps:33684,2c5a292f-ff54-5b98-aee4-41b6e95e47e8,Items,1,,AV.19.14.8,225272/1959,isad:lh:92220,,,Nederlands,remarks
tg:lhps:7332,37581d15-5ef7-5d72-be9b-b0b95cbc3463,Items,1,,T 161227 / A,239798,,,,Nederlands,remarks
tg:lhps:49471,4978e3c7-d767-5470-ae5e-e982f63b1ed0,Items,1,,TT 127 / A,,,,,Nederlands,remarks
tg:lhps:34141,f49fde20-158a-5195-b666-90849cb8d159,Items,1,,AV.38.5.10.318,225272/2144,isad:lh:92750,,,Nederlands,remarks
tg:lhps:62721,b53de2dd-bf90-553e-871a-b698d43182ee,Items,1,,H 6035 / A,,isad:lh:181804,,,Nederlands,remarks
tg:lhps:30801,b5cfcbeb-3670-5917-9c5f-e731c4e28901,Items,1,,S 626722 / A,225263/726,,,,Nederlands,remarks
tg:lhps:50200,a70f7907-7ac7-5b22-99f9-1ebbd5c0b2aa,Items,1,tr:lh:5172,G 993 / A,,isad:lh:92395,,,Nederlands,remarks
tg:lhps:7298,f421c7c9-edcc-5af3-82b1-2e248c96bdd5,Items,1,,T 1612 / A,239745,,,,Nederlands,remarks
tg:lhps:2560,3cd83fff-69ff-579b-8900-7b3137b1e096,Items,1,tr:lh:2250,F 3012 / A,42997,isad:lh:92381,,,Nederlands,remarks
tg:lhps:31713,688d0ae3-82de-5778-8b9c-0c514f975e49,Items,1,,T 335 / A,225269/386,,,,Nederlands,remarks
tg:lhps:12073,4adcb386-6bb6-58df-a5cf-9c982691635a,Items,1,tr:lh:7755,TT 71 / A,200877/70,isad:lh:92200,,,Nederlands,remarks
tg:lhps:59922,9cd6d513-8db1-52e2-835e-4f312b6bdff7,Items,1,tr:lh:110342,G 283 / A,,,,,Nederlands,remarks
tg:lhps:25300,c3da22af-7939-5c81-b582-2dedd1710f40,Items,1,tr:lh:7875,O 3369 / A (CM1957),225212/2954,isad:lh:92200,,,Nederlands,remarks
tg:lhps:58630,e64afef2-4704-5c74-bf28-5307be9d3016,Items,1,,F 221 / A,,isad:lh:138631,Uit F 221 / 38,,Nederlands,remarks
tg:lhps:45901,c4f475b3-de18-55f6-a15e-5fd23c28dabf,Items,1,tr:lh:30802,PP 210 / A (CA 480),225290/126,isad:lh:98629,,,Nederlands,remarks
tg:lhps:20102,24e73f1c-f491-55a5-89cd-5fd98042672a,Items,1,,F 165 / A,215061,,,,Nederlands,remarks
tg:lhps:20102,24e73f1c-f491-55a5-89cd-5fd98042672a,Items,2,,G 2704 / A,215061,,,,Nederlands,remarks
tg:lhps:20102,24e73f1c-f491-55a5-89cd-5fd98042672a,Items,3,,P 2044 / A,215061,,,,Nederlands,remarks
tg:lhps:17271,ea8a8af1-412e-5492-8bd3-96dfd328fc5e,Items,1,,S 4685 / A,216967,,,,Nederlands,remarks
tg:lhps:41411,f0b5eec1-7b97-5e11-89e4-035c4f7e7958,Items,1,tr:lh:1206,Z 3755 / A,20573/2,isad:lh:92572,,,Nederlands,remarks
tg:lhps:12589,69ec0647-378f-5d9d-964c-a49824d2d3dc,Items,1,tr:lh:7634,B 55115 / A,213161,,,,Nederlands,remarks
tg:lhps:12589,69ec0647-378f-5d9d-964c-a49824d2d3dc,Items,2,tr:lh:7634,B 55115 / A,213233,,,,Nederlands,remarks
tg:lhps:8497,34b8d835-7955-58ab-9b17-3b2aaf53c8e4,Items,1,tr:lh:7055,"S 304 / A (LK I,1)",183564,,,,Nederlands,remarks
tg:lhps:18184,ff672e70-b801-5744-859c-73f6cec5a1d6,Items,1,,C 2897 / A,225168,,,,Nederlands,remarks
tg:lhps:7762,7a3a1fd5-7ada-594b-8e8c-d414cd7e8286,Items,1,tr:lh:7019,T 3465 / A,183096,,,,Nederlands,remarks
tg:lhps:62371,141716e8-dfeb-5231-8f38-d62e8e3e35f4,Items,1,tr:lh:140390,MM 70 / A,,,,,Nederlands,remarks
tg:lhps:34511,0d20ac91-3ee5-535b-9bfe-a2517b96f24b,Items,1,,AV.38.5.10.628a,225272/2466,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49021,488081b4-b933-50bb-bacb-28bb5b9fb103,Items,1,,O 33695 / A,225293/309,,,,Nederlands,remarks
tg:lhps:55002,030b3041-4dd1-5af0-aa16-df55cccfaf97,Items,1,tr:lh:7317,B 70993 / A,,,,,Nederlands,remarks
tg:lhps:28532,3d19ee8c-869e-540b-956e-13bf9153bf3c,Items,1,,O 4389 / A,225260/272,,,,Nederlands,remarks
tg:lhps:6870,293eed7a-eb0d-5c65-9c57-be904cddbc21,Items,1,tr:lh:7019,R 805 / A,181949,,,,Nederlands,remarks
tg:lhps:15759,124db75b-26ec-5003-b448-980f26c1127c,Items,1,tr:lh:7634,A 2892 / A,212535,,,,Nederlands,remarks
tg:lhps:43139,2c099142-36df-5557-a77e-1ebef083b14d,Items,1,,CC 12 / A,225281/216,,,,Nederlands,remarks
tg:lhps:17764,fae4cbe1-511f-579f-b941-5772d43a9f8a,Items,1,,F 108 / A,217412,,,,Nederlands,remarks
tg:lhps:17764,fae4cbe1-511f-579f-b941-5772d43a9f8a,Items,2,,U 653 / A,217412,,,,Nederlands,remarks
tg:lhps:41104,3440bea0-ffd8-56d8-a9e1-f643990ea2b9,Items,1,,W 2545 / A,225273/350,,,,Nederlands,remarks
tg:lhps:8182,12acdf07-ef40-51de-8b32-9752d60ea9d9,Items,1,,V 758 / A,236320/1,,,,Nederlands,remarks
tg:lhps:16876,475816b2-e6df-5ad2-8fea-304ffcbbabc6,Items,1,,BB 6 / A,216677,,,,Nederlands,remarks
tg:lhps:20417,2ac80143-f731-5a4b-abea-937c6235aa7a,Items,1,,G 1487 / A,215069/3,,,,Nederlands,remarks
tg:lhps:55517,ff51c622-4bd3-53f0-b203-f3e4c5a2ae16,Items,1,tr:lh:110342,BB 327 / A,,,,,Nederlands,remarks
tg:lhps:28027,d7486cb8-5ffc-55b4-8aa3-3f10f68ba930,Items,1,tr:lh:9939,PP 210 / A (CA 124),225259/141,isad:lh:170201,,,Nederlands,remarks
tg:lhps:62664,7fa4309a-6157-5bfd-b8e9-56ed4e7cb209,Items,1,tr:lh:140424,MM 70 / A,,,,,Nederlands,remarks
tg:lhps:34004,1170ac32-879a-5f30-990b-9919f4283422,Items,1,,AV.38.5.10.209,225272/2267,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49534,ac08d257-9a85-54ab-a400-5eb59ee04a90,Items,1,,B 1717 / A,,isad:lh:92725,,,Nederlands,remarks
tg:lhps:18491,db4012b7-ceb2-5974-b688-a53c4fda391f,Items,1,,NN 67 / A,215034/66,,,,Nederlands,remarks
tg:lhps:60659,5e49f5ad-7247-5dc7-9226-2282fefadb97,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:7277,29ae6c8c-485c-5ab2-a935-aeadf6ae9981,Items,1,,T 14 / A,55994,,,,Nederlands,remarks
tg:lhps:31206,c94735d1-4aad-53f8-86f0-25e454929fbe,Items,1,tr:lh:9936,S 282 / A (CS 287),225267/349,isad:lh:92208,,,Nederlands,remarks
tg:lhps:51807,2fa04bc8-adfe-5ec7-9c33-e71cb2d66ab5,Items,1,tr:lh:110437,A 1811 / A,,,,,Nederlands,remarks
tg:lhps:2075,161da657-5fa8-5c6f-b80c-499a9f8155eb,Items,1,,E 4152 / A,238416,,,,Nederlands,remarks
tg:lhps:50715,47bfa350-c6df-55d6-9c42-33cfa2d759b6,Items,1,,S 9409 / A,225294/285,,,,Nederlands,remarks
tg:lhps:27628,b216e6a2-4ac8-5b07-b114-f39d49a419fa,Items,1,tr:lh:7875,O 3369 / A (CM3546),225212/4544,isad:lh:92200,,,Nederlands,remarks
tg:lhps:25615,5c6ed3ee-30e2-58b8-abd2-15a7c75e5b88,Items,1,tr:lh:7875,O 3369 / A (CM2020),225212/3018,isad:lh:92200,,,Nederlands,remarks
tg:lhps:58325,68f5d335-fa3d-5aed-b77a-3563979ed0aa,Items,1,tr:lh:139765,DD 77 / A,,isad:lh:140015,,,Nederlands,remarks
tg:lhps:24907,594a2b02-0dcd-5305-81ad-499b87af4d65,Items,1,,M 622 / A,225255/63,,,,Nederlands,remarks
tg:lhps:44306,3eb2044f-8697-5972-8fa7-eac08a66f1ce,Items,1,,AV.88.6.60,225272/2465,isad:lh:92220,,,Nederlands,remarks
tg:lhps:8478,68886282-897a-5077-9654-cea98a2811c5,Items,1,,Z 317 / A,233895/2,,,,Nederlands,remarks
tg:lhps:27782,008f5337-4558-51f3-b446-88c4e6ec05e3,Items,1,tr:lh:7875,O 3369 / A (CM 3700),225212/4698,isad:lh:92200,,,Nederlands,remarks
tg:lhps:20047,522b39b4-7929-5a95-9d5e-0fe2ae29ad49,Items,1,,F 108 / A,215059/50,,,,Nederlands,remarks
tg:lhps:46291,28d29f6e-958c-5b35-86a0-80353fec1ff1,Items,1,,KK 161 / A,216829/247,,,,Nederlands,remarks
tg:lhps:43569,d3643507-3618-59a5-a385-0dd56df08e9b,Items,1,,DD 2 / A,225284/232,,,,Nederlands,remarks
tg:lhps:15309,520e8036-2bb0-5888-bd46-7d07010a8937,Items,1,tr:lh:6740,H 50494 / A,167017,isad:lh:92363,,,Nederlands,remarks
tg:lhps:15309,520e8036-2bb0-5888-bd46-7d07010a8937,Items,2,tr:lh:6740,V 36689 / A,167017,isad:lh:92363,,,Nederlands,remarks
tg:lhps:15309,520e8036-2bb0-5888-bd46-7d07010a8937,Items,3,tr:lh:6740,W 4897 / A,167017,isad:lh:92363,,,Nederlands,remarks
tg:lhps:41554,c3364125-41a9-5887-a843-3b224efbb357,Items,1,,A 3569 / A,225276/74,,,,Nederlands,remarks
tg:lhps:17334,0c79c1cc-925f-5fea-810e-b719d22f8abf,Items,1,,S 2143 / A,217031,,,,Nederlands,remarks
tg:lhps:26890,3daf955f-dd1b-5a1d-8505-505e7dda491f,Items,1,tr:lh:7875,O 3369 / A (CM2818),225212/3816,isad:lh:92200,,,Nederlands,remarks
tg:lhps:49164,69a2d5ba-43e5-56a4-a373-6b85edd2091c,Items,1,,AA 5 / A,,,,,Nederlands,remarks
tg:lhps:53990,573f57c0-ea65-5559-be9a-42f494a647b2,Items,1,,KK 106 / A,,isad:lh:123877,affiche met oranje achtergrond,,Nederlands,remarks
tg:lhps:34454,f6fc28a8-6935-5a4c-9a43-caaff01a09e7,Items,1,,AV.38.5.10.587,225272/2423,isad:lh:92750,,,Nederlands,remarks
tg:lhps:62234,98fd8240-9677-5639-9982-033967a0458a,Items,1,tr:lh:140367,BB 111 / A,,isad:lh:134182,,,Nederlands,remarks
tg:lhps:33391,80c03d1f-0bd9-5a54-a9d8-24ed0c79b926,Items,1,,AV.14.6.1227,225272/1290,isad:lh:92873,,,Nederlands,remarks
tg:lhps:36469,df54f9db-edef-5f2b-b8f0-a0dbb00b1e81,Items,1,,AV.5723,225272/1627,isad:lh:92876,,,Nederlands,remarks
tg:lhps:7627,59f12100-298f-55a0-b183-c48f6f71efe2,Items,1,tr:lh:2691,T 259 / A,53168,isad:lh:92541,,,Nederlands,remarks
tg:lhps:60209,40e8b895-c86c-5b51-bbbd-ba2da07591d0,Items,1,tr:lh:110342,M 9679 / A,,,,,Nederlands,remarks
tg:lhps:28477,a4bbbe97-c6ce-5b29-913a-9631a51a039d,Items,1,,O 4389 / A,60565,,,,Nederlands,remarks
tg:lhps:55147,1a644c92-6402-5977-8305-9260d00ced00,Items,1,tr:lh:110342,M 9679 / A,,,,,Nederlands,remarks
tg:lhps:6935,6fbc6879-56c3-5276-80cb-6765d56a6963,Items,1,tr:lh:7019,S 1835 / A,182000/1,,,,Nederlands,remarks
tg:lhps:4908,d473f30d-2ce4-56c3-9443-676ef3203c57,Items,1,tr:lh:7019,L 179 / A,182940,,,,Nederlands,remarks
tg:lhps:52682,85a7df3c-84b0-5ab4-9662-d098f5f1d8c4,Items,1,,F 131 / A,,,,,Nederlands,remarks
tg:lhps:50345,cd6ff38e-9bba-543b-94f5-aebfa59e451e,Items,1,,M 9364 / A,,,"Formaat: 59,5 x 42",,Nederlands,remarks
tg:lhps:50345,cd6ff38e-9bba-543b-94f5-aebfa59e451e,Items,2,,M 9364 / A (LH.341),,,Formaat: 120 x 80,,Nederlands,remarks
tg:lhps:57480,a313fd29-5962-5434-91bb-0ae6b9aa77d2,Items,1,,J 3368 / A,,,,,Nederlands,remarks
tg:lhps:52378,0201cda4-9887-57e5-95bc-74befb975f9a,Items,1,tr:lh:110437,SS 46 / A,,,,,Nederlands,remarks
tg:lhps:31656,32194da6-3530-5814-aeae-6776e37d392a,Items,1,,T 26514 / A,225269/335,,,,Nederlands,remarks
tg:lhps:2425,4ac056db-3143-5590-bd98-76bbf15663e6,Items,1,,F 131 / A,238881/1,,,,Nederlands,remarks
tg:lhps:43093,bca146ec-b6b2-51a4-89e0-18e530ec4a5e,Items,1,,CC 12 / A,225281/170,,,,Nederlands,remarks
tg:lhps:59867,40adc9ec-1511-550d-951f-251b98edc2b9,Items,1,tr:lh:110342,B 413365 / A,,,,,Nederlands,remarks
tg:lhps:8028,db1f693e-62d5-5152-b919-448a0bf65d79,Items,1,,V 757494 / A,236207,,,,Nederlands,remarks
tg:lhps:44756,cffa5233-c86e-5406-990f-936734481564,Items,1,,G 36427 / A,225289/85,,,,Nederlands,remarks
tg:lhps:12136,abd00537-c17b-54c9-8a49-a2dcfed2dc38,Items,1,tr:lh:7755,"B 9968 / A (LK XI,2)",200877/152,isad:lh:92200,,,Nederlands,remarks
tg:lhps:45844,9bb7709a-0bda-54c7-8a52-cf4a798a703b,Items,1,tr:lh:30802,PP 210 / A (CA 439),225290/85,isad:lh:98629,,,Nederlands,remarks
tg:lhps:22580,dbf2b7a7-9e1a-5e4d-a63c-cf40b84b558a,Items,1,tr:lh:7875,O 3369 / A (CM 283),225212/1280,isad:lh:92200,,,Nederlands,remarks
tg:lhps:27278,ffa0b057-ef99-5be9-960b-e4be3aa7bd90,Items,1,tr:lh:7875,O 3369 / A (CM3197),225212/4195,isad:lh:92200,,,Nederlands,remarks
tg:lhps:58775,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,Items,1,,F 221 / A,,isad:lh:139365,Uit F 221 / 56,,Nederlands,remarks
tg:lhps:25245,a3c77faa-ce81-5105-b27c-cd91a37af14b,Items,1,tr:lh:7875,O 3369 / A (CM1906),225212/2903,isad:lh:92200,,,Nederlands,remarks
tg:lhps:47879,13be8839-eac0-57c2-bd17-61ef99f93f72,Items,1,,M 9356 / A,225292/92,,,,Nederlands,remarks
tg:lhps:40715,59c5fed0-8af1-5ee5-b181-534549d635a0,Items,1,,V 725 / A,107447,,,,Nederlands,remarks
tg:lhps:16175,31378770-cb80-50ff-b640-1ab2bfb65f40,Items,1,,B 1988 / A,215996,,,,Nederlands,remarks
tg:lhps:9793,01871863-9317-5913-95ae-79e48c9445fd,Items,1,tr:lh:7284,O 33745 / A,184811,,,,Nederlands,remarks
