Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhps:47195,Affiches,https://anet.be/record/opaclhobj/tg:lhps:47195/N,73342a2f-8adb-5759-bf27-b4749aee9845,BE-ANN07/ps/000043076,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/73342a2f-8adb-5759-bf27-b4749aee9845,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:729,Affiches,https://anet.be/record/opaclhobj/tg:lhps:729/N,528c7092-4e99-5cf9-be4f-7d9121f0906c,BE-ANN07/ps/000000723,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/528c7092-4e99-5cf9-be4f-7d9121f0906c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:16030,Affiches,https://anet.be/record/opaclhobj/tg:lhps:16030/N,8f37cfbe-cfae-53da-9474-1a3809bb9a7e,BE-ANN07/ps/000015478,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8f37cfbe-cfae-53da-9474-1a3809bb9a7e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:40650,Affiches,https://anet.be/record/opaclhobj/tg:lhps:40650/N,b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,BE-ANN07/ps/000036640,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:41942,Affiches,https://anet.be/record/opaclhobj/tg:lhps:41942/N,cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,BE-ANN07/ps/000037904,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:26486,Affiches,https://anet.be/record/opaclhobj/tg:lhps:26486/N,8817d232-5930-56ae-ae0b-53760ded9232,BE-ANN07/ps/000025809,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8817d232-5930-56ae-ae0b-53760ded9232,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:21343,Affiches,https://anet.be/record/opaclhobj/tg:lhps:21343/N,cf2f2475-7f87-5466-a578-33c7e7be517e,BE-ANN07/ps/000020705,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cf2f2475-7f87-5466-a578-33c7e7be517e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:54243,Affiches,https://anet.be/record/opaclhobj/tg:lhps:54243/N,b4fb8056-312b-5f94-a0f2-20110061834f,BE-ANN07/ps/000050050,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b4fb8056-312b-5f94-a0f2-20110061834f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:29773,Affiches,https://anet.be/record/opaclhobj/tg:lhps:29773/N,abd1628e-c49b-5615-acf4-6a0e517fd9af,BE-ANN07/ps/000029082,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/abd1628e-c49b-5615-acf4-6a0e517fd9af,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:53586,Affiches,https://anet.be/record/opaclhobj/tg:lhps:53586/N,81ed1814-e5a1-54d7-bb87-89c0b5c88837,BE-ANN07/ps/000049400,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/81ed1814-e5a1-54d7-bb87-89c0b5c88837,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:48260,Affiches,https://anet.be/record/opaclhobj/tg:lhps:48260/N,a23d8928-a726-5918-b71d-996d5fee8a1b,BE-ANN07/ps/000044139,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a23d8928-a726-5918-b71d-996d5fee8a1b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:28861,Affiches,https://anet.be/record/opaclhobj/tg:lhps:28861/N,adf89f7b-b008-50d5-a7eb-08e2c10e5d23,BE-ANN07/ps/000028173,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/adf89f7b-b008-50d5-a7eb-08e2c10e5d23,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:32095,Affiches,https://anet.be/record/opaclhobj/tg:lhps:32095/N,d3641323-a5b0-5af3-b5ef-98834690fd96,BE-ANN07/ps/000031378,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d3641323-a5b0-5af3-b5ef-98834690fd96,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:6523,Affiches,https://anet.be/record/opaclhobj/tg:lhps:6523/N,e864df67-7a2f-5c56-9b5a-5095c9bea5c8,BE-ANN07/ps/000006397,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e864df67-7a2f-5c56-9b5a-5095c9bea5c8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:51411,Affiches,https://anet.be/record/opaclhobj/tg:lhps:51411/N,e949166d-3172-5e4a-bb0b-b75285d96794,BE-ANN07/ps/000047261,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e949166d-3172-5e4a-bb0b-b75285d96794,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:30102,Affiches,https://anet.be/record/opaclhobj/tg:lhps:30102/N,59c8bf1e-503c-5024-80af-3d2b60ae2e26,BE-ANN07/ps/000029408,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/59c8bf1e-503c-5024-80af-3d2b60ae2e26,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:6489,Affiches,https://anet.be/record/opaclhobj/tg:lhps:6489/N,aeb9ca95-a323-5689-8e5e-04600caeaa00,BE-ANN07/ps/000006363,cardboard,Letterenhuis,https://data.letterenhuis.be/ark:/24970/aeb9ca95-a323-5689-8e5e-04600caeaa00,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:3371,Affiches,https://anet.be/record/opaclhobj/tg:lhps:3371/N,8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,BE-ANN07/ps/000003342,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:683,Affiches,https://anet.be/record/opaclhobj/tg:lhps:683/N,b362c266-7802-5e2c-8e99-b118e5f8c762,BE-ANN07/ps/000000677,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b362c266-7802-5e2c-8e99-b118e5f8c762,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:45002,Affiches,https://anet.be/record/opaclhobj/tg:lhps:45002/N,df18cc73-b836-5d25-b31f-e2d06c18827b,BE-ANN07/ps/000040917,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/df18cc73-b836-5d25-b31f-e2d06c18827b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:13662,Affiches,https://anet.be/record/opaclhobj/tg:lhps:13662/N,3a86188e-49d1-5143-bf96-ee7eacd27e65,BE-ANN07/ps/000013178,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3a86188e-49d1-5143-bf96-ee7eacd27e65,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:12970,Affiches,https://anet.be/record/opaclhobj/tg:lhps:12970/N,c69ad6eb-d519-5370-b892-182726872abd,BE-ANN07/ps/000012506,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c69ad6eb-d519-5370-b892-182726872abd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:59021,Affiches,https://anet.be/record/opaclhobj/tg:lhps:59021/N,959eaa13-0eaa-5a72-85d0-4303addd3681,BE-ANN07/ps/000054815,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/959eaa13-0eaa-5a72-85d0-4303addd3681,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:24511,Affiches,https://anet.be/record/opaclhobj/tg:lhps:24511/N,8a53d7ca-91c2-5a9d-86d0-1e197e363de8,BE-ANN07/ps/000023853,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8a53d7ca-91c2-5a9d-86d0-1e197e363de8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:21713,Affiches,https://anet.be/record/opaclhobj/tg:lhps:21713/N,cb830c18-051c-547d-b66f-6d27abc54b1d,BE-ANN07/ps/000021069,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cb830c18-051c-547d-b66f-6d27abc54b1d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:20801,Affiches,https://anet.be/record/opaclhobj/tg:lhps:20801/N,e20cca8a-dacb-5e56-86fc-eea257087513,BE-ANN07/ps/000020171,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e20cca8a-dacb-5e56-86fc-eea257087513,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:379,Affiches,https://anet.be/record/opaclhobj/tg:lhps:379/N,a31f4b61-a71c-585d-8258-367dea709e1c,BE-ANN07/ps/000000375,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a31f4b61-a71c-585d-8258-367dea709e1c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:40200,Affiches,https://anet.be/record/opaclhobj/tg:lhps:40200/N,ffa01a01-8561-5e00-a849-6629810395e5,BE-ANN07/ps/000036207,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ffa01a01-8561-5e00-a849-6629810395e5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:16460,Affiches,https://anet.be/record/opaclhobj/tg:lhps:16460/N,e75534b7-b093-5857-9956-2f24648b23a3,BE-ANN07/ps/000015893,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e75534b7-b093-5857-9956-2f24648b23a3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:9286,Affiches,https://anet.be/record/opaclhobj/tg:lhps:9286/N,39ab6b52-f461-5f7d-a1cc-28b546e10573,BE-ANN07/ps/000009114,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/39ab6b52-f461-5f7d-a1cc-28b546e10573,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:13398,Affiches,https://anet.be/record/opaclhobj/tg:lhps:13398/N,d36fcc70-f011-5012-bc6d-59e9661c1e7a,BE-ANN07/ps/000012918,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d36fcc70-f011-5012-bc6d-59e9661c1e7a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:48630,Affiches,https://anet.be/record/opaclhobj/tg:lhps:48630/N,a0b28386-23aa-5ff3-b9b1-e341b8db24ac,BE-ANN07/ps/000044507,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a0b28386-23aa-5ff3-b9b1-e341b8db24ac,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:35300,Affiches,https://anet.be/record/opaclhobj/tg:lhps:35300/N,3fdd75ce-7126-5955-801a-bf2545e3e100,BE-ANN07/ps/000034471,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3fdd75ce-7126-5955-801a-bf2545e3e100,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:55901,Affiches,https://anet.be/record/opaclhobj/tg:lhps:55901/N,c9601883-4615-5194-9521-89605be430e0,BE-ANN07/ps/000051706,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c9601883-4615-5194-9521-89605be430e0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:19795,Affiches,https://anet.be/record/opaclhobj/tg:lhps:19795/N,7079d3b8-c42d-5792-8e61-e168bdabd9f7,BE-ANN07/ps/000019172,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7079d3b8-c42d-5792-8e61-e168bdabd9f7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:6173,Affiches,https://anet.be/record/opaclhobj/tg:lhps:6173/N,5d6af07c-0711-585b-89b7-f3f1ba9f50c3,BE-ANN07/ps/000006050,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5d6af07c-0711-585b-89b7-f3f1ba9f50c3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:18887,Affiches,https://anet.be/record/opaclhobj/tg:lhps:18887/N,8395a9e3-2a12-52f6-b5f0-7d47afbb8c60,BE-ANN07/ps/000018269,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8395a9e3-2a12-52f6-b5f0-7d47afbb8c60,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:29323,Affiches,https://anet.be/record/opaclhobj/tg:lhps:29323/N,b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,BE-ANN07/ps/000028635,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:2999,Affiches,https://anet.be/record/opaclhobj/tg:lhps:2999/N,3658960c-5aff-5f22-b543-9bdce511d66d,BE-ANN07/ps/000002970,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3658960c-5aff-5f22-b543-9bdce511d66d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:54613,Affiches,https://anet.be/record/opaclhobj/tg:lhps:54613/N,61777f10-ec42-507e-8410-4704d38e58c9,BE-ANN07/ps/000050417,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/61777f10-ec42-507e-8410-4704d38e58c9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:49922,Affiches,https://anet.be/record/opaclhobj/tg:lhps:49922/N,8aa76993-09ca-5cdc-aba2-56b1c449c41e,BE-ANN07/ps/000045788,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8aa76993-09ca-5cdc-aba2-56b1c449c41e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:51942,Affiches,https://anet.be/record/opaclhobj/tg:lhps:51942/N,f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,BE-ANN07/ps/000047783,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:36486,Affiches,https://anet.be/record/opaclhobj/tg:lhps:36486/N,d7e3736c-a419-5d5b-88d0-7e63e550016c,BE-ANN07/ps/000035656,canvas (textile material),Letterenhuis,https://data.letterenhuis.be/ark:/24970/d7e3736c-a419-5d5b-88d0-7e63e550016c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:2130,Affiches,https://anet.be/record/opaclhobj/tg:lhps:2130/N,88286c6a-3182-5052-b483-7ce588c7e2a0,BE-ANN07/ps/000002117,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/88286c6a-3182-5052-b483-7ce588c7e2a0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:31343,Affiches,https://anet.be/record/opaclhobj/tg:lhps:31343/N,736f4e56-0921-55e9-a12d-f32c7526373c,BE-ANN07/ps/000030638,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/736f4e56-0921-55e9-a12d-f32c7526373c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:57195,Affiches,https://anet.be/record/opaclhobj/tg:lhps:57195/N,702a9b51-dccb-5728-9927-c16a759d5ff0,BE-ANN07/ps/000052992,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/702a9b51-dccb-5728-9927-c16a759d5ff0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:50650,Affiches,https://anet.be/record/opaclhobj/tg:lhps:50650/N,36602cdc-061b-5781-b577-edd77d8b8eb1,BE-ANN07/ps/000046510,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/36602cdc-061b-5781-b577-edd77d8b8eb1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:28498,Affiches,https://anet.be/record/opaclhobj/tg:lhps:28498/N,7f92434e-2f68-5975-94c7-e7f566181a8a,BE-ANN07/ps/000027811,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7f92434e-2f68-5975-94c7-e7f566181a8a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:58260,Affiches,https://anet.be/record/opaclhobj/tg:lhps:58260/N,44e4e359-f985-5ee6-995b-4c21735fd330,BE-ANN07/ps/000054055,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/44e4e359-f985-5ee6-995b-4c21735fd330,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:25750,Affiches,https://anet.be/record/opaclhobj/tg:lhps:25750/N,a1454ee0-f2a7-5cca-b9d9-89f8903419df,BE-ANN07/ps/000025083,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a1454ee0-f2a7-5cca-b9d9-89f8903419df,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:22095,Affiches,https://anet.be/record/opaclhobj/tg:lhps:22095/N,264ec288-3975-59d4-8b70-7d6e1ccb916b,BE-ANN07/ps/000021443,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/264ec288-3975-59d4-8b70-7d6e1ccb916b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:44243,Affiches,https://anet.be/record/opaclhobj/tg:lhps:44243/N,78e35c4c-4159-5f57-8f69-16388bdc30d7,BE-ANN07/ps/000040164,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/78e35c4c-4159-5f57-8f69-16388bdc30d7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:12423,Affiches,https://anet.be/record/opaclhobj/tg:lhps:12423/N,33b73bef-649e-51bc-a014-7706dca214da,BE-ANN07/ps/000011992,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/33b73bef-649e-51bc-a014-7706dca214da,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:43586,Affiches,https://anet.be/record/opaclhobj/tg:lhps:43586/N,3130c849-b859-59bc-bfaf-0f099487a3cf,BE-ANN07/ps/000039513,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3130c849-b859-59bc-bfaf-0f099487a3cf,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:24842,Affiches,https://anet.be/record/opaclhobj/tg:lhps:24842/N,191cd4fb-fed5-594e-a362-1a4056f7f38e,BE-ANN07/ps/000024182,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/191cd4fb-fed5-594e-a362-1a4056f7f38e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:41041,Affiches,https://anet.be/record/opaclhobj/tg:lhps:41041/N,592ad513-d388-58d5-961e-57ce94083e59,BE-ANN07/ps/000037023,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/592ad513-d388-58d5-961e-57ce94083e59,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:17621,Affiches,https://anet.be/record/opaclhobj/tg:lhps:17621/N,2984e583-cce8-59a7-9898-41858fa2b3c5,BE-ANN07/ps/000017023,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2984e583-cce8-59a7-9898-41858fa2b3c5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:46784,Affiches,https://anet.be/record/opaclhobj/tg:lhps:46784/N,499517a6-ef52-5c05-ae55-74d1e248d9d0,BE-ANN07/ps/000042669,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/499517a6-ef52-5c05-ae55-74d1e248d9d0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:59888,Affiches,https://anet.be/record/opaclhobj/tg:lhps:59888/N,dcd0e454-3cf9-58b5-8a0e-8459b057843e,BE-ANN07/ps/000055679,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/dcd0e454-3cf9-58b5-8a0e-8459b057843e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:47896,Affiches,https://anet.be/record/opaclhobj/tg:lhps:47896/N,df455a42-42b3-5ea4-9498-ae2ff9b364bd,BE-ANN07/ps/000043773,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/df455a42-42b3-5ea4-9498-ae2ff9b364bd,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhps:20552,Affiches,https://anet.be/record/opaclhobj/tg:lhps:20552/N,3b39ac91-5eb4-547a-b489-bbf5220b9d56,BE-ANN07/ps/000019923,carbon paper,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3b39ac91-5eb4-547a-b489-bbf5220b9d56,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
